split_id,protocol,seed,repeat,augmentation,model_id,model_family,feature_set,n_train_rows,n_test_rows,n_train_papers,n_test_papers,R2,RMSE,MAE,MAPE,MBE,NRMSE,cv_R2,cv_RMSE,cv_MAE,cv_MAPE,cv_MBE,cv_NRMSE,selected_hyperparameters
interpolation_random__seed-42__repeat-1,interpolation_random,42,1,rd,knn_distance_sqrt,knn,all,2024,507,65,60,0.6655501761595054,0.009750422011917,0.0035310519395134778,66.29146158674696,-0.0003483037475345167,1.1417988885752108,0.7621807246167248,0.008363497122975322,0.003258181159597441,66.50240405237454,-0.00025501080552499687,0.9421858918797745,"{""n_neighbors"": 3, ""p"": 1, ""weights"": ""uniform""}"
interpolation_random__seed-42__repeat-1,interpolation_random,42,1,rd_bt,knn_distance_sqrt,knn,all,3024,507,65,60,0.6644049405503301,0.009767101625443225,0.003430821827744905,52.68517318266552,0.00017339907955292574,1.143752113180549,0.7621807246167248,0.008363497122975322,0.003258181159597441,66.50240405237454,-0.00025501080552499687,0.9421858918797745,"{""n_neighbors"": 3, ""p"": 1, ""weights"": ""uniform""}"
extrapolation_grouped__seed-42__repeat-1,extrapolation_grouped,42,1,rd,knn_distance_sqrt,knn,all,2005,526,52,14,-0.007395081769931089,0.011977407012174377,0.005541369008197041,237.86920465428904,-0.0009852278059699464,1.509573897888486,-4.152738481348315,0.01500882713010344,0.006978871497782228,535.1945281461133,-0.0007109892197284591,2.006262390355842,"{""n_neighbors"": 21, ""p"": 2, ""weights"": ""distance""}"
extrapolation_grouped__seed-42__repeat-1,extrapolation_grouped,42,1,rd_bt,knn_distance_sqrt,knn,all,3005,526,52,14,0.04230148528072242,0.011678237457781968,0.005502944362014941,248.1350071098424,-0.0011613733944623456,1.4718680280040723,-4.152738481348315,0.01500882713010344,0.006978871497782228,535.1945281461133,-0.0007109892197284591,2.006262390355842,"{""n_neighbors"": 21, ""p"": 2, ""weights"": ""distance""}"
interpolation_random__seed-43__repeat-2,interpolation_random,43,2,rd,knn_distance_sqrt,knn,all,2024,507,65,61,0.7230398215675824,0.008893720676013838,0.003338445569595882,68.24270426793069,6.198348051037142e-06,1.0278219086903337,0.7600801776538458,0.00841934824897484,0.003293940338880398,82.38376407721027,-9.902013958707726e-05,0.9632783351810419,"{""n_neighbors"": 5, ""p"": 1, ""weights"": ""distance""}"
interpolation_random__seed-43__repeat-2,interpolation_random,43,2,rd_bt,knn_distance_sqrt,knn,all,3024,507,65,61,0.7452939350913654,0.008528928300098442,0.0030586885636742756,34.66499704649609,-8.377649228302388e-05,0.9856638952168219,0.7600801776538458,0.00841934824897484,0.003293940338880398,82.38376407721027,-9.902013958707726e-05,0.9632783351810419,"{""n_neighbors"": 5, ""p"": 1, ""weights"": ""distance""}"
extrapolation_grouped__seed-43__repeat-2,extrapolation_grouped,43,2,rd,knn_distance_sqrt,knn,all,1954,577,52,14,0.515822961122262,0.01252576456398775,0.005321319066045258,158.0771086931742,-0.0005441196720431543,1.4613463750095403,0.3003933239524981,0.012658678751155566,0.0057080423069901815,253.54347809937016,-0.001484336441624713,1.5186418657411487,"{""n_neighbors"": 15, ""p"": 1, ""weights"": ""distance""}"
extrapolation_grouped__seed-43__repeat-2,extrapolation_grouped,43,2,rd_bt,knn_distance_sqrt,knn,all,2954,577,52,14,0.5508220056377684,0.012064557154124803,0.005385587676287032,171.08255467252067,3.306824778046967e-05,1.4075385796380309,0.3003933239524981,0.012658678751155566,0.0057080423069901815,253.54347809937016,-0.001484336441624713,1.5186418657411487,"{""n_neighbors"": 15, ""p"": 1, ""weights"": ""distance""}"
interpolation_random__seed-44__repeat-3,interpolation_random,44,3,rd,knn_distance_sqrt,knn,all,2024,507,66,61,0.720954985888627,0.009288995687566508,0.003521238658777121,84.29573679889626,0.00045900591715976335,1.0184443277250959,0.7014439264250709,0.009027163950016948,0.00343174654687691,104.93002920419963,6.423637697103063e-06,1.0468206626955179,"{""n_neighbors"": 5, ""p"": 1, ""weights"": ""uniform""}"
interpolation_random__seed-44__repeat-3,interpolation_random,44,3,rd_bt,knn_distance_sqrt,knn,all,3024,507,66,61,0.7332723510817429,0.009081668520072798,0.0033111518737672587,60.805212600033684,-0.0001760118343195266,0.9957130029598243,0.7014439264250709,0.009027163950016948,0.00343174654687691,104.93002920419963,6.423637697103063e-06,1.0468206626955179,"{""n_neighbors"": 5, ""p"": 1, ""weights"": ""uniform""}"
