split_id,protocol,seed,repeat,model_id,selected_hyperparameters,cv_R2,cv_RMSE,cv_MAE,cv_MAPE,cv_MBE,cv_NRMSE
interpolation_random__seed-42__repeat-1,interpolation_random,42,1,knn_distance_sqrt,"{""n_neighbors"": 3, ""p"": 1, ""weights"": ""uniform""}",0.7621807246167248,0.008363497122975322,0.003258181159597441,66.50240405237454,-0.00025501080552499687,0.9421858918797745
extrapolation_grouped__seed-42__repeat-1,extrapolation_grouped,42,1,knn_distance_sqrt,"{""n_neighbors"": 21, ""p"": 2, ""weights"": ""distance""}",-4.152738481348315,0.01500882713010344,0.006978871497782228,535.1945281461133,-0.0007109892197284591,2.006262390355842
interpolation_random__seed-43__repeat-2,interpolation_random,43,2,knn_distance_sqrt,"{""n_neighbors"": 5, ""p"": 1, ""weights"": ""distance""}",0.7600801776538458,0.00841934824897484,0.003293940338880398,82.38376407721027,-9.902013958707726e-05,0.9632783351810419
extrapolation_grouped__seed-43__repeat-2,extrapolation_grouped,43,2,knn_distance_sqrt,"{""n_neighbors"": 15, ""p"": 1, ""weights"": ""distance""}",0.3003933239524981,0.012658678751155566,0.0057080423069901815,253.54347809937016,-0.001484336441624713,1.5186418657411487
interpolation_random__seed-44__repeat-3,interpolation_random,44,3,knn_distance_sqrt,"{""n_neighbors"": 5, ""p"": 1, ""weights"": ""uniform""}",0.7014439264250709,0.009027163950016948,0.00343174654687691,104.93002920419963,6.423637697103063e-06,1.0468206626955179
extrapolation_grouped__seed-44__repeat-3,extrapolation_grouped,44,3,knn_distance_sqrt,"{""n_neighbors"": 9, ""p"": 2, ""weights"": ""distance""}",-0.0014835290989524852,0.013998621375964606,0.006141480181856185,796.9696115893797,-0.0012075844377874736,1.7229300975370099
interpolation_random__seed-45__repeat-4,interpolation_random,45,4,knn_distance_sqrt,"{""n_neighbors"": 15, ""p"": 1, ""weights"": ""distance""}",0.7065685944904503,0.008915182917822837,0.0036434826807300244,82.6185664198888,8.021735709572359e-05,1.0206280675449693
extrapolation_grouped__seed-45__repeat-4,extrapolation_grouped,45,4,knn_distance_sqrt,"{""n_neighbors"": 7, ""p"": 1, ""weights"": ""uniform""}",0.2283573466904767,0.014360618246939396,0.005999834525591594,202.30188325122273,-0.0025141199413834395,1.8151874185458041
interpolation_random__seed-46__repeat-5,interpolation_random,46,5,knn_distance_sqrt,"{""n_neighbors"": 5, ""p"": 1, ""weights"": ""uniform""}",0.7214072043481765,0.008768298109996218,0.003511100875198631,80.50553194234777,-7.63400097787556e-05,1.0032949254489785
extrapolation_grouped__seed-46__repeat-5,extrapolation_grouped,46,5,knn_distance_sqrt,"{""n_neighbors"": 3, ""p"": 1, ""weights"": ""distance""}",0.35055913539325095,0.013781072144249415,0.005883563190083314,229.70136315507392,-0.0020280290796296715,1.5121446182989189
interpolation_random__seed-47__repeat-6,interpolation_random,47,6,knn_distance_sqrt,"{""n_neighbors"": 21, ""p"": 1, ""weights"": ""distance""}",0.6536848659678185,0.009717604944156646,0.0038612229375735605,98.41026713596156,0.0001687440775949202,1.1280294094892727
extrapolation_grouped__seed-47__repeat-6,extrapolation_grouped,47,6,knn_distance_sqrt,"{""n_neighbors"": 21, ""p"": 2, ""weights"": ""distance""}",0.41144352515967225,0.012487461540222932,0.005844849325937986,393.00230101325286,-0.0018324817642241316,1.374865928037643
interpolation_random__seed-48__repeat-7,interpolation_random,48,7,knn_distance_sqrt,"{""n_neighbors"": 5, ""p"": 1, ""weights"": ""uniform""}",0.7088151990150863,0.008973398376163667,0.0034409944970052557,82.71873064474008,-5.113678767876789e-05,1.0331886143605096
extrapolation_grouped__seed-48__repeat-7,extrapolation_grouped,48,7,knn_distance_sqrt,"{""n_neighbors"": 31, ""p"": 1, ""weights"": ""distance""}",-0.062007412423379725,0.013618898717224081,0.006471118091900843,364.2397900104341,-0.0029065979881570288,1.6668618429479825
interpolation_random__seed-49__repeat-8,interpolation_random,49,8,knn_distance_sqrt,"{""n_neighbors"": 3, ""p"": 1, ""weights"": ""uniform""}",0.7446351197341425,0.008049112878848665,0.003302295978486737,70.58916826674633,-0.00011558722242594629,0.947281464119517
extrapolation_grouped__seed-49__repeat-8,extrapolation_grouped,49,8,knn_distance_sqrt,"{""n_neighbors"": 21, ""p"": 2, ""weights"": ""distance""}",0.06594948489056969,0.01004964803285628,0.005423336195009483,493.50273955679097,-0.0010813853324262725,1.1904802116614595
interpolation_random__seed-50__repeat-9,interpolation_random,50,9,knn_distance_sqrt,"{""n_neighbors"": 5, ""p"": 1, ""weights"": ""uniform""}",0.7392992197543158,0.008801998615337231,0.0034455466079941328,70.42487892012944,0.00019192883999511072,0.9917972627147442
extrapolation_grouped__seed-50__repeat-9,extrapolation_grouped,50,9,knn_distance_sqrt,"{""n_neighbors"": 5, ""p"": 2, ""weights"": ""uniform""}",0.18608769308554376,0.013245124230086345,0.006276200000062413,183.72605330076172,-0.0021333241359737585,1.5696767977660782
interpolation_random__seed-51__repeat-10,interpolation_random,51,10,knn_distance_sqrt,"{""n_neighbors"": 3, ""p"": 1, ""weights"": ""uniform""}",0.7549051337141345,0.008240176478930192,0.0031940618791508777,62.76483775755501,-9.193744448518913e-05,0.9467144335754878
extrapolation_grouped__seed-51__repeat-10,extrapolation_grouped,51,10,knn_distance_sqrt,"{""n_neighbors"": 9, ""p"": 1, ""weights"": ""distance""}",0.16373793814339627,0.014199279111147383,0.006110544780947648,317.60707660731134,-0.0016301636803792451,1.6420858552760098
