split_id,protocol,seed,repeat,model_id,selected_hyperparameters,cv_R2,cv_RMSE,cv_MAE,cv_MAPE,cv_MBE,cv_NRMSE
interpolation_random__seed-42__repeat-1,interpolation_random,42,1,knn_uniform,"{""n_neighbors"": 15, ""p"": 1, ""weights"": ""distance""}",0.719014531861645,0.009172840788778409,0.0035607870554801428,94.57348548800977,-8.593157786952634e-06,1.0344353208210806
extrapolation_grouped__seed-42__repeat-1,extrapolation_grouped,42,1,knn_uniform,"{""n_neighbors"": 31, ""p"": 1, ""weights"": ""distance""}",-0.594957678985619,0.013620268696311263,0.006350424968599178,399.6787084797225,-0.0010461358095491904,1.5189563199419953
interpolation_random__seed-43__repeat-2,interpolation_random,43,2,knn_uniform,"{""n_neighbors"": 3, ""p"": 1, ""weights"": ""uniform""}",0.7143494253096628,0.009130357958797413,0.0034047458216191983,58.78936311807928,-8.172242594629827e-05,1.0276713298688747
extrapolation_grouped__seed-43__repeat-2,extrapolation_grouped,43,2,knn_uniform,"{""n_neighbors"": 11, ""p"": 1, ""weights"": ""distance""}",0.31063776845467783,0.012644751793043339,0.005790857822084492,275.7270773050538,-0.0015790387053341807,1.5038132736409395
interpolation_random__seed-44__repeat-3,interpolation_random,44,3,knn_uniform,"{""n_neighbors"": 5, ""p"": 1, ""weights"": ""distance""}",0.737965382530504,0.008574517347448903,0.003325718794159832,65.46713927725384,8.09972457447051e-05,0.9835233485706556
extrapolation_grouped__seed-44__repeat-3,extrapolation_grouped,44,3,knn_uniform,"{""n_neighbors"": 21, ""p"": 1, ""weights"": ""distance""}",-0.40022984234943293,0.013878769351911829,0.00576294718098908,568.5718578852164,-0.00101426719233092,1.7919078503168309
interpolation_random__seed-45__repeat-4,interpolation_random,45,4,knn_uniform,"{""n_neighbors"": 5, ""p"": 1, ""weights"": ""distance""}",0.6924402114476731,0.009369028654318688,0.003450645748294992,77.37738575427326,2.3379008371878427e-05,1.0736907742779365
extrapolation_grouped__seed-45__repeat-4,extrapolation_grouped,45,4,knn_uniform,"{""n_neighbors"": 11, ""p"": 1, ""weights"": ""distance""}",0.26264868083979553,0.01399137334228836,0.005793540216741562,168.03751121218315,-0.001915340992055763,1.7783853466330535
interpolation_random__seed-46__repeat-5,interpolation_random,46,5,knn_uniform,"{""n_neighbors"": 5, ""p"": 1, ""weights"": ""uniform""}",0.6941868512590245,0.009217439803605298,0.0035595465419875323,80.03739277767973,-0.00019605990710182126,1.0657435597698146
extrapolation_grouped__seed-46__repeat-5,extrapolation_grouped,46,5,knn_uniform,"{""n_neighbors"": 7, ""p"": 1, ""weights"": ""distance""}",0.26824403077469594,0.014654048357309657,0.006298048390504613,210.9155001358734,-0.0016290913594161874,1.6160797611316895
interpolation_random__seed-47__repeat-6,interpolation_random,47,6,knn_uniform,"{""n_neighbors"": 5, ""p"": 1, ""weights"": ""uniform""}",0.6187300672305869,0.010285834339904175,0.0037899227404962718,80.34035797750008,-0.0004392577264393107,1.148948746380893
extrapolation_grouped__seed-47__repeat-6,extrapolation_grouped,47,6,knn_uniform,"{""n_neighbors"": 9, ""p"": 1, ""weights"": ""uniform""}",0.40284719206767666,0.012582383583943754,0.005923021984837541,282.8930471566735,-0.0013567037085659827,1.398982925426529
interpolation_random__seed-48__repeat-7,interpolation_random,48,7,knn_uniform,"{""n_neighbors"": 9, ""p"": 1, ""weights"": ""distance""}",0.6836345979154121,0.00941065135646305,0.0036365990040581123,88.53824677668563,-4.215484944152679e-05,1.0836619901274094
extrapolation_grouped__seed-48__repeat-7,extrapolation_grouped,48,7,knn_uniform,"{""n_neighbors"": 3, ""p"": 2, ""weights"": ""uniform""}",0.24148451341708216,0.012793387430326052,0.006201203675926613,361.3735766694994,-0.002262586227136434,1.3895528754933215
interpolation_random__seed-49__repeat-8,interpolation_random,49,8,knn_uniform,"{""n_neighbors"": 3, ""p"": 1, ""weights"": ""distance""}",0.6673975207904002,0.009235088279898237,0.0033480803496899495,58.880461169553925,-0.000394034125998115,1.079243322935398
extrapolation_grouped__seed-49__repeat-8,extrapolation_grouped,49,8,knn_uniform,"{""n_neighbors"": 3, ""p"": 1, ""weights"": ""distance""}",0.33300044881940394,0.009973809333519568,0.005167095829153258,256.29479308428625,-0.0013941897944363228,1.0858622439785068
interpolation_random__seed-50__repeat-9,interpolation_random,50,9,knn_uniform,"{""n_neighbors"": 5, ""p"": 1, ""weights"": ""distance""}",0.7304134851961888,0.008848007878712821,0.003386666428766714,67.80503141990877,2.0792253329804976e-05,0.9956958832851912
extrapolation_grouped__seed-50__repeat-9,extrapolation_grouped,50,9,knn_uniform,"{""n_neighbors"": 3, ""p"": 2, ""weights"": ""uniform""}",0.1797746787006233,0.013262188445306845,0.006568574812426538,206.2261235920726,-0.0015418261701430752,1.5672353446473588
interpolation_random__seed-51__repeat-10,interpolation_random,51,10,knn_uniform,"{""n_neighbors"": 3, ""p"": 1, ""weights"": ""distance""}",0.7719552894118091,0.008004408740643218,0.0030636653678361935,53.62359263183403,-3.675821780171752e-05,0.9176603719054379
extrapolation_grouped__seed-51__repeat-10,extrapolation_grouped,51,10,knn_uniform,"{""n_neighbors"": 3, ""p"": 1, ""weights"": ""distance""}",0.0826925976304758,0.014114974975881722,0.006108236940359647,286.50894357107774,-0.001504032386935197,1.6522742528248127
