model_id,model_family,feature_set,protocol,augmentation,metric,estimate,ci_low,ci_high,confidence_level,iterations,resampling_unit,repeat_aggregation
knn_uniform_inverse,knn,all,extrapolation_grouped,rd,RMSE,0.014313485883227393,0.009242259895096198,0.01976043604539927,0.95,2000,canonical_paper,mean prediction per row before resampling
knn_uniform_inverse,knn,all,extrapolation_grouped,rd,MAE,0.0057840134445045245,0.0037012589688838167,0.008342259432941323,0.95,2000,canonical_paper,mean prediction per row before resampling
knn_uniform_inverse,knn,all,extrapolation_grouped,rd,R2,0.25692638518029787,-0.03135495493120696,0.5037860093747941,0.95,2000,canonical_paper,mean prediction per row before resampling
knn_uniform_inverse,knn,all,extrapolation_grouped,rd_bt,RMSE,0.014075891753106685,0.009294413753767801,0.019292270632134265,0.95,2000,canonical_paper,mean prediction per row before resampling
knn_uniform_inverse,knn,all,extrapolation_grouped,rd_bt,MAE,0.005728019250118921,0.0037216173074185203,0.008233745678365522,0.95,2000,canonical_paper,mean prediction per row before resampling
knn_uniform_inverse,knn,all,extrapolation_grouped,rd_bt,R2,0.28139067378014593,0.024633757824419858,0.4988666863856831,0.95,2000,canonical_paper,mean prediction per row before resampling
knn_uniform_inverse,knn,all,interpolation_random,rd,RMSE,0.008885770417822613,0.007964651072714206,0.009773011326826004,0.95,2000,unique_row_id,mean prediction per row before resampling
knn_uniform_inverse,knn,all,interpolation_random,rd,MAE,0.003519143122824968,0.0031777006142812915,0.0038515954374811184,0.95,2000,unique_row_id,mean prediction per row before resampling
knn_uniform_inverse,knn,all,interpolation_random,rd,R2,0.7427460249740572,0.6835750286053665,0.790910889284628,0.95,2000,unique_row_id,mean prediction per row before resampling
knn_uniform_inverse,knn,all,interpolation_random,rd_bt,RMSE,0.008906163551500024,0.007876221969747861,0.009929542104501452,0.95,2000,unique_row_id,mean prediction per row before resampling
knn_uniform_inverse,knn,all,interpolation_random,rd_bt,MAE,0.003384706021981655,0.0030681244031496462,0.003730384197945583,0.95,2000,unique_row_id,mean prediction per row before resampling
knn_uniform_inverse,knn,all,interpolation_random,rd_bt,R2,0.7415638574023267,0.6810500995719565,0.7909102256130923,0.95,2000,unique_row_id,mean prediction per row before resampling
