model_id,model_family,feature_set,protocol,augmentation,paper_id,paper_label,n_predictions,n_unique_rows,R2,RMSE,MAE,MAPE,MBE,NRMSE,n
knn_uniform_inverse,knn,all,extrapolation_grouped,rd,doi::10.1016/j.combustflame.2020.12.005,"Carney, Ama, Yanjun Li, Ya-Ting Liao, Sandra Olson, and Paul Ferkul. ""Concurrent-flow flame spread over thin discrete fu",16,8,-14.158041737033265,0.13683556210163475,0.12906173024052892,89.57217147338498,-0.12906173024052892,0.9773968721545339,16
knn_uniform_inverse,knn,all,extrapolation_grouped,rd,doi::10.1007/s10694-019-00878-w,"Vetturini, Anthony, Wohan Cui, Ya-Ting Liao, Sandra Olson, and Paul Ferkul. ""Flame Spread Over Ultra-thin Solids: Effect",44,11,-0.43744263514606185,0.0645575147229383,0.054215843805799496,316.742789288581,-0.024453977270807656,0.8191632967497073,44
knn_uniform_inverse,knn,all,extrapolation_grouped,rd,doi::10.1016/j.combustflame.2022.112009,"Rojas-Alva, Ulises, Frederik Møller-Poulsen, Sze-Lok Man, Cameron Creamer, David Hanna, and Grunde Jomaas. ""Flame Spread",90,45,-218.24160499568998,0.03982974119089067,0.01639514814814815,623.7392024667333,0.015426111111111111,18.82312910722622,90
knn_uniform_inverse,knn,all,extrapolation_grouped,rd,doi::10.1016/j.combustflame.2022.112559,"Olson, Sandra L., et al. “The Effect of Duct Size, Sample Size, and Fuel Composition on Concurrent Flame Spread over Lar",16,8,-1354.4574962963436,0.03658571138563031,0.021793770510803362,747.9367665698855,0.020844911815557116,12.40193606292553,16
knn_uniform_inverse,knn,all,extrapolation_grouped,rd,citation::kimzey john howard flammability during weightlessness nasa technical memorandum nasa tm x 58001 may 1966,"Kimzey, John Howard. ""Flammability During Weightlessness."" NASA Technical Memorandum NASA TM X-58001, May 1966.",15,15,-20.41397526262129,0.03633974609315198,0.024139574779587666,664.5299216443196,0.022995414428945104,3.9162022515789903,15
knn_uniform_inverse,knn,all,extrapolation_grouped,rd,doi::10.1080/00102200490276773,"Olson, Sandra L., et al. “Sounding Rocket Microgravity Experiments Elucidating Diffusive and Radiative Transport Effects",162,54,-2.1515333219563706,0.028155123324425248,0.023736944543473054,94.31317602631928,-0.02292600869270189,1.0546452965586595,162
knn_uniform_inverse,knn,all,extrapolation_grouped,rd,citation::andracchio charles r and thomas h cochran burning of solids in oxygen rich environments in normal and reduced gravity nasa technical memorandum x 3055 national aeronautics and space administration may 1974,"Andracchio, Charles R., and Thomas H. Cochran. Burning of Solids in Oxygen-Rich Environments in Normal and Reduced Gravi",36,18,0.18646469160553236,0.025605451627445715,0.02184317400276175,69.29672014148711,-0.0046563783103591334,0.5513135517871087,36
knn_uniform_inverse,knn,all,extrapolation_grouped,rd,citation::son youngjin paul d ronney and suleyman gokoglu comparison of carbon dioxide and helium as fire extinguishing agents for spacecraft nasa cp 2004 213205 vol2 2004 pp 409 418,"Son, Youngjin, Paul D. Ronney, and Suleyman Gokoglu. ""Comparison of Carbon Dioxide and Helium as Fire Extinguishing Agen",89,89,-0.35914105463543655,0.024048044937029358,0.01759494382022472,85.85444706041535,-0.01224820224719101,0.9031233910001488,89
knn_uniform_inverse,knn,all,extrapolation_grouped,rd,doi::10.1016/s1540-7489(02)80315-7,"Son, Youngjin, and Paul D. Ronney. ""Radiation-Driven Flame Spread over Thermally Thick Fuels in Quiescent 0 Environments",80,40,-0.5407903296457799,0.022169991803678315,0.01708063010515699,186.64859331939064,0.011253906781977206,0.7757102126006006,80
knn_uniform_inverse,knn,all,extrapolation_grouped,rd,citation::andracchio charles r and thomas h cochran gravity effects on flame spreading over solid surfaces nasa technical note d 8228 national aeronautics and space administration may 1976,"Andracchio, Charles R., and Thomas H. Cochran. Gravity Effects on Flame Spreading over Solid Surfaces. NASA Technical No",134,67,0.09260161195696115,0.021510221339048067,0.01760929034526115,83.34408049730307,-0.0024551151264684103,0.6788115631464465,134
knn_uniform_inverse,knn,all,extrapolation_grouped,rd,doi::10.1016/j.combustflame.2009.01.015,"Olson, Sandra L., et al. “Experimental Comparison of Opposed and Concurrent Flame Spread in a Forced Convective 0 Enviro",208,52,-0.7908662311892227,0.017178184122203028,0.01249576541584587,53.05919130176879,-0.010546997714083014,0.8072163151586457,208
knn_uniform_inverse,knn,all,extrapolation_grouped,rd,doi::10.1016/s1540-7489(02)80314-5,"Takahashi, Shuhei, Manabu Kondou, Kazunori Wakai, and Subrata Bhattacharjee. ""Effect of radiation loss on flame spread o",138,69,-0.5981255388910252,0.01542252312657867,0.009704544361151571,62.01554470716143,-0.009626807174468236,1.296547219325903,138
knn_uniform_inverse,knn,all,extrapolation_grouped,rd,citation::takahashi shuhei takeshi nagumo kazunori wakai and subrata bhattacharjee effects of ambient condition on flame spread over a thin pmma sheet jsme international journal series b 43 4 2000 556 562,"Takahashi Shuhei, Takeshi Nagumo, Kazunori Wakai, and Subrata Bhattacharjee. ""Effects of Ambient Condition on Flame Spre",465,93,-1.213764404894846e-05,0.013450897756424687,0.007811426738186281,726.8795527788681,-0.001006887650647592,2.0393105612029405,465
