configuration_id,inner_fold,parameters,R2,RMSE,MAE,MAPE,MBE,NRMSE,n,split_id,protocol,seed,repeat,model_id
0,0,"{""n_neighbors"": 11, ""p"": 2, ""weights"": ""distance""}",0.7477988212048563,0.008465088120131446,0.0035883994452148727,134.3284685251996,-0.0006457006159026848,0.9379611855843955,405.0,interpolation_random__seed-42__repeat-1,interpolation_random,42,1,knn_uniform_inverse
0,1,"{""n_neighbors"": 11, ""p"": 2, ""weights"": ""distance""}",0.549418295517327,0.010776888703852884,0.00433582574252262,161.4052750718054,0.0010904273165210933,1.3005211229385616,405.0,interpolation_random__seed-42__repeat-1,interpolation_random,42,1,knn_uniform_inverse
0,2,"{""n_neighbors"": 11, ""p"": 2, ""weights"": ""distance""}",0.7831225661379968,0.009073454681217692,0.003434271392009835,145.94462782424688,-0.0007229321882481377,0.9798599426957894,405.0,interpolation_random__seed-42__repeat-1,interpolation_random,42,1,knn_uniform_inverse
0,3,"{""n_neighbors"": 11, ""p"": 2, ""weights"": ""distance""}",0.7775435919693774,0.00867796219700055,0.0038715900456438323,108.13534596576262,-0.0005198617920170494,0.9276588467620982,405.0,interpolation_random__seed-42__repeat-1,interpolation_random,42,1,knn_uniform_inverse
0,4,"{""n_neighbors"": 11, ""p"": 2, ""weights"": ""distance""}",0.4481228283777561,0.011575037831570304,0.004006662314231829,187.7310572737982,0.00023838880006138836,1.4053032749996701,404.0,interpolation_random__seed-42__repeat-1,interpolation_random,42,1,knn_uniform_inverse
0,mean,"{""n_neighbors"": 11, ""p"": 2, ""weights"": ""distance""}",0.6612012206414628,0.009713686306754576,0.003847349787924598,147.50895493216257,-0.00011193569591707802,1.110260874596103,404.8,interpolation_random__seed-42__repeat-1,interpolation_random,42,1,knn_uniform_inverse
1,0,"{""n_neighbors"": 3, ""p"": 2, ""weights"": ""distance""}",0.7206840457819959,0.008908524910703337,0.003587064776839596,99.3801078327161,-0.0007571355155138914,0.9870955232208112,405.0,interpolation_random__seed-42__repeat-1,interpolation_random,42,1,knn_uniform_inverse
1,1,"{""n_neighbors"": 3, ""p"": 2, ""weights"": ""distance""}",0.5460400440888327,0.01081721330333527,0.004131751790253909,139.36123718331365,0.0008335850721154009,1.3053873691105324,405.0,interpolation_random__seed-42__repeat-1,interpolation_random,42,1,knn_uniform_inverse
1,2,"{""n_neighbors"": 3, ""p"": 2, ""weights"": ""distance""}",0.7424608003667947,0.009887515157738164,0.0033531950645795776,98.75089914313597,-0.0008371774690219292,1.0677719100664367,405.0,interpolation_random__seed-42__repeat-1,interpolation_random,42,1,knn_uniform_inverse
1,3,"{""n_neighbors"": 3, ""p"": 2, ""weights"": ""distance""}",0.7913120470111098,0.008405121257902111,0.0035667738179594667,63.81699964882657,-0.0005755856925026945,0.8984926317950603,405.0,interpolation_random__seed-42__repeat-1,interpolation_random,42,1,knn_uniform_inverse
1,4,"{""n_neighbors"": 3, ""p"": 2, ""weights"": ""distance""}",0.6222534015458405,0.009576382521981702,0.0036344580637064387,119.48961040327701,2.6617489955012505e-05,1.1626503443544056,404.0,interpolation_random__seed-42__repeat-1,interpolation_random,42,1,knn_uniform_inverse
1,mean,"{""n_neighbors"": 3, ""p"": 2, ""weights"": ""distance""}",0.6845500677589147,0.009518951430332117,0.0036546487026677976,104.15977084225385,-0.0002619392229936203,1.0842795557094493,404.8,interpolation_random__seed-42__repeat-1,interpolation_random,42,1,knn_uniform_inverse
