split_id,protocol,seed,repeat,model_id,selected_hyperparameters,cv_R2,cv_RMSE,cv_MAE,cv_MAPE,cv_MBE,cv_NRMSE
interpolation_random__seed-42__repeat-1,interpolation_random,42,1,knn_uniform_inverse,"{""n_neighbors"": 21, ""p"": 1, ""weights"": ""distance""}",0.7196800101950812,0.008884085054141146,0.003700748752995999,129.76427307867476,-0.00014502170888503542,1.0134925359675107
extrapolation_grouped__seed-42__repeat-1,extrapolation_grouped,42,1,knn_uniform_inverse,"{""n_neighbors"": 3, ""p"": 1, ""weights"": ""distance""}",-2.934671092013166,0.016583502783943826,0.006550242952712393,330.49461476129096,-0.0013134017856853864,2.1751201134315137
interpolation_random__seed-43__repeat-2,interpolation_random,43,2,knn_uniform_inverse,"{""n_neighbors"": 15, ""p"": 1, ""weights"": ""distance""}",0.7073827722744709,0.009204790046898614,0.003693186341714277,133.19086854860947,-7.820826943254701e-05,1.0449640859415268
extrapolation_grouped__seed-43__repeat-2,extrapolation_grouped,43,2,knn_uniform_inverse,"{""n_neighbors"": 7, ""p"": 1, ""weights"": ""distance""}",0.3600797901927562,0.012416493217800518,0.005677270031625686,288.41760384495933,-0.0012475090974117678,1.454386109825507
interpolation_random__seed-44__repeat-3,interpolation_random,44,3,knn_uniform_inverse,"{""n_neighbors"": 15, ""p"": 1, ""weights"": ""distance""}",0.7513496052941301,0.00826561087977765,0.0035134752425324627,107.87106105001882,-0.00011344238344155179,0.9501135042618998
extrapolation_grouped__seed-44__repeat-3,extrapolation_grouped,44,3,knn_uniform_inverse,"{""n_neighbors"": 3, ""p"": 1, ""weights"": ""uniform""}",-0.5381678421325974,0.013501540971532805,0.005597710643790177,590.442091184804,-0.0008669486471836683,1.7373948224912248
interpolation_random__seed-45__repeat-4,interpolation_random,45,4,knn_uniform_inverse,"{""n_neighbors"": 5, ""p"": 1, ""weights"": ""distance""}",0.7449038004454973,0.008546096247554974,0.0033903854401203053,78.68335508209614,-0.00018186740879267725,0.9801784594274594
extrapolation_grouped__seed-45__repeat-4,extrapolation_grouped,45,4,knn_uniform_inverse,"{""n_neighbors"": 3, ""p"": 1, ""weights"": ""uniform""}",0.2881495014917255,0.013860705478446986,0.005647915745652198,203.05902933937563,-0.0018845511097944183,1.7463421117625935
interpolation_random__seed-46__repeat-5,interpolation_random,46,5,knn_uniform_inverse,"{""n_neighbors"": 9, ""p"": 1, ""weights"": ""uniform""}",0.6892461480408306,0.009057073274073181,0.003849868955167122,141.47146507522055,9.652218962637001e-05,1.0560055084002737
extrapolation_grouped__seed-46__repeat-5,extrapolation_grouped,46,5,knn_uniform_inverse,"{""n_neighbors"": 7, ""p"": 1, ""weights"": ""uniform""}",0.35943459422041685,0.01387122378124391,0.005985417201754348,245.82903051489137,-0.0021626850426935632,1.5505930281166485
interpolation_random__seed-47__repeat-6,interpolation_random,47,6,knn_uniform_inverse,"{""n_neighbors"": 5, ""p"": 1, ""weights"": ""uniform""}",0.6802255123310609,0.009417792413469041,0.0038755362229556294,129.27239676371465,0.00014873979709082024,1.0904081024767602
extrapolation_grouped__seed-47__repeat-6,extrapolation_grouped,47,6,knn_uniform_inverse,"{""n_neighbors"": 21, ""p"": 2, ""weights"": ""distance""}",0.3781774576538646,0.012836264534767,0.006013300902022593,402.64086339832573,-0.0017881269129181403,1.4239055855325415
interpolation_random__seed-48__repeat-7,interpolation_random,48,7,knn_uniform_inverse,"{""n_neighbors"": 9, ""p"": 1, ""weights"": ""uniform""}",0.6442719610363171,0.009954983711340232,0.004093586468646865,162.39484899588757,-9.728995504488715e-05,1.1466195659449547
extrapolation_grouped__seed-48__repeat-7,extrapolation_grouped,48,7,knn_uniform_inverse,"{""n_neighbors"": 7, ""p"": 1, ""weights"": ""distance""}",0.20012857332551465,0.012942298682537027,0.006238465750460581,348.67839046798935,-0.0025561635665132497,1.4860539320473614
interpolation_random__seed-49__repeat-8,interpolation_random,49,8,knn_uniform_inverse,"{""n_neighbors"": 5, ""p"": 1, ""weights"": ""uniform""}",0.7318902232063466,0.008321681962023838,0.0034388236328077256,124.09422153902342,-5.6672668377949045e-05,0.9732695207543312
extrapolation_grouped__seed-49__repeat-8,extrapolation_grouped,49,8,knn_uniform_inverse,"{""n_neighbors"": 21, ""p"": 1, ""weights"": ""distance""}",0.0697819033203011,0.010371373098313059,0.005606233935104987,367.0514429177712,-0.001016135352122341,1.21125385688004
interpolation_random__seed-50__repeat-9,interpolation_random,50,9,knn_uniform_inverse,"{""n_neighbors"": 5, ""p"": 1, ""weights"": ""uniform""}",0.751312229076813,0.008562177382733304,0.003610452018090698,113.72214070194393,-7.850853440899639e-05,0.9676153596847854
extrapolation_grouped__seed-50__repeat-9,extrapolation_grouped,50,9,knn_uniform_inverse,"{""n_neighbors"": 31, ""p"": 2, ""weights"": ""distance""}",0.1761722813161067,0.013642035678647921,0.006693286974687245,291.6368516690545,-0.002980958525302428,1.5617142606962284
interpolation_random__seed-51__repeat-10,interpolation_random,51,10,knn_uniform_inverse,"{""n_neighbors"": 7, ""p"": 1, ""weights"": ""distance""}",0.747821530507726,0.00828532874258939,0.0033482788116856225,79.22060512803664,0.0001254401739620855,0.951094070456661
extrapolation_grouped__seed-51__repeat-10,extrapolation_grouped,51,10,knn_uniform_inverse,"{""n_neighbors"": 31, ""p"": 1, ""weights"": ""distance""}",0.07088152451260263,0.015570844417114931,0.006382942590016147,387.32555964555115,-0.002201242293400739,1.8115333658623982
