split_id,protocol,seed,repeat,augmentation,model_id,model_family,feature_set,n_train_rows,n_test_rows,n_train_papers,n_test_papers,R2,RMSE,MAE,MAPE,MBE,NRMSE,cv_R2,cv_RMSE,cv_MAE,cv_MAPE,cv_MBE,cv_NRMSE,selected_hyperparameters
interpolation_random__seed-42__repeat-1,interpolation_random,42,1,rd,knn_uniform_sqrt,knn,all,2024,507,65,60,0.6655501761595054,0.009750422011917,0.0035310519395134778,66.29146158674696,-0.0003483037475345167,1.1417988885752108,0.7492083246339851,0.008556392672541092,0.0033775521574379657,65.4658191490736,0.00020043224544676687,0.9728112416002397,"{""n_neighbors"": 3, ""p"": 1, ""weights"": ""uniform""}"
interpolation_random__seed-42__repeat-1,interpolation_random,42,1,rd_bt,knn_uniform_sqrt,knn,all,3024,507,65,60,0.6989607733281824,0.009250590835890514,0.003222721893491124,51.90172189614891,0.00023157133464825772,1.0832674034184901,0.7492083246339851,0.008556392672541092,0.0033775521574379657,65.4658191490736,0.00020043224544676687,0.9728112416002397,"{""n_neighbors"": 3, ""p"": 1, ""weights"": ""uniform""}"
extrapolation_grouped__seed-42__repeat-1,extrapolation_grouped,42,1,rd,knn_uniform_sqrt,knn,all,2005,526,52,14,-0.007395081769931089,0.011977407012174377,0.005541369008197041,237.86920465428904,-0.0009852278059699464,1.509573897888486,-4.152738481348315,0.01500882713010344,0.006978871497782228,535.1945281461133,-0.0007109892197284591,2.006262390355842,"{""n_neighbors"": 21, ""p"": 2, ""weights"": ""distance""}"
extrapolation_grouped__seed-42__repeat-1,extrapolation_grouped,42,1,rd_bt,knn_uniform_sqrt,knn,all,3005,526,52,14,0.11486652747597392,0.011227091883844813,0.0053242555032170045,207.80789760589352,-0.0014425877076468126,1.415007842667529,-4.152738481348315,0.01500882713010344,0.006978871497782228,535.1945281461133,-0.0007109892197284591,2.006262390355842,"{""n_neighbors"": 21, ""p"": 2, ""weights"": ""distance""}"
interpolation_random__seed-43__repeat-2,interpolation_random,43,2,rd,knn_uniform_sqrt,knn,all,2024,507,65,61,0.7370815067341554,0.008665335610626693,0.0032910585141354373,65.78250418901924,-3.8711374095989506e-05,1.0014280986783253,0.7131069763429162,0.009077211891459184,0.003517521696614106,73.6209975669084,-2.2476135761724307e-05,1.029593271719312,"{""n_neighbors"": 3, ""p"": 1, ""weights"": ""uniform""}"
interpolation_random__seed-43__repeat-2,interpolation_random,43,2,rd_bt,knn_uniform_sqrt,knn,all,3024,507,65,61,0.7503035073584513,0.008444638080845055,0.0032139579224194606,35.71931904196804,2.531886916502284e-05,0.9759227152098314,0.7131069763429162,0.009077211891459184,0.003517521696614106,73.6209975669084,-2.2476135761724307e-05,1.029593271719312,"{""n_neighbors"": 3, ""p"": 1, ""weights"": ""uniform""}"
extrapolation_grouped__seed-43__repeat-2,extrapolation_grouped,43,2,rd,knn_uniform_sqrt,knn,all,1954,577,52,14,0.515822961122262,0.01252576456398775,0.005321319066045258,158.0771086931742,-0.0005441196720431543,1.4613463750095403,0.3003933239524981,0.012658678751155566,0.0057080423069901815,253.54347809937016,-0.001484336441624713,1.5186418657411487,"{""n_neighbors"": 15, ""p"": 1, ""weights"": ""distance""}"
extrapolation_grouped__seed-43__repeat-2,extrapolation_grouped,43,2,rd_bt,knn_uniform_sqrt,knn,all,2954,577,52,14,0.5368979153098885,0.012250124918390512,0.005434737514856495,171.36785502844612,0.0001465222444136371,1.4291882584455005,0.3003933239524981,0.012658678751155566,0.0057080423069901815,253.54347809937016,-0.001484336441624713,1.5186418657411487,"{""n_neighbors"": 15, ""p"": 1, ""weights"": ""distance""}"
interpolation_random__seed-44__repeat-3,interpolation_random,44,3,rd,knn_uniform_sqrt,knn,all,2024,507,66,61,0.7418050754313932,0.008935224694034669,0.0031456113306601793,73.16503189962333,0.0003481776320121608,0.9796569201522366,0.7489598373497449,0.008363861356676109,0.00317199215769614,70.5841645320275,-0.00010623254823163263,0.9652701700400785,"{""n_neighbors"": 5, ""p"": 1, ""weights"": ""distance""}"
interpolation_random__seed-44__repeat-3,interpolation_random,44,3,rd_bt,knn_uniform_sqrt,knn,all,3024,507,66,61,0.6972504669661892,0.009675498917706821,0.0034784838299863176,83.36733537302841,-8.011991090755214e-05,1.0608204936340446,0.7489598373497449,0.008363861356676109,0.00317199215769614,70.5841645320275,-0.00010623254823163263,0.9652701700400785,"{""n_neighbors"": 5, ""p"": 1, ""weights"": ""distance""}"
extrapolation_grouped__seed-44__repeat-3,extrapolation_grouped,44,3,rd,knn_uniform_sqrt,knn,all,1910,621,52,14,-1.5012434421198915,0.023231268195159225,0.010333560407746424,536.0490802771337,0.001618006432681104,2.7472102611687763,-0.0014835290989524852,0.013998621375964606,0.006141480181856185,796.9696115893797,-0.0012075844377874736,1.7229300975370099,"{""n_neighbors"": 9, ""p"": 2, ""weights"": ""distance""}"
extrapolation_grouped__seed-44__repeat-3,extrapolation_grouped,44,3,rd_bt,knn_uniform_sqrt,knn,all,2910,621,52,14,-2.3356027000521875,0.026827616868229216,0.010720007243371497,619.0663788141461,0.0015570051318005952,3.17249595346935,-0.0014835290989524852,0.013998621375964606,0.006141480181856185,796.9696115893797,-0.0012075844377874736,1.7229300975370099,"{""n_neighbors"": 9, ""p"": 2, ""weights"": ""distance""}"
interpolation_random__seed-45__repeat-4,interpolation_random,45,4,rd,knn_uniform_sqrt,knn,all,2024,507,66,62,0.714577546861538,0.00968745317788374,0.003756533932384738,110.73709587811939,0.00034911063303032843,1.075855543451616,0.7262466157755907,0.008710184596057963,0.0035015009967269027,74.60362561455165,-4.62443475821473e-05,1.005834670824949,"{""n_neighbors"": 11, ""p"": 1, ""weights"": ""distance""}"
