model_id,model_family,feature_set,protocol,rd_mean,rd_std,rd_bt_mean,rd_bt_std,delta_RMSE_bt_minus_rd_mean,delta_RMSE_bt_minus_rd_std
rf_baseline,random_forest,all,extrapolation_grouped,0.012205124909240781,0.0041154125215593215,0.01221823001611632,0.004060155773988268,1.310510687553999e-05,0.00044978010348714533
xgb_absoluteerror_sqrt,xgboost,all,extrapolation_grouped,0.012699800258411961,0.004454500053789786,0.012987309488427431,0.004429774576974291,0.0002875092300154701,0.0009899074193407183
xgb_absoluteerror_inverse,xgboost,all,extrapolation_grouped,0.012739533324767242,0.003942958391479378,0.012631769564881528,0.003871801611510177,-0.00010776375988571047,0.0009207948320808843
xgb_log_target_sqrt,xgboost,all,extrapolation_grouped,0.0127733156544035,0.0044983542693985325,0.01344987047890139,0.004229496918014786,0.0006765548244978898,0.0012902359201992343
rf_paper_sqrt,random_forest,all,extrapolation_grouped,0.01283480048598597,0.0038448427256185607,0.01292488271916514,0.003794511534077473,9.008223317916991e-05,0.0008131917412379799
xgb_baseline,xgboost,all,extrapolation_grouped,0.01294593010356851,0.0039011613355060225,0.013500290106007529,0.003437425734367731,0.0005543600024390195,0.0006152128480141583
xgb_paper_sqrt,xgboost,all,extrapolation_grouped,0.01296456312108652,0.003585292322303432,0.01257224351625257,0.003831590878065827,-0.0003923196048339501,0.0006901865343638079
xgb_pseudohuber_inverse,xgboost,all,extrapolation_grouped,0.01316691353795706,0.004236728071173081,0.01320427240708455,0.004299850389784166,3.73588691274903e-05,0.0007344394838401633
rf_paper_inverse,random_forest,all,extrapolation_grouped,0.01336048928396765,0.003946847804350568,0.01313027541329061,0.004274416684102733,-0.0002302138706770397,0.0011892674073220636
xgb_paper_inverse,xgboost,all,extrapolation_grouped,0.01344948431010265,0.00338429261376525,0.01397498433504627,0.003569343640274221,0.00052550002494362,0.0014927045785507022
xgb_pseudohuber_sqrt,xgboost,all,extrapolation_grouped,0.013460509559545511,0.0035425102435118283,0.01326201679017682,0.003672178323155272,-0.00019849276936869005,0.000740160941644358
xgb_paper_bagging_sqrt,xgboost,all,extrapolation_grouped,0.01349687670911264,0.0039049857698654003,0.013519454558658,0.004151616095299227,2.2577849545360117e-05,0.0006550796667183067
xgb_log_target_inverse,xgboost,all,extrapolation_grouped,0.01411765767933448,0.0037438662261506865,0.01345262596172125,0.003943905575018526,-0.0006650317176132298,0.0015068170435195614
knn_distance_inverse,knn,all,extrapolation_grouped,0.014291593160484381,0.004565856607659941,0.01362315878129292,0.003954274943637371,-0.0006684343791914602,0.002701987981633964
knn_uniform_inverse,knn,all,extrapolation_grouped,0.014291593160484381,0.004565856607659941,0.01395138260894419,0.004142022940343671,-0.00034021055154019006,0.001340611658318876
knn_distance,knn,all,extrapolation_grouped,0.01456949675362329,0.0041050910046422345,0.01494365952531929,0.0037178390625108113,0.000374162771695999,0.0016146350086759828
knn_uniform,knn,all,extrapolation_grouped,0.01456949675362329,0.0041050910046422345,0.015268120639616481,0.003813060770170396,0.0006986238859931894,0.0016827165287980781
knn_distance_sqrt,knn,all,extrapolation_grouped,0.01521699921380838,0.005298897814316069,0.01406825804686819,0.004464011183172116,-0.0011487411669401902,0.0020344762900806118
knn_uniform_sqrt,knn,all,extrapolation_grouped,0.01521699921380838,0.005298897814316069,0.01485695694833585,0.005954880264651377,-0.00036004226547253006,0.0021084269349311057
svr_rbf_sqrt,svr,all,extrapolation_grouped,0.01533110970864309,0.00373001092184375,0.015491228241008908,0.0038117023335259756,0.00016011853236581937,0.0008817051795159042
svr_rbf_inverse,svr,all,extrapolation_grouped,0.01560420642802825,0.0034555410724063425,0.01579076420626975,0.0038141771266793733,0.00018655777824150012,0.0011938137227630015
svr_rbf,svr,all,extrapolation_grouped,0.016136413258567718,0.003409097852725393,0.01596124605102216,0.003302531484669295,-0.00017516720754556027,0.0009160335917158867
mlp_log_target_sqrt,mlp,all,extrapolation_grouped,0.020460566240526102,0.008495970634822155,0.01946734344132553,0.009008206199565254,-0.00099322279920057,0.003082629663677317
svr_linear,svr,all,extrapolation_grouped,0.020945235605684683,0.009595121785364013,0.02901663786513221,0.013781686847981818,0.00807140225944753,0.01046717669409598
mlp_log_target_inverse,mlp,all,extrapolation_grouped,0.02145126565350301,0.012161575211317673,0.02103984250629998,0.009808737916610211,-0.0004114231472030298,0.0030759653538654586
rf_baseline,random_forest,all,interpolation_random,0.0062627653771392495,0.00047179283759385274,0.0062892863396393495,0.0005286199462245463,2.652096250009995e-05,0.00019846646885951115
