candidate_id,model_family,paper_weight,fixed_params,accelerator,weighting_policy,target_transform,paper_bagging
knn_distance,knn,none,"{""weights"": ""distance""}",gpu-optional,"{""paper_weight"": ""none"", ""unsupported_fit_weight_strategy"": ""deterministic_weighted_resampling""}",,
knn_distance_inverse,knn,inverse,"{""weights"": ""distance""}",gpu-optional,"{""paper_weight"": ""inverse"", ""unsupported_fit_weight_strategy"": ""deterministic_weighted_resampling""}",,
knn_distance_sqrt,knn,sqrt,"{""weights"": ""distance""}",gpu-optional,"{""paper_weight"": ""sqrt"", ""unsupported_fit_weight_strategy"": ""deterministic_weighted_resampling""}",,
knn_uniform,knn,none,"{""weights"": ""uniform""}",gpu-optional,"{""paper_weight"": ""none"", ""unsupported_fit_weight_strategy"": ""deterministic_weighted_resampling""}",,
knn_uniform_inverse,knn,inverse,"{""weights"": ""uniform""}",gpu-optional,"{""paper_weight"": ""inverse"", ""unsupported_fit_weight_strategy"": ""deterministic_weighted_resampling""}",,
knn_uniform_sqrt,knn,sqrt,"{""weights"": ""uniform""}",gpu-optional,"{""paper_weight"": ""sqrt"", ""unsupported_fit_weight_strategy"": ""deterministic_weighted_resampling""}",,
mlp_log_target_inverse,mlp,inverse,{},gpu,"{""paper_weight"": ""inverse"", ""unsupported_fit_weight_strategy"": ""deterministic_weighted_resampling""}",signed_log1p,
mlp_log_target_sqrt,mlp,sqrt,{},gpu,"{""paper_weight"": ""sqrt"", ""unsupported_fit_weight_strategy"": ""deterministic_weighted_resampling""}",signed_log1p,
rf_baseline,random_forest,none,{},cpu,"{""paper_weight"": ""none"", ""unsupported_fit_weight_strategy"": ""deterministic_weighted_resampling""}",,
rf_paper_inverse,random_forest,inverse,{},cpu,"{""paper_weight"": ""inverse"", ""unsupported_fit_weight_strategy"": ""deterministic_weighted_resampling""}",,
rf_paper_sqrt,random_forest,sqrt,{},cpu,"{""paper_weight"": ""sqrt"", ""unsupported_fit_weight_strategy"": ""deterministic_weighted_resampling""}",,
svr_linear,svr,none,"{""kernel"": ""linear""}",cpu,"{""paper_weight"": ""none"", ""unsupported_fit_weight_strategy"": ""deterministic_weighted_resampling""}",,
svr_rbf,svr,none,"{""kernel"": ""rbf""}",cpu,"{""paper_weight"": ""none"", ""unsupported_fit_weight_strategy"": ""deterministic_weighted_resampling""}",,
svr_rbf_inverse,svr,inverse,"{""kernel"": ""rbf""}",cpu,"{""paper_weight"": ""inverse"", ""unsupported_fit_weight_strategy"": ""deterministic_weighted_resampling""}",,
svr_rbf_sqrt,svr,sqrt,"{""kernel"": ""rbf""}",cpu,"{""paper_weight"": ""sqrt"", ""unsupported_fit_weight_strategy"": ""deterministic_weighted_resampling""}",,
xgb_absoluteerror_inverse,xgboost,inverse,"{""objective_variant"": ""absoluteerror""}",gpu,"{""paper_weight"": ""inverse"", ""unsupported_fit_weight_strategy"": ""deterministic_weighted_resampling""}",,
xgb_absoluteerror_sqrt,xgboost,sqrt,"{""objective_variant"": ""absoluteerror""}",gpu,"{""paper_weight"": ""sqrt"", ""unsupported_fit_weight_strategy"": ""deterministic_weighted_resampling""}",,
xgb_baseline,xgboost,none,"{""objective_variant"": ""squarederror""}",gpu,"{""paper_weight"": ""none"", ""unsupported_fit_weight_strategy"": ""deterministic_weighted_resampling""}",,
xgb_log_target_inverse,xgboost,inverse,"{""objective_variant"": ""squarederror""}",gpu,"{""paper_weight"": ""inverse"", ""unsupported_fit_weight_strategy"": ""deterministic_weighted_resampling""}",signed_log1p,
xgb_log_target_sqrt,xgboost,sqrt,"{""objective_variant"": ""squarederror""}",gpu,"{""paper_weight"": ""sqrt"", ""unsupported_fit_weight_strategy"": ""deterministic_weighted_resampling""}",signed_log1p,
xgb_paper_bagging_sqrt,xgboost,sqrt,"{""objective_variant"": ""squarederror""}",gpu,"{""paper_weight"": ""sqrt"", ""unsupported_fit_weight_strategy"": ""deterministic_weighted_resampling""}",,10.0
xgb_paper_inverse,xgboost,inverse,"{""objective_variant"": ""squarederror""}",gpu,"{""paper_weight"": ""inverse"", ""unsupported_fit_weight_strategy"": ""deterministic_weighted_resampling""}",,
xgb_paper_sqrt,xgboost,sqrt,"{""objective_variant"": ""squarederror""}",gpu,"{""paper_weight"": ""sqrt"", ""unsupported_fit_weight_strategy"": ""deterministic_weighted_resampling""}",,
xgb_pseudohuber_inverse,xgboost,inverse,"{""objective_variant"": ""pseudohuber""}",gpu,"{""paper_weight"": ""inverse"", ""unsupported_fit_weight_strategy"": ""deterministic_weighted_resampling""}",,
xgb_pseudohuber_sqrt,xgboost,sqrt,"{""objective_variant"": ""pseudohuber""}",gpu,"{""paper_weight"": ""sqrt"", ""unsupported_fit_weight_strategy"": ""deterministic_weighted_resampling""}",,
