model_id,model_family,feature_set,augmentation,random_RMSE_mean,random_RMSE_std,grouped_RMSE_mean,grouped_RMSE_std,generalization_gap_mean,generalization_gap_std
rf_baseline,random_forest,all,rd,0.0062627653771392495,0.00047179283759385274,0.012205124909240781,0.0041154125215593215,0.00594235953210153,0.004137754259716685
rf_baseline,random_forest,all,rd_bt,0.0062892863396393495,0.0005286199462245463,0.01221823001611632,0.004060155773988268,0.00592894367647697,0.0040932201946898535
xgb_paper_sqrt,xgboost,all,rd_bt,0.006644354243971589,0.00045857171360558284,0.01257224351625257,0.003831590878065827,0.0059278892722809794,0.0038667873167131774
xgb_absoluteerror_inverse,xgboost,all,rd_bt,0.00662591816300562,0.0006839668720023795,0.012631769564881528,0.003871801611510177,0.00600585140187591,0.003820478192732113
xgb_absoluteerror_sqrt,xgboost,all,rd,0.00633752838669428,0.0006797672308537134,0.012699800258411961,0.004454500053789786,0.00636227187171768,0.004686174617037928
xgb_absoluteerror_inverse,xgboost,all,rd,0.00661489405620321,0.0006550780167338397,0.012739533324767242,0.003942958391479378,0.006124639268564031,0.0037275850395634288
xgb_log_target_sqrt,xgboost,all,rd,0.006576630040157461,0.0009168005795494766,0.0127733156544035,0.0044983542693985325,0.00619668561424604,0.004901543180030725
rf_paper_sqrt,random_forest,all,rd,0.006499994857145671,0.0007328078707268358,0.01283480048598597,0.0038448427256185607,0.0063348056288403,0.004013708405141297
rf_paper_sqrt,random_forest,all,rd_bt,0.006404465864495159,0.0008869110684141103,0.01292488271916514,0.003794511534077473,0.00652041685466998,0.0038825780850843925
xgb_baseline,xgboost,all,rd,0.00636049321836536,0.0008506908793818062,0.01294593010356851,0.0039011613355060225,0.0065854368852031496,0.004347570778857595
xgb_paper_sqrt,xgboost,all,rd,0.006654501204000229,0.000543675467023483,0.01296456312108652,0.003585292322303432,0.00631006191708629,0.0036555902284989136
xgb_absoluteerror_sqrt,xgboost,all,rd_bt,0.0065221199238567505,0.0008824927189427217,0.012987309488427431,0.004429774576974291,0.00646518956457068,0.004712357552376132
rf_paper_inverse,random_forest,all,rd_bt,0.007025880331627479,0.0008583181684780525,0.01313027541329061,0.004274416684102733,0.0061043950816631306,0.004646354381604477
xgb_pseudohuber_inverse,xgboost,all,rd,0.00683446753686343,0.0010771358713116204,0.01316691353795706,0.004236728071173081,0.006332446001093629,0.004761249956798119
xgb_pseudohuber_inverse,xgboost,all,rd_bt,0.00676787488410549,0.0009682544796312734,0.01320427240708455,0.004299850389784166,0.006436397522979061,0.004808280106974981
xgb_pseudohuber_sqrt,xgboost,all,rd_bt,0.00683038286788209,0.0006927064867168348,0.01326201679017682,0.003672178323155272,0.00643163392229473,0.003858985612046749
rf_paper_inverse,random_forest,all,rd,0.00697644005935299,0.0009457621555259031,0.01336048928396765,0.003946847804350568,0.00638404922461466,0.004301853195057685
xgb_paper_inverse,xgboost,all,rd,0.0067024928883106195,0.000592762938314789,0.01344948431010265,0.00338429261376525,0.00674699142179203,0.003502904558556114
xgb_log_target_sqrt,xgboost,all,rd_bt,0.00655608531698878,0.0011282882278498831,0.01344987047890139,0.004229496918014786,0.0068937851619126096,0.0047359450550659805
xgb_log_target_inverse,xgboost,all,rd_bt,0.00650523356840413,0.00077829878663317,0.01345262596172125,0.003943905575018526,0.00694739239331712,0.004319415109009811
xgb_pseudohuber_sqrt,xgboost,all,rd,0.006803227613219121,0.0005996459707505807,0.013460509559545511,0.0035425102435118283,0.006657281946326391,0.003744525805500356
xgb_paper_bagging_sqrt,xgboost,all,rd,0.008022445622615119,0.0008209736592600693,0.01349687670911264,0.0039049857698654003,0.00547443108649752,0.003944465550277346
xgb_baseline,xgboost,all,rd_bt,0.00623559962085776,0.0006983651002771919,0.013500290106007529,0.003437425734367731,0.00726469048514977,0.003777193543923999
xgb_paper_bagging_sqrt,xgboost,all,rd_bt,0.00793566778340576,0.0009426552732906651,0.013519454558658,0.004151616095299227,0.00558378677525224,0.004242746785449185
knn_distance_inverse,knn,all,rd_bt,0.00917494189977606,0.0006905082048188245,0.01362315878129292,0.003954274943637371,0.00444821688151686,0.0037724763361469075
knn_uniform_inverse,knn,all,rd_bt,0.009558123413181342,0.0005541433337861842,0.01395138260894419,0.004142022940343671,0.0043932591957628496,0.0039814028954885585
xgb_paper_inverse,xgboost,all,rd_bt,0.006549325169467731,0.0004761032154874047,0.01397498433504627,0.003569343640274221,0.00742565916557854,0.0036817661806656256
knn_distance_sqrt,knn,all,rd_bt,0.00927145426257381,0.000404371793905655,0.01406825804686819,0.004464011183172116,0.00479680378429438,0.004466622350093349
xgb_log_target_inverse,xgboost,all,rd,0.00656133299651222,0.0008266682510226356,0.01411765767933448,0.0037438662261506865,0.00755632468282226,0.004023729971412459
knn_distance_inverse,knn,all,rd,0.00949343013011214,0.0008670316881641227,0.014291593160484381,0.004565856607659941,0.004798163030372241,0.004705774757642342
knn_uniform_inverse,knn,all,rd,0.0095571432045601,0.0008267031885584178,0.014291593160484381,0.004565856607659941,0.004734449955924281,0.00453192172058672
knn_distance,knn,all,rd,0.0096311096902167,0.000976207701937927,0.01456949675362329,0.0041050910046422345,0.0049383870634065906,0.004734350144536536
knn_uniform,knn,all,rd,0.00931277781830187,0.0007526873529318912,0.01456949675362329,0.0041050910046422345,0.005256718935321421,0.004598977953731731
knn_uniform_sqrt,knn,all,rd_bt,0.0090251079671309,0.0007164738558807284,0.01485695694833585,0.005954880264651377,0.0058318489812049495,0.005885640983980981
knn_distance,knn,all,rd_bt,0.009183365523930991,0.0006637751791527046,0.01494365952531929,0.0037178390625108113,0.0057602940013883,0.003884553933592513
knn_distance_sqrt,knn,all,rd,0.00942850483935494,0.0006876562691149777,0.01521699921380838,0.005298897814316069,0.00578849437445344,0.005447560293603623
knn_uniform_sqrt,knn,all,rd,0.009402953803421678,0.0006774735772113118,0.01521699921380838,0.005298897814316069,0.005814045410386701,0.005588725134539861
knn_uniform,knn,all,rd_bt,0.009313522702272639,0.0007653712473231378,0.015268120639616481,0.003813060770170396,0.00595459793734384,0.004070189634024484
svr_rbf_sqrt,svr,all,rd,0.01116823318992791,0.0006337854221706766,0.01533110970864309,0.00373001092184375,0.0041628765187151796,0.004004395984878336
svr_rbf_sqrt,svr,all,rd_bt,0.01091479162940995,0.0008208882434396509,0.015491228241008908,0.0038117023335259756,0.0045764366115989595,0.0038531307088266052
svr_rbf_inverse,svr,all,rd,0.010633792243827819,0.0007763931532918434,0.01560420642802825,0.0034555410724063425,0.00497041418420043,0.0038398126653824347
svr_rbf_inverse,svr,all,rd_bt,0.01071775245214204,0.0005388532365903845,0.01579076420626975,0.0038141771266793733,0.00507301175412771,0.003788178038950336
svr_rbf,svr,all,rd_bt,0.01060572636096578,0.0010643004662113857,0.01596124605102216,0.003302531484669295,0.0053555196900563805,0.0034057314320622726
svr_rbf,svr,all,rd,0.010865441596208569,0.0015193581808736712,0.016136413258567718,0.003409097852725393,0.00527097166235915,0.0043976163582808625
mlp_log_target_sqrt,mlp,all,rd_bt,0.01016922283558221,0.0013707899493489353,0.01946734344132553,0.009008206199565254,0.00929812060574332,0.009243235145474026
mlp_log_target_sqrt,mlp,all,rd,0.010605056292195231,0.0020167889404040813,0.020460566240526102,0.008495970634822155,0.00985550994833087,0.009296180038455854
