split_id,protocol,seed,repeat,model_id,selected_hyperparameters,cv_R2,cv_RMSE,cv_MAE,cv_MAPE,cv_MBE,cv_NRMSE
interpolation_random__seed-42__repeat-1,interpolation_random,42,1,knn_distance,"{""n_neighbors"": 3, ""p"": 1, ""weights"": ""uniform""}",0.7144924695512507,0.0091158650628559,0.0035864041478221,58.32756499462232,5.885020576131687e-05,1.0320987120005858
extrapolation_grouped__seed-42__repeat-1,extrapolation_grouped,42,1,knn_distance,"{""n_neighbors"": 31, ""p"": 1, ""weights"": ""distance""}",-0.594957678985619,0.0136202686963112,0.0063504249685991,399.6787084797225,-0.0010461358095491,1.518956319941995
interpolation_random__seed-43__repeat-2,interpolation_random,43,2,knn_distance,"{""n_neighbors"": 7, ""p"": 1, ""weights"": ""distance""}",0.6977589581971435,0.0092099611136291,0.0035230021350751,83.44546037850229,9.699950251003238e-05,1.0488612939817623
extrapolation_grouped__seed-43__repeat-2,extrapolation_grouped,43,2,knn_distance,"{""n_neighbors"": 11, ""p"": 1, ""weights"": ""distance""}",0.3106377684546778,0.0126447517930433,0.0057908578220844,275.7270773050538,-0.0015790387053341,1.5038132736409395
interpolation_random__seed-44__repeat-3,interpolation_random,44,3,knn_distance,"{""n_neighbors"": 21, ""p"": 1, ""weights"": ""distance""}",0.7545250880349312,0.00831841817381,0.0034454813774222,97.64513223907268,2.984147497576688e-05,0.9630656165254632
extrapolation_grouped__seed-44__repeat-3,extrapolation_grouped,44,3,knn_distance,"{""n_neighbors"": 21, ""p"": 1, ""weights"": ""distance""}",-0.4002298423494329,0.0138787693519118,0.005762947180989,568.5718578852164,-0.0010142671923309,1.7919078503168309
interpolation_random__seed-45__repeat-4,interpolation_random,45,4,knn_distance,"{""n_neighbors"": 9, ""p"": 1, ""weights"": ""distance""}",0.7292486711268523,0.0087631701778506,0.0034172091126382,67.81043519215505,-3.5770215389888655e-05,1.0098572256763512
extrapolation_grouped__seed-45__repeat-4,extrapolation_grouped,45,4,knn_distance,"{""n_neighbors"": 11, ""p"": 1, ""weights"": ""distance""}",0.2626486808397955,0.0139913733422883,0.0057935402167415,168.03751121218315,-0.0019153409920557,1.7783853466330537
interpolation_random__seed-46__repeat-5,interpolation_random,46,5,knn_distance,"{""n_neighbors"": 3, ""p"": 1, ""weights"": ""uniform""}",0.7222133849471809,0.0089204346444307,0.0034731370085156,68.16609778879022,-6.934433443344333e-05,1.0241465154155462
extrapolation_grouped__seed-46__repeat-5,extrapolation_grouped,46,5,knn_distance,"{""n_neighbors"": 7, ""p"": 1, ""weights"": ""distance""}",0.2682440307746959,0.0146540483573096,0.0062980483905046,210.9155001358734,-0.0016290913594161,1.6160797611316895
interpolation_random__seed-47__repeat-6,interpolation_random,47,6,knn_distance,"{""n_neighbors"": 7, ""p"": 1, ""weights"": ""uniform""}",0.5716635093330126,0.0108459194667887,0.0039161286657237,94.0320056428094,-0.000374906059336,1.2472293585726948
extrapolation_grouped__seed-47__repeat-6,extrapolation_grouped,47,6,knn_distance,"{""n_neighbors"": 9, ""p"": 1, ""weights"": ""uniform""}",0.4028471920676766,0.0125823835839437,0.0059230219848375,282.8930471566735,-0.0013567037085659,1.398982925426529
interpolation_random__seed-48__repeat-7,interpolation_random,48,7,knn_distance,"{""n_neighbors"": 5, ""p"": 1, ""weights"": ""distance""}",0.7182915706564454,0.0089073772763109,0.0033256010887931,64.46468282622146,2.2671116642865827e-05,1.026887479241478
extrapolation_grouped__seed-48__repeat-7,extrapolation_grouped,48,7,knn_distance,"{""n_neighbors"": 3, ""p"": 2, ""weights"": ""uniform""}",0.2414845134170821,0.012793387430326,0.0062012036759266,361.3735766694994,-0.0022625862271364,1.3895528754933215
interpolation_random__seed-49__repeat-8,interpolation_random,49,8,knn_distance,"{""n_neighbors"": 3, ""p"": 1, ""weights"": ""uniform""}",0.6348328571725335,0.009526641132128,0.003372926891578,68.88633014986053,-7.136207880047263e-05,1.1275128292080396
extrapolation_grouped__seed-49__repeat-8,extrapolation_grouped,49,8,knn_distance,"{""n_neighbors"": 3, ""p"": 1, ""weights"": ""distance""}",0.3330004488194039,0.0099738093335195,0.0051670958291532,256.29479308428625,-0.0013941897944363,1.0858622439785068
interpolation_random__seed-50__repeat-9,interpolation_random,50,9,knn_distance,"{""n_neighbors"": 5, ""p"": 1, ""weights"": ""distance""}",0.739912450267293,0.0086955178060392,0.0032918396517084,66.69169703881182,-0.0001202237161081,0.979501217147532
extrapolation_grouped__seed-50__repeat-9,extrapolation_grouped,50,9,knn_distance,"{""n_neighbors"": 3, ""p"": 2, ""weights"": ""uniform""}",0.1797746787006233,0.0132621884453068,0.0065685748124265,206.2261235920726,-0.001541826170143,1.5672353446473588
interpolation_random__seed-51__repeat-10,interpolation_random,51,10,knn_distance,"{""n_neighbors"": 3, ""p"": 1, ""weights"": ""distance""}",0.7402125794507329,0.0084175354677707,0.0033014367554917,59.17003729145766,-7.283700076922601e-05,0.9671020975301342
extrapolation_grouped__seed-51__repeat-10,extrapolation_grouped,51,10,knn_distance,"{""n_neighbors"": 3, ""p"": 1, ""weights"": ""distance""}",0.0826925976304758,0.0141149749758817,0.0061082369403596,286.50894357107774,-0.0015040323869351,1.6522742528248129
