split_id,protocol,seed,repeat,augmentation,model_id,model_family,feature_set,n_train_rows,n_test_rows,n_train_papers,n_test_papers,R2,RMSE,MAE,MAPE,MBE,NRMSE,cv_R2,cv_RMSE,cv_MAE,cv_MAPE,cv_MBE,cv_NRMSE,selected_hyperparameters
interpolation_random__seed-42__repeat-1,interpolation_random,42,1,rd,mlp_baseline,mlp,all,2024,507,65,60,0.6010982020196294,0.010648561025447626,0.005335516669784748,426.0357696356642,0.0015222501016481683,1.246973221150964,0.6902695359073524,0.009392962478128741,0.0044041169291084365,404.2777673912371,-0.00017625202140937357,1.07013357017689,"{""activation"": ""relu"", ""alpha"": 0.0001, ""batch_size"": 32, ""hidden_layer_sizes"": [100, 50], ""learning_rate_init"": 0.001}"
interpolation_random__seed-42__repeat-1,interpolation_random,42,1,rd_bt,mlp_baseline,mlp,all,3024,507,65,60,0.5814650565640946,0.010907464011393257,0.0044387434632032815,169.24167807735276,-0.0004882066242076469,1.277291410583198,0.6902695359073524,0.009392962478128741,0.0044041169291084365,404.2777673912371,-0.00017625202140937357,1.07013357017689,"{""activation"": ""relu"", ""alpha"": 0.0001, ""batch_size"": 32, ""hidden_layer_sizes"": [100, 50], ""learning_rate_init"": 0.001}"
extrapolation_grouped__seed-42__repeat-1,extrapolation_grouped,42,1,rd,mlp_baseline,mlp,all,2005,526,52,14,-0.13211644108854181,0.012697214121847695,0.008578334430398087,1671.2260419076074,0.0017898090648430151,1.6002948713991068,-0.9303334209986893,0.015295939124501548,0.008676383534202168,1665.301309330352,0.0005298643402709721,1.8057843918924934,"{""activation"": ""tanh"", ""alpha"": 0.001, ""batch_size"": 64, ""hidden_layer_sizes"": [64, 64, 32], ""learning_rate_init"": 0.001}"
extrapolation_grouped__seed-42__repeat-1,extrapolation_grouped,42,1,rd_bt,mlp_baseline,mlp,all,3005,526,52,14,-0.08472518343437851,0.012428615604421317,0.007804344653636361,1399.9083122751597,0.00028939138682807007,1.566442025745096,-0.9303334209986893,0.015295939124501548,0.008676383534202168,1665.301309330352,0.0005298643402709721,1.8057843918924934,"{""activation"": ""tanh"", ""alpha"": 0.001, ""batch_size"": 64, ""hidden_layer_sizes"": [64, 64, 32], ""learning_rate_init"": 0.001}"
interpolation_random__seed-43__repeat-2,interpolation_random,43,2,rd,mlp_baseline,mlp,all,2024,507,65,61,0.7221607409981676,0.008907823972423675,0.004163453394222777,259.3497455982797,-0.00014046329850158287,1.0294517863942603,0.6942690485881655,0.009456265274584185,0.0044976772369679915,515.4192629588608,0.0005737024514771494,1.0834656247351444,"{""activation"": ""relu"", ""alpha"": 0.0001, ""batch_size"": 128, ""hidden_layer_sizes"": [100, 50], ""learning_rate_init"": 0.001}"
interpolation_random__seed-43__repeat-2,interpolation_random,43,2,rd_bt,mlp_baseline,mlp,all,3024,507,65,61,0.7738529760072419,0.008036561246693705,0.004253663143050036,259.0844032244079,0.0006779087681730352,0.9287624404666698,0.6942690485881655,0.009456265274584185,0.0044976772369679915,515.4192629588608,0.0005737024514771494,1.0834656247351444,"{""activation"": ""relu"", ""alpha"": 0.0001, ""batch_size"": 128, ""hidden_layer_sizes"": [100, 50], ""learning_rate_init"": 0.001}"
extrapolation_grouped__seed-43__repeat-2,extrapolation_grouped,43,2,rd,mlp_baseline,mlp,all,1954,577,52,14,0.20614290764249277,0.016038853256196455,0.006366279500360297,417.6719200839854,-0.0020550513758496145,1.8712087350451314,0.2764756907893372,0.013090633214796624,0.0069752738021234455,748.4590531744518,-0.00021240580452762506,1.508897156262622,"{""activation"": ""relu"", ""alpha"": 0.001, ""batch_size"": 128, ""hidden_layer_sizes"": [100, 50], ""learning_rate_init"": 0.005}"
extrapolation_grouped__seed-43__repeat-2,extrapolation_grouped,43,2,rd_bt,mlp_baseline,mlp,all,2954,577,52,14,0.21385144734707218,0.015960792772488776,0.0062389269450890536,398.0986421693774,-0.0019880347914867217,1.862101633892546,0.2764756907893372,0.013090633214796624,0.0069752738021234455,748.4590531744518,-0.00021240580452762506,1.508897156262622,"{""activation"": ""relu"", ""alpha"": 0.001, ""batch_size"": 128, ""hidden_layer_sizes"": [100, 50], ""learning_rate_init"": 0.005}"
interpolation_random__seed-44__repeat-3,interpolation_random,44,3,rd,mlp_baseline,mlp,all,2024,507,66,61,0.700867192536232,0.009617532248519377,0.004545101984330771,488.44361037426376,0.0013361308944201797,1.0544650352597782,0.6962006717165847,0.009433343329020582,0.004807495282494812,615.9968258251034,0.0008675862607559181,1.0888128700547623,"{""activation"": ""relu"", ""alpha"": 0.0001, ""batch_size"": 32, ""hidden_layer_sizes"": [64, 64, 32], ""learning_rate_init"": 0.001}"
interpolation_random__seed-44__repeat-3,interpolation_random,44,3,rd_bt,mlp_baseline,mlp,all,3024,507,66,61,0.6984503299528395,0.009656306818072495,0.004653381535560921,589.5671395042115,0.0005413515453862073,1.05871627422571,0.6962006717165847,0.009433343329020582,0.004807495282494812,615.9968258251034,0.0008675862607559181,1.0888128700547623,"{""activation"": ""relu"", ""alpha"": 0.0001, ""batch_size"": 32, ""hidden_layer_sizes"": [64, 64, 32], ""learning_rate_init"": 0.001}"
