split_id,protocol,seed,repeat,augmentation,model_id,model_family,feature_set,n_train_rows,n_test_rows,n_train_papers,n_test_papers,R2,RMSE,MAE,MAPE,MBE,NRMSE,cv_R2,cv_RMSE,cv_MAE,cv_MAPE,cv_MBE,cv_NRMSE,selected_hyperparameters
interpolation_random__seed-42__repeat-1,interpolation_random,42,1,rd,mlp_log_target_inverse,mlp,all,2024,507,65,60,0.5694921297346802,0.011062377508715146,0.00538961097274901,304.7149176296004,-0.0016571091997111293,1.2954321699114866,0.6374550810243298,0.01021980415692519,0.006027362229042587,836.8423496090229,0.0008334525186486594,1.1366289688619964,"{""activation"": ""relu"", ""alpha"": 0.0001, ""batch_size"": 128, ""hidden_layer_sizes"": [256, 128], ""learning_rate_init"": 0.01}"
interpolation_random__seed-42__repeat-1,interpolation_random,42,1,rd_bt,mlp_log_target_inverse,mlp,all,3024,507,65,60,0.40376689571807767,0.013018650556369074,0.008536363903264848,1382.5173594886814,-0.005043015482667894,1.52451665351957,0.6374550810243298,0.01021980415692519,0.006027362229042587,836.8423496090229,0.0008334525186486594,1.1366289688619964,"{""activation"": ""relu"", ""alpha"": 0.0001, ""batch_size"": 128, ""hidden_layer_sizes"": [256, 128], ""learning_rate_init"": 0.01}"
extrapolation_grouped__seed-42__repeat-1,extrapolation_grouped,42,1,rd,mlp_log_target_inverse,mlp,all,2005,526,52,14,-1.5573451883489495,0.019083479867703375,0.014101253946953028,2701.648818813149,0.00643716801801015,2.4051886238719082,-1.3358438948070568,0.016119767707875446,0.008489604669819868,1574.15130535238,-0.0013405427899467553,1.9003665248761088,"{""activation"": ""tanh"", ""alpha"": 0.01, ""batch_size"": 64, ""hidden_layer_sizes"": [100], ""learning_rate_init"": 0.005}"
extrapolation_grouped__seed-42__repeat-1,extrapolation_grouped,42,1,rd_bt,mlp_log_target_inverse,mlp,all,3005,526,52,14,-1.6145465429901065,0.01929572421832141,0.01102841809793256,2718.6676660992894,0.0005597940131892182,2.4319388655011362,-1.3358438948070568,0.016119767707875446,0.008489604669819868,1574.15130535238,-0.0013405427899467553,1.9003665248761088,"{""activation"": ""tanh"", ""alpha"": 0.01, ""batch_size"": 64, ""hidden_layer_sizes"": [100], ""learning_rate_init"": 0.005}"
interpolation_random__seed-43__repeat-2,interpolation_random,43,2,rd,mlp_log_target_inverse,mlp,all,2024,507,65,61,0.6943619523206268,0.00934283176780889,0.007434524703561031,1188.0730841077009,0.004965427794414889,1.0797243954445819,0.677208290213289,0.009590508523799607,0.0048625905973993,536.6207753723036,-0.00020454347711164073,1.0928088968792227,"{""activation"": ""relu"", ""alpha"": 0.0001, ""batch_size"": 32, ""hidden_layer_sizes"": [256, 128], ""learning_rate_init"": 0.001}"
interpolation_random__seed-43__repeat-2,interpolation_random,43,2,rd_bt,mlp_log_target_inverse,mlp,all,3024,507,65,61,0.7737763728163518,0.008037922250920497,0.004283291320470497,349.7163707515288,-0.0025321977961465865,0.9289197278397587,0.677208290213289,0.009590508523799607,0.0048625905973993,536.6207753723036,-0.00020454347711164073,1.0928088968792227,"{""activation"": ""relu"", ""alpha"": 0.0001, ""batch_size"": 32, ""hidden_layer_sizes"": [256, 128], ""learning_rate_init"": 0.001}"
extrapolation_grouped__seed-43__repeat-2,extrapolation_grouped,43,2,rd,mlp_log_target_inverse,mlp,all,1954,577,52,14,0.09897664177339538,0.01708717133871682,0.007314665509932606,709.1979116809101,-0.0023780534263951095,1.9935131119094822,-0.13100402264121308,0.01519761768823864,0.008760482584004557,1098.563465277639,-0.0005496986669084796,1.997886829093177,"{""activation"": ""tanh"", ""alpha"": 0.001, ""batch_size"": 32, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.001}"
extrapolation_grouped__seed-43__repeat-2,extrapolation_grouped,43,2,rd_bt,mlp_log_target_inverse,mlp,all,2954,577,52,14,0.13858609471829453,0.01670736991573625,0.008335918203406711,735.4842874014935,-0.001362231722172989,1.9492027283108764,-0.13100402264121308,0.01519761768823864,0.008760482584004557,1098.563465277639,-0.0005496986669084796,1.997886829093177,"{""activation"": ""tanh"", ""alpha"": 0.001, ""batch_size"": 32, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.001}"
interpolation_random__seed-44__repeat-3,interpolation_random,44,3,rd,mlp_log_target_inverse,mlp,all,2024,507,66,61,0.6356788028858897,0.01061387204891595,0.0062586954891151415,765.2046654867626,0.0012917530525038536,1.1637036066113464,0.6876665185063848,0.009491657014906294,0.00499226620066074,588.6433557813278,-0.0010217502475094909,1.0915226129139222,"{""activation"": ""relu"", ""alpha"": 0.0001, ""batch_size"": 128, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.005}"
interpolation_random__seed-44__repeat-3,interpolation_random,44,3,rd_bt,mlp_log_target_inverse,mlp,all,3024,507,66,61,0.5304832693852981,0.01204917089032445,0.007475884180987276,903.9756202378676,0.004164221393345522,1.321069592428252,0.6876665185063848,0.009491657014906294,0.00499226620066074,588.6433557813278,-0.0010217502475094909,1.0915226129139222,"{""activation"": ""relu"", ""alpha"": 0.0001, ""batch_size"": 128, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.005}"
extrapolation_grouped__seed-44__repeat-3,extrapolation_grouped,44,3,rd,mlp_log_target_inverse,mlp,all,1910,621,52,14,0.14821125909352528,0.013556915361995069,0.009420416336352839,2736.529406375719,0.0012381273676840558,1.6031710657978655,-1.4002858658801953,0.016978851847123975,0.009949436899977257,2061.3999384049557,0.002086770426051953,2.2556484336709106,"{""activation"": ""tanh"", ""alpha"": 0.001, ""batch_size"": 64, ""hidden_layer_sizes"": [64, 64, 32], ""learning_rate_init"": 0.005}"
