split_id,protocol,seed,repeat,model_id,selected_hyperparameters,cv_R2,cv_RMSE,cv_MAE,cv_MAPE,cv_MBE,cv_NRMSE
interpolation_random__seed-42__repeat-1,interpolation_random,42,1,mlp_log_target_inverse,"{""activation"": ""relu"", ""alpha"": 0.0001, ""batch_size"": 128, ""hidden_layer_sizes"": [256, 128], ""learning_rate_init"": 0.01}",0.6374550810243298,0.01021980415692519,0.006027362229042587,836.8423496090229,0.0008334525186486594,1.1366289688619964
extrapolation_grouped__seed-42__repeat-1,extrapolation_grouped,42,1,mlp_log_target_inverse,"{""activation"": ""tanh"", ""alpha"": 0.01, ""batch_size"": 64, ""hidden_layer_sizes"": [100], ""learning_rate_init"": 0.005}",-1.3358438948070568,0.016119767707875446,0.008489604669819868,1574.15130535238,-0.0013405427899467553,1.9003665248761088
interpolation_random__seed-43__repeat-2,interpolation_random,43,2,mlp_log_target_inverse,"{""activation"": ""relu"", ""alpha"": 0.0001, ""batch_size"": 32, ""hidden_layer_sizes"": [256, 128], ""learning_rate_init"": 0.001}",0.677208290213289,0.009590508523799607,0.0048625905973993,536.6207753723036,-0.00020454347711164073,1.0928088968792227
extrapolation_grouped__seed-43__repeat-2,extrapolation_grouped,43,2,mlp_log_target_inverse,"{""activation"": ""tanh"", ""alpha"": 0.001, ""batch_size"": 32, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.001}",-0.13100402264121308,0.01519761768823864,0.008760482584004557,1098.563465277639,-0.0005496986669084796,1.997886829093177
interpolation_random__seed-44__repeat-3,interpolation_random,44,3,mlp_log_target_inverse,"{""activation"": ""relu"", ""alpha"": 0.0001, ""batch_size"": 128, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.005}",0.6876665185063848,0.009491657014906294,0.00499226620066074,588.6433557813278,-0.0010217502475094909,1.0915226129139222
extrapolation_grouped__seed-44__repeat-3,extrapolation_grouped,44,3,mlp_log_target_inverse,"{""activation"": ""tanh"", ""alpha"": 0.001, ""batch_size"": 64, ""hidden_layer_sizes"": [64, 64, 32], ""learning_rate_init"": 0.005}",-1.4002858658801953,0.016978851847123975,0.009949436899977257,2061.3999384049557,0.002086770426051953,2.2556484336709106
interpolation_random__seed-45__repeat-4,interpolation_random,45,4,mlp_log_target_inverse,"{""activation"": ""relu"", ""alpha"": 0.0001, ""batch_size"": 128, ""hidden_layer_sizes"": [256, 128], ""learning_rate_init"": 0.01}",0.5785380969468281,0.010992897374703305,0.006099767991924901,701.8734310061886,0.0010169478027691134,1.2642223701772077
extrapolation_grouped__seed-45__repeat-4,extrapolation_grouped,45,4,mlp_log_target_inverse,"{""activation"": ""relu"", ""alpha"": 0.1, ""batch_size"": 128, ""hidden_layer_sizes"": [100], ""learning_rate_init"": 0.001}",-0.12162227398272685,0.017054325026953265,0.010217527128974566,2894.1106716579334,0.0018830252052200376,2.1907450921257285
interpolation_random__seed-46__repeat-5,interpolation_random,46,5,mlp_log_target_inverse,"{""activation"": ""relu"", ""alpha"": 0.0001, ""batch_size"": 128, ""hidden_layer_sizes"": [256, 128], ""learning_rate_init"": 0.001}",0.7110033858670523,0.008951582736831207,0.004830597954260446,742.8147560384765,-0.0005169051408006398,1.0259828496377226
extrapolation_grouped__seed-46__repeat-5,extrapolation_grouped,46,5,mlp_log_target_inverse,"{""activation"": ""relu"", ""alpha"": 0.001, ""batch_size"": 64, ""hidden_layer_sizes"": [64, 64, 32], ""learning_rate_init"": 0.005}",0.16990993589453413,0.015668394100040804,0.007530173789767153,670.8553325532205,-0.0019795071116400884,1.8379941917014329
