split_id,protocol,seed,repeat,model_id,selected_hyperparameters,cv_R2,cv_RMSE,cv_MAE,cv_MAPE,cv_MBE,cv_NRMSE
interpolation_random__seed-42__repeat-1,interpolation_random,42,1,mlp_log_target_sqrt,"{""activation"": ""relu"", ""alpha"": 0.0001, ""batch_size"": 32, ""hidden_layer_sizes"": [64, 64, 32], ""learning_rate_init"": 0.001}",0.7486394241220304,0.008659906138173062,0.004727778291062366,529.931902238985,0.0008457685011395315,0.9806536125243973
extrapolation_grouped__seed-42__repeat-1,extrapolation_grouped,42,1,mlp_log_target_sqrt,"{""activation"": ""tanh"", ""alpha"": 0.01, ""batch_size"": 64, ""hidden_layer_sizes"": [100], ""learning_rate_init"": 0.01}",-0.9668316384071808,0.01585120176190551,0.008974828385781241,1413.2314392314443,0.0005507218923053184,1.8382788201279685
interpolation_random__seed-43__repeat-2,interpolation_random,43,2,mlp_log_target_sqrt,"{""activation"": ""relu"", ""alpha"": 0.0001, ""batch_size"": 32, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.001}",0.6961696518322794,0.009448230226364105,0.004907507906102865,593.4501478489898,7.379734752025893e-05,1.0797627839860255
extrapolation_grouped__seed-43__repeat-2,extrapolation_grouped,43,2,mlp_log_target_sqrt,"{""activation"": ""relu"", ""alpha"": 0.01, ""batch_size"": 32, ""hidden_layer_sizes"": [100], ""learning_rate_init"": 0.01}",0.08261809382566725,0.014180403672228909,0.009025835499545144,2527.49628191508,0.002728930150229962,1.816866157415267
interpolation_random__seed-44__repeat-3,interpolation_random,44,3,mlp_log_target_sqrt,"{""activation"": ""relu"", ""alpha"": 0.0001, ""batch_size"": 32, ""hidden_layer_sizes"": [100, 50], ""learning_rate_init"": 0.001}",0.6666773368895369,0.009788653077419041,0.005009310851043063,607.5111175993354,-0.0009058478817966745,1.1321097147223664
extrapolation_grouped__seed-44__repeat-3,extrapolation_grouped,44,3,mlp_log_target_sqrt,"{""activation"": ""tanh"", ""alpha"": 0.001, ""batch_size"": 32, ""hidden_layer_sizes"": [100, 50], ""learning_rate_init"": 0.005}",-0.8050108823483602,0.016012710676266088,0.009280554900186814,2102.3324621287497,0.0020762329160931704,2.097861836790964
interpolation_random__seed-45__repeat-4,interpolation_random,45,4,mlp_log_target_sqrt,"{""activation"": ""relu"", ""alpha"": 0.0001, ""batch_size"": 64, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.005}",0.6374070050407545,0.010154384725938546,0.00530475363370324,716.4460491749508,-0.0004382888147441991,1.1807899896517249
extrapolation_grouped__seed-45__repeat-4,extrapolation_grouped,45,4,mlp_log_target_sqrt,"{""activation"": ""tanh"", ""alpha"": 0.001, ""batch_size"": 32, ""hidden_layer_sizes"": [100, 50], ""learning_rate_init"": 0.005}",0.08602504263376813,0.015738515641962138,0.00899711173420939,1565.6280541066258,0.0008597557264946043,2.017656335056032
interpolation_random__seed-46__repeat-5,interpolation_random,46,5,mlp_log_target_sqrt,"{""activation"": ""relu"", ""alpha"": 0.0001, ""batch_size"": 128, ""hidden_layer_sizes"": [100, 50], ""learning_rate_init"": 0.001}",0.7033717382718103,0.009271435178560918,0.004546355186671252,527.3599419029113,0.0005512203982636172,1.0617341741473114
extrapolation_grouped__seed-46__repeat-5,extrapolation_grouped,46,5,mlp_log_target_sqrt,"{""activation"": ""tanh"", ""alpha"": 0.001, ""batch_size"": 64, ""hidden_layer_sizes"": [100, 50], ""learning_rate_init"": 0.005}",0.17208307902757436,0.015303339663420418,0.008164316664897305,1123.3705839622717,0.0001229111456585252,1.843113400356445
interpolation_random__seed-47__repeat-6,interpolation_random,47,6,mlp_log_target_sqrt,"{""activation"": ""relu"", ""alpha"": 0.0001, ""batch_size"": 128, ""hidden_layer_sizes"": [100, 50], ""learning_rate_init"": 0.01}",0.5907558877305763,0.010551526366731387,0.005518443256716281,588.1731495193465,-0.00029343930146392624,1.2241509480583517
extrapolation_grouped__seed-47__repeat-6,extrapolation_grouped,47,6,mlp_log_target_sqrt,"{""activation"": ""relu"", ""alpha"": 0.01, ""batch_size"": 64, ""hidden_layer_sizes"": [100], ""learning_rate_init"": 0.005}",0.24902586401141483,0.013867335837710503,0.008710788314494256,1579.7575454791152,0.0016599915083567083,1.6084025012406666
interpolation_random__seed-48__repeat-7,interpolation_random,48,7,mlp_log_target_sqrt,"{""activation"": ""relu"", ""alpha"": 0.0001, ""batch_size"": 128, ""hidden_layer_sizes"": [64, 64, 32], ""learning_rate_init"": 0.001}",0.7189044738871683,0.008808623079228781,0.004151361818865249,381.16146590020986,-0.0004834852497252712,1.0183296979397753
extrapolation_grouped__seed-48__repeat-7,extrapolation_grouped,48,7,mlp_log_target_sqrt,"{""activation"": ""relu"", ""alpha"": 0.0001, ""batch_size"": 32, ""hidden_layer_sizes"": [100, 50], ""learning_rate_init"": 0.01}",-2.231683195238047,0.013637475569522375,0.007635837912794432,1281.2659140661387,0.0021139886272678893,2.0693868818646197
interpolation_random__seed-49__repeat-8,interpolation_random,49,8,mlp_log_target_sqrt,"{""activation"": ""relu"", ""alpha"": 0.0001, ""batch_size"": 32, ""hidden_layer_sizes"": [256, 128], ""learning_rate_init"": 0.001}",0.6542941381893608,0.009584272837790519,0.005216932133302228,589.9513631247709,0.0012580158495789254,1.12151774263696
extrapolation_grouped__seed-49__repeat-8,extrapolation_grouped,49,8,mlp_log_target_sqrt,"{""activation"": ""tanh"", ""alpha"": 0.0001, ""batch_size"": 64, ""hidden_layer_sizes"": [100, 50], ""learning_rate_init"": 0.01}",-0.1630743937650117,0.010430510249509018,0.006710390749992058,897.4595605283873,-8.081060598390805e-05,1.3025764616135203
interpolation_random__seed-50__repeat-9,interpolation_random,50,9,mlp_log_target_sqrt,"{""activation"": ""relu"", ""alpha"": 0.0001, ""batch_size"": 32, ""hidden_layer_sizes"": [256, 128], ""learning_rate_init"": 0.001}",0.7081233810544765,0.009073844231257951,0.004740089609979317,494.0185190890176,1.0852164435035116e-05,1.026805591977
extrapolation_grouped__seed-50__repeat-9,extrapolation_grouped,50,9,mlp_log_target_sqrt,"{""activation"": ""relu"", ""alpha"": 0.001, ""batch_size"": 64, ""hidden_layer_sizes"": [100, 50], ""learning_rate_init"": 0.005}",-0.3636812571753868,0.015312942761251913,0.009487956754226538,1357.0709416107961,0.0028765226449197854,1.913849575490375
interpolation_random__seed-51__repeat-10,interpolation_random,51,10,mlp_log_target_sqrt,"{""activation"": ""relu"", ""alpha"": 0.0001, ""batch_size"": 64, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.001}",0.6764278282223999,0.009527475699194104,0.005028571407428704,631.0446702601448,0.0008273340459744071,1.0971729432954684
