split_id,protocol,seed,repeat,model_id,selected_hyperparameters,cv_R2,cv_RMSE,cv_MAE,cv_MAPE,cv_MBE,cv_NRMSE
interpolation_random__seed-42__repeat-1,interpolation_random,42,1,mlp_paper_inverse,"{""activation"": ""relu"", ""alpha"": 0.0001, ""batch_size"": 32, ""hidden_layer_sizes"": [64, 64, 32], ""learning_rate_init"": 0.005}",0.49482491892967284,0.012082553599578456,0.007341213476417782,1764.6658689628064,0.0008677646464452765,1.361881265823662
extrapolation_grouped__seed-42__repeat-1,extrapolation_grouped,42,1,mlp_paper_inverse,"{""activation"": ""relu"", ""alpha"": 0.0001, ""batch_size"": 128, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.005}",-10.372776310181411,0.016198918867739713,0.008312588160184464,1018.2838877788174,0.002455450011521175,2.483337143942909
interpolation_random__seed-43__repeat-2,interpolation_random,43,2,mlp_paper_inverse,"{""activation"": ""relu"", ""alpha"": 0.0001, ""batch_size"": 128, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.005}",0.6235280943665452,0.010391066827813236,0.005374587377265977,566.9781408678732,-0.0005341526949225755,1.1763980673761578
extrapolation_grouped__seed-43__repeat-2,extrapolation_grouped,43,2,mlp_paper_inverse,"{""activation"": ""relu"", ""alpha"": 0.001, ""batch_size"": 32, ""hidden_layer_sizes"": [100, 50], ""learning_rate_init"": 0.01}",0.04491124941554432,0.014838599946519421,0.010334830566084283,3035.2920850619507,0.004064284237745236,1.8024974797098807
interpolation_random__seed-44__repeat-3,interpolation_random,44,3,mlp_paper_inverse,"{""activation"": ""relu"", ""alpha"": 0.0001, ""batch_size"": 128, ""hidden_layer_sizes"": [64, 64, 32], ""learning_rate_init"": 0.001}",0.709385352911135,0.009084726626747665,0.004587012820754908,451.70408724076105,-0.0014861207842162775,1.0549553444783368
extrapolation_grouped__seed-44__repeat-3,extrapolation_grouped,44,3,mlp_paper_inverse,"{""activation"": ""tanh"", ""alpha"": 0.01, ""batch_size"": 32, ""hidden_layer_sizes"": [256, 128], ""learning_rate_init"": 0.01}",-0.5275752852872209,0.0173413738043106,0.010707809439727083,2196.772041360369,0.001491638093227484,2.1482444564337118
interpolation_random__seed-45__repeat-4,interpolation_random,45,4,mlp_paper_inverse,"{""activation"": ""relu"", ""alpha"": 0.0001, ""batch_size"": 128, ""hidden_layer_sizes"": [100, 50], ""learning_rate_init"": 0.01}",0.5203511488412095,0.01129877301107085,0.005970191560892983,581.530264822213,0.0009935053677963966,1.3168093245744168
extrapolation_grouped__seed-45__repeat-4,extrapolation_grouped,45,4,mlp_paper_inverse,"{""activation"": ""tanh"", ""alpha"": 0.001, ""batch_size"": 128, ""hidden_layer_sizes"": [64, 64, 32], ""learning_rate_init"": 0.005}",-0.0474802467754631,0.016256833253622253,0.009450035295590275,2260.873588561931,-0.0005459588382006569,2.101306365519385
interpolation_random__seed-46__repeat-5,interpolation_random,46,5,mlp_paper_inverse,"{""activation"": ""relu"", ""alpha"": 0.0001, ""batch_size"": 64, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.001}",0.6822901950639031,0.009614914131493743,0.004882835742665358,660.8374032922649,0.00021294392463877795,1.1070345546113027
extrapolation_grouped__seed-46__repeat-5,extrapolation_grouped,46,5,mlp_paper_inverse,"{""activation"": ""relu"", ""alpha"": 0.001, ""batch_size"": 32, ""hidden_layer_sizes"": [100, 50], ""learning_rate_init"": 0.01}",0.06596120430308447,0.016445319113920612,0.00854301059028658,1092.8077995291803,-0.0028137586733950675,1.944059506287217
interpolation_random__seed-47__repeat-6,interpolation_random,47,6,mlp_paper_inverse,"{""activation"": ""relu"", ""alpha"": 0.0001, ""batch_size"": 128, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.001}",0.6246937063052608,0.010229826370132976,0.005508636774749777,931.9762467062455,-0.001408589739272873,1.1790940705055726
extrapolation_grouped__seed-47__repeat-6,extrapolation_grouped,47,6,mlp_paper_inverse,"{""activation"": ""relu"", ""alpha"": 0.01, ""batch_size"": 64, ""hidden_layer_sizes"": [100], ""learning_rate_init"": 0.005}",0.1359032967983041,0.014875651976150154,0.009551715702968736,1437.457425933117,0.003106336006183783,1.7180097898714515
interpolation_random__seed-48__repeat-7,interpolation_random,48,7,mlp_paper_inverse,"{""activation"": ""relu"", ""alpha"": 0.0001, ""batch_size"": 64, ""hidden_layer_sizes"": [64, 64, 32], ""learning_rate_init"": 0.001}",0.6046412161981377,0.010258542648292446,0.00556229740519631,560.8486962041428,-0.0012551301318704136,1.182880964009437
extrapolation_grouped__seed-48__repeat-7,extrapolation_grouped,48,7,mlp_paper_inverse,"{""activation"": ""relu"", ""alpha"": 0.001, ""batch_size"": 32, ""hidden_layer_sizes"": [256, 128], ""learning_rate_init"": 0.01}",0.04184511827753603,0.014026517475423484,0.008252811267111136,960.2440805810489,0.0012934189359534924,1.5671456227196723
interpolation_random__seed-49__repeat-8,interpolation_random,49,8,mlp_paper_inverse,"{""activation"": ""relu"", ""alpha"": 0.0001, ""batch_size"": 128, ""hidden_layer_sizes"": [256, 128], ""learning_rate_init"": 0.001}",0.6836191408652897,0.009064496141218625,0.004831921725366951,655.9459649512588,-6.066050712992344e-05,1.0576195398821988
