split_id,protocol,seed,repeat,augmentation,model_id,model_family,feature_set,n_train_rows,n_test_rows,n_train_papers,n_test_papers,R2,RMSE,MAE,MAPE,MBE,NRMSE,cv_R2,cv_RMSE,cv_MAE,cv_MAPE,cv_MBE,cv_NRMSE,selected_hyperparameters
interpolation_random__seed-42__repeat-1,interpolation_random,42,1,rd,mlp_paper_sqrt,mlp,all,2024,507,65,60,0.604447267415936,0.010603765668759622,0.004846937093273892,522.115900334654,-0.00035658267247841424,1.2417275724583043,0.7589236878226744,0.008470936924640963,0.004625812507245141,536.4924687118234,0.0006638448232153949,0.9636181980983334,"{""activation"": ""relu"", ""alpha"": 0.0001, ""batch_size"": 128, ""hidden_layer_sizes"": [100, 50], ""learning_rate_init"": 0.001}"
interpolation_random__seed-42__repeat-1,interpolation_random,42,1,rd_bt,mlp_paper_sqrt,mlp,all,3024,507,65,60,0.5474957945263084,0.011341467095155988,0.005995250100158375,459.85297059182875,-0.004474306792625074,1.3281142609247367,0.7589236878226744,0.008470936924640963,0.004625812507245141,536.4924687118234,0.0006638448232153949,0.9636181980983334,"{""activation"": ""relu"", ""alpha"": 0.0001, ""batch_size"": 128, ""hidden_layer_sizes"": [100, 50], ""learning_rate_init"": 0.001}"
extrapolation_grouped__seed-42__repeat-1,extrapolation_grouped,42,1,rd,mlp_paper_sqrt,mlp,all,2005,526,52,14,-0.14052325809325605,0.012744270114501674,0.007923953673281837,804.9476328421031,-0.005464905386173693,1.6062255789535447,-0.5159149162665084,0.015057913994685538,0.00845494337825567,1108.7788950753425,-0.0007802268840785946,1.6673292609869734,"{""activation"": ""relu"", ""alpha"": 0.001, ""batch_size"": 32, ""hidden_layer_sizes"": [100, 50], ""learning_rate_init"": 0.01}"
extrapolation_grouped__seed-42__repeat-1,extrapolation_grouped,42,1,rd_bt,mlp_paper_sqrt,mlp,all,3005,526,52,14,0.025528386897803013,0.011780059686936429,0.006599766671970245,466.5528910699065,-0.0024231914056018133,1.484701204600656,-0.5159149162665084,0.015057913994685538,0.00845494337825567,1108.7788950753425,-0.0007802268840785946,1.6673292609869734,"{""activation"": ""relu"", ""alpha"": 0.001, ""batch_size"": 32, ""hidden_layer_sizes"": [100, 50], ""learning_rate_init"": 0.01}"
interpolation_random__seed-43__repeat-2,interpolation_random,43,2,rd,mlp_paper_sqrt,mlp,all,2024,507,65,61,0.5634528215905639,0.011165814616932014,0.005838029108833396,426.5824453069252,-0.0018319148904573047,1.2904013190575307,0.48524007518148293,0.011982924402524658,0.006414156355585368,1094.1905336101406,0.0005311321144557776,1.358953428546449,"{""activation"": ""relu"", ""alpha"": 0.0001, ""batch_size"": 64, ""hidden_layer_sizes"": [256, 128], ""learning_rate_init"": 0.01}"
interpolation_random__seed-43__repeat-2,interpolation_random,43,2,rd_bt,mlp_paper_sqrt,mlp,all,3024,507,65,61,0.5696354700766625,0.011086464110125286,0.007219728258607186,1067.468981231897,0.0026395429851611457,1.281231007516086,0.48524007518148293,0.011982924402524658,0.006414156355585368,1094.1905336101406,0.0005311321144557776,1.358953428546449,"{""activation"": ""relu"", ""alpha"": 0.0001, ""batch_size"": 64, ""hidden_layer_sizes"": [256, 128], ""learning_rate_init"": 0.01}"
extrapolation_grouped__seed-43__repeat-2,extrapolation_grouped,43,2,rd,mlp_paper_sqrt,mlp,all,1954,577,52,14,0.08418151138238239,0.017226888896726154,0.007020503538358357,473.56565963573115,-0.003983072419285361,2.0098135737199447,0.2048346854975432,0.013511908023837888,0.007335799122802496,964.3845092671327,0.0006403659722119036,1.5977591003109108,"{""activation"": ""relu"", ""alpha"": 0.001, ""batch_size"": 128, ""hidden_layer_sizes"": [100, 50], ""learning_rate_init"": 0.005}"
extrapolation_grouped__seed-43__repeat-2,extrapolation_grouped,43,2,rd_bt,mlp_paper_sqrt,mlp,all,2954,577,52,14,0.0038736949794377917,0.01796632922854923,0.008537425520160789,504.64514025791516,-0.0056637127584136335,2.0960820360501584,0.2048346854975432,0.013511908023837888,0.007335799122802496,964.3845092671327,0.0006403659722119036,1.5977591003109108,"{""activation"": ""relu"", ""alpha"": 0.001, ""batch_size"": 128, ""hidden_layer_sizes"": [100, 50], ""learning_rate_init"": 0.005}"
interpolation_random__seed-44__repeat-3,interpolation_random,44,3,rd,mlp_paper_sqrt,mlp,all,2024,507,66,61,0.5854553001179119,0.011321847768913108,0.005224618097483171,1015.5183109934894,-0.0018906740824328608,1.2413259761817526,0.6726019803728056,0.009557199096554746,0.005207380198931229,627.051703873868,0.0009766919870324285,1.0995469444143324,"{""activation"": ""relu"", ""alpha"": 0.0001, ""batch_size"": 32, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.001}"
interpolation_random__seed-44__repeat-3,interpolation_random,44,3,rd_bt,mlp_paper_sqrt,mlp,all,3024,507,66,61,0.622176419400021,0.010808767059989637,0.0052791728849288745,371.6046002039406,-0.0027776266402194253,1.185071871298518,0.6726019803728056,0.009557199096554746,0.005207380198931229,627.051703873868,0.0009766919870324285,1.0995469444143324,"{""activation"": ""relu"", ""alpha"": 0.0001, ""batch_size"": 32, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.001}"
extrapolation_grouped__seed-44__repeat-3,extrapolation_grouped,44,3,rd,mlp_paper_sqrt,mlp,all,1910,621,52,14,0.25969278144645813,0.01263865704179659,0.00904424215261571,2754.303939483103,0.0032152016668922706,1.4945825609232792,-0.5375419734253141,0.0159899722823434,0.008905996164775363,1683.3980611696436,0.0010108053247553429,2.0503455055185613,"{""activation"": ""tanh"", ""alpha"": 0.001, ""batch_size"": 64, ""hidden_layer_sizes"": [64, 64, 32], ""learning_rate_init"": 0.005}"
extrapolation_grouped__seed-44__repeat-3,extrapolation_grouped,44,3,rd_bt,mlp_paper_sqrt,mlp,all,2910,621,52,14,-0.12706489817085553,0.015594426189905896,0.012784481482247367,4938.31637804694,0.008611345419514919,1.8441166141276581,-0.5375419734253141,0.0159899722823434,0.008905996164775363,1683.3980611696436,0.0010108053247553429,2.0503455055185613,"{""activation"": ""tanh"", ""alpha"": 0.001, ""batch_size"": 64, ""hidden_layer_sizes"": [64, 64, 32], ""learning_rate_init"": 0.005}"
interpolation_random__seed-45__repeat-4,interpolation_random,45,4,rd,mlp_paper_sqrt,mlp,all,2024,507,66,62,0.6984330430787148,0.009957663040791619,0.005229608462056259,595.6492794273565,-0.0024782749536705504,1.105864130184032,0.7343072949242894,0.008752755073284598,0.0044389518344965535,502.2511894409956,0.00028026758004677944,1.0048466706505148,"{""activation"": ""relu"", ""alpha"": 0.0001, ""batch_size"": 64, ""hidden_layer_sizes"": [100, 50], ""learning_rate_init"": 0.001}"
interpolation_random__seed-45__repeat-4,interpolation_random,45,4,rd_bt,mlp_paper_sqrt,mlp,all,3024,507,66,62,0.7365123238105653,0.009307771280535372,0.0046425545445106615,504.14864682424155,-0.0018761735030131403,1.0336893655605035,0.7343072949242894,0.008752755073284598,0.0044389518344965535,502.2511894409956,0.00028026758004677944,1.0048466706505148,"{""activation"": ""relu"", ""alpha"": 0.0001, ""batch_size"": 64, ""hidden_layer_sizes"": [100, 50], ""learning_rate_init"": 0.001}"
extrapolation_grouped__seed-45__repeat-4,extrapolation_grouped,45,4,rd,mlp_paper_sqrt,mlp,all,1998,533,52,14,-0.031113556350056415,0.015165088960009126,0.011637302701137749,2061.5279955328742,0.005267585120425327,1.423967066337032,0.09907049267272336,0.015579589150291912,0.008919481302677936,1976.8556423663126,0.00020799275300025714,1.9961445500512922,"{""activation"": ""tanh"", ""alpha"": 0.001, ""batch_size"": 32, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.005}"
extrapolation_grouped__seed-45__repeat-4,extrapolation_grouped,45,4,rd_bt,mlp_paper_sqrt,mlp,all,2998,533,52,14,-0.3244454829987622,0.01718734351881455,0.011942083633774943,2106.8654243634446,0.006463923460373455,1.6138521305844307,0.09907049267272336,0.015579589150291912,0.008919481302677936,1976.8556423663126,0.00020799275300025714,1.9961445500512922,"{""activation"": ""tanh"", ""alpha"": 0.001, ""batch_size"": 32, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.005}"
interpolation_random__seed-46__repeat-5,interpolation_random,46,5,rd,mlp_paper_sqrt,mlp,all,2024,507,66,58,0.6181471243280678,0.011002190170589295,0.0057733502106374415,337.0153949522912,9.963232624283899e-05,1.2279446349454881,0.6593035608461063,0.0099060875273948,0.005343332670974272,692.2252658526199,-0.0011560722654003768,1.1372811982960405,"{""activation"": ""relu"", ""alpha"": 0.0001, ""batch_size"": 128, ""hidden_layer_sizes"": [64, 64, 32], ""learning_rate_init"": 0.005}"
interpolation_random__seed-46__repeat-5,interpolation_random,46,5,rd_bt,mlp_paper_sqrt,mlp,all,3024,507,66,58,0.5770211726817358,0.01157951658258433,0.005242970780107162,522.8352094960412,-0.0023925764221223384,1.2923795210208722,0.6593035608461063,0.0099060875273948,0.005343332670974272,692.2252658526199,-0.0011560722654003768,1.1372811982960405,"{""activation"": ""relu"", ""alpha"": 0.0001, ""batch_size"": 128, ""hidden_layer_sizes"": [64, 64, 32], ""learning_rate_init"": 0.005}"
extrapolation_grouped__seed-46__repeat-5,extrapolation_grouped,46,5,rd,mlp_paper_sqrt,mlp,all,2001,530,52,14,0.15109908983651,0.012953917209616724,0.008602955000175902,2463.366062114719,0.001398075261734567,1.4543247163821518,0.1549496850779966,0.015643620564490996,0.00890938915886225,1379.0680056936944,0.0006559466206452573,1.8458624660169356,"{""activation"": ""tanh"", ""alpha"": 0.001, ""batch_size"": 32, ""hidden_layer_sizes"": [64, 64, 32], ""learning_rate_init"": 0.001}"
extrapolation_grouped__seed-46__repeat-5,extrapolation_grouped,46,5,rd_bt,mlp_paper_sqrt,mlp,all,3001,530,52,14,-0.015981269388858577,0.014171488482788227,0.01053917620002858,3284.6892120748407,0.0032862746591851956,1.5910203558459919,0.1549496850779966,0.015643620564490996,0.00890938915886225,1379.0680056936944,0.0006559466206452573,1.8458624660169356,"{""activation"": ""tanh"", ""alpha"": 0.001, ""batch_size"": 32, ""hidden_layer_sizes"": [64, 64, 32], ""learning_rate_init"": 0.001}"
interpolation_random__seed-47__repeat-6,interpolation_random,47,6,rd,mlp_paper_sqrt,mlp,all,2024,507,66,60,0.7972279838714954,0.00855847898155727,0.0045316032928651604,343.0602144579261,0.00024401068896466683,0.9155442741199422,0.6398064128379752,0.009878201207809561,0.004758745054555823,369.595366374081,-0.0020049169352418994,1.1314797251086115,"{""activation"": ""relu"", ""alpha"": 0.0001, ""batch_size"": 32, ""hidden_layer_sizes"": [64, 64, 32], ""learning_rate_init"": 0.001}"
interpolation_random__seed-47__repeat-6,interpolation_random,47,6,rd_bt,mlp_paper_sqrt,mlp,all,3024,507,66,60,0.7115890484490248,0.010207007937223022,0.004828743202221934,194.92697453633866,-0.0036868792995334377,1.0918958488954498,0.6398064128379752,0.009878201207809561,0.004758745054555823,369.595366374081,-0.0020049169352418994,1.1314797251086115,"{""activation"": ""relu"", ""alpha"": 0.0001, ""batch_size"": 32, ""hidden_layer_sizes"": [64, 64, 32], ""learning_rate_init"": 0.001}"
extrapolation_grouped__seed-47__repeat-6,extrapolation_grouped,47,6,rd,mlp_paper_sqrt,mlp,all,2109,422,52,14,0.051171279946380266,0.018019652816880893,0.0072534424596085645,719.7594843576514,-0.004350889186881023,2.0910217917428553,0.24910831858888746,0.013712142075010935,0.0076675947288429025,1182.8088635806293,-0.0018786961998910727,1.5917817749001941,"{""activation"": ""relu"", ""alpha"": 0.001, ""batch_size"": 64, ""hidden_layer_sizes"": [100, 50], ""learning_rate_init"": 0.01}"
extrapolation_grouped__seed-47__repeat-6,extrapolation_grouped,47,6,rd_bt,mlp_paper_sqrt,mlp,all,3109,422,52,14,0.12709692313408683,0.01728365228155609,0.010992772161243086,4824.26479643445,0.005324228581024855,2.005615420502626,0.24910831858888746,0.013712142075010935,0.0076675947288429025,1182.8088635806293,-0.0018786961998910727,1.5917817749001941,"{""activation"": ""relu"", ""alpha"": 0.001, ""batch_size"": 64, ""hidden_layer_sizes"": [100, 50], ""learning_rate_init"": 0.01}"
interpolation_random__seed-48__repeat-7,interpolation_random,48,7,rd,mlp_paper_sqrt,mlp,all,2024,507,66,62,0.709386720049338,0.010034903433101408,0.0052795594336383445,640.90412769995,0.0017952397273119384,1.1003183588926984,0.6867358316882293,0.009179702990515794,0.0049420901277243984,599.6475650496819,0.0006401650398297272,1.0573545769473451,"{""activation"": ""relu"", ""alpha"": 0.0001, ""batch_size"": 64, ""hidden_layer_sizes"": [256, 128], ""learning_rate_init"": 0.001}"
