model_id,model_family,feature_set,protocol,augmentation,paper_id,paper_label,n_predictions,n_unique_rows,R2,RMSE,MAE,MAPE,MBE,NRMSE,n
mlp_paper_sqrt,mlp,all,extrapolation_grouped,rd,doi::10.1016/j.combustflame.2020.12.005,"Carney, Ama, Yanjun Li, Ya-Ting Liao, Sandra Olson, and Paul Ferkul. ""Concurrent-flow flame spread over thin discrete fu",16,8,-14.025814879524875,0.13623743182375797,0.13146191240288319,93.35390440588667,-0.13146191240288319,0.9731245130268426,16
mlp_paper_sqrt,mlp,all,extrapolation_grouped,rd,citation::andracchio charles r and thomas h cochran burning of solids in oxygen rich environments in normal and reduced gravity nasa technical memorandum x 3055 national aeronautics and space administration may 1974,"Andracchio, Charles R., and Thomas H. Cochran. Burning of Solids in Oxygen-Rich Environments in Normal and Reduced Gravi",36,18,-21.269694088337722,0.13396808908742328,0.08284359064863789,148.93452885211937,0.06166362809720966,2.8844803870497837,36
mlp_paper_sqrt,mlp,all,extrapolation_grouped,rd,doi::10.1007/s10694-019-00878-w,"Vetturini, Anthony, Wohan Cui, Ya-Ting Liao, Sandra Olson, and Paul Ferkul. ""Flame Spread Over Ultra-thin Solids: Effect",44,11,-1.9081371448073892,0.09182458700236076,0.07480595690567385,95.9556180945421,-0.07424595611048015,1.1651522171253528,44
mlp_paper_sqrt,mlp,all,extrapolation_grouped,rd,citation::andracchio charles r and thomas h cochran gravity effects on flame spreading over solid surfaces nasa technical note d 8228 national aeronautics and space administration may 1976,"Andracchio, Charles R., and Thomas H. Cochran. Gravity Effects on Flame Spreading over Solid Surfaces. NASA Technical No",134,67,-0.5825722882291104,0.02840714943812161,0.020622440449921276,56.449083187368785,-0.019391840640516647,0.8964622544176667,134
mlp_paper_sqrt,mlp,all,extrapolation_grouped,rd,doi::10.1016/j.combustflame.2022.112009,"Rojas-Alva, Ulises, Frederik Møller-Poulsen, Sze-Lok Man, Cameron Creamer, David Hanna, and Grunde Jomaas. ""Flame Spread",90,45,-79.13727432995962,0.02408037697745326,0.021773334344615536,2146.439125862875,0.021773334344615536,11.380140348512885,90
mlp_paper_sqrt,mlp,all,extrapolation_grouped,rd,doi::10.1080/00102200490276773,"Olson, Sandra L., et al. “Sounding Rocket Microgravity Experiments Elucidating Diffusive and Radiative Transport Effects",162,54,-1.124663510589508,0.023117537027887106,0.018179904221895117,88.44935445877877,-0.006630750366884432,0.8659454769047613,162
mlp_paper_sqrt,mlp,all,extrapolation_grouped,rd,citation::son youngjin paul d ronney and suleyman gokoglu comparison of carbon dioxide and helium as fire extinguishing agents for spacecraft nasa cp 2004 213205 vol2 2004 pp 409 418,"Son, Youngjin, Paul D. Ronney, and Suleyman Gokoglu. ""Comparison of Carbon Dioxide and Helium as Fire Extinguishing Agen",89,89,-0.04725791847231431,0.02110932447869158,0.01491522188813499,85.88673428496206,-0.005505164928489858,0.792759858642937,89
mlp_paper_sqrt,mlp,all,extrapolation_grouped,rd,doi::10.1016/s1540-7489(02)80315-7,"Son, Youngjin, and Paul D. Ronney. ""Radiation-Driven Flame Spread over Thermally Thick Fuels in Quiescent 0 Environments",80,40,-0.24313900235267516,0.019913775495432155,0.016162438950762154,92.2660273837468,-0.008882944602869449,0.6967670155240824,80
mlp_paper_sqrt,mlp,all,extrapolation_grouped,rd,doi::10.1016/j.combustflame.2009.01.015,"Olson, Sandra L., et al. “Experimental Comparison of Opposed and Concurrent Flame Spread in a Forced Convective 0 Enviro",208,52,-1.214629339826216,0.019102763732786254,0.014861297069869649,79.62195617415514,-0.011529868655594496,0.8976538171921968,208
mlp_paper_sqrt,mlp,all,extrapolation_grouped,rd,doi::10.1016/j.combustflame.2022.112559,"Olson, Sandra L., et al. “The Effect of Duct Size, Sample Size, and Fuel Composition on Concurrent Flame Spread over Lar",16,8,-304.7424731710021,0.0173758652232447,0.01360502968020737,531.4483764590212,0.009977733128890396,5.890123804489729,16
