split_id,protocol,seed,repeat,model_id,selected_hyperparameters,cv_R2,cv_RMSE,cv_MAE,cv_MAPE,cv_MBE,cv_NRMSE
interpolation_random__seed-42__repeat-1,interpolation_random,42,1,rf_absoluteerror_inverse,"{""max_depth"": null, ""max_features"": 0.8, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 100}",0.8676784658316878,0.006230124356986665,0.00209437191107444,72.44411924358826,-1.5581802652487913e-05,0.7067347077681199
extrapolation_grouped__seed-42__repeat-1,extrapolation_grouped,42,1,rf_absoluteerror_inverse,"{""max_depth"": 6, ""max_features"": 0.5, ""min_samples_leaf"": 16, ""min_samples_split"": 10, ""n_estimators"": 300}",-0.027003139445840717,0.012000078220081627,0.005071302950115736,265.4264740587315,-0.0011477011719513497,1.3276147523171236
interpolation_random__seed-43__repeat-2,interpolation_random,43,2,rf_absoluteerror_inverse,"{""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 1, ""min_samples_split"": 5, ""n_estimators"": 100}",0.8440144610714096,0.006549986354749168,0.0021089517523530123,98.04583358436386,-2.4691878743429664e-05,0.7459180794701081
extrapolation_grouped__seed-43__repeat-2,extrapolation_grouped,43,2,rf_absoluteerror_inverse,"{""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 200}",0.46954785055578235,0.011771416399945129,0.004952525144464505,280.74192155581056,-0.001381556460005285,1.3295611676184849
interpolation_random__seed-44__repeat-3,interpolation_random,44,3,rf_absoluteerror_inverse,"{""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 5, ""n_estimators"": 500}",0.8262971446027907,0.006539825322288287,0.0022278256582324895,77.20940212880478,-6.0445107590757634e-05,0.7530951798379324
extrapolation_grouped__seed-44__repeat-3,extrapolation_grouped,44,3,rf_absoluteerror_inverse,"{""max_depth"": 8, ""max_features"": 1.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 200}",0.38325468539807306,0.012511404817357833,0.005065512902232993,329.1657071548901,0.00025413436932036145,1.5138110697517133
interpolation_random__seed-45__repeat-4,interpolation_random,45,4,rf_absoluteerror_inverse,"{""max_depth"": 12, ""max_features"": 0.8, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 500}",0.9061282500573071,0.0051548344939651575,0.0019628670372326116,87.15729714451712,-9.727664901601099e-05,0.587654862343597
extrapolation_grouped__seed-45__repeat-4,extrapolation_grouped,45,4,rf_absoluteerror_inverse,"{""max_depth"": null, ""max_features"": ""log2"", ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""n_estimators"": 100}",0.5529382203358655,0.0113959859110434,0.004238920352376422,144.09655230585332,-0.0005408014241756606,1.4415650377371727
interpolation_random__seed-46__repeat-5,interpolation_random,46,5,rf_absoluteerror_inverse,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 100}",0.8413461146516676,0.006604617643072396,0.0022343199872264996,77.4442380840569,-1.5723028908446307e-05,0.7554687340414588
extrapolation_grouped__seed-46__repeat-5,extrapolation_grouped,46,5,rf_absoluteerror_inverse,"{""max_depth"": 8, ""max_features"": 1.0, ""min_samples_leaf"": 1, ""min_samples_split"": 5, ""n_estimators"": 300}",0.1885033140259906,0.014434120467321246,0.005938477905276733,181.2520910687098,-0.0002790468523098082,1.646753780290852
