split_id,protocol,seed,repeat,augmentation,model_id,model_family,feature_set,n_train_rows,n_test_rows,n_train_papers,n_test_papers,R2,RMSE,MAE,MAPE,MBE,NRMSE,cv_R2,cv_RMSE,cv_MAE,cv_MAPE,cv_MBE,cv_NRMSE,selected_hyperparameters
interpolation_random__seed-42__repeat-1,interpolation_random,42,1,rd,rf_baseline,random_forest,all,2024,507,65,60,0.8532439025076363,0.006458861984886943,0.0020602751371442294,102.46599285192084,0.0003834263137433638,0.7563489484651208,0.8849773544160294,0.005693657550580421,0.002123303546095833,112.46912979884982,2.3292647753833055e-05,0.6441936142834179,"{""max_depth"": 10, ""max_features"": 0.8, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 500}"
interpolation_random__seed-42__repeat-1,interpolation_random,42,1,rd_bt,rf_baseline,random_forest,all,3024,507,65,60,0.8582443915785372,0.0063478704130072484,0.002033338146568935,98.00524739418442,0.0003119015077197462,0.7433515568385265,0.8849773544160294,0.005693657550580421,0.002123303546095833,112.46912979884982,2.3292647753833055e-05,0.6441936142834179,"{""max_depth"": 10, ""max_features"": 0.8, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 500}"
extrapolation_grouped__seed-42__repeat-1,extrapolation_grouped,42,1,rd,rf_baseline,random_forest,all,2005,526,52,14,0.16274696239706354,0.01091921106021772,0.006131206376393818,145.32757663999206,0.0013057024416484868,1.3762040469431742,0.2552056869446523,0.01080081599173767,0.004531500039131926,198.41462484884022,-0.0010404853950588776,1.1236452144260265,"{""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 8, ""min_samples_split"": 10, ""n_estimators"": 200}"
extrapolation_grouped__seed-42__repeat-1,extrapolation_grouped,42,1,rd_bt,rf_baseline,random_forest,all,3005,526,52,14,0.03188779782860485,0.011741558378875278,0.006603365943708315,155.99825090774786,0.001206920750549077,1.4798486877224535,0.2552056869446523,0.01080081599173767,0.004531500039131926,198.41462484884022,-0.0010404853950588776,1.1236452144260265,"{""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 8, ""min_samples_split"": 10, ""n_estimators"": 200}"
interpolation_random__seed-43__repeat-2,interpolation_random,43,2,rd,rf_baseline,random_forest,all,2024,507,65,61,0.8942035097657264,0.005496806517957752,0.0021605439926246296,75.61000712722725,-8.773089535878282e-05,0.6352502369706775,0.8605543116441373,0.006421239264286467,0.0023506287370116605,112.70042457419508,-4.762359817542001e-06,0.7346379167442931,"{""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 300}"
interpolation_random__seed-43__repeat-2,interpolation_random,43,2,rd_bt,rf_baseline,random_forest,all,3024,507,65,61,0.8951282914827414,0.005472729615531059,0.002161902538461289,76.55940310654304,-6.907877571258044e-05,0.6324677380920815,0.8605543116441373,0.006421239264286467,0.0023506287370116605,112.70042457419508,-4.762359817542001e-06,0.7346379167442931,"{""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 300}"
extrapolation_grouped__seed-43__repeat-2,extrapolation_grouped,43,2,rd,rf_baseline,random_forest,all,1954,577,52,14,0.6390495523353507,0.01081498550605184,0.0033715421317224723,125.80964112121977,-0.00048157997466304075,1.2617545048298444,0.4609276578535827,0.011597184095278388,0.005005090644954397,309.96791555934084,-0.0012377187301529486,1.3494924790100746,"{""max_depth"": 8, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 300}"
extrapolation_grouped__seed-43__repeat-2,extrapolation_grouped,43,2,rd_bt,rf_baseline,random_forest,all,2954,577,52,14,0.6509757129377896,0.010634815838250053,0.003372533799436457,124.38155439652287,-0.00038024147205867657,1.240734607035678,0.4609276578535827,0.011597184095278388,0.005005090644954397,309.96791555934084,-0.0012377187301529486,1.3494924790100746,"{""max_depth"": 8, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 300}"
interpolation_random__seed-44__repeat-3,interpolation_random,44,3,rd,rf_baseline,random_forest,all,2024,507,66,61,0.8690975127249327,0.0063621745057478975,0.0021048733875520696,68.09795795887062,0.0004862265745217964,0.6975480186786089,0.8693610397285714,0.006142536735251266,0.0019566598110601634,62.43413359779165,-1.5344573553920582e-05,0.7070362251488688,"{""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 100}"
interpolation_random__seed-44__repeat-3,interpolation_random,44,3,rd_bt,rf_baseline,random_forest,all,3024,507,66,61,0.8627577233123218,0.006514417443003902,0.002166354207573758,68.18150760677216,0.0004115908448177348,0.714239915316275,0.8693610397285714,0.006142536735251266,0.0019566598110601634,62.43413359779165,-1.5344573553920582e-05,0.7070362251488688,"{""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 100}"
extrapolation_grouped__seed-44__repeat-3,extrapolation_grouped,44,3,rd,rf_baseline,random_forest,all,1910,621,52,14,0.5325467002890207,0.010043013627161996,0.004911417301968711,121.1968286300121,-0.0012240911144969068,1.1876351242566414,0.0628086824163665,0.01302361763377859,0.005937621798456754,461.9550538266491,0.0009065481209365184,1.6696469703207797,"{""max_depth"": 12, ""max_features"": 0.5, ""min_samples_leaf"": 8, ""min_samples_split"": 2, ""n_estimators"": 500}"
extrapolation_grouped__seed-44__repeat-3,extrapolation_grouped,44,3,rd_bt,rf_baseline,random_forest,all,2910,621,52,14,0.5813243432101389,0.009504598859368848,0.004577743277910254,111.42831997496762,-0.0014178430788244077,1.1239649637462328,0.0628086824163665,0.01302361763377859,0.005937621798456754,461.9550538266491,0.0009065481209365184,1.6696469703207797,"{""max_depth"": 12, ""max_features"": 0.5, ""min_samples_leaf"": 8, ""min_samples_split"": 2, ""n_estimators"": 500}"
interpolation_random__seed-45__repeat-4,interpolation_random,45,4,rd,rf_baseline,random_forest,all,2024,507,66,62,0.8755732481229117,0.006396205835697801,0.0019125360277345922,54.786862578594345,-0.0003216962206180836,0.7103408273603984,0.8516179031187325,0.006392960268005873,0.0020724216369061117,66.89524582820097,-3.907583277890394e-05,0.736071245984562,"{""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""n_estimators"": 200}"
interpolation_random__seed-45__repeat-4,interpolation_random,45,4,rd_bt,rf_baseline,random_forest,all,3024,507,66,62,0.8716754032446101,0.006495618399513073,0.0019769182786073505,52.86183695787244,-0.00029200730270503844,0.721381247985457,0.8516179031187325,0.006392960268005873,0.0020724216369061117,66.89524582820097,-3.907583277890394e-05,0.736071245984562,"{""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""n_estimators"": 200}"
extrapolation_grouped__seed-45__repeat-4,extrapolation_grouped,45,4,rd,rf_baseline,random_forest,all,1998,533,52,14,0.5246167361204046,0.010297069830835144,0.0062313160840852255,756.2690788870702,-0.00037692692485391906,0.9668712367957686,0.5005425436379385,0.011937262115889285,0.004735536905273387,269.53177895077886,-0.0003347839008903405,1.5271218288305104,"{""max_depth"": 8, ""max_features"": ""log2"", ""min_samples_leaf"": 4, ""min_samples_split"": 5, ""n_estimators"": 200}"
extrapolation_grouped__seed-45__repeat-4,extrapolation_grouped,45,4,rd_bt,rf_baseline,random_forest,all,2998,533,52,14,0.48768250535001845,0.010689596375358322,0.006443833612582278,616.6510793576076,-0.00032590826727522346,1.0037285789147656,0.5005425436379385,0.011937262115889285,0.004735536905273387,269.53177895077886,-0.0003347839008903405,1.5271218288305104,"{""max_depth"": 8, ""max_features"": ""log2"", ""min_samples_leaf"": 4, ""min_samples_split"": 5, ""n_estimators"": 200}"
interpolation_random__seed-46__repeat-5,interpolation_random,46,5,rd,rf_baseline,random_forest,all,2024,507,66,58,0.8647327258902947,0.006548283655669089,0.0020590358048264683,94.09812732326127,-0.00013980572319750745,0.7308481000969101,0.8834240259132129,0.005790281959771845,0.002096471288602065,87.92090076580136,-6.89267453727537e-06,0.6669095225939273,"{""max_depth"": 12, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 5, ""n_estimators"": 100}"
interpolation_random__seed-46__repeat-5,interpolation_random,46,5,rd_bt,rf_baseline,random_forest,all,3024,507,66,58,0.8539302369829012,0.006804735940006562,0.0020686390267466537,98.92924502587758,-9.072287645329745e-05,0.7594705108886742,0.8834240259132129,0.005790281959771845,0.002096471288602065,87.92090076580136,-6.89267453727537e-06,0.6669095225939273,"{""max_depth"": 12, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 5, ""n_estimators"": 100}"
extrapolation_grouped__seed-46__repeat-5,extrapolation_grouped,46,5,rd,rf_baseline,random_forest,all,2001,530,52,14,0.4737785335872686,0.010198983700757659,0.00510831218385873,695.0125701036364,0.001129838608711202,1.1450307916881795,0.3404485717438895,0.014149950489536794,0.00646560736707949,595.7544429365797,-0.0001891143244686241,1.5506227080422463,"{""max_depth"": 4, ""max_features"": 1.0, ""min_samples_leaf"": 8, ""min_samples_split"": 2, ""n_estimators"": 100}"
extrapolation_grouped__seed-46__repeat-5,extrapolation_grouped,46,5,rd_bt,rf_baseline,random_forest,all,3001,530,52,14,0.41038262559687944,0.010795872670602573,0.005405041840565549,700.8768104469468,0.0012145531085133528,1.2120429832696498,0.3404485717438895,0.014149950489536794,0.00646560736707949,595.7544429365797,-0.0001891143244686241,1.5506227080422463,"{""max_depth"": 4, ""max_features"": 1.0, ""min_samples_leaf"": 8, ""min_samples_split"": 2, ""n_estimators"": 100}"
interpolation_random__seed-47__repeat-6,interpolation_random,47,6,rd,rf_baseline,random_forest,all,2024,507,66,60,0.9064257423404761,0.005813943058847335,0.0020490484264779267,39.00662586419056,-0.0004696247696693958,0.6219472278961559,0.8719077633056556,0.005944378660035629,0.0020358161840678675,61.672777091483816,-6.125452508488483e-05,0.6881704493338108,"{""max_depth"": null, ""max_features"": ""log2"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 200}"
interpolation_random__seed-47__repeat-6,interpolation_random,47,6,rd_bt,rf_baseline,random_forest,all,3024,507,66,60,0.9068449987066781,0.005800903847230681,0.0019926208843014212,37.898687344355174,-0.00046599098126755983,0.620552356732671,0.8719077633056556,0.005944378660035629,0.0020358161840678675,61.672777091483816,-6.125452508488483e-05,0.6881704493338108,"{""max_depth"": null, ""max_features"": ""log2"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 200}"
extrapolation_grouped__seed-47__repeat-6,extrapolation_grouped,47,6,rd,rf_baseline,random_forest,all,2109,422,52,14,0.5338949374860618,0.012629740236871535,0.003773280909541787,303.3417890011846,-0.0013763184140115471,1.4655699711711325,0.5352727878728349,0.010959763188562613,0.004718317448596941,337.9527800214219,-0.0004693819275124221,1.249381847061348,"{""max_depth"": 8, ""max_features"": 0.5, ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""n_estimators"": 200}"
extrapolation_grouped__seed-47__repeat-6,extrapolation_grouped,47,6,rd_bt,rf_baseline,random_forest,all,3109,422,52,14,0.5367651789075216,0.012590793671144835,0.0036889267678191077,278.92853940421156,-0.001474510276288245,1.4610505656933654,0.5352727878728349,0.010959763188562613,0.004718317448596941,337.9527800214219,-0.0004693819275124221,1.249381847061348,"{""max_depth"": 8, ""max_features"": 0.5, ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""n_estimators"": 200}"
interpolation_random__seed-48__repeat-7,interpolation_random,48,7,rd,rf_baseline,random_forest,all,2024,507,66,62,0.8967477273474049,0.005981433508259326,0.002152117106526529,77.11595386495821,-2.8350938064336124e-05,0.6558589373091366,0.8588133030978595,0.006229572121954745,0.002091114354292154,93.83992555662576,-1.3290558660829374e-05,0.7156855988588786,"{""max_depth"": 12, ""max_features"": 0.8, ""min_samples_leaf"": 1, ""min_samples_split"": 5, ""n_estimators"": 200}"
interpolation_random__seed-48__repeat-7,interpolation_random,48,7,rd_bt,rf_baseline,random_forest,all,3024,507,66,62,0.8839410996899479,0.006341539401099912,0.0021836178462499647,69.3797693748586,0.0001249669141679288,0.6953442325767448,0.8588133030978595,0.006229572121954745,0.002091114354292154,93.83992555662576,-1.3290558660829374e-05,0.7156855988588786,"{""max_depth"": 12, ""max_features"": 0.8, ""min_samples_leaf"": 1, ""min_samples_split"": 5, ""n_estimators"": 200}"
extrapolation_grouped__seed-48__repeat-7,extrapolation_grouped,48,7,rd,rf_baseline,random_forest,all,1950,581,52,14,0.3542270951766088,0.016303779462694894,0.004796209623842545,263.4365053735405,-0.0018698397876838367,1.9761538506750391,-0.13293103588100502,0.011634249797376447,0.00565404889429986,417.3994085805145,-0.0006955868856648727,1.522857357690918,"{""max_depth"": 8, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""n_estimators"": 100}"
