split_id,protocol,seed,repeat,model_id,selected_hyperparameters,cv_R2,cv_RMSE,cv_MAE,cv_MAPE,cv_MBE,cv_NRMSE
interpolation_random__seed-42__repeat-1,interpolation_random,42,1,rf_baseline,"{""max_depth"": 10, ""max_features"": 0.8, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 500}",0.8849773544160294,0.005693657550580421,0.002123303546095833,112.46912979884982,2.3292647753833055e-05,0.6441936142834179
extrapolation_grouped__seed-42__repeat-1,extrapolation_grouped,42,1,rf_baseline,"{""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 8, ""min_samples_split"": 10, ""n_estimators"": 200}",0.2552056869446523,0.01080081599173767,0.004531500039131926,198.41462484884022,-0.0010404853950588776,1.1236452144260265
interpolation_random__seed-43__repeat-2,interpolation_random,43,2,rf_baseline,"{""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 300}",0.8605543116441373,0.006421239264286467,0.0023506287370116605,112.70042457419508,-4.762359817542001e-06,0.7346379167442931
extrapolation_grouped__seed-43__repeat-2,extrapolation_grouped,43,2,rf_baseline,"{""max_depth"": 8, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 300}",0.4609276578535827,0.011597184095278388,0.005005090644954397,309.96791555934084,-0.0012377187301529486,1.3494924790100746
interpolation_random__seed-44__repeat-3,interpolation_random,44,3,rf_baseline,"{""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 100}",0.8693610397285714,0.006142536735251266,0.0019566598110601634,62.43413359779165,-1.5344573553920582e-05,0.7070362251488688
extrapolation_grouped__seed-44__repeat-3,extrapolation_grouped,44,3,rf_baseline,"{""max_depth"": 12, ""max_features"": 0.5, ""min_samples_leaf"": 8, ""min_samples_split"": 2, ""n_estimators"": 500}",0.0628086824163665,0.01302361763377859,0.005937621798456754,461.9550538266491,0.0009065481209365184,1.6696469703207797
interpolation_random__seed-45__repeat-4,interpolation_random,45,4,rf_baseline,"{""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""n_estimators"": 200}",0.8516179031187325,0.006392960268005873,0.0020724216369061117,66.89524582820097,-3.907583277890394e-05,0.736071245984562
extrapolation_grouped__seed-45__repeat-4,extrapolation_grouped,45,4,rf_baseline,"{""max_depth"": 8, ""max_features"": ""log2"", ""min_samples_leaf"": 4, ""min_samples_split"": 5, ""n_estimators"": 200}",0.5005425436379385,0.011937262115889285,0.004735536905273387,269.53177895077886,-0.0003347839008903405,1.5271218288305104
interpolation_random__seed-46__repeat-5,interpolation_random,46,5,rf_baseline,"{""max_depth"": 12, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 5, ""n_estimators"": 100}",0.8834240259132129,0.005790281959771845,0.002096471288602065,87.92090076580136,-6.89267453727537e-06,0.6669095225939273
extrapolation_grouped__seed-46__repeat-5,extrapolation_grouped,46,5,rf_baseline,"{""max_depth"": 4, ""max_features"": 1.0, ""min_samples_leaf"": 8, ""min_samples_split"": 2, ""n_estimators"": 100}",0.3404485717438895,0.014149950489536794,0.00646560736707949,595.7544429365797,-0.0001891143244686241,1.5506227080422463
interpolation_random__seed-47__repeat-6,interpolation_random,47,6,rf_baseline,"{""max_depth"": null, ""max_features"": ""log2"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 200}",0.8719077633056556,0.005944378660035629,0.0020358161840678675,61.672777091483816,-6.125452508488483e-05,0.6881704493338108
