split_id,protocol,seed,repeat,model_id,selected_hyperparameters,cv_R2,cv_RMSE,cv_MAE,cv_MAPE,cv_MBE,cv_NRMSE
interpolation_random__seed-42__repeat-1,interpolation_random,42,1,rf_log_target_inverse,"{""max_depth"": null, ""max_features"": 0.8, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 200}",0.8631245059534003,0.006203972684758486,0.0021931292872704447,88.3630185321553,-8.926191754401463e-05,0.7024468778899001
extrapolation_grouped__seed-42__repeat-1,extrapolation_grouped,42,1,rf_log_target_inverse,"{""max_depth"": 10, ""max_features"": 0.8, ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""n_estimators"": 300}",-0.43522281303787,0.01324927106693049,0.006024756259957279,271.8163173360696,0.0005919294047720908,1.4236992736345833
interpolation_random__seed-43__repeat-2,interpolation_random,43,2,rf_log_target_inverse,"{""max_depth"": null, ""max_features"": 0.8, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 100}",0.815291315680005,0.007091818878769436,0.002130195162520679,76.86514229802569,-0.00019144900766065402,0.811654636325714
extrapolation_grouped__seed-43__repeat-2,extrapolation_grouped,43,2,rf_log_target_inverse,"{""max_depth"": 12, ""max_features"": 0.8, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 300}",0.42401955790231216,0.012046821991522906,0.00523675309182039,391.18983298523744,-0.0008028939166863549,1.41897525565055
interpolation_random__seed-44__repeat-3,interpolation_random,44,3,rf_log_target_inverse,"{""max_depth"": null, ""max_features"": 0.8, ""min_samples_leaf"": 1, ""min_samples_split"": 5, ""n_estimators"": 100}",0.8310325052260754,0.006900867840048615,0.0021858829714106846,76.1654693510371,2.111674231981644e-05,0.7901338497081489
extrapolation_grouped__seed-44__repeat-3,extrapolation_grouped,44,3,rf_log_target_inverse,"{""max_depth"": 10, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 200}",-0.057511552419051794,0.013093943511177496,0.005638749812967689,441.75020900376256,0.0010480189526261138,1.683366020313977
interpolation_random__seed-45__repeat-4,interpolation_random,45,4,rf_log_target_inverse,"{""max_depth"": 10, ""max_features"": 1.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 500}",0.8611482785470048,0.006024708660127703,0.002188580244897911,143.90040177532651,-0.00012414069836511884,0.6956229845292828
extrapolation_grouped__seed-45__repeat-4,extrapolation_grouped,45,4,rf_log_target_inverse,"{""max_depth"": 10, ""max_features"": ""log2"", ""min_samples_leaf"": 1, ""min_samples_split"": 5, ""n_estimators"": 300}",0.5088405796476833,0.011786681601581465,0.004465218318262763,260.46969393546505,-0.000428215256537156,1.5184949765834894
interpolation_random__seed-46__repeat-5,interpolation_random,46,5,rf_log_target_inverse,"{""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""min_samples_split"": 10, ""n_estimators"": 100}",0.870584425685645,0.006137453893781223,0.0023510085850973485,99.8685663856956,-0.00010852600248978778,0.7017456838616564
extrapolation_grouped__seed-46__repeat-5,extrapolation_grouped,46,5,rf_log_target_inverse,"{""max_depth"": null, ""max_features"": 0.8, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 300}",0.31372764391604013,0.013767484178138861,0.005623499226921401,153.43242068156536,0.00021579467699879532,1.5661965100493451
interpolation_random__seed-47__repeat-6,interpolation_random,47,6,rf_log_target_inverse,"{""max_depth"": 10, ""max_features"": 0.5, ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""n_estimators"": 300}",0.834054717516112,0.006761735442599422,0.002491711625025343,171.95923098852774,-2.9284431112498818e-05,0.7681031850434629
extrapolation_grouped__seed-47__repeat-6,extrapolation_grouped,47,6,rf_log_target_inverse,"{""max_depth"": 6, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 200}",0.5537170777017265,0.01086227967967467,0.004646569013315008,517.509296888838,-0.0010664973665011792,1.227505380981662
interpolation_random__seed-48__repeat-7,interpolation_random,48,7,rf_log_target_inverse,"{""max_depth"": null, ""max_features"": ""log2"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 500}",0.8404013079782487,0.006687913827257674,0.002266385248802732,79.61876237841865,-6.055263449424109e-05,0.7736947442832902
extrapolation_grouped__seed-48__repeat-7,extrapolation_grouped,48,7,rf_log_target_inverse,"{""max_depth"": 6, ""max_features"": ""log2"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 200}",-0.09602036317059919,0.011731612079176756,0.005891741460870076,694.9172102855285,-0.0005391503499300111,1.5273741385896606
interpolation_random__seed-49__repeat-8,interpolation_random,49,8,rf_log_target_inverse,"{""max_depth"": null, ""max_features"": 0.8, ""min_samples_leaf"": 1, ""min_samples_split"": 10, ""n_estimators"": 300}",0.8394930825516415,0.006381175977711849,0.00241695217074062,100.82825694394819,-4.889959511907157e-06,0.7533607365908315
extrapolation_grouped__seed-49__repeat-8,extrapolation_grouped,49,8,rf_log_target_inverse,"{""max_depth"": 12, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""n_estimators"": 500}",0.5401232029743304,0.0074997660832911385,0.003991079734253189,312.2278271823433,-0.0006216260854544832,0.8599685762397465
interpolation_random__seed-50__repeat-9,interpolation_random,50,9,rf_log_target_inverse,"{""max_depth"": 12, ""max_features"": 0.8, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 300}",0.8647006848827707,0.0063307256246912386,0.0021525771474253464,116.70348471164814,-0.00010307502575341741,0.7073761539260494
extrapolation_grouped__seed-50__repeat-9,extrapolation_grouped,50,9,rf_log_target_inverse,"{""max_depth"": 10, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 5, ""n_estimators"": 500}",0.37137278833574705,0.011090890578385307,0.00523168134991858,192.92350483695344,-0.001587418022775671,1.2477041962716278
interpolation_random__seed-51__repeat-10,interpolation_random,51,10,rf_log_target_inverse,"{""max_depth"": 12, ""max_features"": 1.0, ""min_samples_leaf"": 1, ""min_samples_split"": 5, ""n_estimators"": 200}",0.8812341749221748,0.00572111502958216,0.0020996733729199872,101.15944393294009,-5.37589257845386e-06,0.6576086390595517
extrapolation_grouped__seed-51__repeat-10,extrapolation_grouped,51,10,rf_log_target_inverse,"{""max_depth"": 10, ""max_features"": ""log2"", ""min_samples_leaf"": 1, ""min_samples_split"": 10, ""n_estimators"": 100}",0.40543938389237066,0.012690243747119023,0.005652806299314815,452.6034679671546,-0.0003972124831505137,1.4548175909176306
