split_id,protocol,seed,repeat,augmentation,model_id,model_family,feature_set,n_train_rows,n_test_rows,n_train_papers,n_test_papers,R2,RMSE,MAE,MAPE,MBE,NRMSE,cv_R2,cv_RMSE,cv_MAE,cv_MAPE,cv_MBE,cv_NRMSE,selected_hyperparameters
interpolation_random__seed-42__repeat-1,interpolation_random,42,1,rd,rf_log_target_sqrt,random_forest,all,2024,507,65,60,0.84245548488786,0.006692056071024599,0.002014657433305059,93.31619897802548,0.00034823666173267764,0.783656561207304,0.8279045886210724,0.006965831634156687,0.0023485954738419307,105.10467853745149,-0.00021007433225519995,0.787979497478932,"{""max_depth"": 12, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 5, ""n_estimators"": 500}"
interpolation_random__seed-42__repeat-1,interpolation_random,42,1,rd_bt,rf_log_target_sqrt,random_forest,all,3024,507,65,60,0.8379157886350269,0.006787788212649119,0.001964406923191268,93.73254019453776,0.0003559427425003725,0.7948670352538844,0.8279045886210724,0.006965831634156687,0.0023485954738419307,105.10467853745149,-0.00021007433225519995,0.787979497478932,"{""max_depth"": 12, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 5, ""n_estimators"": 500}"
extrapolation_grouped__seed-42__repeat-1,extrapolation_grouped,42,1,rd,rf_log_target_sqrt,random_forest,all,2005,526,52,14,0.23930058041475688,0.01040805161230899,0.005591732550318615,157.51626607640264,0.001289728150823347,1.311780005960198,0.06079680817147635,0.0114266796106409,0.004736697114456049,187.46412891045054,-0.0007332730049297877,1.19476150613478,"{""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 300}"
extrapolation_grouped__seed-42__repeat-1,extrapolation_grouped,42,1,rd_bt,rf_log_target_sqrt,random_forest,all,3005,526,52,14,0.23480218156445343,0.010438780276736411,0.0055073934309911015,160.32611002811555,0.0016693081441919357,1.3156528967861891,0.06079680817147635,0.0114266796106409,0.004736697114456049,187.46412891045054,-0.0007332730049297877,1.19476150613478,"{""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 300}"
interpolation_random__seed-43__repeat-2,interpolation_random,43,2,rd,rf_log_target_sqrt,random_forest,all,2024,507,65,61,0.8834737548944417,0.005768816123814884,0.002112105028453845,63.69833741689972,-4.4082905038330075e-06,0.6666856105852544,0.8492740692973282,0.006497264904325936,0.0021698166284178236,120.81933831326758,-3.2960072166690216e-05,0.7384415715003796,"{""max_depth"": 12, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 5, ""n_estimators"": 500}"
interpolation_random__seed-43__repeat-2,interpolation_random,43,2,rd_bt,rf_log_target_sqrt,random_forest,all,3024,507,65,61,0.886966499698712,0.00568170143716721,0.0020785029401551905,58.13636247819377,4.598427630024146e-06,0.6566180149448094,0.8492740692973282,0.006497264904325936,0.0021698166284178236,120.81933831326758,-3.2960072166690216e-05,0.7384415715003796,"{""max_depth"": 12, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 5, ""n_estimators"": 500}"
extrapolation_grouped__seed-43__repeat-2,extrapolation_grouped,43,2,rd,rf_log_target_sqrt,random_forest,all,1954,577,52,14,0.5080967430867529,0.012625308484197044,0.0038148176963617147,149.3124803891527,-1.834595898637549e-05,1.472959889394947,0.5139653319505202,0.011112024113555486,0.0048631892794492575,405.328540953716,-0.0008383576794173508,1.28464156500569,"{""max_depth"": 8, ""max_features"": 0.8, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 200}"
extrapolation_grouped__seed-43__repeat-2,extrapolation_grouped,43,2,rd_bt,rf_log_target_sqrt,random_forest,all,2954,577,52,14,0.45671912477144816,0.013268271753214784,0.003989277158125585,154.06973605161062,-3.2962767783636704e-05,1.5479726391271857,0.5139653319505202,0.011112024113555486,0.0048631892794492575,405.328540953716,-0.0008383576794173508,1.28464156500569,"{""max_depth"": 8, ""max_features"": 0.8, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 200}"
interpolation_random__seed-44__repeat-3,interpolation_random,44,3,rd,rf_log_target_sqrt,random_forest,all,2024,507,66,61,0.8508946084919534,0.006790133319304969,0.0024162254062450304,160.4985404532853,0.00042401676789278906,0.744469369578853,0.8711997607617084,0.006009961247033424,0.0022674264711393553,118.34963073238684,-5.3587483514920865e-05,0.686871966779126,"{""max_depth"": 12, ""max_features"": ""log2"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 200}"
interpolation_random__seed-44__repeat-3,interpolation_random,44,3,rd_bt,rf_log_target_sqrt,random_forest,all,3024,507,66,61,0.8549215557991352,0.006697813839980833,0.002398955162738254,166.63285867185286,0.00047538180383967357,0.7343474733891442,0.8711997607617084,0.006009961247033424,0.0022674264711393553,118.34963073238684,-5.3587483514920865e-05,0.686871966779126,"{""max_depth"": 12, ""max_features"": ""log2"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 200}"
