model_id,model_family,feature_set,protocol,augmentation,paper_id,paper_label,n_predictions,n_unique_rows,R2,RMSE,MAE,MAPE,MBE,NRMSE,n
rf_log_target_sqrt,random_forest,all,extrapolation_grouped,rd,doi::10.1016/j.combustflame.2020.12.005,"Carney, Ama, Yanjun Li, Ya-Ting Liao, Sandra Olson, and Paul Ferkul. ""Concurrent-flow flame spread over thin discrete fu",16,8,-12.503787412129306,0.12915321676533156,0.12163357369161794,84.71147998359478,-0.12163357369161794,0.9225229768952253,16
rf_log_target_sqrt,random_forest,all,extrapolation_grouped,rd,doi::10.1007/s10694-019-00878-w,"Vetturini, Anthony, Wohan Cui, Ya-Ting Liao, Sandra Olson, and Paul Ferkul. ""Flame Spread Over Ultra-thin Solids: Effect",44,11,-1.171014949487963,0.07933831067066134,0.06717585008185163,374.3476461967403,-0.03629565905041569,1.00671521210898,44
rf_log_target_sqrt,random_forest,all,extrapolation_grouped,rd,citation::meyer florian jan hei meier hans christoph ries and christian eigenbrod sooting behavior in concurrent and upward burning of cylindrical pmma samples 52nd international conference on environmental systems ices 2023 171 calgary canada 16 20 july 2023,"Meyer, Florian, Jan Heißmeier, Hans?Christoph Ries, and Christian Eigenbrod. ""Sooting Behavior in Concurrent and Upward ",18,6,-5147.964889160043,0.03560784044666866,0.02539569317357253,1629.360217234117,0.024854238312179675,18.85675575286955,18
rf_log_target_sqrt,random_forest,all,extrapolation_grouped,rd,citation::son youngjin paul d ronney and suleyman gokoglu comparison of carbon dioxide and helium as fire extinguishing agents for spacecraft nasa cp 2004 213205 vol2 2004 pp 409 418,"Son, Youngjin, Paul D. Ronney, and Suleyman Gokoglu. ""Comparison of Carbon Dioxide and Helium as Fire Extinguishing Agen",89,89,-0.0025338252880331424,0.020653660147601286,0.015317259976160772,90.60860403580062,-0.0074549342784328175,0.775647402435804,89
rf_log_target_sqrt,random_forest,all,extrapolation_grouped,rd,doi::10.1080/00102200490276773,"Olson, Sandra L., et al. “Sounding Rocket Microgravity Experiments Elucidating Diffusive and Radiative Transport Effects",162,54,-0.5885923387498735,0.019989536037938196,0.01582484433502115,60.16227089305595,-0.015362520937552441,0.7487756285021245,162
rf_log_target_sqrt,random_forest,all,extrapolation_grouped,rd,citation::kimzey john howard flammability during weightlessness nasa technical memorandum nasa tm x 58001 may 1966,"Kimzey, John Howard. ""Flammability During Weightlessness."" NASA Technical Memorandum NASA TM X-58001, May 1966.",15,15,-5.289354333746782,0.019694106028233467,0.014034092937432423,366.9981386645952,0.012126166581526336,2.1223621698649473,15
rf_log_target_sqrt,random_forest,all,extrapolation_grouped,rd,doi::10.1080/00102209108951711,"Olson, S. L., et al. “Mechanisms of Microgravity Flame Spread over a Thin Solid Fuel: Oxygen and Opposed Flow Effects.” ",60,30,-14.75324794537667,0.01948938637295666,0.015773048087108655,155.34113381254477,0.011143213122153663,1.460535549532124,60
rf_log_target_sqrt,random_forest,all,extrapolation_grouped,rd,citation::andracchio charles r and thomas h cochran burning of solids in oxygen rich environments in normal and reduced gravity nasa technical memorandum x 3055 national aeronautics and space administration may 1974,"Andracchio, Charles R., and Thomas H. Cochran. Burning of Solids in Oxygen-Rich Environments in Normal and Reduced Gravi",36,18,0.5754353087630533,0.01849763364220389,0.013762872068341474,35.60184897704255,-0.00802401141115606,0.3982744085641986,36
rf_log_target_sqrt,random_forest,all,extrapolation_grouped,rd,doi::10.1016/j.combustflame.2009.01.015,"Olson, Sandra L., et al. “Experimental Comparison of Opposed and Concurrent Flame Spread in a Forced Convective 0 Enviro",208,52,-0.719877583521837,0.01683427617293915,0.011958599175690154,52.65226970992794,-0.008408044287678796,0.7910558114881941,208
rf_log_target_sqrt,random_forest,all,extrapolation_grouped,rd,doi::10.1016/s1540-7489(02)80315-7,"Son, Youngjin, and Paul D. Ronney. ""Radiation-Driven Flame Spread over Thermally Thick Fuels in Quiescent 0 Environments",80,40,0.156440928470995,0.016404066099570756,0.013916685041956228,141.8914071411467,0.008589321377076777,0.5739651017598081,80
rf_log_target_sqrt,random_forest,all,extrapolation_grouped,rd,doi::10.1016/j.combustflame.2022.112009,"Rojas-Alva, Ulises, Frederik Møller-Poulsen, Sze-Lok Man, Cameron Creamer, David Hanna, and Grunde Jomaas. ""Flame Spread",90,45,-28.873323925247224,0.014702384356729572,0.009499273807885834,704.4145293188927,0.009499273807885834,6.948196765940252,90
rf_log_target_sqrt,random_forest,all,extrapolation_grouped,rd,doi::10.1016/j.combustflame.2022.112559,"Olson, Sandra L., et al. “The Effect of Duct Size, Sample Size, and Fuel Composition on Concurrent Flame Spread over Lar",16,8,-181.05680142805338,0.013408247141599187,0.007824428728945579,276.2335517205568,0.00694834507284124,4.545168522575996,16
