split_id,protocol,seed,repeat,model_id,selected_hyperparameters,cv_R2,cv_RMSE,cv_MAE,cv_MAPE,cv_MBE,cv_NRMSE
interpolation_random__seed-42__repeat-1,interpolation_random,42,1,rf_log_target_sqrt,"{""max_depth"": 12, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 5, ""n_estimators"": 500}",0.8279045886210724,0.006965831634156687,0.0023485954738419307,105.10467853745149,-0.00021007433225519995,0.787979497478932
extrapolation_grouped__seed-42__repeat-1,extrapolation_grouped,42,1,rf_log_target_sqrt,"{""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 300}",0.06079680817147635,0.0114266796106409,0.004736697114456049,187.46412891045054,-0.0007332730049297877,1.19476150613478
interpolation_random__seed-43__repeat-2,interpolation_random,43,2,rf_log_target_sqrt,"{""max_depth"": 12, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 5, ""n_estimators"": 500}",0.8492740692973282,0.006497264904325936,0.0021698166284178236,120.81933831326758,-3.2960072166690216e-05,0.7384415715003796
extrapolation_grouped__seed-43__repeat-2,extrapolation_grouped,43,2,rf_log_target_sqrt,"{""max_depth"": 8, ""max_features"": 0.8, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 200}",0.5139653319505202,0.011112024113555486,0.0048631892794492575,405.328540953716,-0.0008383576794173508,1.28464156500569
interpolation_random__seed-44__repeat-3,interpolation_random,44,3,rf_log_target_sqrt,"{""max_depth"": 12, ""max_features"": ""log2"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 200}",0.8711997607617084,0.006009961247033424,0.0022674264711393553,118.34963073238684,-5.3587483514920865e-05,0.686871966779126
extrapolation_grouped__seed-44__repeat-3,extrapolation_grouped,44,3,rf_log_target_sqrt,"{""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 300}",0.13839549976688087,0.012712917900428753,0.0055975348152685015,412.2841563221829,0.0011001221300163727,1.6256530035701686
interpolation_random__seed-45__repeat-4,interpolation_random,45,4,rf_log_target_sqrt,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 200}",0.8609241188386159,0.006232655255403201,0.002356281915187646,73.44052226634335,-5.229370712438086e-05,0.7185551904277138
extrapolation_grouped__seed-45__repeat-4,extrapolation_grouped,45,4,rf_log_target_sqrt,"{""max_depth"": 8, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""min_samples_split"": 10, ""n_estimators"": 300}",0.5147869867480968,0.011789497490263253,0.004499798583185512,279.3475695351878,-0.000408512971050608,1.5099756431001132
interpolation_random__seed-46__repeat-5,interpolation_random,46,5,rf_log_target_sqrt,"{""max_depth"": 12, ""max_features"": 0.8, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 100}",0.8397640126487212,0.006532057264305104,0.002158685870575154,103.70997396967309,-0.00012338497958778717,0.7597604974007488
extrapolation_grouped__seed-46__repeat-5,extrapolation_grouped,46,5,rf_log_target_sqrt,"{""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 1, ""min_samples_split"": 20, ""n_estimators"": 100}",0.2577725437630184,0.014269731724675466,0.006114145078706907,228.7708085636622,0.0002406009844472947,1.6039118721613526
interpolation_random__seed-47__repeat-6,interpolation_random,47,6,rf_log_target_sqrt,"{""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 5, ""n_estimators"": 100}",0.8500151116365705,0.006288181916591955,0.002024514909619612,62.118485250049616,-7.80401700738818e-05,0.7327698364205693
extrapolation_grouped__seed-47__repeat-6,extrapolation_grouped,47,6,rf_log_target_sqrt,"{""max_depth"": 8, ""max_features"": 0.5, ""min_samples_leaf"": 4, ""min_samples_split"": 20, ""n_estimators"": 500}",0.5381487721424767,0.010944585492611316,0.00468751899881967,365.92229805712344,-0.0006415442259132189,1.2509167719803322
interpolation_random__seed-48__repeat-7,interpolation_random,48,7,rf_log_target_sqrt,"{""max_depth"": 12, ""max_features"": 0.8, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 100}",0.8393787890344584,0.006604776558248674,0.002151871448625422,105.94865610747554,-5.316161612446004e-05,0.76862136061877
extrapolation_grouped__seed-48__repeat-7,extrapolation_grouped,48,7,rf_log_target_sqrt,"{""max_depth"": 8, ""max_features"": ""log2"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 500}",-0.12137878980100121,0.011710028064890101,0.005740921032499546,480.67196014839817,-0.00075240332903745,1.5256029637520008
interpolation_random__seed-49__repeat-8,interpolation_random,49,8,rf_log_target_sqrt,"{""max_depth"": 10, ""max_features"": 0.8, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 500}",0.8810456755651845,0.005602819223909043,0.002166115761070572,127.2902563389346,-2.0000399149928026e-05,0.6522622688224491
extrapolation_grouped__seed-49__repeat-8,extrapolation_grouped,49,8,rf_log_target_sqrt,"{""max_depth"": 8, ""max_features"": 0.5, ""min_samples_leaf"": 8, ""min_samples_split"": 5, ""n_estimators"": 200}",0.5222636263435971,0.007695055229808637,0.004138948386570926,341.78136994484396,-0.0004417912474720726,0.8885362972228448
interpolation_random__seed-50__repeat-9,interpolation_random,50,9,rf_log_target_sqrt,"{""max_depth"": 10, ""max_features"": 1.0, ""min_samples_leaf"": 1, ""min_samples_split"": 5, ""n_estimators"": 100}",0.882478064743111,0.0058569119032057,0.0022400837394987035,136.22807518806502,-8.957411080419806e-05,0.6665613152172176
extrapolation_grouped__seed-50__repeat-9,extrapolation_grouped,50,9,rf_log_target_sqrt,"{""max_depth"": 10, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 100}",0.43595593992815634,0.010959549627288429,0.0051713052892621725,191.71292641689823,-0.0018799216023618955,1.2083911153445257
interpolation_random__seed-51__repeat-10,interpolation_random,51,10,rf_log_target_sqrt,"{""max_depth"": 12, ""max_features"": 1.0, ""min_samples_leaf"": 1, ""min_samples_split"": 5, ""n_estimators"": 200}",0.8836558980280879,0.005572194223886477,0.0019874764045272227,92.88913844074011,-0.0001377481820552554,0.640870340735848
extrapolation_grouped__seed-51__repeat-10,extrapolation_grouped,51,10,rf_log_target_sqrt,"{""max_depth"": 6, ""max_features"": ""log2"", ""min_samples_leaf"": 4, ""min_samples_split"": 5, ""n_estimators"": 100}",0.4306436511232873,0.012669519348159625,0.005810246231297903,603.3444320027445,-0.000297378403084645,1.441025958877129
