model_id,model_family,feature_set,protocol,augmentation,paper_id,paper_label,n_predictions,n_unique_rows,R2,RMSE,MAE,MAPE,MBE,NRMSE,n
rf_paper_inverse,random_forest,all,extrapolation_grouped,rd,doi::10.1016/j.combustflame.2020.12.005,"Carney, Ama, Yanjun Li, Ya-Ting Liao, Sandra Olson, and Paul Ferkul. ""Concurrent-flow flame spread over thin discrete fu",16,8,-12.330871678080154,0.12832365035467355,0.12074525255207465,84.04177795924954,-0.11974031720365658,0.9165975025333825,16
rf_paper_inverse,random_forest,all,extrapolation_grouped,rd,doi::10.1007/s10694-019-00878-w,"Vetturini, Anthony, Wohan Cui, Ya-Ting Liao, Sandra Olson, and Paul Ferkul. ""Flame Spread Over Ultra-thin Solids: Effect",44,11,-1.4931159761476724,0.08502032930919731,0.0730408087088097,500.1462784702424,-0.022594030541914466,1.0788137298433158,44
rf_paper_inverse,random_forest,all,extrapolation_grouped,rd,citation::meyer florian jan hei meier hans christoph ries and christian eigenbrod sooting behavior in concurrent and upward burning of cylindrical pmma samples 52nd international conference on environmental systems ices 2023 171 calgary canada 16 20 july 2023,"Meyer, Florian, Jan Heißmeier, Hans?Christoph Ries, and Christian Eigenbrod. ""Sooting Behavior in Concurrent and Upward ",18,6,-7756.139966763558,0.043705539342336314,0.03006329862157102,1931.1114109007399,0.029533181132677572,23.145034073611466,18
rf_paper_inverse,random_forest,all,extrapolation_grouped,rd,doi::10.1016/j.combustflame.2022.112009,"Rojas-Alva, Ulises, Frederik Møller-Poulsen, Sze-Lok Man, Cameron Creamer, David Hanna, and Grunde Jomaas. ""Flame Spread",90,45,-163.53470164619796,0.03450442162947393,0.02094155486905099,1551.1168688925613,0.02094155486905099,16.30643744304061,90
rf_paper_inverse,random_forest,all,extrapolation_grouped,rd,citation::kimzey john howard flammability during weightlessness nasa technical memorandum nasa tm x 58001 may 1966,"Kimzey, John Howard. ""Flammability During Weightlessness."" NASA Technical Memorandum NASA TM X-58001, May 1966.",15,15,-7.971340374662736,0.023521331750081486,0.016796013917700803,444.925002135634,0.015187332618201746,2.5348083644746193,15
rf_paper_inverse,random_forest,all,extrapolation_grouped,rd,doi::10.1080/00102200490276773,"Olson, Sandra L., et al. “Sounding Rocket Microgravity Experiments Elucidating Diffusive and Radiative Transport Effects",162,54,-0.7979548453191476,0.021266003082992143,0.017306836775894077,67.89848715088792,-0.015187132492246031,0.7965900155948777,162
rf_paper_inverse,random_forest,all,extrapolation_grouped,rd,citation::son youngjin paul d ronney and suleyman gokoglu comparison of carbon dioxide and helium as fire extinguishing agents for spacecraft nasa cp 2004 213205 vol2 2004 pp 409 418,"Son, Youngjin, Paul D. Ronney, and Suleyman Gokoglu. ""Comparison of Carbon Dioxide and Helium as Fire Extinguishing Agen",89,89,0.05846141662830484,0.02001550583229979,0.01488175926275077,94.02073352397203,-0.006007668287692843,0.7516815419791386,89
rf_paper_inverse,random_forest,all,extrapolation_grouped,rd,citation::andracchio charles r and thomas h cochran burning of solids in oxygen rich environments in normal and reduced gravity nasa technical memorandum x 3055 national aeronautics and space administration may 1974,"Andracchio, Charles R., and Thomas H. Cochran. Burning of Solids in Oxygen-Rich Environments in Normal and Reduced Gravi",36,18,0.5611489769650803,0.018806275526246363,0.013476178828147799,34.30187423590218,-0.007812063075765516,0.40491980798138105,36
rf_paper_inverse,random_forest,all,extrapolation_grouped,rd,doi::10.1016/s1540-7489(02)80315-7,"Son, Youngjin, and Paul D. Ronney. ""Radiation-Driven Flame Spread over Thermally Thick Fuels in Quiescent 0 Environments",80,40,0.025111603475897692,0.017634827309955636,0.01513844913522811,151.67191978564276,0.009648190588250876,0.61702844831503,80
rf_paper_inverse,random_forest,all,extrapolation_grouped,rd,doi::10.1016/j.combustflame.2009.01.015,"Olson, Sandra L., et al. “Experimental Comparison of Opposed and Concurrent Flame Spread in a Forced Convective 0 Enviro",208,52,-0.7691184571775123,0.017073562017101647,0.012148677897696036,52.18798928330439,-0.009100963315897407,0.802300040565051,208
