split_id,protocol,seed,repeat,model_id,selected_hyperparameters,cv_R2,cv_RMSE,cv_MAE,cv_MAPE,cv_MBE,cv_NRMSE
interpolation_random__seed-42__repeat-1,interpolation_random,42,1,rf_paper_inverse,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 200}",0.8838186638546631,0.0057576200839600175,0.0021832244338882566,80.07482091074681,-8.742827698236298e-05,0.6527079927121247
extrapolation_grouped__seed-42__repeat-1,extrapolation_grouped,42,1,rf_paper_inverse,"{""max_depth"": 10, ""max_features"": 0.8, ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""n_estimators"": 200}",-0.39072171797309807,0.013079010386937637,0.006026139057856586,287.26964957665905,0.0006086610285273655,1.4071412371973575
interpolation_random__seed-43__repeat-2,interpolation_random,43,2,rf_paper_inverse,"{""max_depth"": 12, ""max_features"": 0.8, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 500}",0.8526780124701133,0.00642278214284738,0.0020702644337205717,132.24491175353643,-9.926602345702008e-05,0.7195716825920472
extrapolation_grouped__seed-43__repeat-2,extrapolation_grouped,43,2,rf_paper_inverse,"{""max_depth"": 6, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 5, ""n_estimators"": 100}",0.4448680125502095,0.01179418295520276,0.005443313959071736,679.180058473873,-0.0007490823219008289,1.3747354875483038
interpolation_random__seed-44__repeat-3,interpolation_random,44,3,rf_paper_inverse,"{""max_depth"": 12, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 10, ""n_estimators"": 200}",0.8384461050071661,0.006787306364488002,0.0025243793090639274,134.9033427397634,4.7626512526729154e-05,0.7768387862001728
extrapolation_grouped__seed-44__repeat-3,extrapolation_grouped,44,3,rf_paper_inverse,"{""max_depth"": 10, ""max_features"": 1.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 500}",0.357529386297517,0.013221924532224899,0.005596385969377489,434.420276235766,0.0008236604996781971,1.5915903173804895
interpolation_random__seed-45__repeat-4,interpolation_random,45,4,rf_paper_inverse,"{""max_depth"": 10, ""max_features"": ""log2"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 200}",0.8638189539494355,0.006143476344831451,0.0024947042319923367,221.99234415812947,-7.049071804041425e-05,0.7060379732456509
extrapolation_grouped__seed-45__repeat-4,extrapolation_grouped,45,4,rf_paper_inverse,"{""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 10, ""n_estimators"": 500}",0.5000000037623025,0.011902919512008447,0.0045277840484820465,192.78763847762843,-0.00023692280994298134,1.5287021904138178
interpolation_random__seed-46__repeat-5,interpolation_random,46,5,rf_paper_inverse,"{""max_depth"": 10, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""n_estimators"": 100}",0.8770984629358958,0.00590482483544841,0.002252020459697151,142.71755221353195,-4.642414037124677e-05,0.6800943184921974
extrapolation_grouped__seed-46__repeat-5,extrapolation_grouped,46,5,rf_paper_inverse,"{""max_depth"": null, ""max_features"": 0.8, ""min_samples_leaf"": 2, ""min_samples_split"": 10, ""n_estimators"": 300}",0.31092928051489926,0.01376346014192208,0.00575144357764731,158.8616739183945,0.00048709813414196754,1.5614540171330933
