split_id,protocol,seed,repeat,augmentation,model_id,model_family,feature_set,n_train_rows,n_test_rows,n_train_papers,n_test_papers,R2,RMSE,MAE,MAPE,MBE,NRMSE,cv_R2,cv_RMSE,cv_MAE,cv_MAPE,cv_MBE,cv_NRMSE,selected_hyperparameters
interpolation_random__seed-42__repeat-1,interpolation_random,42,1,rd,svr_linear,svr,all,2024,507,65,60,0.3845691764492396,0.013226579575948609,0.0067482403855283445,1208.3348450884082,-0.0014370476233593527,1.548865663559164,0.43170184218154334,0.01290627670675425,0.007275996538656998,1592.8437116627174,-0.0006242793135000447,1.4538090976648215,"{""C"": 0.1, ""epsilon"": 0.01, ""gamma"": 0.001}"
interpolation_random__seed-42__repeat-1,interpolation_random,42,1,rd_bt,svr_linear,svr,all,3024,507,65,60,0.37465223209450016,0.013332719098065127,0.006901129175059115,1340.0892491472,-0.0017015788562338185,1.5612948679811292,0.43170184218154334,0.01290627670675425,0.007275996538656998,1592.8437116627174,-0.0006242793135000447,1.4538090976648215,"{""C"": 0.1, ""epsilon"": 0.01, ""gamma"": 0.001}"
extrapolation_grouped__seed-42__repeat-1,extrapolation_grouped,42,1,rd,svr_linear,svr,all,2005,526,52,14,-1.033165122776332,0.017015676503226176,0.009752539639892536,2261.272541943777,-0.0004531163233828199,2.1445727842491973,-5.205819910468689,0.02508581824501809,0.012347659439622419,3196.995951381934,-0.0023866979231002535,2.8485267298947172,"{""C"": 0.5, ""epsilon"": 0.01, ""gamma"": 0.1}"
extrapolation_grouped__seed-42__repeat-1,extrapolation_grouped,42,1,rd_bt,svr_linear,svr,all,3005,526,52,14,-3.051664690490525,0.024020367247505586,0.012412142938448119,2188.2512282275397,-0.0010778575139559468,3.027409803947808,-5.205819910468689,0.02508581824501809,0.012347659439622419,3196.995951381934,-0.0023866979231002535,2.8485267298947172,"{""C"": 0.5, ""epsilon"": 0.01, ""gamma"": 0.1}"
interpolation_random__seed-43__repeat-2,interpolation_random,43,2,rd,svr_linear,svr,all,2024,507,65,61,0.44233478028099205,0.01262006524034744,0.007508953963437839,775.6605083405891,0.00018968273439358245,1.4584649120039734,0.24169024332583605,0.014755957382304851,0.007447054119823075,1590.1169729608068,0.0001396980752375529,1.6806193927685413,"{""C"": 0.5, ""epsilon"": 0.01, ""gamma"": 0.001}"
interpolation_random__seed-43__repeat-2,interpolation_random,43,2,rd_bt,svr_linear,svr,all,3024,507,65,61,0.475535199994666,0.012238635289284561,0.007417364049770682,1265.7232527662777,-0.0007762267507439115,1.4143841414676965,0.24169024332583605,0.014755957382304851,0.007447054119823075,1590.1169729608068,0.0001396980752375529,1.6806193927685413,"{""C"": 0.5, ""epsilon"": 0.01, ""gamma"": 0.001}"
extrapolation_grouped__seed-43__repeat-2,extrapolation_grouped,43,2,rd,svr_linear,svr,all,1954,577,52,14,-0.4980735279031736,0.022032750385128363,0.010965460244458313,1545.490944545778,-0.002954297064014541,2.5705001672605983,-1.1813380526372526,0.0210148050488033,0.011863742299831764,2837.816863669903,-0.0001254240754837344,2.7040209677441154,"{""C"": 0.5, ""epsilon"": 0.01, ""gamma"": 0.01}"
extrapolation_grouped__seed-43__repeat-2,extrapolation_grouped,43,2,rd_bt,svr_linear,svr,all,2954,577,52,14,-4.743920451315383,0.04314260429690404,0.013385487083637902,3558.9856007635058,-0.005186143991992609,5.033328550579117,-1.1813380526372526,0.0210148050488033,0.011863742299831764,2837.816863669903,-0.0001254240754837344,2.7040209677441154,"{""C"": 0.5, ""epsilon"": 0.01, ""gamma"": 0.01}"
interpolation_random__seed-44__repeat-3,interpolation_random,44,3,rd,svr_linear,svr,all,2024,507,66,61,0.45278777428154116,0.013007969908423919,0.007797309286905046,1625.7005589139724,0.0005772242581906318,1.4261921970946356,0.3788384499193028,0.013442341160836627,0.0072539794884687505,1256.560268127322,-0.0005972744809189355,1.5471241593535627,"{""C"": 10.0, ""epsilon"": 0.01, ""gamma"": ""scale""}"
interpolation_random__seed-44__repeat-3,interpolation_random,44,3,rd_bt,svr_linear,svr,all,3024,507,66,61,0.45863950733985814,0.012938231186792309,0.00784441109312193,1876.8176705392175,-0.0007599890399793352,1.4185460523597875,0.3788384499193028,0.013442341160836627,0.0072539794884687505,1256.560268127322,-0.0005972744809189355,1.5471241593535627,"{""C"": 10.0, ""epsilon"": 0.01, ""gamma"": ""scale""}"
extrapolation_grouped__seed-44__repeat-3,extrapolation_grouped,44,3,rd,svr_linear,svr,all,1910,621,52,14,-8.245673349425777,0.04466467826296495,0.015185902066065862,4357.904148108512,0.0007511562191234967,5.2818150694582995,-5.326852859048284,0.032042112661416045,0.01694161872675423,9644.296311403334,-0.0063405877571050765,3.8850143602846217,"{""C"": 100.0, ""epsilon"": 0.01, ""gamma"": ""auto""}"
extrapolation_grouped__seed-44__repeat-3,extrapolation_grouped,44,3,rd_bt,svr_linear,svr,all,2910,621,52,14,-11.707978696081428,0.05236404364136712,0.013352288825151198,5185.131914579064,-0.0004556517931304909,6.192302408950232,-5.326852859048284,0.032042112661416045,0.01694161872675423,9644.296311403334,-0.0063405877571050765,3.8850143602846217,"{""C"": 100.0, ""epsilon"": 0.01, ""gamma"": ""auto""}"
interpolation_random__seed-45__repeat-4,interpolation_random,45,4,rd,svr_linear,svr,all,2024,507,66,62,0.37918141762500235,0.014287225621842203,0.007868118624528703,1133.1022898741646,-0.0007213963916277447,1.5866905990208613,0.3641012101477693,0.013481196807457133,0.0076387756623494995,1480.9560182951977,-0.0008559669254174663,1.5474023856624495,"{""C"": 50.0, ""epsilon"": 0.01, ""gamma"": 0.01}"
interpolation_random__seed-45__repeat-4,interpolation_random,45,4,rd_bt,svr_linear,svr,all,3024,507,66,62,0.3878495297816412,0.01418713309145227,0.008114069171178032,1371.823521000252,-0.0010470809468689855,1.5755746636247603,0.3641012101477693,0.013481196807457133,0.0076387756623494995,1480.9560182951977,-0.0008559669254174663,1.5474023856624495,"{""C"": 50.0, ""epsilon"": 0.01, ""gamma"": 0.01}"
extrapolation_grouped__seed-45__repeat-4,extrapolation_grouped,45,4,rd,svr_linear,svr,all,1998,533,52,14,-0.054008618167929345,0.0153325290036479,0.009678138657231827,1046.8646339443512,-0.002707152549234093,1.4396893023460917,-3.4440419514541047,0.03403694594084859,0.011799379097978166,2442.8166284420854,-0.0010262903533021458,4.23686922489153,"{""C"": 1.0, ""epsilon"": 0.01, ""gamma"": 0.01}"
extrapolation_grouped__seed-45__repeat-4,extrapolation_grouped,45,4,rd_bt,svr_linear,svr,all,2998,533,52,14,-8.580610030142694,0.04622621079846602,0.018115806186463343,1399.784065310975,-0.0074581252598110645,4.340535156249375,-3.4440419514541047,0.03403694594084859,0.011799379097978166,2442.8166284420854,-0.0010262903533021458,4.23686922489153,"{""C"": 1.0, ""epsilon"": 0.01, ""gamma"": 0.01}"
interpolation_random__seed-46__repeat-5,interpolation_random,46,5,rd,svr_linear,svr,all,2024,507,66,58,0.4094542859562008,0.013682261153424257,0.0078259307210917,1419.2815372112864,-0.001528038300377956,1.5270649676809296,0.26223281955907296,0.01432196397549242,0.007697500601710383,1788.6389791478286,-0.0012096739093035995,1.6484722300320498,"{""C"": 100.0, ""epsilon"": 0.01, ""gamma"": 0.001}"
interpolation_random__seed-46__repeat-5,interpolation_random,46,5,rd_bt,svr_linear,svr,all,3024,507,66,58,0.41497603104285885,0.013618144701824616,0.007620866569266825,1297.6043895386802,-0.0020150563871544655,1.5199089876866934,0.26223281955907296,0.01432196397549242,0.007697500601710383,1788.6389791478286,-0.0012096739093035995,1.6484722300320498,"{""C"": 100.0, ""epsilon"": 0.01, ""gamma"": 0.001}"
extrapolation_grouped__seed-46__repeat-5,extrapolation_grouped,46,5,rd,svr_linear,svr,all,2001,530,52,14,0.3445334306920833,0.01138276816640354,0.00822278491374843,1887.1661593103781,-0.0009566999810372272,1.2779332164450676,-6.612200410553027,0.038239576806014454,0.012108078803753208,1987.198041804455,-0.003700468806365401,3.991768026337992,"{""C"": 0.1, ""epsilon"": 0.01, ""gamma"": 0.001}"
extrapolation_grouped__seed-46__repeat-5,extrapolation_grouped,46,5,rd_bt,svr_linear,svr,all,3001,530,52,14,0.30697858699082015,0.011704313458605889,0.00865171490977247,1898.5078663068716,-0.0006633710206017411,1.3140328192385018,-6.612200410553027,0.038239576806014454,0.012108078803753208,1987.198041804455,-0.003700468806365401,3.991768026337992,"{""C"": 0.1, ""epsilon"": 0.01, ""gamma"": 0.001}"
interpolation_random__seed-47__repeat-6,interpolation_random,47,6,rd,svr_linear,svr,all,2024,507,66,60,0.443716940169803,0.014175568867026974,0.00745651828385739,1377.0156160046452,-0.0029662197270533433,1.5164331111365263,0.37702857470879614,0.01319333754146233,0.007430935697743643,1558.0763597659789,-0.0007539304684951681,1.5277733831162914,"{""C"": 50.0, ""epsilon"": 0.01, ""gamma"": ""auto""}"
interpolation_random__seed-47__repeat-6,interpolation_random,47,6,rd_bt,svr_linear,svr,all,3024,507,66,60,0.4130403757563066,0.014561184100982212,0.0077139048358814705,1528.8930128456816,-0.0024783490603632616,1.5576843451726121,0.37702857470879614,0.01319333754146233,0.007430935697743643,1558.0763597659789,-0.0007539304684951681,1.5277733831162914,"{""C"": 50.0, ""epsilon"": 0.01, ""gamma"": ""auto""}"
extrapolation_grouped__seed-47__repeat-6,extrapolation_grouped,47,6,rd,svr_linear,svr,all,2109,422,52,14,0.11934649422130827,0.017360212720763036,0.00881081030057164,3901.0255531594908,-4.2703906420173695e-05,2.0144995842761455,-0.2730349112426406,0.018424275314043764,0.010204236826770012,1452.4117108900507,-0.0009957717388202536,1.964521953216537,"{""C"": 0.1, ""epsilon"": 0.01, ""gamma"": 0.1}"
extrapolation_grouped__seed-47__repeat-6,extrapolation_grouped,47,6,rd_bt,svr_linear,svr,all,3109,422,52,14,-0.19141332895049068,0.02019220447831631,0.00870751437628316,3717.8056713660653,-0.0008072129774094381,2.3431272520374526,-0.2730349112426406,0.018424275314043764,0.010204236826770012,1452.4117108900507,-0.0009957717388202536,1.964521953216537,"{""C"": 0.1, ""epsilon"": 0.01, ""gamma"": 0.1}"
interpolation_random__seed-48__repeat-7,interpolation_random,48,7,rd,svr_linear,svr,all,2024,507,66,62,0.38783971392114613,0.014564247319651566,0.007987983997207355,1686.246764426857,-0.001621568229476427,1.5969569429442507,0.0638765039246246,0.015564463392382332,0.007570185711059903,1734.5288456361516,-0.0006077105797533698,1.8183085614372387,"{""C"": 50.0, ""epsilon"": 0.01, ""gamma"": 0.01}"
interpolation_random__seed-48__repeat-7,interpolation_random,48,7,rd_bt,svr_linear,svr,all,3024,507,66,62,0.3908195336894823,0.014528756799239886,0.007632259420103612,1780.3095367472522,-0.0012521757035145857,1.5930654385131455,0.0638765039246246,0.015564463392382332,0.007570185711059903,1734.5288456361516,-0.0006077105797533698,1.8183085614372387,"{""C"": 50.0, ""epsilon"": 0.01, ""gamma"": 0.01}"
extrapolation_grouped__seed-48__repeat-7,extrapolation_grouped,48,7,rd,svr_linear,svr,all,1950,581,52,14,-0.9281320763956287,0.028171941142841384,0.010932243354464246,1568.8479868335803,0.00047818823042155493,3.4146738857576757,-3.7807156207579795,0.02697316363369433,0.01769809687590906,2139.2788119239003,0.007895222719704113,2.566786714786832,"{""C"": 0.1, ""epsilon"": 0.01, ""gamma"": 0.01}"
extrapolation_grouped__seed-48__repeat-7,extrapolation_grouped,48,7,rd_bt,svr_linear,svr,all,2950,581,52,14,-0.7929564495636172,0.027166472686165562,0.011705517060005865,738.2962279948119,2.7621703827755353e-05,3.292802735148786,-3.7807156207579795,0.02697316363369433,0.01769809687590906,2139.2788119239003,0.007895222719704113,2.566786714786832,"{""C"": 0.1, ""epsilon"": 0.01, ""gamma"": 0.01}"
