configuration_id,inner_fold,parameters,R2,RMSE,MAE,MAPE,MBE,NRMSE,n,split_id,protocol,seed,repeat,model_id
0,0,"{""C"": 50.0, ""epsilon"": 0.2, ""gamma"": ""auto""}",-26.63630635178947,0.07571858250973766,0.07472419753086419,25257.676167011705,0.07433604938271604,9.389762673824599,405.0,interpolation_random__seed-42__repeat-1,interpolation_random,42,1,svr_linear
0,1,"{""C"": 50.0, ""epsilon"": 0.2, ""gamma"": ""auto""}",-6.708598651132912,0.060917531675471696,0.059787086419753076,17639.572674033952,0.05682906172839505,6.171402352976823,405.0,interpolation_random__seed-42__repeat-1,interpolation_random,42,1,svr_linear
0,2,"{""C"": 50.0, ""epsilon"": 0.2, ""gamma"": ""auto""}",-17.016022075506665,0.07498397844017114,0.0734440987654321,28497.60180369102,0.07287323456790123,7.870874849875674,405.0,interpolation_random__seed-42__repeat-1,interpolation_random,42,1,svr_linear
0,3,"{""C"": 50.0, ""epsilon"": 0.2, ""gamma"": ""auto""}",-17.14410064357924,0.07495481493852904,0.0733,19032.207966978494,0.07286,7.856898840516671,405.0,interpolation_random__seed-42__repeat-1,interpolation_random,42,1,svr_linear
0,4,"{""C"": 50.0, ""epsilon"": 0.2, ""gamma"": ""auto""}",-30.151495602442655,0.07647895622520635,0.07551616336633664,30263.114869055382,0.07524141089108911,10.683523675078186,404.0,interpolation_random__seed-42__repeat-1,interpolation_random,42,1,svr_linear
0,mean,"{""C"": 50.0, ""epsilon"": 0.2, ""gamma"": ""auto""}",-19.531304664890186,0.07261077275782318,0.0713543092164772,24138.034696154114,0.07042795131402028,8.39449247845439,404.8,interpolation_random__seed-42__repeat-1,interpolation_random,42,1,svr_linear
1,0,"{""C"": 0.5, ""epsilon"": 0.05, ""gamma"": 0.1}",-3.4255254247709415,0.030300158206580153,0.025866087100215672,6209.559700572511,0.015361227306032151,3.757483105320115,405.0,interpolation_random__seed-42__repeat-1,interpolation_random,42,1,svr_linear
1,1,"{""C"": 0.5, ""epsilon"": 0.05, ""gamma"": 0.1}",-0.49792605706944615,0.02685343012647985,0.02053517854327914,3472.571399789998,0.011651614068708314,2.7204536577568614,405.0,interpolation_random__seed-42__repeat-1,interpolation_random,42,1,svr_linear
1,2,"{""C"": 0.5, ""epsilon"": 0.05, ""gamma"": 0.1}",-11.623566358503352,0.06276681045000701,0.02828047569561324,13877.27358217413,0.011947032545355323,6.588470231304871,405.0,interpolation_random__seed-42__repeat-1,interpolation_random,42,1,svr_linear
1,3,"{""C"": 0.5, ""epsilon"": 0.05, ""gamma"": 0.1}",-1.8012648135356049,0.029451600189110187,0.025595817071848256,5581.155324832863,0.012412273573823194,3.0871698311436258,405.0,interpolation_random__seed-42__repeat-1,interpolation_random,42,1,svr_linear
1,4,"{""C"": 0.5, ""epsilon"": 0.05, ""gamma"": 0.1}",-2.938839487185344,0.027194848425102128,0.02257630316127328,9200.152883127823,0.012043733329016074,3.7989117703725226,404.0,interpolation_random__seed-42__repeat-1,interpolation_random,42,1,svr_linear
1,mean,"{""C"": 0.5, ""epsilon"": 0.05, ""gamma"": 0.1}",-4.057424428212938,0.03531336947945587,0.024570772314445915,7668.142578099464,0.01268317616458701,3.9904977191795994,404.8,interpolation_random__seed-42__repeat-1,interpolation_random,42,1,svr_linear
2,0,"{""C"": 5.0, ""epsilon"": 0.1, ""gamma"": 0.001}",-26.63630635178947,0.07571858250973766,0.07472419753086419,25257.676167011705,0.07433604938271604,9.389762673824599,405.0,interpolation_random__seed-42__repeat-1,interpolation_random,42,1,svr_linear
2,1,"{""C"": 5.0, ""epsilon"": 0.1, ""gamma"": 0.001}",-6.708598651132912,0.060917531675471696,0.059787086419753076,17639.572674033952,0.05682906172839505,6.171402352976823,405.0,interpolation_random__seed-42__repeat-1,interpolation_random,42,1,svr_linear
2,2,"{""C"": 5.0, ""epsilon"": 0.1, ""gamma"": 0.001}",-17.016022075506665,0.07498397844017114,0.0734440987654321,28497.60180369102,0.07287323456790123,7.870874849875674,405.0,interpolation_random__seed-42__repeat-1,interpolation_random,42,1,svr_linear
2,3,"{""C"": 5.0, ""epsilon"": 0.1, ""gamma"": 0.001}",-17.14410064357924,0.07495481493852904,0.0733,19032.207966978494,0.07286,7.856898840516671,405.0,interpolation_random__seed-42__repeat-1,interpolation_random,42,1,svr_linear
