split_id,protocol,seed,repeat,model_id,selected_hyperparameters,cv_R2,cv_RMSE,cv_MAE,cv_MAPE,cv_MBE,cv_NRMSE
interpolation_random__seed-42__repeat-1,interpolation_random,42,1,svr_linear,"{""C"": 0.1, ""epsilon"": 0.01, ""gamma"": 0.001}",0.43170184218154334,0.01290627670675425,0.007275996538656998,1592.8437116627174,-0.0006242793135000447,1.4538090976648215
extrapolation_grouped__seed-42__repeat-1,extrapolation_grouped,42,1,svr_linear,"{""C"": 0.5, ""epsilon"": 0.01, ""gamma"": 0.1}",-5.205819910468689,0.02508581824501809,0.012347659439622419,3196.995951381934,-0.0023866979231002535,2.8485267298947172
interpolation_random__seed-43__repeat-2,interpolation_random,43,2,svr_linear,"{""C"": 0.5, ""epsilon"": 0.01, ""gamma"": 0.001}",0.24169024332583605,0.014755957382304851,0.007447054119823075,1590.1169729608068,0.0001396980752375529,1.6806193927685413
extrapolation_grouped__seed-43__repeat-2,extrapolation_grouped,43,2,svr_linear,"{""C"": 0.5, ""epsilon"": 0.01, ""gamma"": 0.01}",-1.1813380526372526,0.0210148050488033,0.011863742299831764,2837.816863669903,-0.0001254240754837344,2.7040209677441154
interpolation_random__seed-44__repeat-3,interpolation_random,44,3,svr_linear,"{""C"": 10.0, ""epsilon"": 0.01, ""gamma"": ""scale""}",0.3788384499193028,0.013442341160836627,0.0072539794884687505,1256.560268127322,-0.0005972744809189355,1.5471241593535627
extrapolation_grouped__seed-44__repeat-3,extrapolation_grouped,44,3,svr_linear,"{""C"": 100.0, ""epsilon"": 0.01, ""gamma"": ""auto""}",-5.326852859048284,0.032042112661416045,0.01694161872675423,9644.296311403334,-0.0063405877571050765,3.8850143602846217
interpolation_random__seed-45__repeat-4,interpolation_random,45,4,svr_linear,"{""C"": 50.0, ""epsilon"": 0.01, ""gamma"": 0.01}",0.3641012101477693,0.013481196807457133,0.0076387756623494995,1480.9560182951977,-0.0008559669254174663,1.5474023856624495
extrapolation_grouped__seed-45__repeat-4,extrapolation_grouped,45,4,svr_linear,"{""C"": 1.0, ""epsilon"": 0.01, ""gamma"": 0.01}",-3.4440419514541047,0.03403694594084859,0.011799379097978166,2442.8166284420854,-0.0010262903533021458,4.23686922489153
interpolation_random__seed-46__repeat-5,interpolation_random,46,5,svr_linear,"{""C"": 100.0, ""epsilon"": 0.01, ""gamma"": 0.001}",0.26223281955907296,0.01432196397549242,0.007697500601710383,1788.6389791478286,-0.0012096739093035995,1.6484722300320498
extrapolation_grouped__seed-46__repeat-5,extrapolation_grouped,46,5,svr_linear,"{""C"": 0.1, ""epsilon"": 0.01, ""gamma"": 0.001}",-6.612200410553027,0.038239576806014454,0.012108078803753208,1987.198041804455,-0.003700468806365401,3.991768026337992
interpolation_random__seed-47__repeat-6,interpolation_random,47,6,svr_linear,"{""C"": 50.0, ""epsilon"": 0.01, ""gamma"": ""auto""}",0.37702857470879614,0.01319333754146233,0.007430935697743643,1558.0763597659789,-0.0007539304684951681,1.5277733831162914
extrapolation_grouped__seed-47__repeat-6,extrapolation_grouped,47,6,svr_linear,"{""C"": 0.1, ""epsilon"": 0.01, ""gamma"": 0.1}",-0.2730349112426406,0.018424275314043764,0.010204236826770012,1452.4117108900507,-0.0009957717388202536,1.964521953216537
interpolation_random__seed-48__repeat-7,interpolation_random,48,7,svr_linear,"{""C"": 50.0, ""epsilon"": 0.01, ""gamma"": 0.01}",0.0638765039246246,0.015564463392382332,0.007570185711059903,1734.5288456361516,-0.0006077105797533698,1.8183085614372387
extrapolation_grouped__seed-48__repeat-7,extrapolation_grouped,48,7,svr_linear,"{""C"": 0.1, ""epsilon"": 0.01, ""gamma"": 0.01}",-3.7807156207579795,0.02697316363369433,0.01769809687590906,2139.2788119239003,0.007895222719704113,2.566786714786832
interpolation_random__seed-49__repeat-8,interpolation_random,49,8,svr_linear,"{""C"": 0.1, ""epsilon"": 0.01, ""gamma"": ""auto""}",0.14343723334485814,0.01453500150513674,0.007345234311197936,1903.8662183561858,9.590445010466899e-05,1.6864966656733913
extrapolation_grouped__seed-49__repeat-8,extrapolation_grouped,49,8,svr_linear,"{""C"": 50.0, ""epsilon"": 0.01, ""gamma"": 0.001}",-2.2481393267329044,0.020279143781224467,0.009885864754294194,2419.8698482804584,-0.0003024430439011364,2.2005506231874765
interpolation_random__seed-50__repeat-9,interpolation_random,50,9,svr_linear,"{""C"": 100.0, ""epsilon"": 0.01, ""gamma"": 0.01}",0.4150343074819089,0.013257650687984773,0.007340228823826252,1424.5970036079882,-0.0006159254233121906,1.4936001963661876
extrapolation_grouped__seed-50__repeat-9,extrapolation_grouped,50,9,svr_linear,"{""C"": 0.1, ""epsilon"": 0.01, ""gamma"": ""auto""}",-7.539517593624441,0.044217451664695276,0.023921559804164057,3220.350213932417,0.01321991055313077,4.41418818463975
interpolation_random__seed-51__repeat-10,interpolation_random,51,10,svr_linear,"{""C"": 100.0, ""epsilon"": 0.01, ""gamma"": 0.01}",0.38555324793204404,0.013136852453984132,0.007242363835352629,1315.579063383684,-0.00025691419952883845,1.5050670697857442
extrapolation_grouped__seed-51__repeat-10,extrapolation_grouped,51,10,svr_linear,"{""C"": 0.5, ""epsilon"": 0.01, ""gamma"": 0.01}",-0.37857817631302504,0.018072895875117016,0.010570073243313754,1886.376216679248,-0.0021819827505241665,2.1205008868156376
