split_id,protocol,seed,repeat,augmentation,model_id,model_family,feature_set,n_train_rows,n_test_rows,n_train_papers,n_test_papers,R2,RMSE,MAE,MAPE,MBE,NRMSE,cv_R2,cv_RMSE,cv_MAE,cv_MAPE,cv_MBE,cv_NRMSE,selected_hyperparameters
interpolation_random__seed-42__repeat-1,interpolation_random,42,1,rd,svr_rbf,svr,all,2024,507,65,60,0.5521848814731287,0.011282550939381939,0.007007322127447814,1188.653646617637,-0.00020524147589736727,1.3212150312196311,0.6372940602299224,0.010276461022463414,0.007137236677393212,1882.182651909146,0.0004345756931987069,1.1646752240543496,"{""C"": 10.0, ""epsilon"": 0.01, ""gamma"": ""auto""}"
interpolation_random__seed-42__repeat-1,interpolation_random,42,1,rd_bt,svr_rbf,svr,all,3024,507,65,60,0.4992047448113319,0.011931307259020982,0.0073629727287641425,1211.0515957316495,0.0007045197638097026,1.3971860244560939,0.6372940602299224,0.010276461022463414,0.007137236677393212,1882.182651909146,0.0004345756931987069,1.1646752240543496,"{""C"": 10.0, ""epsilon"": 0.01, ""gamma"": ""auto""}"
extrapolation_grouped__seed-42__repeat-1,extrapolation_grouped,42,1,rd,svr_rbf,svr,all,2005,526,52,14,-0.16403637745467647,0.01287496837917363,0.0090958416586665,3992.4943761039294,-0.00011181007019640941,1.6226981500741189,-3.9445514024893065,0.015740687705624347,0.009627692983795975,1939.853003570722,-0.002964291342215402,2.045547047628502,"{""C"": 0.5, ""epsilon"": 0.01, ""gamma"": 0.001}"
extrapolation_grouped__seed-42__repeat-1,extrapolation_grouped,42,1,rd_bt,svr_rbf,svr,all,3005,526,52,14,-0.3047407518132572,0.013630914959445873,0.008981010672524764,3600.3239694567837,0.0004652268628917657,1.7179739660013154,-3.9445514024893065,0.015740687705624347,0.009627692983795975,1939.853003570722,-0.002964291342215402,2.045547047628502,"{""C"": 0.5, ""epsilon"": 0.01, ""gamma"": 0.001}"
interpolation_random__seed-43__repeat-2,interpolation_random,43,2,rd,svr_rbf,svr,all,2024,507,65,61,0.6483633290149884,0.010021250084210407,0.0077884644840407954,1417.0768900157916,0.0033354434821704203,1.1581272635192308,0.5938360572028575,0.010847242718833106,0.008305215324991693,2122.6765469938264,0.003641034679200113,1.2368931328918518,"{""C"": 5.0, ""epsilon"": 0.01, ""gamma"": 0.1}"
interpolation_random__seed-43__repeat-2,interpolation_random,43,2,rd_bt,svr_rbf,svr,all,3024,507,65,61,0.6253550209908236,0.01034391108177371,0.00795887779303586,1639.4619387003356,0.002417608164085817,1.195416273873453,0.5938360572028575,0.010847242718833106,0.008305215324991693,2122.6765469938264,0.003641034679200113,1.2368931328918518,"{""C"": 5.0, ""epsilon"": 0.01, ""gamma"": 0.1}"
extrapolation_grouped__seed-43__repeat-2,extrapolation_grouped,43,2,rd,svr_rbf,svr,all,1954,577,52,14,0.058033062624657905,0.017471089122332795,0.008709221999116902,628.1902391761258,-0.0001313157712886036,2.0383037399404382,0.15290305532226928,0.013304026854273444,0.008185023739278405,2493.056502443144,0.00023677956435417448,1.7101312303933098,"{""C"": 0.1, ""epsilon"": 0.01, ""gamma"": 0.01}"
extrapolation_grouped__seed-43__repeat-2,extrapolation_grouped,43,2,rd_bt,svr_rbf,svr,all,2954,577,52,14,0.05346942661322951,0.01751335990203568,0.007919839231556246,565.6976872530332,-0.0009477518292406293,2.043235355122256,0.15290305532226928,0.013304026854273444,0.008185023739278405,2493.056502443144,0.00023677956435417448,1.7101312303933098,"{""C"": 0.1, ""epsilon"": 0.01, ""gamma"": 0.01}"
interpolation_random__seed-44__repeat-3,interpolation_random,44,3,rd,svr_rbf,svr,all,2024,507,66,61,0.5865016052834546,0.011307550647144086,0.008184339171376315,2251.478652852529,0.0011169151833480362,1.239758441535575,0.5756693470316341,0.010973459991661851,0.007538304218671732,1815.077526767266,0.0006970366817717395,1.264193081977892,"{""C"": 5.0, ""epsilon"": 0.01, ""gamma"": ""scale""}"
interpolation_random__seed-44__repeat-3,interpolation_random,44,3,rd_bt,svr_rbf,svr,all,3024,507,66,61,0.6018969340272269,0.01109505319688353,0.00728933200897367,1612.4843029074498,0.0011814192401734343,1.2164602476131052,0.5756693470316341,0.010973459991661851,0.007538304218671732,1815.077526767266,0.0006970366817717395,1.264193081977892,"{""C"": 5.0, ""epsilon"": 0.01, ""gamma"": ""scale""}"
