split_id,protocol,seed,repeat,model_id,selected_hyperparameters,cv_R2,cv_RMSE,cv_MAE,cv_MAPE,cv_MBE,cv_NRMSE
interpolation_random__seed-42__repeat-1,interpolation_random,42,1,svr_rbf,"{""C"": 10.0, ""epsilon"": 0.01, ""gamma"": ""auto""}",0.6372940602299224,0.010276461022463414,0.007137236677393212,1882.182651909146,0.0004345756931987069,1.1646752240543496
extrapolation_grouped__seed-42__repeat-1,extrapolation_grouped,42,1,svr_rbf,"{""C"": 0.5, ""epsilon"": 0.01, ""gamma"": 0.001}",-3.9445514024893065,0.015740687705624347,0.009627692983795975,1939.853003570722,-0.002964291342215402,2.045547047628502
interpolation_random__seed-43__repeat-2,interpolation_random,43,2,svr_rbf,"{""C"": 5.0, ""epsilon"": 0.01, ""gamma"": 0.1}",0.5938360572028575,0.010847242718833106,0.008305215324991693,2122.6765469938264,0.003641034679200113,1.2368931328918518
extrapolation_grouped__seed-43__repeat-2,extrapolation_grouped,43,2,svr_rbf,"{""C"": 0.1, ""epsilon"": 0.01, ""gamma"": 0.01}",0.15290305532226928,0.013304026854273444,0.008185023739278405,2493.056502443144,0.00023677956435417448,1.7101312303933098
interpolation_random__seed-44__repeat-3,interpolation_random,44,3,svr_rbf,"{""C"": 5.0, ""epsilon"": 0.01, ""gamma"": ""scale""}",0.5756693470316341,0.010973459991661851,0.007538304218671732,1815.077526767266,0.0006970366817717395,1.264193081977892
extrapolation_grouped__seed-44__repeat-3,extrapolation_grouped,44,3,svr_rbf,"{""C"": 0.1, ""epsilon"": 0.01, ""gamma"": ""auto""}",-0.9111867073629643,0.01613500108454025,0.010288663483884889,4114.060968943187,0.004158803337306378,2.1184571886679775
interpolation_random__seed-45__repeat-4,interpolation_random,45,4,svr_rbf,"{""C"": 0.5, ""epsilon"": 0.01, ""gamma"": ""scale""}",0.6225394320473688,0.010266256719814824,0.007177704623744613,1681.2136685447342,0.0010055116385546787,1.1818072250231209
extrapolation_grouped__seed-45__repeat-4,extrapolation_grouped,45,4,svr_rbf,"{""C"": 0.1, ""epsilon"": 0.01, ""gamma"": 0.001}",0.18012614231511836,0.015131543400212532,0.008315372372606041,1175.5984736837304,-0.0012569322119405923,1.8989005300858934
interpolation_random__seed-46__repeat-5,interpolation_random,46,5,svr_rbf,"{""C"": 1.0, ""epsilon"": 0.01, ""gamma"": ""scale""}",0.6004507571453124,0.01045288742794238,0.0074362945461065675,1735.2738790548126,0.0009656032111594936,1.2009180341583452
extrapolation_grouped__seed-46__repeat-5,extrapolation_grouped,46,5,svr_rbf,"{""C"": 0.5, ""epsilon"": 0.01, ""gamma"": ""scale""}",-0.034782345071151854,0.017161310488066413,0.011365069462757614,2106.4134184125924,0.0026704261942417104,2.007613226705277
interpolation_random__seed-47__repeat-6,interpolation_random,47,6,svr_rbf,"{""C"": 5.0, ""epsilon"": 0.01, ""gamma"": ""auto""}",0.5071852361274705,0.01144634094278028,0.007323911098167241,1629.8774931320368,0.0007294880614330766,1.340478932658272
extrapolation_grouped__seed-47__repeat-6,extrapolation_grouped,47,6,svr_rbf,"{""C"": 5.0, ""epsilon"": 0.01, ""gamma"": ""auto""}",-0.04612981469803747,0.015527183210777562,0.010643791769649401,2081.5119442842524,0.002022666863718529,1.8978630594908696
interpolation_random__seed-48__repeat-7,interpolation_random,48,7,svr_rbf,"{""C"": 1.0, ""epsilon"": 0.01, ""gamma"": ""scale""}",0.5248466212666199,0.011598772524572799,0.007372244860969622,1647.3369521490163,0.0009392542206565876,1.3250912499050345
extrapolation_grouped__seed-48__repeat-7,extrapolation_grouped,48,7,svr_rbf,"{""C"": 0.1, ""epsilon"": 0.01, ""gamma"": 0.01}",0.22666931945075658,0.012372457739499996,0.007467793206098185,1227.399660379846,0.0010531064364478762,1.4840154070258742
interpolation_random__seed-49__repeat-8,interpolation_random,49,8,svr_rbf,"{""C"": 10.0, ""epsilon"": 0.01, ""gamma"": ""scale""}",0.5113349898730497,0.01117763166232491,0.00739484788015279,1635.6978311748771,0.0009004737388843628,1.3113218488913387
extrapolation_grouped__seed-49__repeat-8,extrapolation_grouped,49,8,svr_rbf,"{""C"": 0.1, ""epsilon"": 0.01, ""gamma"": 0.001}",-0.13985610590312061,0.011075346526271443,0.007232672199183154,1073.3008471231158,-0.00124635617279577,1.3732972610516043
interpolation_random__seed-50__repeat-9,interpolation_random,50,9,svr_rbf,"{""C"": 1.0, ""epsilon"": 0.01, ""gamma"": ""scale""}",0.5877611587425727,0.011010415983521676,0.0073554265801753825,1613.5955665523231,0.0011932320995739006,1.242341648647157
extrapolation_grouped__seed-50__repeat-9,extrapolation_grouped,50,9,svr_rbf,"{""C"": 0.1, ""epsilon"": 0.01, ""gamma"": ""scale""}",-0.34764156524813855,0.01532804568344115,0.010744937877514918,1973.4964612949611,0.002559670854669069,1.9130507122618716
interpolation_random__seed-51__repeat-10,interpolation_random,51,10,svr_rbf,"{""C"": 10.0, ""epsilon"": 0.01, ""gamma"": ""scale""}",0.6181143687125676,0.010196365377956268,0.006889504953677672,1508.5274655621265,0.0003525700097209694,1.176894154991042
extrapolation_grouped__seed-51__repeat-10,extrapolation_grouped,51,10,svr_rbf,"{""C"": 0.5, ""epsilon"": 0.01, ""gamma"": 0.001}",0.10250294894637817,0.015330207882787661,0.008742807870549346,2215.6296585712967,-0.0026668179829196933,1.7729342980802407
