split_id,protocol,seed,repeat,augmentation,model_id,model_family,feature_set,n_train_rows,n_test_rows,n_train_papers,n_test_papers,R2,RMSE,MAE,MAPE,MBE,NRMSE,cv_R2,cv_RMSE,cv_MAE,cv_MAPE,cv_MBE,cv_NRMSE,selected_hyperparameters
interpolation_random__seed-42__repeat-1,interpolation_random,42,1,rd,svr_rbf_inverse,svr,all,2024,507,65,60,0.562040786776977,0.011157702066081916,0.00708911787107623,1374.0544491751803,0.00046894686050629245,1.3065949148185558,0.6423577400150788,0.010296546488619598,0.007095128340551907,1882.1972913757884,0.0011234200088574534,1.1642591799392545,"{""C"": 5.0, ""epsilon"": 0.01, ""gamma"": ""scale""}"
interpolation_random__seed-42__repeat-1,interpolation_random,42,1,rd_bt,svr_rbf_inverse,svr,all,3024,507,65,60,0.5857571858074606,0.01085139116484856,0.007242699529682473,1270.8522700392502,-0.0009176740633005393,1.2707251395248038,0.6423577400150788,0.010296546488619598,0.007095128340551907,1882.1972913757884,0.0011234200088574534,1.1642591799392545,"{""C"": 5.0, ""epsilon"": 0.01, ""gamma"": ""scale""}"
extrapolation_grouped__seed-42__repeat-1,extrapolation_grouped,42,1,rd,svr_rbf_inverse,svr,all,2005,526,52,14,0.18241599781872286,0.010790189879358555,0.008116534826927773,3820.3339171597763,0.0042705040699774505,1.3599428472776895,-7.5177175697483545,0.017531489075857946,0.012528864886605007,2713.923344691575,0.006102690906703052,2.5197251781420733,"{""C"": 0.1, ""epsilon"": 0.01, ""gamma"": 0.1}"
extrapolation_grouped__seed-42__repeat-1,extrapolation_grouped,42,1,rd_bt,svr_rbf_inverse,svr,all,3005,526,52,14,0.2164984062207247,0.010562891938420194,0.007885879093186476,3592.065431336176,0.003995446449695454,1.3312953246264527,-7.5177175697483545,0.017531489075857946,0.012528864886605007,2713.923344691575,0.006102690906703052,2.5197251781420733,"{""C"": 0.1, ""epsilon"": 0.01, ""gamma"": 0.1}"
interpolation_random__seed-43__repeat-2,interpolation_random,43,2,rd,svr_rbf_inverse,svr,all,2024,507,65,61,0.6431764965787893,0.010094888973546828,0.007460310520582506,1353.6415721431906,0.001229191440824513,1.1666374997351852,0.5419264681623138,0.01130421277482282,0.0074085292388323025,1577.7839514596913,0.001564701395280177,1.2797411252151023,"{""C"": 0.1, ""epsilon"": 0.01, ""gamma"": ""scale""}"
interpolation_random__seed-43__repeat-2,interpolation_random,43,2,rd_bt,svr_rbf_inverse,svr,all,3024,507,65,61,0.6467713927067809,0.010043908666256074,0.0073213895300008,1364.487735225332,0.0012744471151180114,1.1607458511604194,0.5419264681623138,0.01130421277482282,0.0074085292388323025,1577.7839514596913,0.001564701395280177,1.2797411252151023,"{""C"": 0.1, ""epsilon"": 0.01, ""gamma"": ""scale""}"
extrapolation_grouped__seed-43__repeat-2,extrapolation_grouped,43,2,rd,svr_rbf_inverse,svr,all,1954,577,52,14,0.2708318438613684,0.015371491045370235,0.01116141068516454,1259.8768188588251,0.005795995941080456,1.7933494281240083,-0.9171581892081955,0.017851638883771784,0.011555741562745043,2160.876494315426,0.002011976394443623,2.504240229769176,"{""C"": 0.5, ""epsilon"": 0.01, ""gamma"": ""auto""}"
extrapolation_grouped__seed-43__repeat-2,extrapolation_grouped,43,2,rd_bt,svr_rbf_inverse,svr,all,2954,577,52,14,0.37728264790396393,0.014205209173148376,0.009306717482685273,1243.3560249918705,0.003155830277044809,1.6572825415476131,-0.9171581892081955,0.017851638883771784,0.011555741562745043,2160.876494315426,0.002011976394443623,2.504240229769176,"{""C"": 0.5, ""epsilon"": 0.01, ""gamma"": ""auto""}"
interpolation_random__seed-44__repeat-3,interpolation_random,44,3,rd,svr_rbf_inverse,svr,all,2024,507,66,61,0.5636749810807681,0.011615467280997601,0.007583949059913145,2227.220871091922,0.0015223979491879366,1.2735183828368797,0.6207226090379343,0.010153861430417256,0.00702935911946746,1590.2540723188379,0.0012636949403614852,1.1815264607302916,"{""C"": 0.5, ""epsilon"": 0.01, ""gamma"": ""scale""}"
interpolation_random__seed-44__repeat-3,interpolation_random,44,3,rd_bt,svr_rbf_inverse,svr,all,3024,507,66,61,0.5421023208162623,0.011899147524193483,0.007712763046563371,2305.1466847041984,0.0012965290003507121,1.3046210492916865,0.6207226090379343,0.010153861430417256,0.00702935911946746,1590.2540723188379,0.0012636949403614852,1.1815264607302916,"{""C"": 0.5, ""epsilon"": 0.01, ""gamma"": ""scale""}"
extrapolation_grouped__seed-44__repeat-3,extrapolation_grouped,44,3,rd,svr_rbf_inverse,svr,all,1910,621,52,14,-0.22234494542348782,0.01624021698684659,0.0128092240201679,4375.235780880232,0.0010710445294585748,1.9204845114382971,-2.17192456668083,0.017945433001700435,0.011877888553606341,5702.560612288706,0.004948642689749287,2.394608862364972,"{""C"": 0.5, ""epsilon"": 0.01, ""gamma"": ""scale""}"
extrapolation_grouped__seed-44__repeat-3,extrapolation_grouped,44,3,rd_bt,svr_rbf_inverse,svr,all,2910,621,52,14,-0.6965827574125127,0.01913297312774702,0.01362162546913424,3881.7835402539727,0.0035305628305406286,2.262566970586894,-2.17192456668083,0.017945433001700435,0.011877888553606341,5702.560612288706,0.004948642689749287,2.394608862364972,"{""C"": 0.5, ""epsilon"": 0.01, ""gamma"": ""scale""}"
interpolation_random__seed-45__repeat-4,interpolation_random,45,4,rd,svr_rbf_inverse,svr,all,2024,507,66,62,0.7162978864177958,0.009658214242441484,0.007013526864298582,1533.2991016435828,0.0006183655118749314,1.07260836690247,0.6100459890857082,0.010403405658894749,0.007279127951363229,1768.777094768397,0.0011711734593175568,1.1977022775608903,"{""C"": 0.5, ""epsilon"": 0.01, ""gamma"": ""auto""}"
interpolation_random__seed-45__repeat-4,interpolation_random,45,4,rd_bt,svr_rbf_inverse,svr,all,3024,507,66,62,0.6623972727597313,0.010535824368909825,0.007294230517879023,1508.390935959004,0.0014972676745168263,1.1700727574097487,0.6100459890857082,0.010403405658894749,0.007279127951363229,1768.777094768397,0.0011711734593175568,1.1977022775608903,"{""C"": 0.5, ""epsilon"": 0.01, ""gamma"": ""auto""}"
extrapolation_grouped__seed-45__repeat-4,extrapolation_grouped,45,4,rd,svr_rbf_inverse,svr,all,1998,533,52,14,-0.230706002119327,0.0165679537389022,0.010781618931540293,1385.901492902137,0.0044780962551423786,1.5556928510611274,-0.02957017366362318,0.015722584993008066,0.009836570125483782,1929.652110221998,0.00047434391198684505,2.0665145841571206,"{""C"": 0.1, ""epsilon"": 0.01, ""gamma"": 0.01}"
