split_id,protocol,seed,repeat,model_id,selected_hyperparameters,cv_R2,cv_RMSE,cv_MAE,cv_MAPE,cv_MBE,cv_NRMSE
interpolation_random__seed-42__repeat-1,interpolation_random,42,1,svr_rbf_inverse,"{""C"": 5.0, ""epsilon"": 0.01, ""gamma"": ""scale""}",0.6423577400150788,0.010296546488619598,0.007095128340551907,1882.1972913757884,0.0011234200088574534,1.1642591799392545
extrapolation_grouped__seed-42__repeat-1,extrapolation_grouped,42,1,svr_rbf_inverse,"{""C"": 0.1, ""epsilon"": 0.01, ""gamma"": 0.1}",-7.5177175697483545,0.017531489075857946,0.012528864886605007,2713.923344691575,0.006102690906703052,2.5197251781420733
interpolation_random__seed-43__repeat-2,interpolation_random,43,2,svr_rbf_inverse,"{""C"": 0.1, ""epsilon"": 0.01, ""gamma"": ""scale""}",0.5419264681623138,0.01130421277482282,0.0074085292388323025,1577.7839514596913,0.001564701395280177,1.2797411252151023
extrapolation_grouped__seed-43__repeat-2,extrapolation_grouped,43,2,svr_rbf_inverse,"{""C"": 0.5, ""epsilon"": 0.01, ""gamma"": ""auto""}",-0.9171581892081955,0.017851638883771784,0.011555741562745043,2160.876494315426,0.002011976394443623,2.504240229769176
interpolation_random__seed-44__repeat-3,interpolation_random,44,3,svr_rbf_inverse,"{""C"": 0.5, ""epsilon"": 0.01, ""gamma"": ""scale""}",0.6207226090379343,0.010153861430417256,0.00702935911946746,1590.2540723188379,0.0012636949403614852,1.1815264607302916
extrapolation_grouped__seed-44__repeat-3,extrapolation_grouped,44,3,svr_rbf_inverse,"{""C"": 0.5, ""epsilon"": 0.01, ""gamma"": ""scale""}",-2.17192456668083,0.017945433001700435,0.011877888553606341,5702.560612288706,0.004948642689749287,2.394608862364972
interpolation_random__seed-45__repeat-4,interpolation_random,45,4,svr_rbf_inverse,"{""C"": 0.5, ""epsilon"": 0.01, ""gamma"": ""auto""}",0.6100459890857082,0.010403405658894749,0.007279127951363229,1768.777094768397,0.0011711734593175568,1.1977022775608903
extrapolation_grouped__seed-45__repeat-4,extrapolation_grouped,45,4,svr_rbf_inverse,"{""C"": 0.1, ""epsilon"": 0.01, ""gamma"": 0.01}",-0.02957017366362318,0.015722584993008066,0.009836570125483782,1929.652110221998,0.00047434391198684505,2.0665145841571206
interpolation_random__seed-46__repeat-5,interpolation_random,46,5,svr_rbf_inverse,"{""C"": 0.5, ""epsilon"": 0.01, ""gamma"": ""auto""}",0.5754844856994794,0.010985539029143489,0.007701180219800223,1836.2030902467225,0.0012764855715904592,1.2552911931746389
extrapolation_grouped__seed-46__repeat-5,extrapolation_grouped,46,5,svr_rbf_inverse,"{""C"": 0.1, ""epsilon"": 0.01, ""gamma"": ""auto""}",-0.03615056359425552,0.017220496788336523,0.010639920817347558,2206.789101492883,0.0021827411832543173,2.032740957013388
interpolation_random__seed-47__repeat-6,interpolation_random,47,6,svr_rbf_inverse,"{""C"": 1.0, ""epsilon"": 0.01, ""gamma"": ""auto""}",0.5937079435157389,0.010609517253963432,0.0072084822247244235,1819.0148975707623,0.000634999949929792,1.2411654589626058
extrapolation_grouped__seed-47__repeat-6,extrapolation_grouped,47,6,svr_rbf_inverse,"{""C"": 1.0, ""epsilon"": 0.01, ""gamma"": ""scale""}",-0.09657668960997992,0.015732836383042386,0.010706962846863117,1520.5802784031898,0.0011325205991335702,1.9045803540171824
interpolation_random__seed-48__repeat-7,interpolation_random,48,7,svr_rbf_inverse,"{""C"": 0.5, ""epsilon"": 0.01, ""gamma"": ""auto""}",0.5745558780481878,0.010826452566891331,0.00747305502387421,1781.3207515075023,0.0009863224553783609,1.2497081097696947
extrapolation_grouped__seed-48__repeat-7,extrapolation_grouped,48,7,svr_rbf_inverse,"{""C"": 0.5, ""epsilon"": 0.01, ""gamma"": ""auto""}",-0.22668347476274833,0.013636831547719528,0.00870233378035371,1657.4084450062223,0.0027545006296991643,1.709861523869635
interpolation_random__seed-49__repeat-8,interpolation_random,49,8,svr_rbf_inverse,"{""C"": 5.0, ""epsilon"": 0.01, ""gamma"": ""auto""}",0.5647064632307801,0.010492584681978397,0.007398992138354432,1885.2797547255636,9.20955852606969e-05,1.2338008783651375
extrapolation_grouped__seed-49__repeat-8,extrapolation_grouped,49,8,svr_rbf_inverse,"{""C"": 1.0, ""epsilon"": 0.01, ""gamma"": 0.01}",-0.8803095404133675,0.01258437099372616,0.008594801581384232,1710.7078571782417,0.002239804436481624,1.6382756487454357
interpolation_random__seed-50__repeat-9,interpolation_random,50,9,svr_rbf_inverse,"{""C"": 1.0, ""epsilon"": 0.01, ""gamma"": ""scale""}",0.6323605396887961,0.01045352493354772,0.007391169037222314,1765.9400266579396,0.0009632892495471751,1.1797006002005694
extrapolation_grouped__seed-50__repeat-9,extrapolation_grouped,50,9,svr_rbf_inverse,"{""C"": 0.1, ""epsilon"": 0.01, ""gamma"": ""auto""}",-1.47988402587191,0.01852688300434594,0.012969644968193453,2668.745624732973,0.0035185888442729,2.4232278865424215
interpolation_random__seed-51__repeat-10,interpolation_random,51,10,svr_rbf_inverse,"{""C"": 10.0, ""epsilon"": 0.01, ""gamma"": ""scale""}",0.5884281669580405,0.010683597520133509,0.007328094840119671,1689.3910114869075,-0.0005432160515168078,1.2276796845377895
extrapolation_grouped__seed-51__repeat-10,extrapolation_grouped,51,10,svr_rbf_inverse,"{""C"": 0.5, ""epsilon"": 0.01, ""gamma"": 0.001}",0.18585660891902556,0.015128694293643805,0.0090144328082306,2559.03463086645,-0.0017562583127676324,1.725875869101472
