split_id,protocol,seed,repeat,augmentation,model_id,model_family,feature_set,n_train_rows,n_test_rows,n_train_papers,n_test_papers,R2,RMSE,MAE,MAPE,MBE,NRMSE,cv_R2,cv_RMSE,cv_MAE,cv_MAPE,cv_MBE,cv_NRMSE,selected_hyperparameters
interpolation_random__seed-42__repeat-1,interpolation_random,42,1,rd,svr_rbf_sqrt,svr,all,2024,507,65,60,0.5241311597453411,0.011630585046513528,0.007268065015774528,1268.0455295009058,0.0005087009466798838,1.3619706986382751,0.6755090346366928,0.00980862999081531,0.007009670224043715,1746.0578118128058,0.001196719452477995,1.1103911258748613,"{""C"": 1.0, ""epsilon"": 0.01, ""gamma"": ""scale""}"
interpolation_random__seed-42__repeat-1,interpolation_random,42,1,rd_bt,svr_rbf_sqrt,svr,all,3024,507,65,60,0.4691841867864096,0.012283718441565629,0.007524009721617974,1463.2352293380916,0.0011044903916596243,1.4384542583909081,0.6755090346366928,0.00980862999081531,0.007009670224043715,1746.0578118128058,0.001196719452477995,1.1103911258748613,"{""C"": 1.0, ""epsilon"": 0.01, ""gamma"": ""scale""}"
extrapolation_grouped__seed-42__repeat-1,extrapolation_grouped,42,1,rd,svr_rbf_sqrt,svr,all,2005,526,52,14,-0.16211566244091347,0.012864341840761273,0.008906990779542354,3535.8812741202855,0.00012353919413074182,1.621358833058683,-3.3196160021793326,0.01576611231037455,0.00939603692731538,1173.1884169532932,-0.003175098623354568,2.027655658053464,"{""C"": 0.1, ""epsilon"": 0.01, ""gamma"": 0.001}"
extrapolation_grouped__seed-42__repeat-1,extrapolation_grouped,42,1,rd_bt,svr_rbf_sqrt,svr,all,3005,526,52,14,-0.014114948603142219,0.012017288487278564,0.008504102450065625,3816.3055306840297,0.00032099652235282374,1.5146003642818695,-3.3196160021793326,0.01576611231037455,0.00939603692731538,1173.1884169532932,-0.003175098623354568,2.027655658053464,"{""C"": 0.1, ""epsilon"": 0.01, ""gamma"": 0.001}"
interpolation_random__seed-43__repeat-2,interpolation_random,43,2,rd,svr_rbf_sqrt,svr,all,2024,507,65,61,0.6069574040809791,0.01059484555170379,0.007247835579484338,1542.5956241799777,-0.00044397537410799327,1.22441605419434,0.6061178856105889,0.010463346341611767,0.007132675014610618,1721.4639232893576,-0.0004331401841421582,1.1945213162352029,"{""C"": 10.0, ""epsilon"": 0.01, ""gamma"": ""auto""}"
interpolation_random__seed-43__repeat-2,interpolation_random,43,2,rd_bt,svr_rbf_sqrt,svr,all,3024,507,65,61,0.6104468323995094,0.010547710234208746,0.006968310837531816,1553.1880895334748,-0.00022501119373514284,1.218968760113569,0.6061178856105889,0.010463346341611767,0.007132675014610618,1721.4639232893576,-0.0004331401841421582,1.1945213162352029,"{""C"": 10.0, ""epsilon"": 0.01, ""gamma"": ""auto""}"
extrapolation_grouped__seed-43__repeat-2,extrapolation_grouped,43,2,rd,svr_rbf_sqrt,svr,all,1954,577,52,14,0.2414063254594485,0.015678581139325496,0.009744243176421797,688.8441386700441,0.003471793394787291,1.8291767816807791,-0.1375362720354642,0.014617074002818439,0.00965777041243092,2270.0675295588226,0.0016035550711843167,1.950793583406261,"{""C"": 0.1, ""epsilon"": 0.01, ""gamma"": ""auto""}"
extrapolation_grouped__seed-43__repeat-2,extrapolation_grouped,43,2,rd_bt,svr_rbf_sqrt,svr,all,2954,577,52,14,0.26021737598952077,0.01548296787033308,0.010160004612492633,835.1034906998109,0.004361938553831949,1.8063551215668974,-0.1375362720354642,0.014617074002818439,0.00965777041243092,2270.0675295588226,0.0016035550711843167,1.950793583406261,"{""C"": 0.1, ""epsilon"": 0.01, ""gamma"": ""auto""}"
interpolation_random__seed-44__repeat-3,interpolation_random,44,3,rd,svr_rbf_sqrt,svr,all,2024,507,66,61,0.544347755196781,0.011869936204151783,0.007731681353088561,2324.140027903745,0.001362162164432802,1.3014183238084944,0.6076188462245113,0.010559409791163666,0.007265762901490974,1754.4350627532724,0.0011193814392310556,1.2243766247385073,"{""C"": 1.0, ""epsilon"": 0.01, ""gamma"": ""scale""}"
interpolation_random__seed-44__repeat-3,interpolation_random,44,3,rd_bt,svr_rbf_sqrt,svr,all,3024,507,66,61,0.552433290270699,0.01176414897930431,0.007820519697876966,2223.146793873845,0.001188798260676055,1.2898198256806614,0.6076188462245113,0.010559409791163666,0.007265762901490974,1754.4350627532724,0.0011193814392310556,1.2243766247385073,"{""C"": 1.0, ""epsilon"": 0.01, ""gamma"": ""scale""}"
