split_id,protocol,seed,repeat,augmentation,model_id,model_family,feature_set,n_train_rows,n_test_rows,n_train_papers,n_test_papers,R2,RMSE,MAE,MAPE,MBE,NRMSE,cv_R2,cv_RMSE,cv_MAE,cv_MAPE,cv_MBE,cv_NRMSE,selected_hyperparameters
interpolation_random__seed-42__repeat-1,interpolation_random,42,1,rd,xgb_absoluteerror_inverse,xgboost,all,2024,507,65,60,0.8597185262889817,0.006314777996765485,0.0019322858276816168,65.12007939936066,-7.318641363650946e-05,0.739476351843406,0.8592486301775807,0.006475264312791815,0.002339361887769376,84.52121169392339,-0.0002965183988798747,0.7308053336100443,"{""colsample_bytree"": 0.5, ""gamma"": 0.1, ""learning_rate"": 0.1, ""max_depth"": 6, ""min_child_weight"": 2, ""n_estimators"": 500, ""reg_alpha"": 0.5, ""reg_lambda"": 2.0, ""subsample"": 0.9}"
interpolation_random__seed-42__repeat-1,interpolation_random,42,1,rd_bt,xgb_absoluteerror_inverse,xgboost,all,3024,507,65,60,0.8403145427879455,0.006737373286600481,0.0021037420377718456,64.7109068928043,0.00017665915760807304,0.788963320885462,0.8592486301775807,0.006475264312791815,0.002339361887769376,84.52121169392339,-0.0002965183988798747,0.7308053336100443,"{""colsample_bytree"": 0.5, ""gamma"": 0.1, ""learning_rate"": 0.1, ""max_depth"": 6, ""min_child_weight"": 2, ""n_estimators"": 500, ""reg_alpha"": 0.5, ""reg_lambda"": 2.0, ""subsample"": 0.9}"
extrapolation_grouped__seed-42__repeat-1,extrapolation_grouped,42,1,rd,xgb_absoluteerror_inverse,xgboost,all,2005,526,52,14,0.37418262766584953,0.009440319700193392,0.005059551174492119,125.85258776857071,0.00014832949279775862,1.189811800888889,0.20846772725485102,0.011655241403851168,0.005318998575936498,307.49704348032765,-0.0006808164202206268,1.2541479276431773,"{""colsample_bytree"": 0.8, ""gamma"": 0.1, ""learning_rate"": 0.01, ""max_depth"": 5, ""min_child_weight"": 4, ""n_estimators"": 800, ""reg_alpha"": 0.0, ""reg_lambda"": 0.5, ""subsample"": 0.6}"
extrapolation_grouped__seed-42__repeat-1,extrapolation_grouped,42,1,rd_bt,xgb_absoluteerror_inverse,xgboost,all,3005,526,52,14,0.42121400377982554,0.009078663140796963,0.004620546665865323,101.65633838611872,-0.00016973829722353705,1.1442303739982371,0.20846772725485102,0.011655241403851168,0.005318998575936498,307.49704348032765,-0.0006808164202206268,1.2541479276431773,"{""colsample_bytree"": 0.8, ""gamma"": 0.1, ""learning_rate"": 0.01, ""max_depth"": 5, ""min_child_weight"": 4, ""n_estimators"": 800, ""reg_alpha"": 0.0, ""reg_lambda"": 0.5, ""subsample"": 0.6}"
interpolation_random__seed-43__repeat-2,interpolation_random,43,2,rd,xgb_absoluteerror_inverse,xgboost,all,2024,507,65,61,0.8819046097813781,0.005807527742438436,0.0022953535595686705,72.89298500865878,-0.0002680807675149355,0.6711594018354632,0.8620562307892168,0.006406354616013863,0.0023868642950292513,88.81322674053501,-0.00012170960915377446,0.7210021905865438,"{""colsample_bytree"": 0.7, ""gamma"": 0.0, ""learning_rate"": 0.2, ""max_depth"": 5, ""min_child_weight"": 2, ""n_estimators"": 500, ""reg_alpha"": 0.0, ""reg_lambda"": 0.5, ""subsample"": 1.0}"
interpolation_random__seed-43__repeat-2,interpolation_random,43,2,rd_bt,xgb_absoluteerror_inverse,xgboost,all,3024,507,65,61,0.879933404272119,0.005855795733565497,0.0023871336862631536,56.026993561387826,-0.00015497564826671623,0.6767375957743242,0.8620562307892168,0.006406354616013863,0.0023868642950292513,88.81322674053501,-0.00012170960915377446,0.7210021905865438,"{""colsample_bytree"": 0.7, ""gamma"": 0.0, ""learning_rate"": 0.2, ""max_depth"": 5, ""min_child_weight"": 2, ""n_estimators"": 500, ""reg_alpha"": 0.0, ""reg_lambda"": 0.5, ""subsample"": 1.0}"
extrapolation_grouped__seed-43__repeat-2,extrapolation_grouped,43,2,rd,xgb_absoluteerror_inverse,xgboost,all,1954,577,52,14,0.6194232069737664,0.011105121140910846,0.003627194433145547,92.8994843229589,2.2685174260769928e-05,1.295603828445689,0.2554095369339108,0.012667976408392765,0.005727926879318023,304.6422783055435,-0.00045122636616510707,1.559495130081133,"{""colsample_bytree"": 1.0, ""gamma"": 0.0, ""learning_rate"": 0.05, ""max_depth"": 4, ""min_child_weight"": 6, ""n_estimators"": 800, ""reg_alpha"": 0.5, ""reg_lambda"": 5.0, ""subsample"": 0.6}"
extrapolation_grouped__seed-43__repeat-2,extrapolation_grouped,43,2,rd_bt,xgb_absoluteerror_inverse,xgboost,all,2954,577,52,14,0.5363024918198773,0.012257997555277124,0.003982175875246269,114.01116590529301,-0.00012271532687621763,1.4301067372590885,0.2554095369339108,0.012667976408392765,0.005727926879318023,304.6422783055435,-0.00045122636616510707,1.559495130081133,"{""colsample_bytree"": 1.0, ""gamma"": 0.0, ""learning_rate"": 0.05, ""max_depth"": 4, ""min_child_weight"": 6, ""n_estimators"": 800, ""reg_alpha"": 0.5, ""reg_lambda"": 5.0, ""subsample"": 0.6}"
interpolation_random__seed-44__repeat-3,interpolation_random,44,3,rd,xgb_absoluteerror_inverse,xgboost,all,2024,507,66,61,0.8472247866280299,0.006873185689462616,0.0023504064606497837,97.15472514526716,-1.9422046810162264e-05,0.7535752210762756,0.8366072674678915,0.0068255547343928245,0.0022919235560933658,73.82923692558408,-0.0004284358189091004,0.7815944439040113,"{""colsample_bytree"": 0.5, ""gamma"": 0.3, ""learning_rate"": 0.02, ""max_depth"": 6, ""min_child_weight"": 1, ""n_estimators"": 800, ""reg_alpha"": 0.1, ""reg_lambda"": 0.5, ""subsample"": 0.7}"
interpolation_random__seed-44__repeat-3,interpolation_random,44,3,rd_bt,xgb_absoluteerror_inverse,xgboost,all,3024,507,66,61,0.8497271689743149,0.00681666359375165,0.0023564182584375577,109.37031722850953,-6.346493370422772e-05,0.7473781455576575,0.8366072674678915,0.0068255547343928245,0.0022919235560933658,73.82923692558408,-0.0004284358189091004,0.7815944439040113,"{""colsample_bytree"": 0.5, ""gamma"": 0.3, ""learning_rate"": 0.02, ""max_depth"": 6, ""min_child_weight"": 1, ""n_estimators"": 800, ""reg_alpha"": 0.1, ""reg_lambda"": 0.5, ""subsample"": 0.7}"
