model_id,model_family,feature_set,protocol,augmentation,paper_id,paper_label,n_predictions,n_unique_rows,R2,RMSE,MAE,MAPE,MBE,NRMSE,n
xgb_absoluteerror_inverse,xgboost,all,extrapolation_grouped,rd,doi::10.1016/j.combustflame.2020.12.005,"Carney, Ama, Yanjun Li, Ya-Ting Liao, Sandra Olson, and Paul Ferkul. ""Concurrent-flow flame spread over thin discrete fu",16,8,-11.96337023598602,0.1265424951706016,0.1196084041299764,83.7022366909546,-0.1196084041299764,0.903874965504297,16
xgb_absoluteerror_inverse,xgboost,all,extrapolation_grouped,rd,doi::10.1007/s10694-019-00878-w,"Vetturini, Anthony, Wohan Cui, Ya-Ting Liao, Sandra Olson, and Paul Ferkul. ""Flame Spread Over Ultra-thin Solids: Effect",44,11,-1.1143613692236678,0.07829628381831809,0.06846774454216727,393.87583330246014,-0.03874370039615102,0.9934930464892132,44
xgb_absoluteerror_inverse,xgboost,all,extrapolation_grouped,rd,citation::andracchio charles r and thomas h cochran burning of solids in oxygen rich environments in normal and reduced gravity nasa technical memorandum x 3055 national aeronautics and space administration may 1974,"Andracchio, Charles R., and Thomas H. Cochran. Burning of Solids in Oxygen-Rich Environments in Normal and Reduced Gravi",36,18,0.10783614508140593,0.026814305258282045,0.018536823821150596,36.745291755130154,-0.013984542850404978,0.5773415007764077,36
xgb_absoluteerror_inverse,xgboost,all,extrapolation_grouped,rd,doi::10.1080/00102200490276773,"Olson, Sandra L., et al. “Sounding Rocket Microgravity Experiments Elucidating Diffusive and Radiative Transport Effects",162,54,-1.838353067047286,0.02671958390822924,0.021814223155071727,76.04320545812307,-0.02180046871027242,1.0008723162072553,162
xgb_absoluteerror_inverse,xgboost,all,extrapolation_grouped,rd,doi::10.1016/j.combustflame.2022.112009,"Rojas-Alva, Ulises, Frederik Møller-Poulsen, Sze-Lok Man, Cameron Creamer, David Hanna, and Grunde Jomaas. ""Flame Spread",90,45,-70.60135636758966,0.02276180103289096,0.01013736558965759,983.5100560867394,0.01002683196410785,10.756994817056219,90
xgb_absoluteerror_inverse,xgboost,all,extrapolation_grouped,rd,citation::son youngjin paul d ronney and suleyman gokoglu comparison of carbon dioxide and helium as fire extinguishing agents for spacecraft nasa cp 2004 213205 vol2 2004 pp 409 418,"Son, Youngjin, Paul D. Ronney, and Suleyman Gokoglu. ""Comparison of Carbon Dioxide and Helium as Fire Extinguishing Agen",89,89,-0.043244464267081506,0.021068836537830298,0.0158795830976151,90.23117799567133,-0.009367154071658348,0.7912393356007935,89
xgb_absoluteerror_inverse,xgboost,all,extrapolation_grouped,rd,doi::10.1016/j.combustflame.2022.112559,"Olson, Sandra L., et al. “The Effect of Duct Size, Sample Size, and Fuel Composition on Concurrent Flame Spread over Lar",16,8,-382.80252192520976,0.01946805050335407,0.014122742083389313,531.057186184823,0.014091198851075024,6.599339153679346,16
xgb_absoluteerror_inverse,xgboost,all,extrapolation_grouped,rd,doi::10.1016/j.combustflame.2009.01.015,"Olson, Sandra L., et al. “Experimental Comparison of Opposed and Concurrent Flame Spread in a Forced Convective 0 Enviro",208,52,-1.0603387705639586,0.018425318217009455,0.014459958823927893,74.26497081906481,-0.0078512317883997,0.865820122252387,208
xgb_absoluteerror_inverse,xgboost,all,extrapolation_grouped,rd,doi::10.1016/s1540-7489(02)80315-7,"Son, Youngjin, and Paul D. Ronney. ""Radiation-Driven Flame Spread over Thermally Thick Fuels in Quiescent 0 Environments",80,40,0.31021687354303895,0.014833718861949216,0.012896724791251124,110.2757075034359,0.0021056559492126114,0.5190199127701548,80
xgb_absoluteerror_inverse,xgboost,all,extrapolation_grouped,rd,doi::10.1016/j.proci.2018.05.007,"Nagachi, Masashi, et al. ""Can a spreading flame over electric wire insulation in concurrent flow achieve steady propagat",60,30,-514.0979527476577,0.012426610274856198,0.008138107976763858,284.26930657127696,0.007848191007550145,4.677519551388781,60
