split_id,protocol,seed,repeat,model_id,selected_hyperparameters,cv_R2,cv_RMSE,cv_MAE,cv_MAPE,cv_MBE,cv_NRMSE
interpolation_random__seed-42__repeat-1,interpolation_random,42,1,xgb_absoluteerror_inverse,"{""colsample_bytree"": 0.5, ""gamma"": 0.1, ""learning_rate"": 0.1, ""max_depth"": 6, ""min_child_weight"": 2, ""n_estimators"": 500, ""reg_alpha"": 0.5, ""reg_lambda"": 2.0, ""subsample"": 0.9}",0.8592486301775807,0.006475264312791815,0.002339361887769376,84.52121169392339,-0.0002965183988798747,0.7308053336100443
extrapolation_grouped__seed-42__repeat-1,extrapolation_grouped,42,1,xgb_absoluteerror_inverse,"{""colsample_bytree"": 0.8, ""gamma"": 0.1, ""learning_rate"": 0.01, ""max_depth"": 5, ""min_child_weight"": 4, ""n_estimators"": 800, ""reg_alpha"": 0.0, ""reg_lambda"": 0.5, ""subsample"": 0.6}",0.20846772725485102,0.011655241403851168,0.005318998575936498,307.49704348032765,-0.0006808164202206268,1.2541479276431773
interpolation_random__seed-43__repeat-2,interpolation_random,43,2,xgb_absoluteerror_inverse,"{""colsample_bytree"": 0.7, ""gamma"": 0.0, ""learning_rate"": 0.2, ""max_depth"": 5, ""min_child_weight"": 2, ""n_estimators"": 500, ""reg_alpha"": 0.0, ""reg_lambda"": 0.5, ""subsample"": 1.0}",0.8620562307892168,0.006406354616013863,0.0023868642950292513,88.81322674053501,-0.00012170960915377446,0.7210021905865438
extrapolation_grouped__seed-43__repeat-2,extrapolation_grouped,43,2,xgb_absoluteerror_inverse,"{""colsample_bytree"": 1.0, ""gamma"": 0.0, ""learning_rate"": 0.05, ""max_depth"": 4, ""min_child_weight"": 6, ""n_estimators"": 800, ""reg_alpha"": 0.5, ""reg_lambda"": 5.0, ""subsample"": 0.6}",0.2554095369339108,0.012667976408392765,0.005727926879318023,304.6422783055435,-0.00045122636616510707,1.559495130081133
interpolation_random__seed-44__repeat-3,interpolation_random,44,3,xgb_absoluteerror_inverse,"{""colsample_bytree"": 0.5, ""gamma"": 0.3, ""learning_rate"": 0.02, ""max_depth"": 6, ""min_child_weight"": 1, ""n_estimators"": 800, ""reg_alpha"": 0.1, ""reg_lambda"": 0.5, ""subsample"": 0.7}",0.8366072674678915,0.0068255547343928245,0.0022919235560933658,73.82923692558408,-0.0004284358189091004,0.7815944439040113
extrapolation_grouped__seed-44__repeat-3,extrapolation_grouped,44,3,xgb_absoluteerror_inverse,"{""colsample_bytree"": 1.0, ""gamma"": 0.3, ""learning_rate"": 0.05, ""max_depth"": 6, ""min_child_weight"": 2, ""n_estimators"": 200, ""reg_alpha"": 0.1, ""reg_lambda"": 0.5, ""subsample"": 0.8}",0.4671756163746535,0.011754215962434528,0.004907867125443907,357.71526281056606,-0.0002884572650292136,1.4248882265291407
interpolation_random__seed-45__repeat-4,interpolation_random,45,4,xgb_absoluteerror_inverse,"{""colsample_bytree"": 1.0, ""gamma"": 1.0, ""learning_rate"": 0.2, ""max_depth"": 6, ""min_child_weight"": 1, ""n_estimators"": 500, ""reg_alpha"": 0.5, ""reg_lambda"": 1.0, ""subsample"": 0.9}",0.8810018484299524,0.005733962255235222,0.002216061875907953,82.25642132034632,-0.00016918279195157746,0.6606032510062485
extrapolation_grouped__seed-45__repeat-4,extrapolation_grouped,45,4,xgb_absoluteerror_inverse,"{""colsample_bytree"": 0.8, ""gamma"": 1.0, ""learning_rate"": 0.05, ""max_depth"": 5, ""min_child_weight"": 6, ""n_estimators"": 800, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 1.0}",0.45726380534563116,0.0123789029697396,0.0050079544631232795,134.86725375418453,-0.0002613678658251648,1.5575040430184162
interpolation_random__seed-46__repeat-5,interpolation_random,46,5,xgb_absoluteerror_inverse,"{""colsample_bytree"": 0.8, ""gamma"": 0.0, ""learning_rate"": 0.1, ""max_depth"": 6, ""min_child_weight"": 2, ""n_estimators"": 300, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.8}",0.8614185636088019,0.00634464392662768,0.0022651022052825737,78.14898038745532,-0.0002627493353009206,0.71553807135067
extrapolation_grouped__seed-46__repeat-5,extrapolation_grouped,46,5,xgb_absoluteerror_inverse,"{""colsample_bytree"": 0.8, ""gamma"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 6, ""min_child_weight"": 4, ""n_estimators"": 500, ""reg_alpha"": 1.0, ""reg_lambda"": 2.0, ""subsample"": 0.7}",0.3788426375743421,0.013453591439653417,0.0058295741909557925,217.68908649903864,-0.0010700181474501817,1.4899159972665683
