configuration_id,inner_fold,parameters,R2,RMSE,MAE,MAPE,MBE,NRMSE,n,split_id,protocol,seed,repeat,model_id
0,0,"{""colsample_bytree"": 0.8, ""gamma"": 0.1, ""learning_rate"": 0.01, ""max_depth"": 2, ""min_child_weight"": 2, ""n_estimators"": 200, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0, ""subsample"": 0.9}",0.25093246095758315,0.013313042914811769,0.004033422852807069,403.1540332517497,-0.0024681370292612705,1.796829554406531,405.0,interpolation_random__seed-42__repeat-1,interpolation_random,42,1,xgb_absoluteerror_sqrt
0,1,"{""colsample_bytree"": 0.8, ""gamma"": 0.1, ""learning_rate"": 0.01, ""max_depth"": 2, ""min_child_weight"": 2, ""n_estimators"": 200, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0, ""subsample"": 0.9}",0.2508817237275829,0.015625634664860204,0.005704271116871341,508.0577289923518,-0.004483879626844584,1.689681772475011,405.0,interpolation_random__seed-42__repeat-1,interpolation_random,42,1,xgb_absoluteerror_sqrt
0,2,"{""colsample_bytree"": 0.8, ""gamma"": 0.1, ""learning_rate"": 0.01, ""max_depth"": 2, ""min_child_weight"": 2, ""n_estimators"": 200, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0, ""subsample"": 0.9}",0.17777351284299958,0.01852677352421322,0.006285710139046574,248.9571126523415,-0.004750171639739823,1.8125155872847947,405.0,interpolation_random__seed-42__repeat-1,interpolation_random,42,1,xgb_absoluteerror_sqrt
0,3,"{""colsample_bytree"": 0.8, ""gamma"": 0.1, ""learning_rate"": 0.01, ""max_depth"": 2, ""min_child_weight"": 2, ""n_estimators"": 200, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0, ""subsample"": 0.9}",0.29644696033975515,0.013349336205718893,0.004833149098515004,214.47419401750824,-0.003194773342937737,1.6000619024173854,405.0,interpolation_random__seed-42__repeat-1,interpolation_random,42,1,xgb_absoluteerror_sqrt
0,4,"{""colsample_bytree"": 0.8, ""gamma"": 0.1, ""learning_rate"": 0.01, ""max_depth"": 2, ""min_child_weight"": 2, ""n_estimators"": 200, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0, ""subsample"": 0.9}",0.3008316970651477,0.013645791096165403,0.005154891046922664,340.5508732788905,-0.0038844114662588357,1.5258298675221273,404.0,interpolation_random__seed-42__repeat-1,interpolation_random,42,1,xgb_absoluteerror_sqrt
0,mean,"{""colsample_bytree"": 0.8, ""gamma"": 0.1, ""learning_rate"": 0.01, ""max_depth"": 2, ""min_child_weight"": 2, ""n_estimators"": 200, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0, ""subsample"": 0.9}",0.25537327098661367,0.014892115681153898,0.0052022888508325305,343.0387884385683,-0.00375627462100845,1.6849837368211698,404.8,interpolation_random__seed-42__repeat-1,interpolation_random,42,1,xgb_absoluteerror_sqrt
1,0,"{""colsample_bytree"": 0.7, ""gamma"": 0.0, ""learning_rate"": 0.01, ""max_depth"": 3, ""min_child_weight"": 10, ""n_estimators"": 200, ""reg_alpha"": 0.1, ""reg_lambda"": 2.0, ""subsample"": 0.6}",0.39783707848029026,0.011936413313413193,0.0034654370756900333,309.81616587479954,-0.0019558151288228912,1.6110291503147054,405.0,interpolation_random__seed-42__repeat-1,interpolation_random,42,1,xgb_absoluteerror_sqrt
1,1,"{""colsample_bytree"": 0.7, ""gamma"": 0.0, ""learning_rate"": 0.01, ""max_depth"": 3, ""min_child_weight"": 10, ""n_estimators"": 200, ""reg_alpha"": 0.1, ""reg_lambda"": 2.0, ""subsample"": 0.6}",0.3982205658371045,0.014004936387438133,0.00501303307375137,381.09643799242264,-0.0037699345837782744,1.5144271734282193,405.0,interpolation_random__seed-42__repeat-1,interpolation_random,42,1,xgb_absoluteerror_sqrt
1,2,"{""colsample_bytree"": 0.7, ""gamma"": 0.0, ""learning_rate"": 0.01, ""max_depth"": 3, ""min_child_weight"": 10, ""n_estimators"": 200, ""reg_alpha"": 0.1, ""reg_lambda"": 2.0, ""subsample"": 0.6}",0.40958442427656727,0.015699396721415227,0.005357359572548236,191.52959570320297,-0.0037234526858797505,1.5359070067620593,405.0,interpolation_random__seed-42__repeat-1,interpolation_random,42,1,xgb_absoluteerror_sqrt
1,3,"{""colsample_bytree"": 0.7, ""gamma"": 0.0, ""learning_rate"": 0.01, ""max_depth"": 3, ""min_child_weight"": 10, ""n_estimators"": 200, ""reg_alpha"": 0.1, ""reg_lambda"": 2.0, ""subsample"": 0.6}",0.4458847971918234,0.011847078932022163,0.004038826980835447,161.08953566845312,-0.0025203556058366818,1.4200001679438923,405.0,interpolation_random__seed-42__repeat-1,interpolation_random,42,1,xgb_absoluteerror_sqrt
1,4,"{""colsample_bytree"": 0.7, ""gamma"": 0.0, ""learning_rate"": 0.01, ""max_depth"": 3, ""min_child_weight"": 10, ""n_estimators"": 200, ""reg_alpha"": 0.1, ""reg_lambda"": 2.0, ""subsample"": 0.6}",0.4336231359591193,0.012281759958775661,0.004457817165254993,279.0307801475434,-0.0031509615605457286,1.3733081533179354,404.0,interpolation_random__seed-42__repeat-1,interpolation_random,42,1,xgb_absoluteerror_sqrt
1,mean,"{""colsample_bytree"": 0.7, ""gamma"": 0.0, ""learning_rate"": 0.01, ""max_depth"": 3, ""min_child_weight"": 10, ""n_estimators"": 200, ""reg_alpha"": 0.1, ""reg_lambda"": 2.0, ""subsample"": 0.6}",0.41703000034898097,0.013153917062612874,0.0044664947736160155,264.51250307728435,-0.0030241039129726656,1.4909343303533624,404.8,interpolation_random__seed-42__repeat-1,interpolation_random,42,1,xgb_absoluteerror_sqrt
