split_id,protocol,seed,repeat,augmentation,model_id,model_family,feature_set,n_train_rows,n_test_rows,n_train_papers,n_test_papers,R2,RMSE,MAE,MAPE,MBE,NRMSE,cv_R2,cv_RMSE,cv_MAE,cv_MAPE,cv_MBE,cv_NRMSE,selected_hyperparameters
interpolation_random__seed-42__repeat-1,interpolation_random,42,1,rd,xgb_baseline,xgboost,all,2024,507,65,60,0.8413299879873779,0.006715917530936272,0.0020179117517597294,165.0854251683112,0.00039704259933363357,0.7864507980489126,0.8947092570105681,0.005565898796344533,0.0021266055094183956,164.8816578147045,9.012209266874734e-05,0.6205789373770558,"{""colsample_bytree"": 1.0, ""gamma"": 0.0, ""learning_rate"": 0.1, ""max_depth"": 5, ""min_child_weight"": 4, ""n_estimators"": 300, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.6}"
interpolation_random__seed-42__repeat-1,interpolation_random,42,1,rd_bt,xgb_baseline,xgboost,all,3024,507,65,60,0.8445688281028427,0.006647020037081498,0.0019807017577184735,124.98017627985705,0.0004051763085335066,0.7783827286040361,0.8947092570105681,0.005565898796344533,0.0021266055094183956,164.8816578147045,9.012209266874734e-05,0.6205789373770558,"{""colsample_bytree"": 1.0, ""gamma"": 0.0, ""learning_rate"": 0.1, ""max_depth"": 5, ""min_child_weight"": 4, ""n_estimators"": 300, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.6}"
extrapolation_grouped__seed-42__repeat-1,extrapolation_grouped,42,1,rd,xgb_baseline,xgboost,all,2005,526,52,14,0.047912689624898364,0.011643975504582692,0.006643603666431227,211.81585928708375,0.002204872937343166,1.467549818713219,-0.017036167169507933,0.011770036828251331,0.005151407231267404,398.3887648406186,-0.0002641419200111472,1.3313593710828893,"{""colsample_bytree"": 0.5, ""gamma"": 0.0, ""learning_rate"": 0.02, ""max_depth"": 5, ""min_child_weight"": 6, ""n_estimators"": 300, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0, ""subsample"": 1.0}"
extrapolation_grouped__seed-42__repeat-1,extrapolation_grouped,42,1,rd_bt,xgb_baseline,xgboost,all,3005,526,52,14,-0.014217139591281791,0.012017893954958078,0.0068453616243396,187.45975738038388,0.0018123976404304742,1.5146766744718865,-0.017036167169507933,0.011770036828251331,0.005151407231267404,398.3887648406186,-0.0002641419200111472,1.3313593710828893,"{""colsample_bytree"": 0.5, ""gamma"": 0.0, ""learning_rate"": 0.02, ""max_depth"": 5, ""min_child_weight"": 6, ""n_estimators"": 300, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0, ""subsample"": 1.0}"
interpolation_random__seed-43__repeat-2,interpolation_random,43,2,rd,xgb_baseline,xgboost,all,2024,507,65,61,0.8933069488308409,0.005520048428278801,0.0023020495638111263,96.20126378184553,-0.00016710447126840844,0.6379362381953636,0.8272176307305859,0.007006823742350898,0.00255531171567495,159.0770459430345,1.4281944526484299e-05,0.7895750829011379,"{""colsample_bytree"": 0.7, ""gamma"": 0.0, ""learning_rate"": 0.1, ""max_depth"": 4, ""min_child_weight"": 6, ""n_estimators"": 300, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 0.9}"
interpolation_random__seed-43__repeat-2,interpolation_random,43,2,rd_bt,xgb_baseline,xgboost,all,3024,507,65,61,0.8876110460592406,0.005665479009742185,0.002329910958146742,95.88267492114932,-0.00017521214116676838,0.6547432353191631,0.8272176307305859,0.007006823742350898,0.00255531171567495,159.0770459430345,1.4281944526484299e-05,0.7895750829011379,"{""colsample_bytree"": 0.7, ""gamma"": 0.0, ""learning_rate"": 0.1, ""max_depth"": 4, ""min_child_weight"": 6, ""n_estimators"": 300, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 0.9}"
extrapolation_grouped__seed-43__repeat-2,extrapolation_grouped,43,2,rd,xgb_baseline,xgboost,all,1954,577,52,14,0.38241453354848265,0.014146554693557674,0.005554338334418666,272.42591076595033,-0.000839585833478351,1.6504394853261688,0.36160564888042934,0.012583029626608741,0.006141691489506515,957.1078538997481,-0.0003671839470989897,1.4828796772917074,"{""colsample_bytree"": 0.5, ""gamma"": 0.0, ""learning_rate"": 0.1, ""max_depth"": 3, ""min_child_weight"": 6, ""n_estimators"": 100, ""reg_alpha"": 1.0, ""reg_lambda"": 2.0, ""subsample"": 0.7}"
extrapolation_grouped__seed-43__repeat-2,extrapolation_grouped,43,2,rd_bt,xgb_baseline,xgboost,all,2954,577,52,14,0.39777158525887313,0.013969561397286808,0.005565308961609131,229.25501584657337,-0.0007912145332576293,1.6297901660303193,0.36160564888042934,0.012583029626608741,0.006141691489506515,957.1078538997481,-0.0003671839470989897,1.4828796772917074,"{""colsample_bytree"": 0.5, ""gamma"": 0.0, ""learning_rate"": 0.1, ""max_depth"": 3, ""min_child_weight"": 6, ""n_estimators"": 100, ""reg_alpha"": 1.0, ""reg_lambda"": 2.0, ""subsample"": 0.7}"
interpolation_random__seed-44__repeat-3,interpolation_random,44,3,rd,xgb_baseline,xgboost,all,2024,507,66,61,0.8071410209476646,0.007722386952392175,0.003179267508744705,231.8982707089369,0.0009099824993995753,0.8466815415459077,0.8197965769774938,0.007054768698099924,0.002855293293859334,152.4027826268395,-2.779929605943339e-05,0.8121991804215474,"{""colsample_bytree"": 0.5, ""gamma"": 0.0, ""learning_rate"": 0.1, ""max_depth"": 3, ""min_child_weight"": 4, ""n_estimators"": 200, ""reg_alpha"": 0.1, ""reg_lambda"": 2.0, ""subsample"": 0.7}"
interpolation_random__seed-44__repeat-3,interpolation_random,44,3,rd_bt,xgb_baseline,xgboost,all,3024,507,66,61,0.8259170625449619,0.0073368515330067075,0.0031036742827541914,293.9132878822289,0.0009185451329596691,0.8044114862873172,0.8197965769774938,0.007054768698099924,0.002855293293859334,152.4027826268395,-2.779929605943339e-05,0.8121991804215474,"{""colsample_bytree"": 0.5, ""gamma"": 0.0, ""learning_rate"": 0.1, ""max_depth"": 3, ""min_child_weight"": 4, ""n_estimators"": 200, ""reg_alpha"": 0.1, ""reg_lambda"": 2.0, ""subsample"": 0.7}"
extrapolation_grouped__seed-44__repeat-3,extrapolation_grouped,44,3,rd,xgb_baseline,xgboost,all,1910,621,52,14,0.5265171225095033,0.010107577412804608,0.005332220657980798,264.3073554299912,-0.0008979527094415226,1.1952701053918617,-0.04126756681055499,0.012025330699416468,0.006104228021994151,658.571271031371,0.0008524972791448487,1.5775417115820294,"{""colsample_bytree"": 0.7, ""gamma"": 0.0, ""learning_rate"": 0.2, ""max_depth"": 4, ""min_child_weight"": 10, ""n_estimators"": 800, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 0.6}"
extrapolation_grouped__seed-44__repeat-3,extrapolation_grouped,44,3,rd_bt,xgb_baseline,xgboost,all,2910,621,52,14,0.43085263691098064,0.011081723276565682,0.0060727859014775105,320.5313316377884,-0.00027227370831630303,1.3104675836490836,-0.04126756681055499,0.012025330699416468,0.006104228021994151,658.571271031371,0.0008524972791448487,1.5775417115820294,"{""colsample_bytree"": 0.7, ""gamma"": 0.0, ""learning_rate"": 0.2, ""max_depth"": 4, ""min_child_weight"": 10, ""n_estimators"": 800, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 0.6}"
interpolation_random__seed-45__repeat-4,interpolation_random,45,4,rd,xgb_baseline,xgboost,all,2024,507,66,62,0.8807337344659077,0.00626216288183829,0.0020834025288169913,119.4575021174523,-4.2184699083483005e-05,0.695454473607524,0.8754105275811742,0.005945657602496645,0.00205942498362388,95.70294693616958,-9.547180032198872e-05,0.6770990498170054,"{""colsample_bytree"": 0.5, ""gamma"": 0.0, ""learning_rate"": 0.02, ""max_depth"": 6, ""min_child_weight"": 1, ""n_estimators"": 500, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.9}"
interpolation_random__seed-45__repeat-4,interpolation_random,45,4,rd_bt,xgb_baseline,xgboost,all,3024,507,66,62,0.8728812430965956,0.0064650273701923975,0.0020971657239051917,111.59262911583134,-2.235119018534045e-05,0.7179839124969433,0.8754105275811742,0.005945657602496645,0.00205942498362388,95.70294693616958,-9.547180032198872e-05,0.6770990498170054,"{""colsample_bytree"": 0.5, ""gamma"": 0.0, ""learning_rate"": 0.02, ""max_depth"": 6, ""min_child_weight"": 1, ""n_estimators"": 500, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.9}"
extrapolation_grouped__seed-45__repeat-4,extrapolation_grouped,45,4,rd,xgb_baseline,xgboost,all,1998,533,52,14,0.4650304751500831,0.010923359707293278,0.006324400471171633,696.102801976619,-0.0003547127328218282,1.0256784195566757,0.4709615797661956,0.012312799178127536,0.004602358809110219,173.35710593166294,-0.0006098569197049337,1.5582240192207268,"{""colsample_bytree"": 0.5, ""gamma"": 0.0, ""learning_rate"": 0.1, ""max_depth"": 4, ""min_child_weight"": 6, ""n_estimators"": 800, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 1.0}"
