split_id,protocol,seed,repeat,model_id,selected_hyperparameters,cv_R2,cv_RMSE,cv_MAE,cv_MAPE,cv_MBE,cv_NRMSE
interpolation_random__seed-42__repeat-1,interpolation_random,42,1,xgb_baseline,"{""colsample_bytree"": 1.0, ""gamma"": 0.0, ""learning_rate"": 0.1, ""max_depth"": 5, ""min_child_weight"": 4, ""n_estimators"": 300, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.6}",0.8947092570105681,0.005565898796344533,0.0021266055094183956,164.8816578147045,9.012209266874734e-05,0.6205789373770558
extrapolation_grouped__seed-42__repeat-1,extrapolation_grouped,42,1,xgb_baseline,"{""colsample_bytree"": 0.5, ""gamma"": 0.0, ""learning_rate"": 0.02, ""max_depth"": 5, ""min_child_weight"": 6, ""n_estimators"": 300, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0, ""subsample"": 1.0}",-0.017036167169507933,0.011770036828251331,0.005151407231267404,398.3887648406186,-0.0002641419200111472,1.3313593710828893
interpolation_random__seed-43__repeat-2,interpolation_random,43,2,xgb_baseline,"{""colsample_bytree"": 0.7, ""gamma"": 0.0, ""learning_rate"": 0.1, ""max_depth"": 4, ""min_child_weight"": 6, ""n_estimators"": 300, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 0.9}",0.8272176307305859,0.007006823742350898,0.00255531171567495,159.0770459430345,1.4281944526484299e-05,0.7895750829011379
extrapolation_grouped__seed-43__repeat-2,extrapolation_grouped,43,2,xgb_baseline,"{""colsample_bytree"": 0.5, ""gamma"": 0.0, ""learning_rate"": 0.1, ""max_depth"": 3, ""min_child_weight"": 6, ""n_estimators"": 100, ""reg_alpha"": 1.0, ""reg_lambda"": 2.0, ""subsample"": 0.7}",0.36160564888042934,0.012583029626608741,0.006141691489506515,957.1078538997481,-0.0003671839470989897,1.4828796772917074
interpolation_random__seed-44__repeat-3,interpolation_random,44,3,xgb_baseline,"{""colsample_bytree"": 0.5, ""gamma"": 0.0, ""learning_rate"": 0.1, ""max_depth"": 3, ""min_child_weight"": 4, ""n_estimators"": 200, ""reg_alpha"": 0.1, ""reg_lambda"": 2.0, ""subsample"": 0.7}",0.8197965769774938,0.007054768698099924,0.002855293293859334,152.4027826268395,-2.779929605943339e-05,0.8121991804215474
extrapolation_grouped__seed-44__repeat-3,extrapolation_grouped,44,3,xgb_baseline,"{""colsample_bytree"": 0.7, ""gamma"": 0.0, ""learning_rate"": 0.2, ""max_depth"": 4, ""min_child_weight"": 10, ""n_estimators"": 800, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 0.6}",-0.04126756681055499,0.012025330699416468,0.006104228021994151,658.571271031371,0.0008524972791448487,1.5775417115820294
interpolation_random__seed-45__repeat-4,interpolation_random,45,4,xgb_baseline,"{""colsample_bytree"": 0.5, ""gamma"": 0.0, ""learning_rate"": 0.02, ""max_depth"": 6, ""min_child_weight"": 1, ""n_estimators"": 500, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.9}",0.8754105275811742,0.005945657602496645,0.00205942498362388,95.70294693616958,-9.547180032198872e-05,0.6770990498170054
extrapolation_grouped__seed-45__repeat-4,extrapolation_grouped,45,4,xgb_baseline,"{""colsample_bytree"": 0.5, ""gamma"": 0.0, ""learning_rate"": 0.1, ""max_depth"": 4, ""min_child_weight"": 6, ""n_estimators"": 800, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 1.0}",0.4709615797661956,0.012312799178127536,0.004602358809110219,173.35710593166294,-0.0006098569197049337,1.5582240192207268
interpolation_random__seed-46__repeat-5,interpolation_random,46,5,xgb_baseline,"{""colsample_bytree"": 0.5, ""gamma"": 0.0, ""learning_rate"": 0.05, ""max_depth"": 6, ""min_child_weight"": 4, ""n_estimators"": 800, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 0.7}",0.8686981181477208,0.006151927211041996,0.0023777397844297558,131.08470747179481,8.164511886581071e-06,0.7075195654632532
extrapolation_grouped__seed-46__repeat-5,extrapolation_grouped,46,5,xgb_baseline,"{""colsample_bytree"": 1.0, ""gamma"": 0.0, ""learning_rate"": 0.1, ""max_depth"": 5, ""min_child_weight"": 1, ""n_estimators"": 100, ""reg_alpha"": 0.0, ""reg_lambda"": 0.5, ""subsample"": 0.6}",0.3889114305056585,0.013605029519489992,0.00568283744424537,201.9412932127278,-0.0007258125432799435,1.531589270966329
