split_id,protocol,seed,repeat,augmentation,model_id,model_family,feature_set,n_train_rows,n_test_rows,n_train_papers,n_test_papers,R2,RMSE,MAE,MAPE,MBE,NRMSE,cv_R2,cv_RMSE,cv_MAE,cv_MAPE,cv_MBE,cv_NRMSE,selected_hyperparameters
interpolation_random__seed-42__repeat-1,interpolation_random,42,1,rd,xgb_log_target_inverse,xgboost,all,2024,507,65,60,0.8020908516755613,0.007500511169809808,0.0019624194078221202,169.8922790024509,0.000395305093352938,0.8783286822834694,0.8819061092782647,0.005914542766498164,0.002035920428354877,132.4949369061703,0.00015239656140781833,0.6672793789063823,"{""colsample_bytree"": 0.8, ""gamma"": 0.0, ""learning_rate"": 0.05, ""max_depth"": 5, ""min_child_weight"": 1, ""n_estimators"": 500, ""reg_alpha"": 0.0, ""reg_lambda"": 2.0, ""subsample"": 0.8}"
interpolation_random__seed-42__repeat-1,interpolation_random,42,1,rd_bt,xgb_log_target_inverse,xgboost,all,3024,507,65,60,0.8147845719512428,0.0072559871850395455,0.0019711352995537353,127.1070156484319,0.00043536853559447523,0.8496943099763598,0.8819061092782647,0.005914542766498164,0.002035920428354877,132.4949369061703,0.00015239656140781833,0.6672793789063823,"{""colsample_bytree"": 0.8, ""gamma"": 0.0, ""learning_rate"": 0.05, ""max_depth"": 5, ""min_child_weight"": 1, ""n_estimators"": 500, ""reg_alpha"": 0.0, ""reg_lambda"": 2.0, ""subsample"": 0.8}"
extrapolation_grouped__seed-42__repeat-1,extrapolation_grouped,42,1,rd,xgb_log_target_inverse,xgboost,all,2005,526,52,14,0.09786705869514878,0.011334390349426552,0.006980425846492224,996.7799808145501,0.0010448520195150838,1.42853121736466,-0.07814335641324559,0.013358946800606513,0.006632094075568648,817.7131611321902,-9.382404640495678e-05,1.5002586738653172,"{""colsample_bytree"": 0.5, ""gamma"": 0.0, ""learning_rate"": 0.01, ""max_depth"": 5, ""min_child_weight"": 1, ""n_estimators"": 300, ""reg_alpha"": 0.5, ""reg_lambda"": 0.5, ""subsample"": 0.6}"
extrapolation_grouped__seed-42__repeat-1,extrapolation_grouped,42,1,rd_bt,xgb_log_target_inverse,xgboost,all,3005,526,52,14,0.10026915191936847,0.011319290352019902,0.006838391024574841,981.9307601425837,0.0008714213243610387,1.4266280874200825,-0.07814335641324559,0.013358946800606513,0.006632094075568648,817.7131611321902,-9.382404640495678e-05,1.5002586738653172,"{""colsample_bytree"": 0.5, ""gamma"": 0.0, ""learning_rate"": 0.01, ""max_depth"": 5, ""min_child_weight"": 1, ""n_estimators"": 300, ""reg_alpha"": 0.5, ""reg_lambda"": 0.5, ""subsample"": 0.6}"
interpolation_random__seed-43__repeat-2,interpolation_random,43,2,rd,xgb_log_target_inverse,xgboost,all,2024,507,65,61,0.8451788790558887,0.006649514296584173,0.0027303378644581784,120.87995557074487,-3.819403748562078e-06,0.7684653841908192,0.8124211914372902,0.007255765596038818,0.0027897341961288,192.72489076100754,-0.0001783996874656941,0.8215359662899546,"{""colsample_bytree"": 0.8, ""gamma"": 0.0, ""learning_rate"": 0.05, ""max_depth"": 6, ""min_child_weight"": 1, ""n_estimators"": 200, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 0.6}"
interpolation_random__seed-43__repeat-2,interpolation_random,43,2,rd_bt,xgb_log_target_inverse,xgboost,all,3024,507,65,61,0.8439799739072467,0.006675210928515877,0.002651916295702164,102.11693095239494,-2.396898848980393e-05,0.7714350705842978,0.8124211914372902,0.007255765596038818,0.0027897341961288,192.72489076100754,-0.0001783996874656941,0.8215359662899546,"{""colsample_bytree"": 0.8, ""gamma"": 0.0, ""learning_rate"": 0.05, ""max_depth"": 6, ""min_child_weight"": 1, ""n_estimators"": 200, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 0.6}"
extrapolation_grouped__seed-43__repeat-2,extrapolation_grouped,43,2,rd,xgb_log_target_inverse,xgboost,all,1954,577,52,14,0.37991783511975585,0.014175120825900035,0.004974926047812644,225.1982011404412,-0.0009772144321975938,1.6537722171313451,0.24761352518019222,0.012906815534564547,0.0060414968428806285,775.0119922789047,-0.00043368336502936473,1.625926355885777,"{""colsample_bytree"": 0.7, ""gamma"": 0.0, ""learning_rate"": 0.05, ""max_depth"": 4, ""min_child_weight"": 1, ""n_estimators"": 300, ""reg_alpha"": 0.5, ""reg_lambda"": 1.0, ""subsample"": 1.0}"
extrapolation_grouped__seed-43__repeat-2,extrapolation_grouped,43,2,rd_bt,xgb_log_target_inverse,xgboost,all,2954,577,52,14,0.4055442886768832,0.013879119060793895,0.004721508769111129,198.27183932154284,-0.000684040506343962,1.619238508292691,0.24761352518019222,0.012906815534564547,0.0060414968428806285,775.0119922789047,-0.00043368336502936473,1.625926355885777,"{""colsample_bytree"": 0.7, ""gamma"": 0.0, ""learning_rate"": 0.05, ""max_depth"": 4, ""min_child_weight"": 1, ""n_estimators"": 300, ""reg_alpha"": 0.5, ""reg_lambda"": 1.0, ""subsample"": 1.0}"
interpolation_random__seed-44__repeat-3,interpolation_random,44,3,rd,xgb_log_target_inverse,xgboost,all,2024,507,66,61,0.8421445034504547,0.006986529256960932,0.0026195726432968074,184.39814712056244,0.0004884094558138522,0.7660021956691584,0.841069738368921,0.006634058820836518,0.0024542623361741914,177.5376292099846,-3.423705184257848e-05,0.7608613344682731,"{""colsample_bytree"": 0.5, ""gamma"": 0.0, ""learning_rate"": 0.2, ""max_depth"": 5, ""min_child_weight"": 2, ""n_estimators"": 800, ""reg_alpha"": 0.1, ""reg_lambda"": 0.5, ""subsample"": 0.6}"
interpolation_random__seed-44__repeat-3,interpolation_random,44,3,rd_bt,xgb_log_target_inverse,xgboost,all,3024,507,66,61,0.8513355214784889,0.006780086484444464,0.0025612384625288047,194.55771281703423,0.0004461741688098172,0.743367835858801,0.841069738368921,0.006634058820836518,0.0024542623361741914,177.5376292099846,-3.423705184257848e-05,0.7608613344682731,"{""colsample_bytree"": 0.5, ""gamma"": 0.0, ""learning_rate"": 0.2, ""max_depth"": 5, ""min_child_weight"": 2, ""n_estimators"": 800, ""reg_alpha"": 0.1, ""reg_lambda"": 0.5, ""subsample"": 0.6}"
