configuration_id,inner_fold,parameters,R2,RMSE,MAE,MAPE,MBE,NRMSE,n,split_id,protocol,seed,repeat,model_id
0,0,"{""colsample_bytree"": 1.0, ""gamma"": 0.3, ""learning_rate"": 0.02, ""max_depth"": 3, ""min_child_weight"": 10, ""n_estimators"": 500, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 0.8}",-0.014896725617008055,0.0169594931558686,0.010612201626024094,2990.6705702621875,0.002036027668183201,2.0205730917936133,405.0,interpolation_random__seed-42__repeat-1,interpolation_random,42,1,xgb_log_target_inverse
0,1,"{""colsample_bytree"": 1.0, ""gamma"": 0.3, ""learning_rate"": 0.02, ""max_depth"": 3, ""min_child_weight"": 10, ""n_estimators"": 500, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 0.8}",-0.0027983590788740464,0.0181047222973543,0.011699670000411284,3641.7225807478944,0.0009563938638926104,1.8591686774651848,405.0,interpolation_random__seed-42__repeat-1,interpolation_random,42,1,xgb_log_target_inverse
0,2,"{""colsample_bytree"": 1.0, ""gamma"": 0.3, ""learning_rate"": 0.02, ""max_depth"": 3, ""min_child_weight"": 10, ""n_estimators"": 500, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 0.8}",0.002749530925501009,0.01865640565267373,0.011627843837833093,3377.641594514916,0.0018450894472469427,1.97534281357066,405.0,interpolation_random__seed-42__repeat-1,interpolation_random,42,1,xgb_log_target_inverse
0,3,"{""colsample_bytree"": 1.0, ""gamma"": 0.3, ""learning_rate"": 0.02, ""max_depth"": 3, ""min_child_weight"": 10, ""n_estimators"": 500, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 0.8}",-0.022866197183752934,0.01662832300161505,0.010640584236375795,3258.435809328867,0.0024861997061980234,2.012915599051328,405.0,interpolation_random__seed-42__repeat-1,interpolation_random,42,1,xgb_log_target_inverse
0,4,"{""colsample_bytree"": 1.0, ""gamma"": 0.3, ""learning_rate"": 0.02, ""max_depth"": 3, ""min_child_weight"": 10, ""n_estimators"": 500, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 0.8}",-0.01801674812102494,0.01665343839385006,0.010790584855966926,2666.5525272069335,0.0022154637931350958,2.000127568127352,404.0,interpolation_random__seed-42__repeat-1,interpolation_random,42,1,xgb_log_target_inverse
0,mean,"{""colsample_bytree"": 1.0, ""gamma"": 0.3, ""learning_rate"": 0.02, ""max_depth"": 3, ""min_child_weight"": 10, ""n_estimators"": 500, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 0.8}",-0.011165699815031793,0.017400476500272346,0.01107417691132224,3187.0046164121595,0.0019078348957311745,1.9736255500016278,404.8,interpolation_random__seed-42__repeat-1,interpolation_random,42,1,xgb_log_target_inverse
1,0,"{""colsample_bytree"": 1.0, ""gamma"": 0.1, ""learning_rate"": 0.1, ""max_depth"": 6, ""min_child_weight"": 10, ""n_estimators"": 800, ""reg_alpha"": 0.5, ""reg_lambda"": 1.0, ""subsample"": 0.9}",-0.010312600410437689,0.01692114815646565,0.010023949310338447,2596.3129029618854,0.0011693986750303767,2.0160046254316555,405.0,interpolation_random__seed-42__repeat-1,interpolation_random,42,1,xgb_log_target_inverse
1,1,"{""colsample_bytree"": 1.0, ""gamma"": 0.1, ""learning_rate"": 0.1, ""max_depth"": 6, ""min_child_weight"": 10, ""n_estimators"": 800, ""reg_alpha"": 0.5, ""reg_lambda"": 1.0, ""subsample"": 0.9}",0.10456950442054913,0.01710806930383415,0.010807067102550588,3173.621799641883,2.81688350237086e-05,1.7568226708586456,405.0,interpolation_random__seed-42__repeat-1,interpolation_random,42,1,xgb_log_target_inverse
1,2,"{""colsample_bytree"": 1.0, ""gamma"": 0.1, ""learning_rate"": 0.1, ""max_depth"": 6, ""min_child_weight"": 10, ""n_estimators"": 800, ""reg_alpha"": 0.5, ""reg_lambda"": 1.0, ""subsample"": 0.9}",0.2771099131849498,0.01588407709033411,0.010049897934967772,2743.702524680479,0.001122283750438545,1.6818082815484423,405.0,interpolation_random__seed-42__repeat-1,interpolation_random,42,1,xgb_log_target_inverse
1,3,"{""colsample_bytree"": 1.0, ""gamma"": 0.1, ""learning_rate"": 0.1, ""max_depth"": 6, ""min_child_weight"": 10, ""n_estimators"": 800, ""reg_alpha"": 0.5, ""reg_lambda"": 1.0, ""subsample"": 0.9}",0.1759250263714588,0.01492527704415879,0.009491160278568412,2723.4466635380845,0.001457757305113642,1.8067560378416951,405.0,interpolation_random__seed-42__repeat-1,interpolation_random,42,1,xgb_log_target_inverse
