split_id,protocol,seed,repeat,model_id,selected_hyperparameters,cv_R2,cv_RMSE,cv_MAE,cv_MAPE,cv_MBE,cv_NRMSE
interpolation_random__seed-42__repeat-1,interpolation_random,42,1,xgb_log_target_inverse,"{""colsample_bytree"": 0.8, ""gamma"": 0.0, ""learning_rate"": 0.05, ""max_depth"": 5, ""min_child_weight"": 1, ""n_estimators"": 500, ""reg_alpha"": 0.0, ""reg_lambda"": 2.0, ""subsample"": 0.8}",0.8819061092782647,0.005914542766498164,0.002035920428354877,132.4949369061703,0.00015239656140781833,0.6672793789063823
extrapolation_grouped__seed-42__repeat-1,extrapolation_grouped,42,1,xgb_log_target_inverse,"{""colsample_bytree"": 0.5, ""gamma"": 0.0, ""learning_rate"": 0.01, ""max_depth"": 5, ""min_child_weight"": 1, ""n_estimators"": 300, ""reg_alpha"": 0.5, ""reg_lambda"": 0.5, ""subsample"": 0.6}",-0.07814335641324559,0.013358946800606513,0.006632094075568648,817.7131611321902,-9.382404640495678e-05,1.5002586738653172
interpolation_random__seed-43__repeat-2,interpolation_random,43,2,xgb_log_target_inverse,"{""colsample_bytree"": 0.8, ""gamma"": 0.0, ""learning_rate"": 0.05, ""max_depth"": 6, ""min_child_weight"": 1, ""n_estimators"": 200, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 0.6}",0.8124211914372902,0.007255765596038818,0.0027897341961288,192.72489076100754,-0.0001783996874656941,0.8215359662899546
extrapolation_grouped__seed-43__repeat-2,extrapolation_grouped,43,2,xgb_log_target_inverse,"{""colsample_bytree"": 0.7, ""gamma"": 0.0, ""learning_rate"": 0.05, ""max_depth"": 4, ""min_child_weight"": 1, ""n_estimators"": 300, ""reg_alpha"": 0.5, ""reg_lambda"": 1.0, ""subsample"": 1.0}",0.24761352518019222,0.012906815534564547,0.0060414968428806285,775.0119922789047,-0.00043368336502936473,1.625926355885777
interpolation_random__seed-44__repeat-3,interpolation_random,44,3,xgb_log_target_inverse,"{""colsample_bytree"": 0.5, ""gamma"": 0.0, ""learning_rate"": 0.2, ""max_depth"": 5, ""min_child_weight"": 2, ""n_estimators"": 800, ""reg_alpha"": 0.1, ""reg_lambda"": 0.5, ""subsample"": 0.6}",0.841069738368921,0.006634058820836518,0.0024542623361741914,177.5376292099846,-3.423705184257848e-05,0.7608613344682731
extrapolation_grouped__seed-44__repeat-3,extrapolation_grouped,44,3,xgb_log_target_inverse,"{""colsample_bytree"": 0.7, ""gamma"": 0.0, ""learning_rate"": 0.02, ""max_depth"": 6, ""min_child_weight"": 1, ""n_estimators"": 500, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 1.0}",0.30842082477859945,0.012298897909971303,0.0049719030951313,447.3892388610702,-0.00012172435345003865,1.5412890258893683
interpolation_random__seed-45__repeat-4,interpolation_random,45,4,xgb_log_target_inverse,"{""colsample_bytree"": 0.5, ""gamma"": 0.0, ""learning_rate"": 0.05, ""max_depth"": 5, ""min_child_weight"": 2, ""n_estimators"": 200, ""reg_alpha"": 0.1, ""reg_lambda"": 0.5, ""subsample"": 0.7}",0.8400490296125149,0.006758313433529018,0.0027621196748208844,192.68519006543718,-0.00014484158391329778,0.7735038587295212
extrapolation_grouped__seed-45__repeat-4,extrapolation_grouped,45,4,xgb_log_target_inverse,"{""colsample_bytree"": 1.0, ""gamma"": 0.0, ""learning_rate"": 0.05, ""max_depth"": 4, ""min_child_weight"": 10, ""n_estimators"": 300, ""reg_alpha"": 0.1, ""reg_lambda"": 0.5, ""subsample"": 0.7}",0.35872871748150176,0.013458849714304102,0.005137688458379632,198.4491693797159,-0.0009763271981294948,1.7157752177047834
interpolation_random__seed-46__repeat-5,interpolation_random,46,5,xgb_log_target_inverse,"{""colsample_bytree"": 0.7, ""gamma"": 0.0, ""learning_rate"": 0.02, ""max_depth"": 6, ""min_child_weight"": 1, ""n_estimators"": 800, ""reg_alpha"": 0.0, ""reg_lambda"": 2.0, ""subsample"": 0.6}",0.8876031837040006,0.005685001181472574,0.001985701045955043,133.52151291366036,-3.7452940561990414e-05,0.6495887162840606
extrapolation_grouped__seed-46__repeat-5,extrapolation_grouped,46,5,xgb_log_target_inverse,"{""colsample_bytree"": 1.0, ""gamma"": 0.0, ""learning_rate"": 0.05, ""max_depth"": 4, ""min_child_weight"": 4, ""n_estimators"": 500, ""reg_alpha"": 0.5, ""reg_lambda"": 2.0, ""subsample"": 0.6}",0.3486798912168687,0.01358548964182087,0.0060332987970471725,266.19022770894355,-0.00024471825540128584,1.5269361828765773
interpolation_random__seed-47__repeat-6,interpolation_random,47,6,xgb_log_target_inverse,"{""colsample_bytree"": 0.5, ""gamma"": 0.0, ""learning_rate"": 0.1, ""max_depth"": 5, ""min_child_weight"": 4, ""n_estimators"": 500, ""reg_alpha"": 0.0, ""reg_lambda"": 2.0, ""subsample"": 1.0}",0.8178378469491978,0.006913750068876723,0.0022652300421099818,186.2923491310115,8.109308210854052e-06,0.7992375115196598
extrapolation_grouped__seed-47__repeat-6,extrapolation_grouped,47,6,xgb_log_target_inverse,"{""colsample_bytree"": 1.0, ""gamma"": 0.0, ""learning_rate"": 0.1, ""max_depth"": 2, ""min_child_weight"": 10, ""n_estimators"": 500, ""reg_alpha"": 0.1, ""reg_lambda"": 5.0, ""subsample"": 0.9}",0.4864611917397542,0.011232382426688295,0.005141049542033026,484.64456953219144,-0.001345388644619494,1.3060687457997835
interpolation_random__seed-48__repeat-7,interpolation_random,48,7,xgb_log_target_inverse,"{""colsample_bytree"": 0.7, ""gamma"": 0.0, ""learning_rate"": 0.02, ""max_depth"": 6, ""min_child_weight"": 2, ""n_estimators"": 800, ""reg_alpha"": 0.1, ""reg_lambda"": 0.5, ""subsample"": 0.7}",0.8362370076311073,0.006762042316649225,0.0025620679374842295,164.5454560104723,-4.4024444735954895e-05,0.7850949761080048
extrapolation_grouped__seed-48__repeat-7,extrapolation_grouped,48,7,xgb_log_target_inverse,"{""colsample_bytree"": 0.5, ""gamma"": 0.0, ""learning_rate"": 0.02, ""max_depth"": 2, ""min_child_weight"": 10, ""n_estimators"": 300, ""reg_alpha"": 1.0, ""reg_lambda"": 2.0, ""subsample"": 0.6}",-0.329568831380442,0.013342861891418692,0.00686252606724089,1092.2686274540752,-0.00045314084276450466,1.7252852601117756
interpolation_random__seed-49__repeat-8,interpolation_random,49,8,xgb_log_target_inverse,"{""colsample_bytree"": 0.5, ""gamma"": 0.0, ""learning_rate"": 0.1, ""max_depth"": 6, ""min_child_weight"": 1, ""n_estimators"": 100, ""reg_alpha"": 0.0, ""reg_lambda"": 0.5, ""subsample"": 0.6}",0.8726266904457626,0.005754444194391567,0.002164514223255416,162.26985775143334,3.507433890911995e-05,0.6770851619517329
extrapolation_grouped__seed-49__repeat-8,extrapolation_grouped,49,8,xgb_log_target_inverse,"{""colsample_bytree"": 0.8, ""gamma"": 0.0, ""learning_rate"": 0.2, ""max_depth"": 6, ""min_child_weight"": 6, ""n_estimators"": 500, ""reg_alpha"": 0.0, ""reg_lambda"": 2.0, ""subsample"": 0.9}",0.20688771392655045,0.007761545270934975,0.00389462646903868,219.27463239782938,-0.000595701659047432,0.9998539989191595
interpolation_random__seed-50__repeat-9,interpolation_random,50,9,xgb_log_target_inverse,"{""colsample_bytree"": 0.7, ""gamma"": 0.0, ""learning_rate"": 0.2, ""max_depth"": 5, ""min_child_weight"": 1, ""n_estimators"": 800, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0, ""subsample"": 0.7}",0.8826785185091113,0.005743070587001821,0.001972498236859495,106.3636514916949,3.0082850169365186e-05,0.649311470275973
