split_id,protocol,seed,repeat,augmentation,model_id,model_family,feature_set,n_train_rows,n_test_rows,n_train_papers,n_test_papers,R2,RMSE,MAE,MAPE,MBE,NRMSE,cv_R2,cv_RMSE,cv_MAE,cv_MAPE,cv_MBE,cv_NRMSE,selected_hyperparameters
interpolation_random__seed-42__repeat-1,interpolation_random,42,1,rd,xgb_log_target_sqrt,xgboost,all,2024,507,65,60,0.7462665684877279,0.0084927193701763,0.0021582411620275316,169.6753407022179,0.00037299896524063675,0.9945187527264752,0.8820679890355733,0.005825396389952921,0.0021122588317610026,144.44309201779032,-5.502750036290858e-05,0.6608440234003169,"{""colsample_bytree"": 1.0, ""gamma"": 0.0, ""learning_rate"": 0.2, ""max_depth"": 4, ""min_child_weight"": 4, ""n_estimators"": 500, ""reg_alpha"": 0.0, ""reg_lambda"": 0.5, ""subsample"": 0.6}"
interpolation_random__seed-42__repeat-1,interpolation_random,42,1,rd_bt,xgb_log_target_sqrt,xgboost,all,3024,507,65,60,0.7075842740735139,0.009117132987481447,0.0021370584216343683,158.86847490425703,0.00047698949739586867,1.0676391544258959,0.8820679890355733,0.005825396389952921,0.0021122588317610026,144.44309201779032,-5.502750036290858e-05,0.6608440234003169,"{""colsample_bytree"": 1.0, ""gamma"": 0.0, ""learning_rate"": 0.2, ""max_depth"": 4, ""min_child_weight"": 4, ""n_estimators"": 500, ""reg_alpha"": 0.0, ""reg_lambda"": 0.5, ""subsample"": 0.6}"
extrapolation_grouped__seed-42__repeat-1,extrapolation_grouped,42,1,rd,xgb_log_target_sqrt,xgboost,all,2005,526,52,14,0.3513884847134604,0.00961070445335283,0.005384810791627481,253.50114066805213,0.0018991686772291054,1.2112862632417356,0.06356434592714293,0.01182530282717395,0.005530460948387482,370.842818632091,-0.00020172140386311423,1.2843436641248804,"{""colsample_bytree"": 0.8, ""gamma"": 0.0, ""learning_rate"": 0.02, ""max_depth"": 4, ""min_child_weight"": 1, ""n_estimators"": 800, ""reg_alpha"": 0.1, ""reg_lambda"": 0.5, ""subsample"": 0.7}"
extrapolation_grouped__seed-42__repeat-1,extrapolation_grouped,42,1,rd_bt,xgb_log_target_sqrt,xgboost,all,3005,526,52,14,0.339728046814046,0.009696708042254542,0.005438332544368149,251.30056240925592,0.001849476903511017,1.2221257356583273,0.06356434592714293,0.01182530282717395,0.005530460948387482,370.842818632091,-0.00020172140386311423,1.2843436641248804,"{""colsample_bytree"": 0.8, ""gamma"": 0.0, ""learning_rate"": 0.02, ""max_depth"": 4, ""min_child_weight"": 1, ""n_estimators"": 800, ""reg_alpha"": 0.1, ""reg_lambda"": 0.5, ""subsample"": 0.7}"
interpolation_random__seed-43__repeat-2,interpolation_random,43,2,rd,xgb_log_target_sqrt,xgboost,all,2024,507,65,61,0.8441548093500166,0.006671469772260068,0.0022680570831075052,120.87730830273615,-8.117865688141814e-05,0.7710027158360848,0.844811333750512,0.006364189524764233,0.0022096602455547393,163.70182514598474,-6.694757874324469e-05,0.7209598285776613,"{""colsample_bytree"": 1.0, ""gamma"": 0.0, ""learning_rate"": 0.05, ""max_depth"": 5, ""min_child_weight"": 6, ""n_estimators"": 500, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0, ""subsample"": 0.7}"
interpolation_random__seed-43__repeat-2,interpolation_random,43,2,rd_bt,xgb_log_target_sqrt,xgboost,all,3024,507,65,61,0.8453700989161773,0.006645406613977264,0.00230577091072547,114.46081569741806,-0.0001262594116169492,0.767990671038571,0.844811333750512,0.006364189524764233,0.0022096602455547393,163.70182514598474,-6.694757874324469e-05,0.7209598285776613,"{""colsample_bytree"": 1.0, ""gamma"": 0.0, ""learning_rate"": 0.05, ""max_depth"": 5, ""min_child_weight"": 6, ""n_estimators"": 500, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0, ""subsample"": 0.7}"
extrapolation_grouped__seed-43__repeat-2,extrapolation_grouped,43,2,rd,xgb_log_target_sqrt,xgboost,all,1954,577,52,14,0.493138821270814,0.012815827817401731,0.0039485151144139155,93.06597870217807,-0.0015286540076429637,1.4951872540819988,0.377978459163575,0.01240945099694349,0.005620285113105352,330.6024470767197,-0.0010249302145471898,1.470204923493623,"{""colsample_bytree"": 1.0, ""gamma"": 0.0, ""learning_rate"": 0.1, ""max_depth"": 4, ""min_child_weight"": 6, ""n_estimators"": 800, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0, ""subsample"": 0.8}"
extrapolation_grouped__seed-43__repeat-2,extrapolation_grouped,43,2,rd_bt,xgb_log_target_sqrt,xgboost,all,2954,577,52,14,0.4972981423472762,0.012763135924651873,0.0037251959297043154,106.51165942239393,-0.0011608768001801883,1.489039836407889,0.377978459163575,0.01240945099694349,0.005620285113105352,330.6024470767197,-0.0010249302145471898,1.470204923493623,"{""colsample_bytree"": 1.0, ""gamma"": 0.0, ""learning_rate"": 0.1, ""max_depth"": 4, ""min_child_weight"": 6, ""n_estimators"": 800, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0, ""subsample"": 0.8}"
interpolation_random__seed-44__repeat-3,interpolation_random,44,3,rd,xgb_log_target_sqrt,xgboost,all,2024,507,66,61,0.8554437822773799,0.006685748198210478,0.0023680468232705715,158.8575162189955,0.0004885942178482471,0.7330245979314852,0.8505431264578679,0.0064910097225561085,0.002315535507023154,177.9590938606838,0.0002021771408113735,0.7406741911801757,"{""colsample_bytree"": 1.0, ""gamma"": 0.0, ""learning_rate"": 0.2, ""max_depth"": 4, ""min_child_weight"": 10, ""n_estimators"": 500, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.6}"
interpolation_random__seed-44__repeat-3,interpolation_random,44,3,rd_bt,xgb_log_target_sqrt,xgboost,all,3024,507,66,61,0.8549394505384734,0.006697400755426485,0.002299098137672386,159.4002814865211,0.0004564540832263386,0.734302182850167,0.8505431264578679,0.0064910097225561085,0.002315535507023154,177.9590938606838,0.0002021771408113735,0.7406741911801757,"{""colsample_bytree"": 1.0, ""gamma"": 0.0, ""learning_rate"": 0.2, ""max_depth"": 4, ""min_child_weight"": 10, ""n_estimators"": 500, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.6}"
