split_id,protocol,seed,repeat,model_id,selected_hyperparameters,cv_R2,cv_RMSE,cv_MAE,cv_MAPE,cv_MBE,cv_NRMSE
interpolation_random__seed-42__repeat-1,interpolation_random,42,1,xgb_log_target_sqrt,"{""colsample_bytree"": 1.0, ""gamma"": 0.0, ""learning_rate"": 0.2, ""max_depth"": 4, ""min_child_weight"": 4, ""n_estimators"": 500, ""reg_alpha"": 0.0, ""reg_lambda"": 0.5, ""subsample"": 0.6}",0.8820679890355733,0.005825396389952921,0.0021122588317610026,144.44309201779032,-5.502750036290858e-05,0.6608440234003169
extrapolation_grouped__seed-42__repeat-1,extrapolation_grouped,42,1,xgb_log_target_sqrt,"{""colsample_bytree"": 0.8, ""gamma"": 0.0, ""learning_rate"": 0.02, ""max_depth"": 4, ""min_child_weight"": 1, ""n_estimators"": 800, ""reg_alpha"": 0.1, ""reg_lambda"": 0.5, ""subsample"": 0.7}",0.06356434592714293,0.01182530282717395,0.005530460948387482,370.842818632091,-0.00020172140386311423,1.2843436641248804
interpolation_random__seed-43__repeat-2,interpolation_random,43,2,xgb_log_target_sqrt,"{""colsample_bytree"": 1.0, ""gamma"": 0.0, ""learning_rate"": 0.05, ""max_depth"": 5, ""min_child_weight"": 6, ""n_estimators"": 500, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0, ""subsample"": 0.7}",0.844811333750512,0.006364189524764233,0.0022096602455547393,163.70182514598474,-6.694757874324469e-05,0.7209598285776613
extrapolation_grouped__seed-43__repeat-2,extrapolation_grouped,43,2,xgb_log_target_sqrt,"{""colsample_bytree"": 1.0, ""gamma"": 0.0, ""learning_rate"": 0.1, ""max_depth"": 4, ""min_child_weight"": 6, ""n_estimators"": 800, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0, ""subsample"": 0.8}",0.377978459163575,0.01240945099694349,0.005620285113105352,330.6024470767197,-0.0010249302145471898,1.470204923493623
interpolation_random__seed-44__repeat-3,interpolation_random,44,3,xgb_log_target_sqrt,"{""colsample_bytree"": 1.0, ""gamma"": 0.0, ""learning_rate"": 0.2, ""max_depth"": 4, ""min_child_weight"": 10, ""n_estimators"": 500, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.6}",0.8505431264578679,0.0064910097225561085,0.002315535507023154,177.9590938606838,0.0002021771408113735,0.7406741911801757
extrapolation_grouped__seed-44__repeat-3,extrapolation_grouped,44,3,xgb_log_target_sqrt,"{""colsample_bytree"": 0.5, ""gamma"": 0.0, ""learning_rate"": 0.1, ""max_depth"": 4, ""min_child_weight"": 4, ""n_estimators"": 300, ""reg_alpha"": 0.0, ""reg_lambda"": 2.0, ""subsample"": 1.0}",0.17021969984019159,0.011396993028055852,0.005428051414551593,414.79427248067924,0.000995186986070877,1.4955682799555299
interpolation_random__seed-45__repeat-4,interpolation_random,45,4,xgb_log_target_sqrt,"{""colsample_bytree"": 0.7, ""gamma"": 0.0, ""learning_rate"": 0.05, ""max_depth"": 4, ""min_child_weight"": 1, ""n_estimators"": 500, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 0.9}",0.8718691678698995,0.006054307263603244,0.0024527476215690817,138.05236768881545,-4.5324526983209276e-05,0.6856969338565849
extrapolation_grouped__seed-45__repeat-4,extrapolation_grouped,45,4,xgb_log_target_sqrt,"{""colsample_bytree"": 0.8, ""gamma"": 0.0, ""learning_rate"": 0.1, ""max_depth"": 5, ""min_child_weight"": 6, ""n_estimators"": 500, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 0.6}",0.4217465263504609,0.012711016815518728,0.004925171557670708,197.09318492157533,-0.0008377163793461815,1.6095339699357605
interpolation_random__seed-46__repeat-5,interpolation_random,46,5,xgb_log_target_sqrt,"{""colsample_bytree"": 1.0, ""gamma"": 0.0, ""learning_rate"": 0.1, ""max_depth"": 4, ""min_child_weight"": 1, ""n_estimators"": 800, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.7}",0.8848949774367842,0.005784065624893521,0.001989316565208159,131.91359380404225,-5.558239719715933e-05,0.6607135595668627
extrapolation_grouped__seed-46__repeat-5,extrapolation_grouped,46,5,xgb_log_target_sqrt,"{""colsample_bytree"": 0.7, ""gamma"": 0.0, ""learning_rate"": 0.1, ""max_depth"": 5, ""min_child_weight"": 6, ""n_estimators"": 800, ""reg_alpha"": 0.1, ""reg_lambda"": 0.5, ""subsample"": 1.0}",0.3344061017624587,0.013806444336659918,0.005829018385716797,208.79198555351545,-0.0003494253195036381,1.5503543227502157
interpolation_random__seed-47__repeat-6,interpolation_random,47,6,xgb_log_target_sqrt,"{""colsample_bytree"": 0.7, ""gamma"": 0.0, ""learning_rate"": 0.02, ""max_depth"": 4, ""min_child_weight"": 1, ""n_estimators"": 800, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.7}",0.873405633005019,0.005749040363073608,0.002162361515182955,171.74786159321235,-4.336419889124999e-05,0.6677889818896695
extrapolation_grouped__seed-47__repeat-6,extrapolation_grouped,47,6,xgb_log_target_sqrt,"{""colsample_bytree"": 1.0, ""gamma"": 0.0, ""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_weight"": 6, ""n_estimators"": 200, ""reg_alpha"": 0.1, ""reg_lambda"": 2.0, ""subsample"": 0.7}",0.5118369001563718,0.011200761902860627,0.004703746307946213,295.6320306488925,-0.001062735924831423,1.2820962732447372
interpolation_random__seed-48__repeat-7,interpolation_random,48,7,xgb_log_target_sqrt,"{""colsample_bytree"": 0.5, ""gamma"": 0.0, ""learning_rate"": 0.2, ""max_depth"": 4, ""min_child_weight"": 6, ""n_estimators"": 300, ""reg_alpha"": 0.0, ""reg_lambda"": 2.0, ""subsample"": 0.6}",0.8562248018168106,0.006300149286762001,0.00234902254556671,189.51579435677246,-2.6451440988751946e-05,0.7149186217459236
extrapolation_grouped__seed-48__repeat-7,extrapolation_grouped,48,7,xgb_log_target_sqrt,"{""colsample_bytree"": 0.8, ""gamma"": 0.0, ""learning_rate"": 0.02, ""max_depth"": 4, ""min_child_weight"": 10, ""n_estimators"": 100, ""reg_alpha"": 1.0, ""reg_lambda"": 0.5, ""subsample"": 0.8}",-0.058366931269542247,0.013109490788030398,0.0071161575333846564,1368.7472225764507,-0.0008467370937139165,1.6255872636303383
interpolation_random__seed-49__repeat-8,interpolation_random,49,8,xgb_log_target_sqrt,"{""colsample_bytree"": 0.8, ""gamma"": 0.0, ""learning_rate"": 0.1, ""max_depth"": 4, ""min_child_weight"": 4, ""n_estimators"": 800, ""reg_alpha"": 0.1, ""reg_lambda"": 2.0, ""subsample"": 0.7}",0.8506860850216832,0.006247445236538325,0.0024472569558487743,132.9655751757847,1.9875430172493592e-05,0.7324443873494199
extrapolation_grouped__seed-49__repeat-8,extrapolation_grouped,49,8,xgb_log_target_sqrt,"{""colsample_bytree"": 0.8, ""gamma"": 0.0, ""learning_rate"": 0.05, ""max_depth"": 4, ""min_child_weight"": 10, ""n_estimators"": 800, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.9}",0.4432382046855933,0.007567940168995042,0.003887610571121786,180.60275207438158,-0.0004992421676161589,0.9120957503415162
interpolation_random__seed-50__repeat-9,interpolation_random,50,9,xgb_log_target_sqrt,"{""colsample_bytree"": 1.0, ""gamma"": 0.0, ""learning_rate"": 0.1, ""max_depth"": 4, ""min_child_weight"": 10, ""n_estimators"": 500, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 1.0}",0.8419295085203606,0.006394737324517013,0.002293472893934275,145.85465725726698,3.1291481748941054e-06,0.7313642727300631
extrapolation_grouped__seed-50__repeat-9,extrapolation_grouped,50,9,xgb_log_target_sqrt,"{""colsample_bytree"": 0.5, ""gamma"": 0.0, ""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 800, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.6}",0.48063259046262863,0.010380904859674526,0.00537559941057404,310.23799398613005,-0.0020711578902012943,1.1020881368183286
interpolation_random__seed-51__repeat-10,interpolation_random,51,10,xgb_log_target_sqrt,"{""colsample_bytree"": 0.7, ""gamma"": 0.0, ""learning_rate"": 0.2, ""max_depth"": 6, ""min_child_weight"": 1, ""n_estimators"": 100, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 1.0}",0.8658401114061169,0.005909141100235316,0.0023810548633429428,128.42786956720312,-2.50980989808223e-05,0.6802912920536883
extrapolation_grouped__seed-51__repeat-10,extrapolation_grouped,51,10,xgb_log_target_sqrt,"{""colsample_bytree"": 0.5, ""gamma"": 0.0, ""learning_rate"": 0.1, ""max_depth"": 5, ""min_child_weight"": 1, ""n_estimators"": 100, ""reg_alpha"": 0.1, ""reg_lambda"": 2.0, ""subsample"": 0.9}",0.18459794190633785,0.01398377494919141,0.00639517831862208,350.8668963902567,0.0005422263808148047,1.6393131998575015
