split_id,protocol,seed,repeat,augmentation,model_id,model_family,feature_set,n_train_rows,n_test_rows,n_train_papers,n_test_papers,R2,RMSE,MAE,MAPE,MBE,NRMSE,cv_R2,cv_RMSE,cv_MAE,cv_MAPE,cv_MBE,cv_NRMSE,selected_hyperparameters
interpolation_random__seed-42__repeat-1,interpolation_random,42,1,rd,xgb_paper_bagging_sqrt,xgboost,all,2024,507,65,60,0.778420545429775,0.007936383978441316,0.003185325179246948,228.74488849514324,0.00048728864540833203,0.9293704820996563,0.7827452800782284,0.007737027143297516,0.0032528831510551517,233.2137801781761,0.00018433733838764694,0.881600398662391,"{""colsample_bytree"": 0.7, ""gamma"": 0.0, ""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_weight"": 6, ""n_estimators"": 800, ""reg_alpha"": 0.0, ""reg_lambda"": 2.0, ""subsample"": 1.0}"
interpolation_random__seed-42__repeat-1,interpolation_random,42,1,rd_bt,xgb_paper_bagging_sqrt,xgboost,all,3024,507,65,60,0.7949594282230779,0.007634451304350641,0.003125937657073457,219.02236418095552,0.0004790601914337817,0.8940134081925041,0.7827452800782284,0.007737027143297516,0.0032528831510551517,233.2137801781761,0.00018433733838764694,0.881600398662391,"{""colsample_bytree"": 0.7, ""gamma"": 0.0, ""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_weight"": 6, ""n_estimators"": 800, ""reg_alpha"": 0.0, ""reg_lambda"": 2.0, ""subsample"": 1.0}"
extrapolation_grouped__seed-42__repeat-1,extrapolation_grouped,42,1,rd,xgb_paper_bagging_sqrt,xgboost,all,2005,526,52,14,-0.02107773814236702,0.012058472535505361,0.0077642100827246445,424.8253889690651,0.004213765311685491,1.5197910006315702,-0.14482502800798353,0.013071400369008269,0.0064588294350844885,638.1716833489561,0.0007911947536983867,1.4482659421959356,"{""colsample_bytree"": 0.7, ""gamma"": 0.0, ""learning_rate"": 0.01, ""max_depth"": 4, ""min_child_weight"": 2, ""n_estimators"": 500, ""reg_alpha"": 0.0, ""reg_lambda"": 2.0, ""subsample"": 0.9}"
extrapolation_grouped__seed-42__repeat-1,extrapolation_grouped,42,1,rd_bt,xgb_paper_bagging_sqrt,xgboost,all,3005,526,52,14,0.09086717775321373,0.011378278600216346,0.007286365792301467,395.2500936194991,0.00390242409384801,1.434062678201627,-0.14482502800798353,0.013071400369008269,0.0064588294350844885,638.1716833489561,0.0007911947536983867,1.4482659421959356,"{""colsample_bytree"": 0.7, ""gamma"": 0.0, ""learning_rate"": 0.01, ""max_depth"": 4, ""min_child_weight"": 2, ""n_estimators"": 500, ""reg_alpha"": 0.0, ""reg_lambda"": 2.0, ""subsample"": 0.9}"
interpolation_random__seed-43__repeat-2,interpolation_random,43,2,rd,xgb_paper_bagging_sqrt,xgboost,all,2024,507,65,61,0.8518950532952917,0.006503686557245399,0.0028695436522412263,110.96679024836979,-0.00011526834240993464,0.7516124886651693,0.8068569994506964,0.0073621640885186464,0.0029310582038543235,238.46011047120277,0.00018010585179467555,0.8427796514600796,"{""colsample_bytree"": 0.5, ""gamma"": 0.0, ""learning_rate"": 0.1, ""max_depth"": 6, ""min_child_weight"": 2, ""n_estimators"": 300, ""reg_alpha"": 0.0, ""reg_lambda"": 0.5, ""subsample"": 1.0}"
interpolation_random__seed-43__repeat-2,interpolation_random,43,2,rd_bt,xgb_paper_bagging_sqrt,xgboost,all,3024,507,65,61,0.8576291505008076,0.006376543966785305,0.0028009319367663546,96.03999556243107,-0.0002909532965208644,0.7369189824529753,0.8068569994506964,0.0073621640885186464,0.0029310582038543235,238.46011047120277,0.00018010585179467555,0.8427796514600796,"{""colsample_bytree"": 0.5, ""gamma"": 0.0, ""learning_rate"": 0.1, ""max_depth"": 6, ""min_child_weight"": 2, ""n_estimators"": 300, ""reg_alpha"": 0.0, ""reg_lambda"": 0.5, ""subsample"": 1.0}"
extrapolation_grouped__seed-43__repeat-2,extrapolation_grouped,43,2,rd,xgb_paper_bagging_sqrt,xgboost,all,1954,577,52,14,0.545617037047565,0.012134256441472278,0.004594144923366789,187.33669781142515,-0.00025543411146883603,1.4156702030918853,0.3810114048799479,0.011825070327946875,0.005480328289858595,455.33399610230174,-0.0002750110759283748,1.4436059070893088,"{""colsample_bytree"": 0.7, ""gamma"": 0.0, ""learning_rate"": 0.02, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 500, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 1.0}"
extrapolation_grouped__seed-43__repeat-2,extrapolation_grouped,43,2,rd_bt,xgb_paper_bagging_sqrt,xgboost,all,2954,577,52,14,0.5382829679820756,0.012231792271916196,0.004682166540995456,194.13813453147344,-0.00024303518813719417,1.4270494391875848,0.3810114048799479,0.011825070327946875,0.005480328289858595,455.33399610230174,-0.0002750110759283748,1.4436059070893088,"{""colsample_bytree"": 0.7, ""gamma"": 0.0, ""learning_rate"": 0.02, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 500, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 1.0}"
interpolation_random__seed-44__repeat-3,interpolation_random,44,3,rd,xgb_paper_bagging_sqrt,xgboost,all,2024,507,66,61,0.7630790957985201,0.008559202836520695,0.004031342257826544,363.72090520544356,0.00023799002283202185,0.9384299306297464,0.7654155740229669,0.008267937539255393,0.003667226077953529,249.3672030125212,7.656130227643677e-05,0.9620327045567226,"{""colsample_bytree"": 0.8, ""gamma"": 0.0, ""learning_rate"": 0.2, ""max_depth"": 2, ""min_child_weight"": 10, ""n_estimators"": 200, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0, ""subsample"": 1.0}"
interpolation_random__seed-44__repeat-3,interpolation_random,44,3,rd_bt,xgb_paper_bagging_sqrt,xgboost,all,3024,507,66,61,0.7484093425204319,0.008820209134664877,0.004043247184046995,376.4747674333391,0.0004319506241142632,0.9670466285792646,0.7654155740229669,0.008267937539255393,0.003667226077953529,249.3672030125212,7.656130227643677e-05,0.9620327045567226,"{""colsample_bytree"": 0.8, ""gamma"": 0.0, ""learning_rate"": 0.2, ""max_depth"": 2, ""min_child_weight"": 10, ""n_estimators"": 200, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0, ""subsample"": 1.0}"
