split_id,protocol,seed,repeat,model_id,selected_hyperparameters,cv_R2,cv_RMSE,cv_MAE,cv_MAPE,cv_MBE,cv_NRMSE
interpolation_random__seed-42__repeat-1,interpolation_random,42,1,xgb_paper_bagging_sqrt,"{""colsample_bytree"": 0.7, ""gamma"": 0.0, ""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_weight"": 6, ""n_estimators"": 800, ""reg_alpha"": 0.0, ""reg_lambda"": 2.0, ""subsample"": 1.0}",0.7827452800782284,0.007737027143297516,0.0032528831510551517,233.2137801781761,0.00018433733838764694,0.881600398662391
extrapolation_grouped__seed-42__repeat-1,extrapolation_grouped,42,1,xgb_paper_bagging_sqrt,"{""colsample_bytree"": 0.7, ""gamma"": 0.0, ""learning_rate"": 0.01, ""max_depth"": 4, ""min_child_weight"": 2, ""n_estimators"": 500, ""reg_alpha"": 0.0, ""reg_lambda"": 2.0, ""subsample"": 0.9}",-0.14482502800798353,0.013071400369008269,0.0064588294350844885,638.1716833489561,0.0007911947536983867,1.4482659421959356
interpolation_random__seed-43__repeat-2,interpolation_random,43,2,xgb_paper_bagging_sqrt,"{""colsample_bytree"": 0.5, ""gamma"": 0.0, ""learning_rate"": 0.1, ""max_depth"": 6, ""min_child_weight"": 2, ""n_estimators"": 300, ""reg_alpha"": 0.0, ""reg_lambda"": 0.5, ""subsample"": 1.0}",0.8068569994506964,0.0073621640885186464,0.0029310582038543235,238.46011047120277,0.00018010585179467555,0.8427796514600796
extrapolation_grouped__seed-43__repeat-2,extrapolation_grouped,43,2,xgb_paper_bagging_sqrt,"{""colsample_bytree"": 0.7, ""gamma"": 0.0, ""learning_rate"": 0.02, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 500, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 1.0}",0.3810114048799479,0.011825070327946875,0.005480328289858595,455.33399610230174,-0.0002750110759283748,1.4436059070893088
interpolation_random__seed-44__repeat-3,interpolation_random,44,3,xgb_paper_bagging_sqrt,"{""colsample_bytree"": 0.8, ""gamma"": 0.0, ""learning_rate"": 0.2, ""max_depth"": 2, ""min_child_weight"": 10, ""n_estimators"": 200, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0, ""subsample"": 1.0}",0.7654155740229669,0.008267937539255393,0.003667226077953529,249.3672030125212,7.656130227643677e-05,0.9620327045567226
extrapolation_grouped__seed-44__repeat-3,extrapolation_grouped,44,3,xgb_paper_bagging_sqrt,"{""colsample_bytree"": 0.7, ""gamma"": 0.0, ""learning_rate"": 0.1, ""max_depth"": 5, ""min_child_weight"": 1, ""n_estimators"": 800, ""reg_alpha"": 0.1, ""reg_lambda"": 0.5, ""subsample"": 0.9}",-0.05418427912807193,0.013135444561061893,0.0062896833073076445,646.710139140786,0.0013590319167747613,1.70042794152059
interpolation_random__seed-45__repeat-4,interpolation_random,45,4,xgb_paper_bagging_sqrt,"{""colsample_bytree"": 0.5, ""gamma"": 0.0, ""learning_rate"": 0.05, ""max_depth"": 6, ""min_child_weight"": 10, ""n_estimators"": 100, ""reg_alpha"": 0.0, ""reg_lambda"": 0.5, ""subsample"": 1.0}",0.7945648716343119,0.007687379979765494,0.0030954918335576653,240.61972028719742,6.285420815544993e-05,0.8736120697843244
extrapolation_grouped__seed-45__repeat-4,extrapolation_grouped,45,4,xgb_paper_bagging_sqrt,"{""colsample_bytree"": 0.5, ""gamma"": 0.0, ""learning_rate"": 0.01, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 800, ""reg_alpha"": 0.1, ""reg_lambda"": 0.5, ""subsample"": 0.9}",0.407696378745147,0.01279320170972939,0.005234774430862538,271.0784245461661,-0.00014304571774379884,1.6515371129163572
interpolation_random__seed-46__repeat-5,interpolation_random,46,5,xgb_paper_bagging_sqrt,"{""colsample_bytree"": 1.0, ""gamma"": 0.0, ""learning_rate"": 0.2, ""max_depth"": 6, ""min_child_weight"": 10, ""n_estimators"": 800, ""reg_alpha"": 0.0, ""reg_lambda"": 0.5, ""subsample"": 0.7}",0.8143498761207806,0.007267771415060136,0.002960293399356784,162.89517139566334,-0.00019505898643384895,0.8397815963885243
extrapolation_grouped__seed-46__repeat-5,extrapolation_grouped,46,5,xgb_paper_bagging_sqrt,"{""colsample_bytree"": 1.0, ""gamma"": 0.0, ""learning_rate"": 0.02, ""max_depth"": 4, ""min_child_weight"": 2, ""n_estimators"": 200, ""reg_alpha"": 0.0, ""reg_lambda"": 0.5, ""subsample"": 0.8}",0.29105450665745114,0.0141010550206142,0.006147040993054969,407.91733819327897,0.0005589155083885992,1.656702232517518
interpolation_random__seed-47__repeat-6,interpolation_random,47,6,xgb_paper_bagging_sqrt,"{""colsample_bytree"": 1.0, ""gamma"": 0.0, ""learning_rate"": 0.2, ""max_depth"": 5, ""min_child_weight"": 1, ""n_estimators"": 800, ""reg_alpha"": 0.1, ""reg_lambda"": 2.0, ""subsample"": 0.8}",0.7909497443286477,0.007531883158448396,0.00299275119684854,178.89192026271854,-0.00019664302014990153,0.871281296645398
extrapolation_grouped__seed-47__repeat-6,extrapolation_grouped,47,6,xgb_paper_bagging_sqrt,"{""colsample_bytree"": 0.7, ""gamma"": 0.0, ""learning_rate"": 0.2, ""max_depth"": 6, ""min_child_weight"": 2, ""n_estimators"": 500, ""reg_alpha"": 0.1, ""reg_lambda"": 2.0, ""subsample"": 0.6}",0.5060661630274848,0.011224638395608132,0.004977162541754103,403.32147240140324,-0.0007052775297538356,1.2814976348599942
