split_id,protocol,seed,repeat,augmentation,model_id,model_family,feature_set,n_train_rows,n_test_rows,n_train_papers,n_test_papers,R2,RMSE,MAE,MAPE,MBE,NRMSE,cv_R2,cv_RMSE,cv_MAE,cv_MAPE,cv_MBE,cv_NRMSE,selected_hyperparameters
interpolation_random__seed-42__repeat-1,interpolation_random,42,1,rd,xgb_paper_inverse,xgboost,all,2024,507,65,60,0.7945492293082504,0.007642084132591603,0.001979728123562744,129.88491901465403,0.0005211252179829894,0.8949072315359003,0.8905295961013089,0.005506679813549428,0.0019541620469826753,130.8695880331573,-2.426147882075049e-05,0.6208658067746117,"{""colsample_bytree"": 0.7, ""gamma"": 0.0, ""learning_rate"": 0.2, ""max_depth"": 5, ""min_child_weight"": 4, ""n_estimators"": 800, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.8}"
interpolation_random__seed-42__repeat-1,interpolation_random,42,1,rd_bt,xgb_paper_inverse,xgboost,all,3024,507,65,60,0.8402619182901996,0.006738483349112397,0.0018437628731284316,135.05129689182894,0.0004135384350378483,0.7890933119915706,0.8905295961013089,0.005506679813549428,0.0019541620469826753,130.8695880331573,-2.426147882075049e-05,0.6208658067746117,"{""colsample_bytree"": 0.7, ""gamma"": 0.0, ""learning_rate"": 0.2, ""max_depth"": 5, ""min_child_weight"": 4, ""n_estimators"": 800, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.8}"
extrapolation_grouped__seed-42__repeat-1,extrapolation_grouped,42,1,rd,xgb_paper_inverse,xgboost,all,2005,526,52,14,0.19323985162601143,0.010718527173751989,0.006362340135951984,415.36653627692266,0.0015723412688741368,1.3509108297695778,-0.2916867240590866,0.013073977284670205,0.005890536259669358,392.58441510160526,-0.00023461711555062946,1.5439382770805614,"{""colsample_bytree"": 0.7, ""gamma"": 0.0, ""learning_rate"": 0.02, ""max_depth"": 6, ""min_child_weight"": 6, ""n_estimators"": 500, ""reg_alpha"": 0.5, ""reg_lambda"": 1.0, ""subsample"": 1.0}"
extrapolation_grouped__seed-42__repeat-1,extrapolation_grouped,42,1,rd_bt,xgb_paper_inverse,xgboost,all,3005,526,52,14,0.07172752285551132,0.011497426230243683,0.006715930901394475,374.7182488582352,0.0012550323271052005,1.4490794637297237,-0.2916867240590866,0.013073977284670205,0.005890536259669358,392.58441510160526,-0.00023461711555062946,1.5439382770805614,"{""colsample_bytree"": 0.7, ""gamma"": 0.0, ""learning_rate"": 0.02, ""max_depth"": 6, ""min_child_weight"": 6, ""n_estimators"": 500, ""reg_alpha"": 0.5, ""reg_lambda"": 1.0, ""subsample"": 1.0}"
interpolation_random__seed-43__repeat-2,interpolation_random,43,2,rd,xgb_paper_inverse,xgboost,all,2024,507,65,61,0.8653059643332589,0.006202246218598812,0.0023518487044054503,120.93443224328178,-5.8908310477957565e-05,0.7167758892811125,0.8584394631519835,0.006440201598583668,0.002393087997997211,255.79635449839344,-0.00010886783365716515,0.712558357540699,"{""colsample_bytree"": 0.5, ""gamma"": 0.0, ""learning_rate"": 0.1, ""max_depth"": 4, ""min_child_weight"": 10, ""n_estimators"": 800, ""reg_alpha"": 0.0, ""reg_lambda"": 0.5, ""subsample"": 0.7}"
interpolation_random__seed-43__repeat-2,interpolation_random,43,2,rd_bt,xgb_paper_inverse,xgboost,all,3024,507,65,61,0.8718998229372172,0.006048527859512016,0.0022477635792190536,135.44732945248742,-0.00015841881161347612,0.6990110973573628,0.8584394631519835,0.006440201598583668,0.002393087997997211,255.79635449839344,-0.00010886783365716515,0.712558357540699,"{""colsample_bytree"": 0.5, ""gamma"": 0.0, ""learning_rate"": 0.1, ""max_depth"": 4, ""min_child_weight"": 10, ""n_estimators"": 800, ""reg_alpha"": 0.0, ""reg_lambda"": 0.5, ""subsample"": 0.7}"
extrapolation_grouped__seed-43__repeat-2,extrapolation_grouped,43,2,rd,xgb_paper_inverse,xgboost,all,1954,577,52,14,0.48672191038732593,0.012896697469515526,0.0034872730368193873,130.0366372851984,-0.0005515712413141277,1.504622093157974,0.3777113147655082,0.012310531223729809,0.005386249020614638,472.8705168472355,-0.00045932970165599147,1.492342969897005,"{""colsample_bytree"": 1.0, ""gamma"": 0.0, ""learning_rate"": 0.01, ""max_depth"": 6, ""min_child_weight"": 6, ""n_estimators"": 800, ""reg_alpha"": 0.0, ""reg_lambda"": 0.5, ""subsample"": 0.8}"
extrapolation_grouped__seed-43__repeat-2,extrapolation_grouped,43,2,rd_bt,xgb_paper_inverse,xgboost,all,2954,577,52,14,0.490619992640825,0.012847632254250625,0.0034483397669830495,143.3640388848518,-0.0006267838267948596,1.4988977899347942,0.3777113147655082,0.012310531223729809,0.005386249020614638,472.8705168472355,-0.00045932970165599147,1.492342969897005,"{""colsample_bytree"": 1.0, ""gamma"": 0.0, ""learning_rate"": 0.01, ""max_depth"": 6, ""min_child_weight"": 6, ""n_estimators"": 800, ""reg_alpha"": 0.0, ""reg_lambda"": 0.5, ""subsample"": 0.8}"
interpolation_random__seed-44__repeat-3,interpolation_random,44,3,rd,xgb_paper_inverse,xgboost,all,2024,507,66,61,0.8364213458492313,0.007112052323107653,0.0028962576469393994,292.31914866032065,0.0006499083124216062,0.7797645289735978,0.8424400928235076,0.0067207357020936205,0.0026628507027502955,209.52807278318454,6.337624060377594e-05,0.7724284092326265,"{""colsample_bytree"": 0.5, ""gamma"": 0.0, ""learning_rate"": 0.01, ""max_depth"": 5, ""min_child_weight"": 6, ""n_estimators"": 800, ""reg_alpha"": 0.0, ""reg_lambda"": 0.5, ""subsample"": 0.6}"
interpolation_random__seed-44__repeat-3,interpolation_random,44,3,rd_bt,xgb_paper_inverse,xgboost,all,3024,507,66,61,0.8541528680576902,0.006715534341648611,0.0027059249518711155,268.46675054336686,0.0006270306295083618,0.7362903469801125,0.8424400928235076,0.0067207357020936205,0.0026628507027502955,209.52807278318454,6.337624060377594e-05,0.7724284092326265,"{""colsample_bytree"": 0.5, ""gamma"": 0.0, ""learning_rate"": 0.01, ""max_depth"": 5, ""min_child_weight"": 6, ""n_estimators"": 800, ""reg_alpha"": 0.0, ""reg_lambda"": 0.5, ""subsample"": 0.6}"
