split_id,protocol,seed,repeat,model_id,selected_hyperparameters,cv_R2,cv_RMSE,cv_MAE,cv_MAPE,cv_MBE,cv_NRMSE
interpolation_random__seed-42__repeat-1,interpolation_random,42,1,xgb_paper_inverse,"{""colsample_bytree"": 0.7, ""gamma"": 0.0, ""learning_rate"": 0.2, ""max_depth"": 5, ""min_child_weight"": 4, ""n_estimators"": 800, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.8}",0.8905295961013089,0.005506679813549428,0.0019541620469826753,130.8695880331573,-2.426147882075049e-05,0.6208658067746117
extrapolation_grouped__seed-42__repeat-1,extrapolation_grouped,42,1,xgb_paper_inverse,"{""colsample_bytree"": 0.7, ""gamma"": 0.0, ""learning_rate"": 0.02, ""max_depth"": 6, ""min_child_weight"": 6, ""n_estimators"": 500, ""reg_alpha"": 0.5, ""reg_lambda"": 1.0, ""subsample"": 1.0}",-0.2916867240590866,0.013073977284670205,0.005890536259669358,392.58441510160526,-0.00023461711555062946,1.5439382770805614
interpolation_random__seed-43__repeat-2,interpolation_random,43,2,xgb_paper_inverse,"{""colsample_bytree"": 0.5, ""gamma"": 0.0, ""learning_rate"": 0.1, ""max_depth"": 4, ""min_child_weight"": 10, ""n_estimators"": 800, ""reg_alpha"": 0.0, ""reg_lambda"": 0.5, ""subsample"": 0.7}",0.8584394631519835,0.006440201598583668,0.002393087997997211,255.79635449839344,-0.00010886783365716515,0.712558357540699
extrapolation_grouped__seed-43__repeat-2,extrapolation_grouped,43,2,xgb_paper_inverse,"{""colsample_bytree"": 1.0, ""gamma"": 0.0, ""learning_rate"": 0.01, ""max_depth"": 6, ""min_child_weight"": 6, ""n_estimators"": 800, ""reg_alpha"": 0.0, ""reg_lambda"": 0.5, ""subsample"": 0.8}",0.3777113147655082,0.012310531223729809,0.005386249020614638,472.8705168472355,-0.00045932970165599147,1.492342969897005
interpolation_random__seed-44__repeat-3,interpolation_random,44,3,xgb_paper_inverse,"{""colsample_bytree"": 0.5, ""gamma"": 0.0, ""learning_rate"": 0.01, ""max_depth"": 5, ""min_child_weight"": 6, ""n_estimators"": 800, ""reg_alpha"": 0.0, ""reg_lambda"": 0.5, ""subsample"": 0.6}",0.8424400928235076,0.0067207357020936205,0.0026628507027502955,209.52807278318454,6.337624060377594e-05,0.7724284092326265
extrapolation_grouped__seed-44__repeat-3,extrapolation_grouped,44,3,xgb_paper_inverse,"{""colsample_bytree"": 0.8, ""gamma"": 0.0, ""learning_rate"": 0.1, ""max_depth"": 4, ""min_child_weight"": 6, ""n_estimators"": 500, ""reg_alpha"": 0.1, ""reg_lambda"": 5.0, ""subsample"": 0.7}",0.2866104377527396,0.012379898625829788,0.0054841293720373245,494.35077343715886,0.0003447902852557489,1.5672322270157628
interpolation_random__seed-45__repeat-4,interpolation_random,45,4,xgb_paper_inverse,"{""colsample_bytree"": 0.7, ""gamma"": 0.0, ""learning_rate"": 0.02, ""max_depth"": 6, ""min_child_weight"": 1, ""n_estimators"": 300, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.7}",0.8819838225930651,0.005744889913161252,0.002204681154066001,172.24622350542504,3.910607494176788e-05,0.6596108667681546
extrapolation_grouped__seed-45__repeat-4,extrapolation_grouped,45,4,xgb_paper_inverse,"{""colsample_bytree"": 0.5, ""gamma"": 0.0, ""learning_rate"": 0.05, ""max_depth"": 6, ""min_child_weight"": 2, ""n_estimators"": 300, ""reg_alpha"": 0.1, ""reg_lambda"": 2.0, ""subsample"": 0.6}",0.38491335813701233,0.012563067789481897,0.004779246438319188,196.9998281038174,-0.0003417521490710517,1.6398434953972614
interpolation_random__seed-46__repeat-5,interpolation_random,46,5,xgb_paper_inverse,"{""colsample_bytree"": 0.5, ""gamma"": 0.0, ""learning_rate"": 0.05, ""max_depth"": 5, ""min_child_weight"": 4, ""n_estimators"": 500, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.8}",0.8833853336913547,0.005635567665543189,0.002098037968821206,147.7318264245524,-2.5063076829809262e-05,0.6430255668254735
extrapolation_grouped__seed-46__repeat-5,extrapolation_grouped,46,5,xgb_paper_inverse,"{""colsample_bytree"": 1.0, ""gamma"": 0.0, ""learning_rate"": 0.2, ""max_depth"": 4, ""min_child_weight"": 10, ""n_estimators"": 100, ""reg_alpha"": 0.5, ""reg_lambda"": 2.0, ""subsample"": 0.6}",0.2663249243494502,0.014306907290166395,0.00645307119301948,327.24866667288154,0.00018156107174020672,1.648832346470821
