configuration_id,inner_fold,parameters,R2,RMSE,MAE,MAPE,MBE,NRMSE,n,split_id,protocol,seed,repeat,model_id
0,0,"{""colsample_bytree"": 1.0, ""gamma"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 200, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 0.7}",-0.0010933944749571545,0.01825480945248534,0.010861538208100532,3088.3292130441214,0.000603293218711276,1.9826593227163194,405.0,interpolation_random__seed-42__repeat-1,interpolation_random,42,1,xgb_paper_sqrt
0,1,"{""colsample_bytree"": 1.0, ""gamma"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 200, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 0.7}",-0.0029976145479164717,0.01629023965171019,0.010742681281418712,2975.25645796137,0.0008905645781586199,1.768807825043466,405.0,interpolation_random__seed-42__repeat-1,interpolation_random,42,1,xgb_paper_sqrt
0,2,"{""colsample_bytree"": 1.0, ""gamma"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 200, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 0.7}",-0.00023308099252417058,0.020321336072100224,0.011431207598816464,2726.815112737185,0.00031020949063698464,2.1698465338945283,405.0,interpolation_random__seed-42__repeat-1,interpolation_random,42,1,xgb_paper_sqrt
0,3,"{""colsample_bytree"": 1.0, ""gamma"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 200, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 0.7}",-0.017668001336555772,0.016368752991854838,0.010338928450145104,3617.1870046309396,0.0021567819848097402,2.0043795217740694,405.0,interpolation_random__seed-42__repeat-1,interpolation_random,42,1,xgb_paper_sqrt
0,4,"{""colsample_bytree"": 1.0, ""gamma"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 200, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 0.7}",-0.01803447787201007,0.015265654735848141,0.009962629884931415,2467.3732333260473,0.0020318235000790935,1.8584787352289749,404.0,interpolation_random__seed-42__repeat-1,interpolation_random,42,1,xgb_paper_sqrt
0,mean,"{""colsample_bytree"": 1.0, ""gamma"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 200, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 0.7}",-0.008005313844792727,0.017300158580799745,0.010667397084682445,2974.9922043399324,0.001198534554479143,1.9568343877314718,404.8,interpolation_random__seed-42__repeat-1,interpolation_random,42,1,xgb_paper_sqrt
1,0,"{""colsample_bytree"": 0.5, ""gamma"": 0.1, ""learning_rate"": 0.02, ""max_depth"": 6, ""min_child_weight"": 10, ""n_estimators"": 500, ""reg_alpha"": 0.1, ""reg_lambda"": 2.0, ""subsample"": 0.7}",0.06083550074581212,0.01768116349534501,0.010374097735703728,2896.0377890499385,0.00038982151980311764,1.9203554949046324,405.0,interpolation_random__seed-42__repeat-1,interpolation_random,42,1,xgb_paper_sqrt
1,1,"{""colsample_bytree"": 0.5, ""gamma"": 0.1, ""learning_rate"": 0.02, ""max_depth"": 6, ""min_child_weight"": 10, ""n_estimators"": 500, ""reg_alpha"": 0.1, ""reg_lambda"": 2.0, ""subsample"": 0.7}",0.021554412234685127,0.016089622806690313,0.010570994501508313,2865.72430226783,0.0006134275047808515,1.7470246804800011,405.0,interpolation_random__seed-42__repeat-1,interpolation_random,42,1,xgb_paper_sqrt
1,2,"{""colsample_bytree"": 0.5, ""gamma"": 0.1, ""learning_rate"": 0.02, ""max_depth"": 6, ""min_child_weight"": 10, ""n_estimators"": 500, ""reg_alpha"": 0.1, ""reg_lambda"": 2.0, ""subsample"": 0.7}",-0.00011645175422336784,0.02032015128273216,0.011375744336270255,2700.613070372532,0.00021926770387093236,2.1697200259181546,405.0,interpolation_random__seed-42__repeat-1,interpolation_random,42,1,xgb_paper_sqrt
1,3,"{""colsample_bytree"": 0.5, ""gamma"": 0.1, ""learning_rate"": 0.02, ""max_depth"": 6, ""min_child_weight"": 10, ""n_estimators"": 500, ""reg_alpha"": 0.1, ""reg_lambda"": 2.0, ""subsample"": 0.7}",0.04734646610053139,0.01583725928529816,0.009948133352489383,3389.906109125074,0.001990148172260067,1.9392972823448282,405.0,interpolation_random__seed-42__repeat-1,interpolation_random,42,1,xgb_paper_sqrt
