split_id,protocol,seed,repeat,augmentation,model_id,model_family,feature_set,n_train_rows,n_test_rows,n_train_papers,n_test_papers,R2,RMSE,MAE,MAPE,MBE,NRMSE,cv_R2,cv_RMSE,cv_MAE,cv_MAPE,cv_MBE,cv_NRMSE,selected_hyperparameters
interpolation_random__seed-42__repeat-1,interpolation_random,42,1,rd,xgb_pseudohuber_inverse,xgboost,all,2024,507,65,60,0.6972048897073608,0.009277529757924093,0.002157828074368387,178.3092943696654,0.0005626447066310264,1.0864220187981897,0.8655003409727927,0.006142443976240313,0.0020746481276915927,126.27142777350245,-4.981453215655367e-05,0.6995858958187594,"{""colsample_bytree"": 1.0, ""gamma"": 0.0, ""learning_rate"": 0.1, ""max_depth"": 5, ""min_child_weight"": 6, ""n_estimators"": 500, ""reg_alpha"": 0.0, ""reg_lambda"": 2.0, ""subsample"": 0.9}"
interpolation_random__seed-42__repeat-1,interpolation_random,42,1,rd_bt,xgb_pseudohuber_inverse,xgboost,all,3024,507,65,60,0.7027487724367629,0.009192206151505929,0.0021527443636525255,146.86907960993503,0.0005521475182361811,1.0764304103469433,0.8655003409727927,0.006142443976240313,0.0020746481276915927,126.27142777350245,-4.981453215655367e-05,0.6995858958187594,"{""colsample_bytree"": 1.0, ""gamma"": 0.0, ""learning_rate"": 0.1, ""max_depth"": 5, ""min_child_weight"": 6, ""n_estimators"": 500, ""reg_alpha"": 0.0, ""reg_lambda"": 2.0, ""subsample"": 0.9}"
extrapolation_grouped__seed-42__repeat-1,extrapolation_grouped,42,1,rd,xgb_pseudohuber_inverse,xgboost,all,2005,526,52,14,-0.11971378321106996,0.012627471786500555,0.007498658820076269,348.5730915434283,0.002230620046944084,1.591504887981927,-0.1432898065895193,0.013467340577241749,0.0067681922374031355,453.4364806137193,9.724005903087325e-05,1.5166715504837534,"{""colsample_bytree"": 0.5, ""gamma"": 0.0, ""learning_rate"": 0.2, ""max_depth"": 5, ""min_child_weight"": 4, ""n_estimators"": 300, ""reg_alpha"": 0.5, ""reg_lambda"": 5.0, ""subsample"": 0.7}"
extrapolation_grouped__seed-42__repeat-1,extrapolation_grouped,42,1,rd_bt,xgb_pseudohuber_inverse,xgboost,all,3005,526,52,14,0.11299378577120156,0.011238962598448065,0.006570938629481724,278.31748456879717,0.0017469950597343222,1.4165039695751425,-0.1432898065895193,0.013467340577241749,0.0067681922374031355,453.4364806137193,9.724005903087325e-05,1.5166715504837534,"{""colsample_bytree"": 0.5, ""gamma"": 0.0, ""learning_rate"": 0.2, ""max_depth"": 5, ""min_child_weight"": 4, ""n_estimators"": 300, ""reg_alpha"": 0.5, ""reg_lambda"": 5.0, ""subsample"": 0.7}"
interpolation_random__seed-43__repeat-2,interpolation_random,43,2,rd,xgb_pseudohuber_inverse,xgboost,all,2024,507,65,61,0.8407404284200751,0.006744155758150799,0.0022742430775387237,105.41771560153244,-7.946706559451519e-05,0.7794028277211743,0.8278980641941887,0.006969407261128005,0.0021997210412645933,151.63750966910948,-0.0001781674909880752,0.785209352186109,"{""colsample_bytree"": 0.5, ""gamma"": 0.0, ""learning_rate"": 0.2, ""max_depth"": 5, ""min_child_weight"": 2, ""n_estimators"": 100, ""reg_alpha"": 0.0, ""reg_lambda"": 0.5, ""subsample"": 1.0}"
interpolation_random__seed-43__repeat-2,interpolation_random,43,2,rd_bt,xgb_pseudohuber_inverse,xgboost,all,3024,507,65,61,0.8435815682701855,0.006683728252015819,0.002197717343935462,111.57353562269645,7.332045718585685e-05,0.7724193933458899,0.8278980641941887,0.006969407261128005,0.0021997210412645933,151.63750966910948,-0.0001781674909880752,0.785209352186109,"{""colsample_bytree"": 0.5, ""gamma"": 0.0, ""learning_rate"": 0.2, ""max_depth"": 5, ""min_child_weight"": 2, ""n_estimators"": 100, ""reg_alpha"": 0.0, ""reg_lambda"": 0.5, ""subsample"": 1.0}"
extrapolation_grouped__seed-43__repeat-2,extrapolation_grouped,43,2,rd,xgb_pseudohuber_inverse,xgboost,all,1954,577,52,14,0.5089958459924702,0.01261376491014251,0.0036815609035340036,107.0757802407319,-0.001373624132932183,1.4716131324753936,0.40835545216191793,0.012101612652736923,0.005431393577917474,445.0330715785308,-0.00068891561202111,1.4480813856496,"{""colsample_bytree"": 1.0, ""gamma"": 0.0, ""learning_rate"": 0.2, ""max_depth"": 4, ""min_child_weight"": 6, ""n_estimators"": 100, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0, ""subsample"": 1.0}"
extrapolation_grouped__seed-43__repeat-2,extrapolation_grouped,43,2,rd_bt,xgb_pseudohuber_inverse,xgboost,all,2954,577,52,14,0.5206399956032883,0.012463299950720031,0.0035529010306551943,118.0992420133778,-0.00044218882050912005,1.454058801009659,0.40835545216191793,0.012101612652736923,0.005431393577917474,445.0330715785308,-0.00068891561202111,1.4480813856496,"{""colsample_bytree"": 1.0, ""gamma"": 0.0, ""learning_rate"": 0.2, ""max_depth"": 4, ""min_child_weight"": 6, ""n_estimators"": 100, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0, ""subsample"": 1.0}"
interpolation_random__seed-44__repeat-3,interpolation_random,44,3,rd,xgb_pseudohuber_inverse,xgboost,all,2024,507,66,61,0.8460815140307306,0.006898855032359409,0.0026747339282050886,258.35722942917795,0.0006157879108124906,0.7563896046274127,0.8229312365985301,0.006770686744028105,0.002670539005793434,216.83434080668562,4.999964615974308e-05,0.7803301759215252,"{""colsample_bytree"": 0.5, ""gamma"": 0.0, ""learning_rate"": 0.2, ""max_depth"": 4, ""min_child_weight"": 10, ""n_estimators"": 300, ""reg_alpha"": 0.0, ""reg_lambda"": 0.5, ""subsample"": 0.7}"
interpolation_random__seed-44__repeat-3,interpolation_random,44,3,rd_bt,xgb_pseudohuber_inverse,xgboost,all,3024,507,66,61,0.8603224570945511,0.006571960145220528,0.0024743665170367415,206.77500584630786,0.00048794239696122745,0.7205488900047808,0.8229312365985301,0.006770686744028105,0.002670539005793434,216.83434080668562,4.999964615974308e-05,0.7803301759215252,"{""colsample_bytree"": 0.5, ""gamma"": 0.0, ""learning_rate"": 0.2, ""max_depth"": 4, ""min_child_weight"": 10, ""n_estimators"": 300, ""reg_alpha"": 0.0, ""reg_lambda"": 0.5, ""subsample"": 0.7}"
