model_id,model_family,feature_set,protocol,augmentation,paper_id,paper_label,n_predictions,n_unique_rows,R2,RMSE,MAE,MAPE,MBE,NRMSE,n
xgb_pseudohuber_inverse,xgboost,all,extrapolation_grouped,rd,doi::10.1016/j.combustflame.2020.12.005,"Carney, Ama, Yanjun Li, Ya-Ting Liao, Sandra Olson, and Paul Ferkul. ""Concurrent-flow flame spread over thin discrete fu",16,8,-13.201729428659702,0.13244880624887448,0.12689738885150292,89.5502086015786,-0.12689738885150292,0.9460629017776747,16
xgb_pseudohuber_inverse,xgboost,all,extrapolation_grouped,rd,doi::10.1007/s10694-019-00878-w,"Vetturini, Anthony, Wohan Cui, Ya-Ting Liao, Sandra Olson, and Paul Ferkul. ""Flame Spread Over Ultra-thin Solids: Effect",44,11,-1.608355079517326,0.08696307702931198,0.07861245025907727,393.92829016120334,-0.050535059616613115,1.1034650447830565,44
xgb_pseudohuber_inverse,xgboost,all,extrapolation_grouped,rd,doi::10.1016/s0082-0784(06)80816-7,"Sacksteder, Kurt R., and James S. T’ien. “Buoyant Downward Diffusion Flame Spread and Extinction in Partial-Gravity Acce",37,37,-89.8496276182053,0.02840484508564529,0.028353665705919268,428.1026951432142,0.028353665705919268,3.575732403949632,37
xgb_pseudohuber_inverse,xgboost,all,extrapolation_grouped,rd,citation::andracchio charles r and thomas h cochran burning of solids in oxygen rich environments in normal and reduced gravity nasa technical memorandum x 3055 national aeronautics and space administration may 1974,"Andracchio, Charles R., and Thomas H. Cochran. Burning of Solids in Oxygen-Rich Environments in Normal and Reduced Gravi",36,18,0.08753685415656953,0.027117640765930224,0.018877754721790554,38.97906068346106,-0.013944902139819335,0.5838726480702681,36
xgb_pseudohuber_inverse,xgboost,all,extrapolation_grouped,rd,citation::meyer florian jan hei meier hans christoph ries and christian eigenbrod sooting behavior in concurrent and upward burning of cylindrical pmma samples 52nd international conference on environmental systems ices 2023 171 calgary canada 16 20 july 2023,"Meyer, Florian, Jan Heißmeier, Hans?Christoph Ries, and Christian Eigenbrod. ""Sooting Behavior in Concurrent and Upward ",18,6,-2891.755484709223,0.02668956730030939,0.017472066458952093,1118.9489517351763,0.016713567978507943,14.133927961328892,18
xgb_pseudohuber_inverse,xgboost,all,extrapolation_grouped,rd,doi::10.1016/j.combustflame.2022.112009,"Rojas-Alva, Ulises, Frederik Møller-Poulsen, Sze-Lok Man, Cameron Creamer, David Hanna, and Grunde Jomaas. ""Flame Spread",90,45,-74.43912325474447,0.023363844886073907,0.01997158610097898,2070.787100137025,0.019839249386115206,11.041514596443246,90
xgb_pseudohuber_inverse,xgboost,all,extrapolation_grouped,rd,doi::10.1080/00102200490276773,"Olson, Sandra L., et al. “Sounding Rocket Microgravity Experiments Elucidating Diffusive and Radiative Transport Effects",162,54,-0.7665279181888094,0.02107932670598899,0.01635013669790631,59.74864245812631,-0.015829150652266852,0.7895974210068017,162
xgb_pseudohuber_inverse,xgboost,all,extrapolation_grouped,rd,citation::son youngjin paul d ronney and suleyman gokoglu comparison of carbon dioxide and helium as fire extinguishing agents for spacecraft nasa cp 2004 213205 vol2 2004 pp 409 418,"Son, Youngjin, Paul D. Ronney, and Suleyman Gokoglu. ""Comparison of Carbon Dioxide and Helium as Fire Extinguishing Agen",89,89,-0.01994913312062563,0.020832278161777074,0.015457141789229733,93.49125372622086,-0.007335978157532013,0.7823553950014598,89
xgb_pseudohuber_inverse,xgboost,all,extrapolation_grouped,rd,doi::10.1016/j.combustflame.2009.01.015,"Olson, Sandra L., et al. “Experimental Comparison of Opposed and Concurrent Flame Spread in a Forced Convective 0 Enviro",208,52,-0.922781368530945,0.017799615963362745,0.012581391295923207,56.697415474695646,-0.008606547414780093,0.8364178836931706,208
xgb_pseudohuber_inverse,xgboost,all,extrapolation_grouped,rd,doi::10.1016/s1540-7489(02)80315-7,"Son, Youngjin, and Paul D. Ronney. ""Radiation-Driven Flame Spread over Thermally Thick Fuels in Quiescent 0 Environments",80,40,0.2317558937749803,0.01565465060583689,0.01352894483681768,106.08003158641857,-0.0002388580612614738,0.5477436553507016,80
