configuration_id,inner_fold,parameters,R2,RMSE,MAE,MAPE,MBE,NRMSE,n,split_id,protocol,seed,repeat,model_id
0,0,"{""colsample_bytree"": 0.7, ""gamma"": 1.0, ""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 200, ""reg_alpha"": 0.0, ""reg_lambda"": 0.5, ""subsample"": 0.9}",-0.02259658754228977,0.017780636027398145,0.011509975775651726,2904.1216960063343,0.002643117995881004,2.0369469916289984,405.0,interpolation_random__seed-42__repeat-1,interpolation_random,42,1,xgb_pseudohuber_inverse
0,1,"{""colsample_bytree"": 0.7, ""gamma"": 1.0, ""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 200, ""reg_alpha"": 0.0, ""reg_lambda"": 0.5, ""subsample"": 0.9}",-0.00981242498451973,0.016698457944888407,0.010970179471687767,2500.996039442448,0.001646054411066167,1.8010176929824273,405.0,interpolation_random__seed-42__repeat-1,interpolation_random,42,1,xgb_pseudohuber_inverse
0,2,"{""colsample_bytree"": 0.7, ""gamma"": 1.0, ""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 200, ""reg_alpha"": 0.0, ""reg_lambda"": 0.5, ""subsample"": 0.9}",-0.010093860403212362,0.018498337492270853,0.011135737177330771,3757.517002963305,0.0018491855030648503,2.078487952250738,405.0,interpolation_random__seed-42__repeat-1,interpolation_random,42,1,xgb_pseudohuber_inverse
0,3,"{""colsample_bytree"": 0.7, ""gamma"": 1.0, ""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 200, ""reg_alpha"": 0.0, ""reg_lambda"": 0.5, ""subsample"": 0.9}",-0.013334400918906919,0.01828967852945161,0.011494321048094903,4065.3795408866627,0.0020980528952692762,2.032442998136364,405.0,interpolation_random__seed-42__repeat-1,interpolation_random,42,1,xgb_pseudohuber_inverse
0,4,"{""colsample_bytree"": 0.7, ""gamma"": 1.0, ""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 200, ""reg_alpha"": 0.0, ""reg_lambda"": 0.5, ""subsample"": 0.9}",-0.026582642428577552,0.015995129358438193,0.011080528177515704,3085.112153614042,0.0025738893507524295,1.9356442712192012,404.0,interpolation_random__seed-42__repeat-1,interpolation_random,42,1,xgb_pseudohuber_inverse
0,mean,"{""colsample_bytree"": 0.7, ""gamma"": 1.0, ""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 200, ""reg_alpha"": 0.0, ""reg_lambda"": 0.5, ""subsample"": 0.9}",-0.016483983255501267,0.01745244787048944,0.011238148330056175,3262.625286582558,0.0021620600312067455,1.9769079812435457,404.8,interpolation_random__seed-42__repeat-1,interpolation_random,42,1,xgb_pseudohuber_inverse
1,0,"{""colsample_bytree"": 0.5, ""gamma"": 0.0, ""learning_rate"": 0.1, ""max_depth"": 2, ""min_child_weight"": 1, ""n_estimators"": 500, ""reg_alpha"": 0.1, ""reg_lambda"": 5.0, ""subsample"": 0.7}",0.7813875709596143,0.008221149527685987,0.0034728910511725593,339.1552986104665,0.00025182114884044176,0.9418136546042665,405.0,interpolation_random__seed-42__repeat-1,interpolation_random,42,1,xgb_pseudohuber_inverse
1,1,"{""colsample_bytree"": 0.5, ""gamma"": 0.0, ""learning_rate"": 0.1, ""max_depth"": 2, ""min_child_weight"": 1, ""n_estimators"": 500, ""reg_alpha"": 0.1, ""reg_lambda"": 5.0, ""subsample"": 0.7}",0.8696558259533524,0.005999317192474338,0.0032397858592583284,235.32811098014972,8.057581557651958e-05,0.6470583358727112,405.0,interpolation_random__seed-42__repeat-1,interpolation_random,42,1,xgb_pseudohuber_inverse
1,2,"{""colsample_bytree"": 0.5, ""gamma"": 0.0, ""learning_rate"": 0.1, ""max_depth"": 2, ""min_child_weight"": 1, ""n_estimators"": 500, ""reg_alpha"": 0.1, ""reg_lambda"": 5.0, ""subsample"": 0.7}",0.8643286788920261,0.006779471821690307,0.0032509536626197217,339.1702482067597,-0.0005697541511622113,0.7617468602188884,405.0,interpolation_random__seed-42__repeat-1,interpolation_random,42,1,xgb_pseudohuber_inverse
1,3,"{""colsample_bytree"": 0.5, ""gamma"": 0.0, ""learning_rate"": 0.1, ""max_depth"": 2, ""min_child_weight"": 1, ""n_estimators"": 500, ""reg_alpha"": 0.1, ""reg_lambda"": 5.0, ""subsample"": 0.7}",0.767362125337294,0.008763344598806077,0.0035586278376058666,410.88561254166586,0.00021391715281594676,0.9738278527650845,405.0,interpolation_random__seed-42__repeat-1,interpolation_random,42,1,xgb_pseudohuber_inverse
