split_id,protocol,seed,repeat,model_id,selected_hyperparameters,cv_R2,cv_RMSE,cv_MAE,cv_MAPE,cv_MBE,cv_NRMSE
interpolation_random__seed-42__repeat-1,interpolation_random,42,1,xgb_pseudohuber_inverse,"{""colsample_bytree"": 1.0, ""gamma"": 0.0, ""learning_rate"": 0.1, ""max_depth"": 5, ""min_child_weight"": 6, ""n_estimators"": 500, ""reg_alpha"": 0.0, ""reg_lambda"": 2.0, ""subsample"": 0.9}",0.8655003409727927,0.006142443976240313,0.0020746481276915927,126.27142777350245,-4.981453215655367e-05,0.6995858958187594
extrapolation_grouped__seed-42__repeat-1,extrapolation_grouped,42,1,xgb_pseudohuber_inverse,"{""colsample_bytree"": 0.5, ""gamma"": 0.0, ""learning_rate"": 0.2, ""max_depth"": 5, ""min_child_weight"": 4, ""n_estimators"": 300, ""reg_alpha"": 0.5, ""reg_lambda"": 5.0, ""subsample"": 0.7}",-0.1432898065895193,0.013467340577241749,0.0067681922374031355,453.4364806137193,9.724005903087325e-05,1.5166715504837534
interpolation_random__seed-43__repeat-2,interpolation_random,43,2,xgb_pseudohuber_inverse,"{""colsample_bytree"": 0.5, ""gamma"": 0.0, ""learning_rate"": 0.2, ""max_depth"": 5, ""min_child_weight"": 2, ""n_estimators"": 100, ""reg_alpha"": 0.0, ""reg_lambda"": 0.5, ""subsample"": 1.0}",0.8278980641941887,0.006969407261128005,0.0021997210412645933,151.63750966910948,-0.0001781674909880752,0.785209352186109
extrapolation_grouped__seed-43__repeat-2,extrapolation_grouped,43,2,xgb_pseudohuber_inverse,"{""colsample_bytree"": 1.0, ""gamma"": 0.0, ""learning_rate"": 0.2, ""max_depth"": 4, ""min_child_weight"": 6, ""n_estimators"": 100, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0, ""subsample"": 1.0}",0.40835545216191793,0.012101612652736923,0.005431393577917474,445.0330715785308,-0.00068891561202111,1.4480813856496
interpolation_random__seed-44__repeat-3,interpolation_random,44,3,xgb_pseudohuber_inverse,"{""colsample_bytree"": 0.5, ""gamma"": 0.0, ""learning_rate"": 0.2, ""max_depth"": 4, ""min_child_weight"": 10, ""n_estimators"": 300, ""reg_alpha"": 0.0, ""reg_lambda"": 0.5, ""subsample"": 0.7}",0.8229312365985301,0.006770686744028105,0.002670539005793434,216.83434080668562,4.999964615974308e-05,0.7803301759215252
extrapolation_grouped__seed-44__repeat-3,extrapolation_grouped,44,3,xgb_pseudohuber_inverse,"{""colsample_bytree"": 0.7, ""gamma"": 0.0, ""learning_rate"": 0.05, ""max_depth"": 6, ""min_child_weight"": 4, ""n_estimators"": 200, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 0.9}",0.1926804955499019,0.012429740951464496,0.005310514245374755,510.25462118464185,0.00046118342545866455,1.5959128418410848
interpolation_random__seed-45__repeat-4,interpolation_random,45,4,xgb_pseudohuber_inverse,"{""colsample_bytree"": 0.8, ""gamma"": 0.0, ""learning_rate"": 0.1, ""max_depth"": 4, ""min_child_weight"": 10, ""n_estimators"": 800, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.9}",0.857860106475545,0.006358469365443417,0.0022775686148167533,167.70019519089638,2.104125690784684e-05,0.7300541200805221
extrapolation_grouped__seed-45__repeat-4,extrapolation_grouped,45,4,xgb_pseudohuber_inverse,"{""colsample_bytree"": 1.0, ""gamma"": 0.0, ""learning_rate"": 0.1, ""max_depth"": 3, ""min_child_weight"": 4, ""n_estimators"": 100, ""reg_alpha"": 0.5, ""reg_lambda"": 2.0, ""subsample"": 0.6}",0.3165544166851518,0.013453454416179251,0.005672682658578039,320.656782804677,-0.000268530502228076,1.7321200399396162
interpolation_random__seed-46__repeat-5,interpolation_random,46,5,xgb_pseudohuber_inverse,"{""colsample_bytree"": 1.0, ""gamma"": 0.0, ""learning_rate"": 0.05, ""max_depth"": 6, ""min_child_weight"": 1, ""n_estimators"": 500, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 0.6}",0.866402473938558,0.006061700301164742,0.0024315717866561113,143.35404427845322,-0.00011477975176738891,0.6984614936309004
extrapolation_grouped__seed-46__repeat-5,extrapolation_grouped,46,5,xgb_pseudohuber_inverse,"{""colsample_bytree"": 0.5, ""gamma"": 0.0, ""learning_rate"": 0.05, ""max_depth"": 5, ""min_child_weight"": 2, ""n_estimators"": 300, ""reg_alpha"": 0.1, ""reg_lambda"": 5.0, ""subsample"": 1.0}",0.22686206641361953,0.014498910363204581,0.006267044149392881,190.86009777785546,0.0001499091454466364,1.6329827880806114
