split_id,protocol,seed,repeat,augmentation,model_id,model_family,feature_set,n_train_rows,n_test_rows,n_train_papers,n_test_papers,R2,RMSE,MAE,MAPE,MBE,NRMSE,cv_R2,cv_RMSE,cv_MAE,cv_MAPE,cv_MBE,cv_NRMSE,selected_hyperparameters
interpolation_random__seed-42__repeat-1,interpolation_random,42,1,rd,xgb_pseudohuber_sqrt,xgboost,all,2024,507,65,60,0.8276938189088268,0.006998554609445207,0.0018939311118799965,107.76123201779697,0.0004747012949242529,0.8195483092866029,0.8838536067682673,0.005675763655389652,0.0019703868799495197,165.10223794673755,-3.0223927704630575e-06,0.6433727372420728,"{""colsample_bytree"": 0.5, ""gamma"": 0.0, ""learning_rate"": 0.05, ""max_depth"": 6, ""min_child_weight"": 4, ""n_estimators"": 800, ""reg_alpha"": 0.0, ""reg_lambda"": 2.0, ""subsample"": 0.7}"
interpolation_random__seed-42__repeat-1,interpolation_random,42,1,rd_bt,xgb_pseudohuber_sqrt,xgboost,all,3024,507,65,60,0.798889246334629,0.007560936209088392,0.0019116317694040997,118.55768292239968,0.000491420240520994,0.8854046060338544,0.8838536067682673,0.005675763655389652,0.0019703868799495197,165.10223794673755,-3.0223927704630575e-06,0.6433727372420728,"{""colsample_bytree"": 0.5, ""gamma"": 0.0, ""learning_rate"": 0.05, ""max_depth"": 6, ""min_child_weight"": 4, ""n_estimators"": 800, ""reg_alpha"": 0.0, ""reg_lambda"": 2.0, ""subsample"": 0.7}"
extrapolation_grouped__seed-42__repeat-1,extrapolation_grouped,42,1,rd,xgb_pseudohuber_sqrt,xgboost,all,2005,526,52,14,0.1106759643242432,0.011253637192991514,0.006541381123518257,343.45580315596135,0.0015422352752762596,1.4183534838199512,-0.032696108855016434,0.012413512797205793,0.005702177096428576,373.1114291860478,-0.0002575410296583128,1.4279636187688733,"{""colsample_bytree"": 0.5, ""gamma"": 0.0, ""learning_rate"": 0.05, ""max_depth"": 6, ""min_child_weight"": 6, ""n_estimators"": 500, ""reg_alpha"": 0.5, ""reg_lambda"": 0.5, ""subsample"": 0.9}"
extrapolation_grouped__seed-42__repeat-1,extrapolation_grouped,42,1,rd_bt,xgb_pseudohuber_sqrt,xgboost,all,3005,526,52,14,-0.0518394428717901,0.012238765706254843,0.006944294765308005,307.1809374241605,0.0017369510355016745,1.5425142715577673,-0.032696108855016434,0.012413512797205793,0.005702177096428576,373.1114291860478,-0.0002575410296583128,1.4279636187688733,"{""colsample_bytree"": 0.5, ""gamma"": 0.0, ""learning_rate"": 0.05, ""max_depth"": 6, ""min_child_weight"": 6, ""n_estimators"": 500, ""reg_alpha"": 0.5, ""reg_lambda"": 0.5, ""subsample"": 0.9}"
interpolation_random__seed-43__repeat-2,interpolation_random,43,2,rd,xgb_pseudohuber_sqrt,xgboost,all,2024,507,65,61,0.8176789791406776,0.0072159446332979256,0.0020903492730481865,79.38005238394878,-1.1642361154337467e-05,0.8339261211567766,0.8614769321516862,0.006236815261792271,0.0019377246555076783,97.8600138026028,3.682297888341422e-05,0.6975761463957916,"{""colsample_bytree"": 1.0, ""gamma"": 0.0, ""learning_rate"": 0.2, ""max_depth"": 6, ""min_child_weight"": 4, ""n_estimators"": 500, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0, ""subsample"": 0.9}"
interpolation_random__seed-43__repeat-2,interpolation_random,43,2,rd_bt,xgb_pseudohuber_sqrt,xgboost,all,3024,507,65,61,0.7764710425695771,0.007989906858241249,0.002105753699512176,87.24260232966975,-0.00011160322665571882,0.9233707259823921,0.8614769321516862,0.006236815261792271,0.0019377246555076783,97.8600138026028,3.682297888341422e-05,0.6975761463957916,"{""colsample_bytree"": 1.0, ""gamma"": 0.0, ""learning_rate"": 0.2, ""max_depth"": 6, ""min_child_weight"": 4, ""n_estimators"": 500, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0, ""subsample"": 0.9}"
extrapolation_grouped__seed-43__repeat-2,extrapolation_grouped,43,2,rd,xgb_pseudohuber_sqrt,xgboost,all,1954,577,52,14,0.47907857035627066,0.012992366446855898,0.0038429320026919867,161.83709492111282,-0.0001915479910004468,1.5157835286554262,0.3583590220923404,0.012367005872926379,0.005260979888745689,412.4793345059262,-0.0005174971149992223,1.5159787576207575,"{""colsample_bytree"": 1.0, ""gamma"": 0.0, ""learning_rate"": 0.05, ""max_depth"": 6, ""min_child_weight"": 2, ""n_estimators"": 300, ""reg_alpha"": 0.0, ""reg_lambda"": 0.5, ""subsample"": 0.7}"
extrapolation_grouped__seed-43__repeat-2,extrapolation_grouped,43,2,rd_bt,xgb_pseudohuber_sqrt,xgboost,all,2954,577,52,14,0.4918175418041103,0.012832521016487785,0.0037531957273629455,180.75480780327493,6.547096349447444e-05,1.4971348035387284,0.3583590220923404,0.012367005872926379,0.005260979888745689,412.4793345059262,-0.0005174971149992223,1.5159787576207575,"{""colsample_bytree"": 1.0, ""gamma"": 0.0, ""learning_rate"": 0.05, ""max_depth"": 6, ""min_child_weight"": 2, ""n_estimators"": 300, ""reg_alpha"": 0.0, ""reg_lambda"": 0.5, ""subsample"": 0.7}"
interpolation_random__seed-44__repeat-3,interpolation_random,44,3,rd,xgb_pseudohuber_sqrt,xgboost,all,2024,507,66,61,0.8527061154963161,0.006748760024662678,0.0027328268233051288,281.52581137146484,0.0006137330117382484,0.739933206718519,0.8286825816737062,0.006919228807215012,0.0025669614932046754,186.59154496715504,-7.2604515335397925e-06,0.8055605963988534,"{""colsample_bytree"": 0.8, ""gamma"": 0.0, ""learning_rate"": 0.01, ""max_depth"": 6, ""min_child_weight"": 1, ""n_estimators"": 500, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 1.0}"
interpolation_random__seed-44__repeat-3,interpolation_random,44,3,rd_bt,xgb_pseudohuber_sqrt,xgboost,all,3024,507,66,61,0.8522362396043934,0.0067595159181988804,0.0026302701850134153,248.75675440967356,0.0006158363724017287,0.7411124815432694,0.8286825816737062,0.006919228807215012,0.0025669614932046754,186.59154496715504,-7.2604515335397925e-06,0.8055605963988534,"{""colsample_bytree"": 0.8, ""gamma"": 0.0, ""learning_rate"": 0.01, ""max_depth"": 6, ""min_child_weight"": 1, ""n_estimators"": 500, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 1.0}"
extrapolation_grouped__seed-44__repeat-3,extrapolation_grouped,44,3,rd,xgb_pseudohuber_sqrt,xgboost,all,1910,621,52,14,0.13876235715995688,0.013631901486158947,0.007199746136037319,541.3997766806897,0.0009041679125207316,1.6120385390678442,0.05020805126450858,0.012340938433289924,0.005857939838266123,611.5673339577783,0.0012651551555183118,1.5965020037223339,"{""colsample_bytree"": 0.5, ""gamma"": 0.0, ""learning_rate"": 0.02, ""max_depth"": 4, ""min_child_weight"": 1, ""n_estimators"": 300, ""reg_alpha"": 0.0, ""reg_lambda"": 2.0, ""subsample"": 0.6}"
extrapolation_grouped__seed-44__repeat-3,extrapolation_grouped,44,3,rd_bt,xgb_pseudohuber_sqrt,xgboost,all,2910,621,52,14,0.28570198718162854,0.012414655083497364,0.006700079349691298,543.0798284695719,0.0004664971647871118,1.4680932417353685,0.05020805126450858,0.012340938433289924,0.005857939838266123,611.5673339577783,0.0012651551555183118,1.5965020037223339,"{""colsample_bytree"": 0.5, ""gamma"": 0.0, ""learning_rate"": 0.02, ""max_depth"": 4, ""min_child_weight"": 1, ""n_estimators"": 300, ""reg_alpha"": 0.0, ""reg_lambda"": 2.0, ""subsample"": 0.6}"
interpolation_random__seed-45__repeat-4,interpolation_random,45,4,rd,xgb_pseudohuber_sqrt,xgboost,all,2024,507,66,62,0.872658134445458,0.006470698331851744,0.002209286592020528,148.7931341310647,-0.00014389605795390897,0.7186137101770848,0.8618755091311288,0.006235747360047451,0.002211776122961587,150.78832432210282,2.837817636192989e-05,0.7122210895981276,"{""colsample_bytree"": 1.0, ""gamma"": 0.0, ""learning_rate"": 0.1, ""max_depth"": 5, ""min_child_weight"": 4, ""n_estimators"": 200, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0, ""subsample"": 0.9}"
interpolation_random__seed-45__repeat-4,interpolation_random,45,4,rd_bt,xgb_pseudohuber_sqrt,xgboost,all,3024,507,66,62,0.8517371730458864,0.006982029630228784,0.002273881697772099,136.67217010995859,-0.0001866926142946758,0.775400421998842,0.8618755091311288,0.006235747360047451,0.002211776122961587,150.78832432210282,2.837817636192989e-05,0.7122210895981276,"{""colsample_bytree"": 1.0, ""gamma"": 0.0, ""learning_rate"": 0.1, ""max_depth"": 5, ""min_child_weight"": 4, ""n_estimators"": 200, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0, ""subsample"": 0.9}"
extrapolation_grouped__seed-45__repeat-4,extrapolation_grouped,45,4,rd,xgb_pseudohuber_sqrt,xgboost,all,1998,533,52,14,0.4055402376498882,0.011514708436641052,0.007168019906769752,900.8354557791428,0.0005117892525344739,1.08120470875498,0.45791112262000616,0.012311952221397204,0.004591037937105616,192.09349429983266,-0.0006999167384754242,1.5723693349227639,"{""colsample_bytree"": 0.5, ""gamma"": 0.0, ""learning_rate"": 0.02, ""max_depth"": 4, ""min_child_weight"": 2, ""n_estimators"": 300, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 0.9}"
extrapolation_grouped__seed-45__repeat-4,extrapolation_grouped,45,4,rd_bt,xgb_pseudohuber_sqrt,xgboost,all,2998,533,52,14,0.31083143965524074,0.01239808022815671,0.007674845212630151,954.1313561793187,0.0010161006730611446,1.1641512936228002,0.45791112262000616,0.012311952221397204,0.004591037937105616,192.09349429983266,-0.0006999167384754242,1.5723693349227639,"{""colsample_bytree"": 0.5, ""gamma"": 0.0, ""learning_rate"": 0.02, ""max_depth"": 4, ""min_child_weight"": 2, ""n_estimators"": 300, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 0.9}"
interpolation_random__seed-46__repeat-5,interpolation_random,46,5,rd,xgb_pseudohuber_sqrt,xgboost,all,2024,507,66,58,0.8426277940680995,0.007063096353187295,0.002386284224832944,180.29975022663194,-6.0606329132824885e-05,0.7883058862392702,0.8203922143538236,0.007147962880409346,0.00261196614873205,157.0518799742888,4.1379220026468644e-06,0.8142305715489485,"{""colsample_bytree"": 1.0, ""gamma"": 0.0, ""learning_rate"": 0.2, ""max_depth"": 6, ""min_child_weight"": 2, ""n_estimators"": 800, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 1.0}"
interpolation_random__seed-46__repeat-5,interpolation_random,46,5,rd_bt,xgb_pseudohuber_sqrt,xgboost,all,3024,507,66,58,0.8720587424292758,0.006368489281345878,0.0022160418387081366,167.2972751140987,-0.00012282743991023353,0.7107814102905711,0.8203922143538236,0.007147962880409346,0.00261196614873205,157.0518799742888,4.1379220026468644e-06,0.8142305715489485,"{""colsample_bytree"": 1.0, ""gamma"": 0.0, ""learning_rate"": 0.2, ""max_depth"": 6, ""min_child_weight"": 2, ""n_estimators"": 800, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 1.0}"
extrapolation_grouped__seed-46__repeat-5,extrapolation_grouped,46,5,rd,xgb_pseudohuber_sqrt,xgboost,all,2001,530,52,14,0.4428582296151944,0.010494348381910623,0.005583773216289064,579.0426810117059,0.000859591131060437,1.178191120660191,0.35507987944274555,0.013791367915547336,0.006215079093186124,275.7518402775862,-0.0002234565868695925,1.5395595578668797,"{""colsample_bytree"": 1.0, ""gamma"": 0.0, ""learning_rate"": 0.05, ""max_depth"": 5, ""min_child_weight"": 4, ""n_estimators"": 800, ""reg_alpha"": 0.5, ""reg_lambda"": 0.5, ""subsample"": 0.7}"
