model_id,model_family,feature_set,augmentation,R2_mean,R2_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std,MAPE_mean,NRMSE_mean,MBE_mean,fold_count
rf_baseline,random_forest,all,rd,0.4576134719032061,0.2215156291209969,0.0122051249092407,0.0041154125215593,0.0048193915540913,0.0011435946560373,356.99210790225413,1.432580401706118,-0.0006581910470208,10
rf_baseline,random_forest,all,rd_bt,0.4477179511750996,0.2468333374667108,0.0122182300161163,0.0040601557739882,0.0048563369498736,0.0012660875768979,333.92268465313,1.4333704657069206,-0.0006615923241383,10
xgb_paper_sqrt,xgboost,all,rd_bt,0.4411464581800027,0.1547963208346552,0.0125722435162525,0.0038315908780658,0.0051301093069046,0.00088210616465,437.7957213857526,1.476954341136414,-0.0002477328580196,10
xgb_absoluteerror_inverse,xgboost,all,rd_bt,0.4223354277181347,0.1972856437888435,0.0126317695648815,0.0038718016115101,0.0049877776153031,0.0011308272575123,283.67705016189126,1.472917874407446,-0.0008651679220605,10
xgb_log_target_sqrt,xgboost,all,rd,0.4142446928605767,0.2224029167878946,0.0127733156544035,0.0044983542693985,0.0052118489119693,0.0015189782539085,421.5755212765524,1.4980481991042145,-0.0005898009614297,10
xgb_absoluteerror_sqrt,xgboost,all,rd,0.4128449998437368,0.2408040358737969,0.0126998002584119,0.0044545000537897,0.0050820094837619,0.0014567520493986,325.4106965657465,1.4852189037592487,-0.0005257431820879,10
xgb_absoluteerror_inverse,xgboost,all,rd,0.4038622853316403,0.2353322306276747,0.0127395333247672,0.0039429583914793,0.0051343668233726,0.0013335753848689,259.7126067801073,1.4853449795280491,-0.000765740301906,10
rf_paper_sqrt,random_forest,all,rd,0.4028157079928783,0.1958299522821644,0.0128348004859859,0.0038448427256185,0.0049742070166877,0.0009736983334878,367.2705590179896,1.5070232851160297,-0.0004081657660855,10
xgb_paper_sqrt,xgboost,all,rd,0.4020799031969638,0.1420067417466167,0.0129645631210865,0.0035852923223034,0.00530910776435,0.0010308840658702,458.1941187002154,1.52099699217404,-0.000328347238642,10
xgb_baseline,xgboost,all,rd,0.3963813385157269,0.2043360592950771,0.0129459301035685,0.003901161335506,0.0054599901256287,0.0009732116609874,432.5497904433482,1.5198736202652463,-0.0001638049869047,10
xgb_absoluteerror_sqrt,xgboost,all,rd_bt,0.3929201153294919,0.224143387160496,0.0129873094884274,0.0044297745769742,0.0050444327076387,0.0013092258768337,289.6802267841796,1.5223031470297754,-0.000546348916027,10
rf_paper_sqrt,random_forest,all,rd_bt,0.3875936661623608,0.218371781606508,0.0129248827191651,0.0037945115340774,0.0049591246664262,0.0010059890633677,349.0416896698669,1.5153388302165718,-0.0004380810824827,10
xgb_pseudohuber_inverse,xgboost,all,rd_bt,0.3614198690859703,0.2544011860092313,0.0132042724070845,0.0042998503897841,0.0053434821381803,0.0016099733229352,461.24667474420687,1.5509590221762042,-0.0005804934233867,10
xgb_pseudohuber_inverse,xgboost,all,rd,0.3612363044827688,0.2717904504843821,0.013166913537957,0.004236728071173,0.0053053850058697,0.0015384365579546,421.8800528361151,1.549202711766689,-0.000768543285613,10
xgb_pseudohuber_sqrt,xgboost,all,rd_bt,0.3550647699752795,0.2234672199667878,0.0132620167901768,0.0036721783231552,0.0054835437739225,0.001383164704518,469.1399267186081,1.5545911799742158,-0.0001829425853274,10
xgb_log_target_inverse,xgboost,all,rd_bt,0.3479670225180712,0.1967000145012484,0.0134526259617212,0.0039439055750185,0.0054062810257506,0.0011736688939264,459.3572305493384,1.5766544041277502,-0.0006626507660698,10
xgb_pseudohuber_sqrt,xgboost,all,rd,0.3440112981506812,0.1849367685776986,0.0134605095595455,0.0035425102435118,0.0057104448786074,0.0012520486806186,481.2526690012164,1.579239963571672,-3.1118305250959915e-05,10
xgb_baseline,xgboost,all,rd_bt,0.3419693817578942,0.1783512457931399,0.0135002901060075,0.0034374257343677,0.0056473941580974,0.0009830936759486,453.39895688246105,1.5832492958381912,-9.137299746405e-05,10
xgb_paper_inverse,xgboost,all,rd,0.3404412595624698,0.1876085605320263,0.0134494843101026,0.0033842926137652,0.0053997072137028,0.0014843001403658,486.7365705898486,1.574031038455317,-0.0004219612714967,10
xgb_log_target_sqrt,xgboost,all,rd_bt,0.3387431887846021,0.2602707518028601,0.0134498704789013,0.0042294969180147,0.0054442493614717,0.0016359493936134,382.1340191281474,1.575266905172645,-0.000562971726129,10
rf_paper_inverse,random_forest,all,rd_bt,0.334711776118115,0.384251818958443,0.0131302754132906,0.0042744166841027,0.0049480282182505,0.0013754392071848,338.64966531844465,1.5422920725641407,-0.0003857573800949,10
rf_paper_inverse,random_forest,all,rd,0.3318500333098716,0.288224522097432,0.0133604892839676,0.0039468478043505,0.005029844054887,0.0011838726464838,347.8698563923946,1.5708645816167113,-0.0001943024824983,10
