model_id,model_family,feature_set,protocol,augmentation,paper_id,paper_label,n_predictions,n_unique_rows,R2,RMSE,MAE,MAPE,MBE,NRMSE,n
knn_distance_inverse,knn,all,extrapolation_grouped,rd,doi::10.1016/j.combustflame.2020.12.005,"Carney, Ama, Yanjun Li, Ya-Ting Liao, Sandra Olson, and Paul Ferkul. ""Concurrent-flow flame spread over thin discrete fu",16,8,-14.158041737033274,0.1368355621016347,0.1290617302405289,89.57217147338503,-0.1290617302405289,0.977396872154534,16
knn_distance_inverse,knn,all,extrapolation_grouped,rd,doi::10.1007/s10694-019-00878-w,"Vetturini, Anthony, Wohan Cui, Ya-Ting Liao, Sandra Olson, and Paul Ferkul. ""Flame Spread Over Ultra-thin Solids: Effect",44,11,-0.4374426351460632,0.0645575147229383,0.0542158438057995,316.74278928858087,-0.0244539772708077,0.8191632967497079,44
knn_distance_inverse,knn,all,extrapolation_grouped,rd,doi::10.1016/j.combustflame.2022.112009,"Rojas-Alva, Ulises, Frederik Møller-Poulsen, Sze-Lok Man, Cameron Creamer, David Hanna, and Grunde Jomaas. ""Flame Spread",90,45,-218.24160499569,0.0398297411908906,0.0163951481481481,623.739202466728,0.015426111111111,18.82312910722622,90
knn_distance_inverse,knn,all,extrapolation_grouped,rd,doi::10.1016/j.combustflame.2022.112559,"Olson, Sandra L., et al. “The Effect of Duct Size, Sample Size, and Fuel Composition on Concurrent Flame Spread over Lar",16,8,-1354.4574962963418,0.0365857113856302,0.0217937705108033,747.9367665698851,0.020844911815557,12.401936062925524,16
knn_distance_inverse,knn,all,extrapolation_grouped,rd,citation::kimzey john howard flammability during weightlessness nasa technical memorandum nasa tm x 58001 may 1966,"Kimzey, John Howard. ""Flammability During Weightlessness."" NASA Technical Memorandum NASA TM X-58001, May 1966.",15,15,-20.413975262621264,0.0363397460931519,0.0241395747795876,664.5299216443194,0.022995414428945,3.916202251578988,15
knn_distance_inverse,knn,all,extrapolation_grouped,rd,doi::10.1080/00102200490276773,"Olson, Sandra L., et al. “Sounding Rocket Microgravity Experiments Elucidating Diffusive and Radiative Transport Effects",162,54,-2.151533321956378,0.0281551233244252,0.023736944543473,94.31317602631944,-0.0229260086927019,1.0546452965586608,162
knn_distance_inverse,knn,all,extrapolation_grouped,rd,citation::andracchio charles r and thomas h cochran burning of solids in oxygen rich environments in normal and reduced gravity nasa technical memorandum x 3055 national aeronautics and space administration may 1974,"Andracchio, Charles R., and Thomas H. Cochran. Burning of Solids in Oxygen-Rich Environments in Normal and Reduced Gravi",36,18,0.1864646916055321,0.0256054516274457,0.0218431740027617,69.29672014148701,-0.0046563783103591,0.5513135517871088,36
knn_distance_inverse,knn,all,extrapolation_grouped,rd,citation::son youngjin paul d ronney and suleyman gokoglu comparison of carbon dioxide and helium as fire extinguishing agents for spacecraft nasa cp 2004 213205 vol2 2004 pp 409 418,"Son, Youngjin, Paul D. Ronney, and Suleyman Gokoglu. ""Comparison of Carbon Dioxide and Helium as Fire Extinguishing Agen",89,89,-0.3591410546354376,0.0240480449370293,0.0175949438202247,85.85444706041541,-0.012248202247191,0.9031233910001492,89
knn_distance_inverse,knn,all,extrapolation_grouped,rd,doi::10.1016/s1540-7489(02)80315-7,"Son, Youngjin, and Paul D. Ronney. ""Radiation-Driven Flame Spread over Thermally Thick Fuels in Quiescent 0 Environments",80,40,-0.5407903296457777,0.0221699918036783,0.0170806301051569,186.64859331939044,0.0112539067819771,0.7757102126006,80
knn_distance_inverse,knn,all,extrapolation_grouped,rd,citation::andracchio charles r and thomas h cochran gravity effects on flame spreading over solid surfaces nasa technical note d 8228 national aeronautics and space administration may 1976,"Andracchio, Charles R., and Thomas H. Cochran. Gravity Effects on Flame Spreading over Solid Surfaces. NASA Technical No",134,67,0.0926016119569606,0.021510221339048,0.0176092903452611,83.34408049730298,-0.0024551151264684,0.6788115631464468,134
