feature,importance_mean,importance_std,held_out_rmse
Oxygen Concentration,0.0022756131974799375,0.0003489529233768793,0.010919211060217721
Flow Velocity (m/s),0.001485688435338191,0.0007816785816051507,0.010919211060217721
gas_k,0.001137168717206443,8.255767224285324e-05,0.010919211060217721
thermal_diffusion_time,0.0009670425749261453,0.0006824917855918405,0.010919211060217721
Prandtl,0.0002712424035061098,1.9690116602746772e-05,0.010919211060217721
gas_cp_mass,0.00015616397366112635,1.7448689697664915e-05,0.010919211060217721
Reynolds,0.00015449521459755654,8.689214694409586e-05,0.010919211060217721
gas_M,9.316856818178398e-05,1.1001050738767526e-05,0.010919211060217721
Gravity,8.222239065065404e-06,5.986328950339684e-06,0.010919211060217721
characteristic_length_m,3.3261708787753893e-06,6.308012421578981e-06,0.010919211060217721
Ignition,-1.7347234759768072e-19,5.485677294651095e-19,0.010919211060217721
Ignition Power (W),-5.204170427930421e-19,8.379510480279737e-19,0.010919211060217721
Dimensions of sample (Wire is L m x D m; Cylinder is Core Diameter m x Outer Diameter m; Flat is L m x H m x W m; Spherical is D m),-3.030060553278931e-06,1.2506328594603291e-05,0.010919211060217721
Ignition Time (s),-3.270520278989865e-06,2.570790889951288e-06,0.010919211060217721
Geometry of Sample,-3.49461172533868e-06,1.072218087555874e-06,0.010919211060217721
diluent,-5.5423524543398925e-06,5.764675900079246e-07,0.010919211060217721
fuel_cp_J_kgK,-6.3247947795939605e-06,1.3868454582814565e-06,0.010919211060217721
Ignition Method,-7.417958672490191e-06,1.482904258487632e-06,0.010919211060217721
core_cp_J_kgK,-1.3207348351170454e-05,2.8717583819444336e-06,0.010919211060217721
Peclet,-2.542660805484459e-05,3.063790984510759e-05,0.010919211060217721
gas_alpha_m2_s,-4.716520441665449e-05,3.4585125272539835e-06,0.010919211060217721
half_thickness,-0.00010544395109083685,5.072002052507582e-05,0.010919211060217721
fuel_alpha_m2_s,-0.00011965714499794587,8.437078061458665e-06,0.010919211060217721
gas_density_kg_m3,-0.0002556826512594335,2.609008223092471e-05,0.010919211060217721
gas_nu_m2_s,-0.0002624082446901115,3.1047560454230594e-05,0.010919211060217721
core_k_W_mK,-0.00036582789465409613,3.090917741780302e-05,0.010919211060217721
fuel_pyrolysis_T_K,-0.00041126553393893686,4.287994062895501e-05,0.010919211060217721
Pressure (Pa),-0.0005013833860237857,4.7237362646819545e-05,0.010919211060217721
fuel_k_W_mK,-0.0005957251335948653,5.512014795280014e-05,0.010919211060217721
core_volumetric_heat_capacity_J_m3K,-0.0006654721182772696,8.822086311231608e-05,0.010919211060217721
core_density_kg_m3,-0.0007243103426096383,0.00013423130497116872,0.010919211060217721
fuel_density_kg_m3,-0.0007899061743296195,0.00017531841554837725,0.010919211060217721
fuel_volumetric_heat_capacity_J_m3K,-0.0008371615687121899,0.00010478621999978081,0.010919211060217721
