repeat,seed,random_stratified,random_train_rows,random_test_rows,grouped_train_rows,grouped_test_rows,grouped_train_papers,grouped_test_papers,grouped_balance_score,grouped_target_bin_distance,grouped_train_y_mean,grouped_test_y_mean,grouped_train_y_std,grouped_test_y_std
1,42,True,2024,507,2005,526,52,14,0.51773254108456,0.12087912087912087,0.008994433915211968,0.007934296577946767,0.01838399575151625,0.011933364185298364
2,43,True,2024,507,1954,577,52,14,0.47329241653225024,0.15109890109890112,0.008833976458546573,0.008571386481802425,0.017019491063208173,0.018001228693420225
3,44,True,2024,507,1910,621,52,14,0.48852558882228636,0.12087912087912087,0.008877439790575918,0.008456312399355879,0.01800130848909804,0.01468909153328071
4,45,True,2024,507,1998,533,52,14,0.522694634835886,0.12087912087912087,0.008273718718718718,0.010649887429643526,0.017781761776799476,0.014934535306726261
5,46,True,2024,507,2001,530,52,14,0.4807968739345677,0.15109890109890112,0.008738870564717642,0.008907169811320757,0.017998665096365135,0.014059588748025915
6,47,True,2024,507,2109,422,52,14,0.4189289778720905,0.12087912087912087,0.008805424371740162,0.008617630331753555,0.0169871059787429,0.018499181282660815
7,48,True,2024,507,1950,581,52,14,0.46244795095305546,0.12087912087912087,0.008930194871794873,0.008250258175559381,0.016229880027455984,0.02028842727627514
8,49,True,2024,507,1964,567,52,14,0.5044330210435853,0.12087912087912087,0.008902754582484724,0.008328518518518518,0.015476784170740138,0.022318135157044484
9,50,True,2024,507,2046,485,52,14,0.40832340595213756,0.12087912087912087,0.00901368523949169,0.007763463917525772,0.017269310876500403,0.017123947214572374
10,51,True,2024,507,2026,505,52,14,0.3621468841758264,0.12087912087912087,0.008759550839091808,0.008832534653465347,0.017670232531444865,0.015441447128333405
