Citation,,,Sample,,,,,,,,,,Flow,,,,,,,,,,,,,Extra,,,,Outputs,,,,,Info,,,
Article (MLA),Authors,DOI,Geometry of Sample,Dimensions of sample (Wire is L mm x D mm; Cylinder is Core Diameter mm x Outer Diameter mm; Flat is L mm x H mm x W mm; Spherical is D mm),fuel_density_kg_m3,fuel_k_W_mK,fuel_cp_J_kgK,fuel_pyrolysis_T_K,fuel_alpha_m2_s,core_density_kg_m3,core_k_W_mK,core_cp_J_kgK,Oxygen Concentration,diluent,gas_M,gas_cp_mass,gas_k,gas_density_kg_m3,gas_alpha_m2_s,gas_nu_m2_s,Pressure (kPa),Flow Velocity,Internal Geometry,Internal Dimensions ,Gravity,Facility,Ignition Method,Ignition Power (W),Ignition Time (s),Ignition,Flame Length,FSR,HRR,Smoke/ Areosols,,,,
"Andracchio, Charles R., and John C. Aydelott. “Comparison of Flame Spreading over Thin Flat Surfaces in Normal Gravity and Weightlessness in an Oxygen Environment.” NASA Technical Memorandum NASA TM X-1992, 1970.","Charles R. Andracchio, John C. Aydelott",https://ntrs.nasa.gov/citations/19700016396,Flat,63 mm x 63 mm x 0.025 mm,1300,0.25,1500,600,1.28205E-07,1300,0.25,1500,0.996,N2,0.031984,919.172086,0.026298,0.452975,6.30E-05,4.10E-05,34.500,,Cylindrical,305 mm diameter; 610 mm height,1.00,Ground,Wire,,,Yes,,56.000,,,Orientation=horizontal,,,
"Andracchio, Charles R., and John C. Aydelott. “Comparison of Flame Spreading over Thin Flat Surfaces in Normal Gravity and Weightlessness in an Oxygen Environment.” NASA Technical Memorandum NASA TM X-1992, 1970.","Charles R. Andracchio, John C. Aydelott",https://ntrs.nasa.gov/citations/19700016396,Flat,63 mm x 63 mm x 0.025 mm,1300,0.25,1500,600,1.28205E-07,1300,0.25,1500,0.996,N2,0.031984,919.172086,0.026298,0.452975,6.30E-05,4.10E-05,34.500,,Cylindrical,305 mm diameter; 610 mm height,0.00,Drop Tower,Wire,,,Yes,,36.000,,,Orientation=horizontal,,,
"Andracchio, Charles R., and John C. Aydelott. “Comparison of Flame Spreading over Thin Flat Surfaces in Normal Gravity and Weightlessness in an Oxygen Environment.” NASA Technical Memorandum NASA TM X-1992, 1970.","Charles R. Andracchio, John C. Aydelott",https://ntrs.nasa.gov/citations/19700016396,Flat,63 mm x 63 mm x 0.025 mm,1300,0.25,1500,600,1.28205E-07,1300,0.25,1500,0.996,N2,0.031984,919.172086,0.026298,0.452975,6.30E-05,4.10E-05,34.500,,Cylindrical,305 mm diameter; 610 mm height,1.00,Ground,Wire,,,Yes,,60.000,,,Orientation=vertical,,,
"Andracchio, Charles R., and John C. Aydelott. “Comparison of Flame Spreading over Thin Flat Surfaces in Normal Gravity and Weightlessness in an Oxygen Environment.” NASA Technical Memorandum NASA TM X-1992, 1970.","Charles R. Andracchio, John C. Aydelott",https://ntrs.nasa.gov/citations/19700016396,Flat,63 mm x 63 mm x 0.025 mm,1300,0.25,1500,600,1.28205E-07,1300,0.25,1500,0.996,N2,0.031984,919.172086,0.026298,0.452975,6.30E-05,4.10E-05,34.500,,Cylindrical,305 mm diameter; 610 mm height,0.00,Drop Tower,Wire,,,Yes,,42.000,,,Orientation=vertical,,,
"Andracchio, Charles R., and John C. Aydelott. “Comparison of Flame Spreading over Thin Flat Surfaces in Normal Gravity and Weightlessness in an Oxygen Environment.” NASA Technical Memorandum NASA TM X-1992, 1970.","Charles R. Andracchio, John C. Aydelott",https://ntrs.nasa.gov/citations/19700016396,Flat,63 mm x 63 mm x 0.025 mm,1300,0.25,1500,600,1.28205E-07,1300,0.25,1500,0.996,N2,0.031984,919.172086,0.026298,0.452975,6.30E-05,4.10E-05,34.500,,Cylindrical,305 mm diameter; 610 mm height,1.00,Ground,Wire,,,Yes,,56.000,,,Orientation=vertical,,,
"Andracchio, Charles R., and John C. Aydelott. “Comparison of Flame Spreading over Thin Flat Surfaces in Normal Gravity and Weightlessness in an Oxygen Environment.” NASA Technical Memorandum NASA TM X-1992, 1970.","Charles R. Andracchio, John C. Aydelott",https://ntrs.nasa.gov/citations/19700016396,Flat,63 mm x 63 mm x 0.025 mm,1300,0.25,1500,600,1.28205E-07,1300,0.25,1500,0.996,N2,0.031984,919.172086,0.026298,0.452975,6.30E-05,4.10E-05,34.500,,Cylindrical,305 mm diameter; 610 mm height,0.00,Drop Tower,Wire,,,Yes,,43.000,,,Orientation=vertical,,,
"Andracchio, Charles R., and John C. Aydelott. “Comparison of Flame Spreading over Thin Flat Surfaces in Normal Gravity and Weightlessness in an Oxygen Environment.” NASA Technical Memorandum NASA TM X-1992, 1970.","Charles R. Andracchio, John C. Aydelott",https://ntrs.nasa.gov/citations/19700016396,Flat,63 mm x 63 mm x 0.051 mm,1300,0.25,1500,600,1.28205E-07,1300,0.25,1500,0.996,N2,0.031984,919.172086,0.026298,0.452975,6.30E-05,4.10E-05,34.500,,Cylindrical,305 mm diameter; 610 mm height,1.00,Ground,Wire,,,Yes,,30.000,,,Orientation=horizontal,,,
"Andracchio, Charles R., and John C. Aydelott. “Comparison of Flame Spreading over Thin Flat Surfaces in Normal Gravity and Weightlessness in an Oxygen Environment.” NASA Technical Memorandum NASA TM X-1992, 1970.","Charles R. Andracchio, John C. Aydelott",https://ntrs.nasa.gov/citations/19700016396,Flat,63 mm x 63 mm x 0.051 mm,1300,0.25,1500,600,1.28205E-07,1300,0.25,1500,0.996,N2,0.031984,919.172086,0.026298,0.452975,6.30E-05,4.10E-05,34.500,,Cylindrical,305 mm diameter; 610 mm height,0.00,Drop Tower,Wire,,,Yes,,22.000,,,Orientation=horizontal,,,
"Andracchio, Charles R., and John C. Aydelott. “Comparison of Flame Spreading over Thin Flat Surfaces in Normal Gravity and Weightlessness in an Oxygen Environment.” NASA Technical Memorandum NASA TM X-1992, 1970.","Charles R. Andracchio, John C. Aydelott",https://ntrs.nasa.gov/citations/19700016396,Flat,63 mm x 63 mm x 0.051 mm,1300,0.25,1500,600,1.28205E-07,1300,0.25,1500,0.996,N2,0.031984,919.172086,0.026298,0.452975,6.30E-05,4.10E-05,34.500,,Cylindrical,305 mm diameter; 610 mm height,1.00,Ground,Wire,,,Yes,,35.000,,,Orientation=vertical,,,
"Andracchio, Charles R., and John C. Aydelott. “Comparison of Flame Spreading over Thin Flat Surfaces in Normal Gravity and Weightlessness in an Oxygen Environment.” NASA Technical Memorandum NASA TM X-1992, 1970.","Charles R. Andracchio, John C. Aydelott",https://ntrs.nasa.gov/citations/19700016396,Flat,63 mm x 63 mm x 0.051 mm,1300,0.25,1500,600,1.28205E-07,1300,0.25,1500,0.996,N2,0.031984,919.172086,0.026298,0.452975,6.30E-05,4.10E-05,34.500,,Cylindrical,305 mm diameter; 610 mm height,0.00,Drop Tower,Wire,,,Yes,,23.000,,,Orientation=vertical,,,
