split_id,protocol,seed,fold,model_id,model_family,n_test_rows,n_test_papers,roc_auc,pr_auc,brier,mcc_at_mcc,f1_at_mcc,balanced_accuracy_at_mcc,sensitivity_at_mcc,specificity_at_mcc,precision_at_mcc,mcc_at_f1,f1_at_f1,balanced_accuracy_at_f1,sensitivity_at_f1,specificity_at_f1,precision_at_f1,mcc_at_balanced_accuracy,f1_at_balanced_accuracy,balanced_accuracy_at_balanced_accuracy,sensitivity_at_balanced_accuracy,specificity_at_balanced_accuracy,precision_at_balanced_accuracy,mcc_at_youden_j,f1_at_youden_j,balanced_accuracy_at_youden_j,sensitivity_at_youden_j,specificity_at_youden_j,precision_at_youden_j
interpolation_holdout__seed-42__fold-0,interpolation_holdout,42,0,dt_baseline,decision_tree,898,79,0.8457361128748738,0.9288478496753818,0.1273781953404223,0.48818057323390035,0.8149377593360996,0.778918839436695,0.725258493353028,0.832579185520362,0.9299242424242424,0.4112212731531089,0.88561872909699,0.6359805369710662,0.9778434268833087,0.29411764705882354,0.8092909535452323,0.48818057323390035,0.8149377593360996,0.778918839436695,0.725258493353028,0.832579185520362,0.9299242424242424,0.48818057323390035,0.8149377593360996,0.778918839436695,0.725258493353028,0.832579185520362,0.9299242424242424
interpolation_stratified__seed-42__fold-0,interpolation_stratified,42,0,dt_baseline,decision_tree,898,83,0.8531483721769584,0.9463522921312318,0.13371905887383864,0.4772428421931553,0.8056951423785594,0.7737957585033786,0.7104874446085672,0.8371040723981901,0.9303675048355899,0.26587502496369814,0.8680738786279684,0.5764652412493233,0.9719350073855244,0.18099547511312217,0.7842669845053635,0.4772428421931553,0.8056951423785594,0.7737957585033786,0.7104874446085672,0.8371040723981901,0.9303675048355899,0.4772428421931553,0.8056951423785594,0.7737957585033786,0.7104874446085672,0.8371040723981901,0.9303675048355899
interpolation_stratified__seed-42__fold-1,interpolation_stratified,42,1,dt_baseline,decision_tree,898,83,0.8399580261601289,0.9319018130911891,0.13784920237688472,0.44833392847878334,0.8120915032679739,0.7539383893541509,0.7341211225997046,0.7737556561085973,0.9085923217550275,0.3972098871985597,0.8799454297407913,0.6505744668052427,0.9527326440177253,0.34841628959276016,0.8174904942965779,0.45141290551268237,0.8033195020746888,0.7579118683037356,0.7149187592319055,0.8009049773755657,0.9166666666666666,0.45141290551268237,0.8033195020746888,0.7579118683037356,0.7149187592319055,0.8009049773755657,0.9166666666666666
interpolation_stratified__seed-42__fold-2,interpolation_stratified,42,2,dt_baseline,decision_tree,897,81,0.8340271250167854,0.9221160846845077,0.13672051466290086,0.5091985702172395,0.8544600938967136,0.7782496307237814,0.8064992614475628,0.75,0.908485856905158,0.36615238010865464,0.8765264586160109,0.6339230562642675,0.9542097488921714,0.31363636363636366,0.8105395232120451,0.4961078329477916,0.8172757475083057,0.7838223445682826,0.7267355982274741,0.8409090909090909,0.9335863377609108,0.4961078329477916,0.8172757475083057,0.7838223445682826,0.7267355982274741,0.8409090909090909,0.9335863377609108
interpolation_stratified__seed-42__fold-3,interpolation_stratified,42,3,dt_baseline,decision_tree,897,81,0.8724664649655949,0.9433500402818817,0.11809637855670217,0.5640654157346301,0.862370723945903,0.81265227984685,0.8017751479289941,0.8235294117647058,0.9328743545611016,0.4423830432053349,0.8888888888888888,0.659415245388096,0.9704142011834319,0.34841628959276016,0.82,0.5487785705920534,0.8278757346767422,0.8148712147580925,0.7292899408284024,0.9004524886877828,0.9572815533980582,0.5487785705920534,0.8278757346767422,0.8148712147580925,0.7292899408284024,0.9004524886877828,0.9572815533980582
interpolation_stratified__seed-42__fold-4,interpolation_stratified,42,4,dt_baseline,decision_tree,897,80,0.8665861201103109,0.9470385384098573,0.1250268813711346,0.49770839608208745,0.8060965283657917,0.786460146188653,0.7041420118343196,0.8687782805429864,0.9425742574257425,0.39796812154680145,0.8796169630642955,0.6520623042116255,0.9511834319526628,0.35294117647058826,0.8180661577608143,0.5241681109870553,0.8024158757549612,0.803210929342151,0.6878698224852071,0.918552036199095,0.9627329192546584,0.5241681109870553,0.8024158757549612,0.803210929342151,0.6878698224852071,0.918552036199095,0.9627329192546584
extrapolation_grouped__seed-42__fold-0,extrapolation_grouped,42,0,dt_baseline,decision_tree,845,21,0.49147203898496467,0.7435643745957506,0.22661880892441327,0.002977159225732435,0.7803030303030303,0.5013334224757829,0.814873417721519,0.18779342723004694,0.748546511627907,0.0,0.8557887610020312,0.5,1.0,0.0,0.7479289940828402,0.002977159225732435,0.7803030303030303,0.5013334224757829,0.814873417721519,0.18779342723004694,0.748546511627907,0.002977159225732435,0.7803030303030303,0.5013334224757829,0.814873417721519,0.18779342723004694,0.748546511627907
extrapolation_grouped__seed-42__fold-1,extrapolation_grouped,42,1,dt_baseline,decision_tree,1024,15,0.6707814543180396,0.8196195939904306,0.20931766870572907,0.2117751879463448,0.7133182844243793,0.6165927568366594,0.6422764227642277,0.5909090909090909,0.8020304568527918,0.0,0.8376844494892168,0.5,1.0,0.0,0.720703125,0.2117751879463448,0.7133182844243793,0.6165927568366594,0.6422764227642277,0.5909090909090909,0.8020304568527918,0.2117751879463448,0.7133182844243793,0.6165927568366594,0.6422764227642277,0.5909090909090909,0.8020304568527918
extrapolation_grouped__seed-42__fold-2,extrapolation_grouped,42,2,dt_baseline,decision_tree,863,20,0.6264636034329861,0.8269173126589227,0.19409347863229054,0.17107100521744156,0.7027027027027027,0.6004005651500803,0.6087613293051359,0.5920398009950248,0.8309278350515464,0.0,0.8681967213114754,0.5,1.0,0.0,0.7670915411355735,0.17107100521744156,0.7027027027027027,0.6004005651500803,0.6087613293051359,0.5920398009950248,0.8309278350515464,0.17107100521744156,0.7027027027027027,0.6004005651500803,0.6087613293051359,0.5920398009950248,0.8309278350515464
extrapolation_grouped__seed-42__fold-3,extrapolation_grouped,42,3,dt_baseline,decision_tree,884,16,0.6752513102500215,0.8419082676493621,0.19361291921077328,0.31538535171243504,0.8181120491174213,0.6697668757338833,0.7861356932153393,0.5533980582524272,0.8528,0.0,0.8681177976952625,0.5,1.0,0.0,0.7669683257918553,0.31538535171243504,0.8181120491174213,0.6697668757338833,0.7861356932153393,0.5533980582524272,0.8528,0.31538535171243504,0.8181120491174213,0.6697668757338833,0.7861356932153393,0.5533980582524272,0.8528
extrapolation_grouped__seed-42__fold-4,extrapolation_grouped,42,4,dt_baseline,decision_tree,871,15,0.6027136146006875,0.8146444423392492,0.18352860508105237,0.12363921163939567,0.6895958727429062,0.5731722875110691,0.5958395245170877,0.5505050505050505,0.8183673469387756,0.15982492821802435,0.8750817527795945,0.5248060095756976,0.9940564635958395,0.05555555555555555,0.7815420560747663,0.12363921163939567,0.6895958727429062,0.5731722875110691,0.5958395245170877,0.5505050505050505,0.8183673469387756,0.12363921163939567,0.6895958727429062,0.5731722875110691,0.5958395245170877,0.5505050505050505,0.8183673469387756
interpolation_holdout__seed-43__fold-0,interpolation_holdout,43,0,dt_baseline,decision_tree,898,83,0.8745062392642547,0.949227158870374,0.1229419781764909,0.5284913172867591,0.8444802578565673,0.7965037395483133,0.7740029542097489,0.8190045248868778,0.9290780141843972,0.42952296472040996,0.8852459016393442,0.6641023413114819,0.9571639586410635,0.37104072398190047,0.8233799237611181,0.5459398535580376,0.8297161936560935,0.8127619187659156,0.7341211225997046,0.8914027149321267,0.9539347408829175,0.5459398535580376,0.8297161936560935,0.8127619187659156,0.7341211225997046,0.8914027149321267,0.9539347408829175
interpolation_stratified__seed-43__fold-0,interpolation_stratified,43,0,dt_baseline,decision_tree,898,81,0.8772766463703991,0.9424096991377127,0.11366208254557367,0.5750018683318764,0.8524857375713122,0.8251769518169727,0.7725258493353028,0.8778280542986425,0.9509090909090909,0.44682602944758787,0.8906773977196513,0.6510323024789963,0.9807976366322009,0.3212669683257919,0.8157248157248157,0.5750018683318764,0.8524857375713122,0.8251769518169727,0.7725258493353028,0.8778280542986425,0.9509090909090909,0.5750018683318764,0.8524857375713122,0.8251769518169727,0.7725258493353028,0.8778280542986425,0.9509090909090909
interpolation_stratified__seed-43__fold-1,interpolation_stratified,43,1,dt_baseline,decision_tree,898,78,0.8119932895326066,0.9061622298621785,0.14567582283036695,0.4804359401104877,0.8253452477660439,0.7711122399192605,0.7503692762186115,0.7918552036199095,0.9169675090252708,0.3622590406602877,0.875,0.6339988102956216,0.9512555391432792,0.3167420814479638,0.810062893081761,0.4804359401104877,0.8253452477660439,0.7711122399192605,0.7503692762186115,0.7918552036199095,0.9169675090252708,0.4804359401104877,0.8253452477660439,0.7711122399192605,0.7503692762186115,0.7918552036199095,0.9169675090252708
