protocol,model_a,model_b,paired_fold_count,delta_roc_auc,wilcoxon_p_roc_auc,delta_pr_auc,wilcoxon_p_pr_auc,delta_brier,wilcoxon_p_brier,delta_mcc_at_mcc,wilcoxon_p_mcc_at_mcc,delta_f1_at_f1,wilcoxon_p_f1_at_f1,delta_balanced_accuracy_at_balanced_accuracy,wilcoxon_p_balanced_accuracy_at_balanced_accuracy,caveat
extrapolation_grouped,dt_baseline,dt_weighted_inverse,15,-0.018152341010182184,0.846923828125,-0.01045834768790302,0.76153564453125,-0.03805237097645082,0.02154541015625,-0.027240396931933544,0.97796630859375,0.0031532355029100013,0.27332167829229814,-0.03036559145574448,0.52447509765625,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,dt_baseline,dt_weighted_sqrt,15,-0.014644718968202667,0.67877197265625,-0.004018017723253379,0.76153564453125,-0.017482370332351192,0.05535888671875,-0.03358573011144137,0.359130859375,-0.0009643192627211361,0.5001842570707944,-0.01214545876229934,0.5994873046875,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,dt_weighted_inverse,dt_weighted_sqrt,15,0.003507622041979515,0.93408203125,0.006440329964649642,0.803955078125,0.020570000644099626,0.1688232421875,-0.006345333179507821,0.42120361328125,-0.004117554765631137,0.13801073756865956,0.018220132693445135,0.890380859375,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
interpolation_holdout,dt_baseline,dt_weighted_inverse,3,0.02008238814216745,0.25,0.0020141297551760085,1.0,-0.037585619031735316,0.25,0.04795465235788874,0.25,0.013991985357343436,0.25,0.02672156238930068,0.25,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
interpolation_holdout,dt_baseline,dt_weighted_sqrt,3,0.005801479778367498,1.0,-0.0004774942390567786,1.0,-0.02753303065542599,0.25,0.010142724039511405,0.75,0.005865608562473645,0.5,0.011480424461569641,0.75,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
interpolation_holdout,dt_weighted_inverse,dt_weighted_sqrt,3,-0.014280908363799952,0.5,-0.002491623994232787,0.75,0.010052588376309327,0.25,-0.03781192831837734,0.25,-0.008126376794869791,0.25,-0.015241137927731038,0.5,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
interpolation_stratified,dt_baseline,dt_weighted_inverse,15,0.015464311685591555,0.00201416015625,0.0029350630510997103,0.083251953125,-0.034179691819552764,6.103515625e-05,0.024643555783762438,0.0042724609375,0.011171514004647939,0.00018310546875,0.012417902226279632,0.063720703125,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
interpolation_stratified,dt_baseline,dt_weighted_sqrt,15,0.00500485648006425,0.10699462890625,0.00047911157690203596,0.42120361328125,-0.026967856611038236,6.103515625e-05,0.010116921654250129,0.33026123046875,0.0045734392604347565,0.041259765625,0.008786725026089534,0.1353759765625,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
interpolation_stratified,dt_weighted_inverse,dt_weighted_sqrt,15,-0.010459455205527305,0.00537109375,-0.0024559514741976742,0.359130859375,0.007211835208514526,0.0067138671875,-0.014526634129512309,0.05535888671875,-0.006598074744213182,0.0042724609375,-0.003631177200190098,0.389404296875,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
lopo,dt_baseline,dt_weighted_inverse,87,-0.04481463996078904,0.13715134230763004,-0.009682255936667473,0.6374094083696589,-0.04517644517546681,0.0024866366568320223,-0.028366396991225517,0.19008373658621813,-0.0029002481563727175,0.463071015014588,0.00424681857411721,0.7571479617554759,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
lopo,dt_baseline,dt_weighted_sqrt,87,-0.06886855980240604,0.03877428607316506,-0.019959897138147817,0.14102601351050406,-0.040769827379730554,0.0004027462918662229,-0.03736905775488852,0.11773982419402365,-0.00038979593175736274,0.779434528427275,-0.047272334543052845,0.05395769811041696,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
lopo,dt_weighted_inverse,dt_weighted_sqrt,87,-0.02405391984161701,0.26130015368711534,-0.010277641201480342,0.27144531440365094,0.004406617795736245,0.9431140808916058,-0.009002660763663007,0.6143145637885868,0.002510452224615355,0.3454475304692257,-0.05151915311717005,0.06451051120486458,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
